ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461145394498,-9.55209,0.267364,-2.25493,0.01499,0.0196432,-0.0207584,0.798999,0.0199783,-0.236268
01324188,1461145394498,-9.57254,-0.967527,-1.92114,0.0185537,0.0138512,0.0387795,0.781434,0.307891,-0.281722
01324185,1461145394498,-9.75929,-0.894105,0.85265,0.003939,-0.00746483,-0.00706818,0.682041,0.190362,-0.430854
01324181,1461145394498,-9.18415,0.864203,3.19914,0.0239062,0.0224983,-0.00328258,0.734344,0.321303,-0.202857
01324180,1461145394498,-9.54008,-1.15853,1.93085,-0.0382885,0.000293325,-0.0022381,0.665843,-0.241442,-0.377629
01324189,1461145394502,-9.56078,0.243563,-2.19644,0.00454754,0.0223488,-0.0225725,0.797406,0.02842,-0.244699
01324188,1461145394502,-9.55348,-1.04499,-1.88689,0.0465,0.0297585,0.0515405,0.780052,0.314287,-0.28812
01324185,1461145394502,-9.74949,-0.879667,0.910314,0.00591836,0.0040115,-0.00204391,0.680399,0.195618,-0.435861
01324181,1461145394502,-9.19837,0.893099,3.25887,0.00268313,0.0309086,-0.0255508,0.730861,0.325485,-0.209807
01324180,1461145394502,-9.53206,-1.08508,2.0715,-0.0381767,-0.00141247,-0.00662891,0.661255,-0.235287,-0.380797
01324189,1461145394518,-9.58938,0.170759,-2.19618,-0.0095577,0.0285244,-0.0368401,0.796843,0.029872,-0.243351
01324188,1461145394518,-9.50187,-1.48405,-1.8785,0.179152,0.0224963,0.0630099,0.780199,0.31216,-0.285983
01324185,1461145394518,-9.75912,-0.850746,0.87646,-0.00258928,-0.00111898,0.00480371,0.67945,0.196323,-0.435864
01324181,1461145394518,-9.19833,0.907636,3.28275,0.0114775,0.0241353,-0.0101246,0.732447,0.326358,-0.208117
01324180,1461145394518,-9.59831,-1.16957,1.99789,-0.0364557,0.0148161,-0.0276097,0.662834,-0.233293,-0.381452
01324189,1461145394535,-9.62644,-0.0181055,-2.162,-0.0201993,0.0234428,-0.0564022,0.799537,0.025386,-0.239292
01324188,1461145394535,-9.63095,-1.06932,-1.81387,0.222874,0.0213502,0.0880438,0.78266,0.305795,-0.283737
01324185,1461145394535,-9.78085,-0.850619,0.867683,0.000111995,0.00218987,-0.0139256,0.682987,0.193326,-0.430494
01324181,1461145394535,-9.1842,0.912675,3.25859,0.0292552,0.0401694,-0.00487524,0.732058,0.321059,-0.20243
01324180,1461145394535,-9.58416,-1.15281,2.02712,-0.00690353,0.0271101,-0.0238191,0.665081,-0.236573,-0.369867
01324189,1461145394551,-9.69104,-0.120055,-2.15153,-0.0310972,0.0183444,-0.0919533,0.799242,0.0285438,-0.238732
01324188,1461145394551,-9.63496,-0.84453,-1.89289,0.177627,0.0145537,0.115974,0.782406,0.303592,-0.286008
01324185,1461145394551,-9.81228,-0.869696,0.854667,0.000862445,-0.00117435,0.00311158,0.684613,0.193617,-0.42998
01324181,1461145394551,-9.23287,0.933963,3.22406,0.0115077,0.0391391,-0.0117137,0.734208,0.320754,-0.201916
01324180,1461145394551,-9.60411,-1.10467,2.01752,-0.0498328,0.019674,-0.0100601,0.665865,-0.235143,-0.370253
01324189,1461145394568,-9.63182,0.00588847,-2.18863,0.0227903,0.022949,-0.088241,0.799943,0.0285138,-0.241135
01324188,1461145394568,-9.68756,-0.680377,-1.89397,0.113097,0.00232142,0.114501,0.783231,0.30067,-0.285665
01324185,1461145394568,-9.82198,-0.855234,0.806407,-0.00295664,0.00760831,-0.00374198,0.684069,0.194025,-0.430765
01324181,1461145394568,-9.24268,0.938711,3.20942,0.0276251,0.0450317,-0.0289507,0.735148,0.321298,-0.2026
01324180,1461145394568,-9.6028,-1.21111,2.04112,-0.0418191,0.012746,-0.0136011,0.666146,-0.2363,-0.370414
01324189,1461145394584,-9.56182,0.184639,-2.29392,0.059207,0.0311703,-0.0881514,0.799546,0.0308018,-0.243507
01324188,1461145394584,-9.60561,-0.750465,-1.91322,0.0537988,-0.00648158,0.113128,0.783092,0.301636,-0.287741
01324185,1461145394584,-9.85074,-0.821307,0.850963,0.00620194,0.0199276,0.004679,0.682162,0.196917,-0.434182
01324181,1461145394584,-9.2377,0.89271,3.16686,0.0169768,0.0396409,-0.0324074,0.733377,0.325261,-0.20545
01324180,1461145394584,-9.66024,-1.25518,2.03548,-0.0151289,-0.000721057,-0.0363823,0.665087,-0.232908,-0.38
01324189,1461145394600,-9.51164,0.325487,-2.27974,0.0732278,0.0223951,-0.0792148,0.797631,0.0320031,-0.242145
01324188,1461145394600,-9.57662,-0.755526,-1.89415,0.0224348,-0.013697,0.116379,0.78203,0.299372,-0.288402
01324185,1461145394600,-9.81218,-0.81194,0.824952,-0.00821042,0.00942974,-0.00290049,0.681076,0.196611,-0.435481
01324181,1461145394600,-9.24685,0.815011,3.11275,0.0259012,0.0466902,-0.0340877,0.732582,0.324689,-0.205961
01324180,1461145394600,-9.49228,-1.1319,1.97738,-0.0453705,-0.00173102,0.00912757,0.664285,-0.233191,-0.378651
01324189,1461145394616,-9.48507,0.44226,-2.23362,0.073585,0.0241547,-0.0525693,0.797613,0.0308713,-0.239626
01324188,1461145394616,-9.60784,-0.693055,-1.84635,0.00495896,-0.0115148,0.107426,0.782312,0.297392,-0.289464
01324185,1461145394616,-9.75198,-0.850835,0.827628,0.00825084,0.0215491,-0.00896204,0.681225,0.194732,-0.430632
01324181,1461145394616,-9.24687,0.802896,3.09366,0.0418784,0.0379604,-0.0290417,0.731759,0.323628,-0.202746
01324180,1461145394616,-9.45936,-1.06401,1.98532,-0.0911022,0.004872,0.021202,0.664194,-0.236647,-0.378987
01324189,1461145394632,-9.49015,0.512617,-2.21877,0.049461,0.0192505,-0.0375371,0.800033,0.0319574,-0.23858
01324188,1461145394632,-9.60539,-0.681275,-1.80797,-0.0142354,-0.0130596,0.102852,0.784748,0.295515,-0.290412
01324185,1461145394632,-9.6437,-0.918955,0.794577,-0.00587804,0.014638,-0.0106255,0.680815,0.19555,-0.432075
01324181,1461145394632,-9.26358,0.795418,3.09611,0.0436569,0.0379656,-0.0290422,0.73363,0.323351,-0.201168
01324180,1461145394632,-9.48189,-1.20478,2.03267,-0.106695,-0.00211183,0.0157499,0.665097,-0.233482,-0.380548
01324189,1461145394648,-9.51471,0.573106,-2.21582,0.0252149,0.0341954,-0.0278692,0.798952,0.0316997,-0.23857
01324188,1461145394648,-9.61003,-0.625867,-1.79881,-0.0283225,-0.00217353,0.0772062,0.783807,0.295192,-0.289352
01324185,1461145394648,-9.70639,-0.93779,0.83385,-0.00953329,0.0234325,-0.0140656,0.684065,0.195838,-0.431697
01324181,1461145394648,-9.25487,0.858608,3.0853,0.0712232,0.030925,-0.0292012,0.733629,0.323631,-0.201439
01324180,1461145394648,-9.50082,-1.26872,2.12397,-0.126148,-0.00263543,0.036711,0.666295,-0.232627,-0.382429
01324189,1461145394665,-9.49559,0.568185,-2.2356,0.0420219,0.0159128,-0.0100137,0.80086,0.0339251,-0.241368
01324188,1461145394665,-9.60519,-0.625868,-1.80125,-0.0405696,-0.0077239,0.0664419,0.787306,0.295035,-0.287268
01324185,1461145394665,-9.63622,-0.875606,0.856896,-0.0124961,-0.00037884,-0.0207303,0.683925,0.198355,-0.432635
01324181,1461145394665,-9.24881,0.93633,3.06694,0.0365679,0.0493877,-0.0323892,0.734154,0.326427,-0.203891
01324180,1461145394665,-9.51638,-1.21158,2.18213,-0.0907032,-0.0233296,0.0253788,0.665235,-0.233625,-0.381225
01324189,1461145394682,-9.48316,0.573275,-2.21143,0.0309529,0.0281371,0.00769325,0.799234,0.031401,-0.23964
01324188,1461145394682,-9.60504,-0.582483,-1.79924,-0.0528555,-0.00517019,0.0504539,0.785022,0.294577,-0.289004
01324185,1461145394682,-9.71568,-0.879856,0.933132,-0.0372637,-0.00812268,-0.0240379,0.681487,0.1992,-0.432635
