ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461147931984,-9.66059,-0.279683,-1.69615,-0.00979737,0.00943834,0.00448921,0.812901,-0.331303,0.0877673
01324188,1461147931984,-9.64919,-1.0756,-1.43359,-0.00161087,0.00967863,-0.00576682,0.844517,-0.17246,-0.173652
01324185,1461147931984,-9.71411,-0.680576,1.09704,-0.0251666,-0.0125895,0.000690723,0.847188,-0.304177,-0.106825
01324181,1461147931984,-9.72908,0.247636,-1.08888,-0.00203932,-0.011512,4.47635e-05,0.860891,0.0253099,-0.261928
01324180,1461147931984,-9.22549,-2.55214,2.07839,0.0021065,0.0151956,0.00229166,0.888856,-0.110309,-0.0728326
01324189,1461147931988,-9.67431,-0.296314,-1.64731,0.00238087,0.0170915,0.00540774,0.81454,-0.326651,0.0832656
01324188,1461147931988,-9.65404,-1.07809,-1.41909,0.00535165,0.0116204,-0.00923888,0.842771,-0.172145,-0.179748
01324185,1461147931988,-9.76735,-0.726013,1.07067,-0.0128724,0.0013705,-0.000249941,0.847974,-0.29743,-0.113792
01324181,1461147931988,-9.6971,0.233409,-1.03045,0.00507057,0.00268056,0.00186345,0.860189,0.032599,-0.268705
01324180,1461147931988,-9.28688,-2.49528,2.11194,-0.0134963,0.0054985,0.00215283,0.886,-0.103042,-0.0772006
01324189,1461147932004,-9.69175,-0.240738,-1.65665,-0.00813198,0.01288,5.21919e-05,0.819427,-0.327786,0.0820047
01324188,1461147932004,-9.66363,-1.05635,-1.41921,-0.00506034,0.0109484,0.00307088,0.84748,-0.172511,-0.17983
01324185,1461147932004,-9.7335,-0.70214,1.07868,0.00998393,0.0046782,-0.000304344,0.851754,-0.29757,-0.113673
01324181,1461147932004,-9.69678,0.206728,-1.03235,-0.00997313,0.0210413,-0.00826922,0.86405,0.0340162,-0.266785
