ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461148161086,-9.64838,-0.0236186,-1.84219,-0.00657158,0.00501611,0.0167505,0.803427,0.00541599,-0.230355
01324188,1461148161086,-9.61435,-1.266,-1.53285,-0.00196712,0.00264361,-0.000274925,0.761112,0.220929,-0.260461
01324185,1461148161086,-9.68497,-0.667539,1.56526,-0.00503028,-0.00122909,-0.00876698,0.683328,0.0434161,-0.471029
01324181,1461148161086,-9.79239,0.448047,-0.820297,-0.00972326,-0.0124561,-0.0093248,0.758929,0.323665,0.0806381
01324180,1461148161086,-9.27664,-2.16599,2.40826,-0.0141302,-0.00423244,0.0119047,0.65973,0.000132997,-0.506464
01324189,1461148161090,-9.64818,-0.0332321,-1.83248,-0.00854896,0.0171006,0.00161787,0.80561,0.011641,-0.23553
01324188,1461148161090,-9.61438,-1.27558,-1.54239,-0.00723294,0.00638715,-0.00557961,0.76187,0.229299,-0.263162
01324185,1461148161090,-9.70424,-0.686644,1.60511,-0.00303961,0.00407852,-0.00369603,0.684931,0.0514738,-0.476859
01324181,1461148161090,-9.77748,0.445758,-0.771858,-0.00626875,0.00382247,0.00976467,0.761311,0.327913,0.0797253
01324180,1461148161090,-9.30074,-2.17603,2.41763,-0.0178115,0.00260598,0.0198445,0.657088,0.0114783,-0.512118
01324189,1461148161106,-9.65291,-0.0623649,-1.83735,-0.00859732,0.018823,-0.00193809,0.807375,0.0107363,-0.235157
01324188,1461148161106,-9.60963,-1.29967,-1.54702,0.00496198,0.00234625,-0.0108492,0.763214,0.23013,-0.262859
01324185,1461148161106,-9.69943,-0.713127,1.63914,-0.0150458,-0.0010279,0.00315283,0.687364,0.0527153,-0.478185
01324181,1461148161106,-9.76528,0.445886,-0.752462,-0.0133179,0.00358935,-0.00228448,0.763178,0.329606,0.0796704
01324180,1461148161106,-9.29103,-2.16837,2.38877,-0.00195522,0.0100874,-0.000223335,0.659643,0.0111623,-0.515122
01324189,1461148161123,-9.64323,-0.072055,-1.84239,-0.00692178,0.0136163,-0.00725527,0.808039,0.00643812,-0.231066
01324188,1461148161123,-9.60957,-1.28048,-1.53276,0.0189559,0.00195784,-0.00279329,0.763661,0.223059,-0.260494
01324185,1461148161123,-9.70174,-0.701041,1.67551,-0.0110827,0.0166468,0.0132407,0.687382,0.0468928,-0.473296
01324181,1461148161123,-9.74849,0.44124,-0.761925,0.00449013,0.0106521,-0.00400769,0.7619,0.322503,0.0818296
01324180,1461148161123,-9.26917,-2.16294,2.35518,-0.0109845,0.0275583,0.00159671,0.661279,0.00575365,-0.509065
01324189,1461148161139,-9.64313,-0.0719967,-1.83509,-0.00676186,0.0110412,0.00341154,0.806299,0.006615,-0.233578
01324188,1461148161139,-9.62888,-1.27308,-1.54711,-0.0002798,0.0143207,-0.00721723,0.763391,0.22307,-0.260624
01324185,1461148161139,-9.66583,-0.778336,1.64808,-0.0131164,0.00779582,0.00648977,0.687246,0.0451853,-0.474194
01324181,1461148161139,-9.74877,0.455802,-0.771866,-0.0132849,0.0034888,-0.00746254,0.75959,0.323825,0.0818262
