ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461147138534,-9.79601,-0.132974,-0.581884,-0.00627109,0.011632,-0.025893,0.767368,0.0487128,0.391454
01324188,1461147138534,-9.74263,0.286658,-1.17257,0.0028798,0.00374821,-0.0142156,0.846981,-0.00694875,0.50435
01324185,1461147138534,-9.7508,-1.03854,0.620393,0.0920429,0.0416465,-0.0802773,0.790324,0.18148,0.279826
01324181,1461147138534,-9.71104,0.95042,-0.213276,0.0309145,-0.00931005,0.00441087,0.748211,-0.401407,0.0837781
01324180,1461147138534,-9.63194,-2.20043,-0.165342,-0.00993028,0.0136802,-0.123829,0.712887,0.338516,0.308847
01324189,1461147138538,-9.84161,-0.176698,-0.571564,-0.0296593,0.0162106,-0.0206398,0.766422,0.0560358,0.386448
01324188,1461147138538,-9.74748,0.284164,-1.15807,0.0133316,0.0175821,-0.0122231,0.84452,-0.00227384,0.501586
01324185,1461147138538,-9.6877,-0.981036,0.738419,0.0743629,0.0611725,-0.0820995,0.78597,0.189319,0.276757
01324181,1461147138538,-9.75826,0.906165,-0.181334,-0.01174,0.00823752,-0.000454754,0.747509,-0.395625,0.0788686
01324180,1461147138538,-9.5885,-2.19019,-0.172111,0.0102145,0.0164851,-0.128964,0.706676,0.346,0.306264
01324189,1461147138554,-9.83905,-0.181476,-0.564312,-0.046247,0.0163757,-0.0260267,0.763706,0.0558203,0.386478
01324188,1461147138554,-9.75233,0.281653,-1.14117,0.00458074,0.0230589,-0.0175339,0.843437,-0.00186572,0.499478
01324185,1461147138554,-9.63691,-0.962052,0.779725,0.0368231,0.0543543,-0.0956334,0.784886,0.188192,0.276772
01324181,1461147138554,-9.76578,0.944879,-0.162804,-0.0472989,0.00367707,-0.00555479,0.746671,-0.394019,0.0796431
01324180,1461147138554,-9.5212,-2.14807,-0.200224,0.0251765,0.0221194,-0.144659,0.705198,0.346891,0.306438
01324189,1461147138570,-9.82368,-0.219851,-0.523257,-0.0408486,0.011158,-0.0153394,0.766163,0.0500239,0.388807
01324188,1461147138570,-9.75245,0.247779,-1.12401,-0.00410812,0.0108277,-0.0168418,0.844127,-0.0047226,0.50439
01324185,1461147138570,-9.64902,-0.981238,0.780441,-0.00699438,0.044238,-0.0921154,0.787207,0.185612,0.282019
01324181,1461147138570,-9.75817,0.927969,-0.143111,-0.0544223,0.00900673,-0.00376162,0.745651,-0.400128,0.0816467
01324180,1461147138570,-9.49377,-2.03697,-0.175179,0.00967714,0.0315307,-0.179836,0.706392,0.346569,0.308564
01324189,1461147138586,-9.80383,-0.272996,-0.513946,-0.0539521,0.00264931,-0.0224781,0.766968,0.0505802,0.38947
01324188,1461147138586,-9.76207,0.262365,-1.1361,-0.00238746,0.0110684,-0.0212543,0.842775,-0.00468753,0.504141
01324185,1461147138586,-9.65897,-1.04383,0.718424,-0.0208214,0.0479493,-0.0870174,0.788967,0.187011,0.281477
01324181,1461147138586,-9.74857,0.925661,-0.147836,-0.0632387,0.0176135,-0.0157279,0.747542,-0.400158,0.0814943
01324180,1461147138586,-9.51928,-1.94077,-0.170066,-0.00614663,0.0349352,-0.177245,0.707185,0.347279,0.308164
01324189,1461147138602,-9.80852,-0.263208,-0.499248,-0.0792376,0.00463365,-0.0278962,0.767252,0.0502803,0.388396
01324188,1461147138602,-9.74268,0.276729,-1.13157,0.00108911,0.0180215,-0.0211518,0.846299,-0.00592989,0.504556
01324185,1461147138602,-9.68824,-1.0967,0.628019,-0.0476351,0.0340189,-0.0970961,0.787749,0.188734,0.283033
01324181,1461147138602,-9.7675,0.913294,-0.13323,-0.0970743,0.014132,-0.0104721,0.748208,-0.39945,0.0814725
01324180,1461147138602,-9.59283,-1.8842,-0.122138,-0.0461804,0.0261833,-0.185441,0.707924,0.352021,0.309323
01324189,1461147138618,-9.80477,-0.224888,-0.55763,-0.0948483,-0.00902113,-0.0261482,0.766153,0.0537507,0.387501
01324188,1461147138618,-9.72831,0.238047,-1.12411,-0.0163728,0.0131372,-0.0284018,0.845186,-0.000729527,0.502479
01324185,1461147138618,-9.70279,-1.12551,0.628938,-0.0930592,0.0257128,-0.0901854,0.78652,0.19094,0.280401
01324181,1461147138618,-9.79146,0.90331,-0.138022,-0.118412,0.0247208,-0.0103051,0.748063,-0.396502,0.0784815
01324180,1461147138618,-9.60298,-1.87296,-0.0545062,-0.1109,0.0097719,-0.166619,0.703629,0.354699,0.308364
01324189,1461147138634,-9.81992,-0.159648,-0.57185,-0.103625,0.00833169,-0.027985,0.7652,0.0534907,0.387911
01324188,1461147138634,-9.76213,0.245486,-1.13595,-0.0198847,0.0150656,-0.0319499,0.846,-0.00136633,0.503368
01324185,1461147138634,-9.71724,-1.1206,0.631933,-0.148973,0.0210491,-0.0815862,0.78503,0.191666,0.281445
01324181,1461147138634,-9.77465,0.901087,-0.142702,-0.130897,0.0319044,-0.0033116,0.74725,-0.396204,0.0784838
01324180,1461147138634,-9.60277,-1.87994,-0.0787101,-0.151126,0.00430859,-0.163397,0.701472,0.35632,0.309234
01324189,1461147138650,-9.83404,-0.208107,-0.56445,-0.124348,-0.0121565,-0.0226821,0.765465,0.0524851,0.389235
01324188,1461147138650,-9.76449,0.257785,-1.16974,-0.0163618,0.0162509,-0.0212927,0.842889,-0.00130827,0.503277
01324185,1461147138650,-9.68852,-1.19301,0.624169,-0.185515,0.0179643,-0.0730264,0.783543,0.190425,0.2829
01324181,1461147138650,-9.75807,0.910997,-0.15486,-0.148625,0.0316855,-0.0136054,0.74661,-0.399478,0.0792251
01324180,1461147138650,-9.57775,-1.92999,-0.112575,-0.168483,-0.013452,-0.154858,0.699764,0.35404,0.309348
01324189,1461147138666,-9.78946,-0.292474,-0.533682,-0.162667,-0.00486837,-0.0290503,0.76697,0.0507224,0.389204
01324188,1461147138666,-9.75488,0.243116,-1.14561,-0.0267936,0.00401377,-0.0206118,0.843441,-0.00308673,0.50383
01324185,1461147138666,-9.69601,-1.30129,0.652293,-0.218376,0.0166282,-0.0610717,0.78314,0.189743,0.284085
01324181,1461147138666,-9.77676,0.881648,-0.137512,-0.175347,0.0370895,-0.00656949,0.746887,-0.399218,0.078151
01324180,1461147138666,-9.5436,-1.95629,-0.0978858,-0.171279,-0.00660095,-0.147809,0.700956,0.353423,0.312544
01324189,1461147138682,-9.81787,-0.350587,-0.513919,-0.181795,0.000517581,-0.0300065,0.766843,0.0501489,0.388667
01324188,1461147138682,-9.75504,0.199563,-1.12356,-0.018064,0.0040315,-0.0205508,0.84656,-0.00429723,0.503716
01324185,1461147138682,-9.70367,-1.44812,0.646852,-0.253864,0.0100353,-0.0490794,0.784772,0.189349,0.285652
01324181,1461147138682,-9.79058,0.83781,-0.131931,-0.180721,0.0265671,-0.0014633,0.746489,-0.399508,0.0777616
01324180,1461147138682,-9.5044,-1.99199,-0.102533,-0.167086,-0.0177419,-0.116229,0.70013,0.355456,0.312865
01324189,1461147138699,-9.84223,-0.311863,-0.506157,-0.178325,-0.0167783,-0.0326236,0.768764,0.0506615,0.386379
01324188,1461147138699,-9.75735,0.233246,-1.11181,-0.0232874,0.0141231,-0.0142821,0.846019,-0.00425684,0.503054
01324185,1461147138699,-9.70162,-1.56371,0.633395,-0.264167,0.0170252,-0.0644191,0.785043,0.189349,0.285651
01324181,1461147138699,-9.80945,0.827862,-0.107711,-0.182386,0.0244179,-0.0221563,0.747992,-0.3979,0.0735825
01324180,1461147138699,-9.5142,-1.99488,-0.0688095,-0.139559,-0.00598398,-0.0860798,0.699975,0.357188,0.313171
01324189,1461147138715,-9.80884,-0.297419,-0.535835,-0.179895,-0.0115765,-0.0193189,0.767013,0.0495544,0.385455
01324188,1461147138715,-9.74758,0.257523,-1.14099,-0.0442341,0.0107388,-0.0171165,0.845607,-0.0033936,0.503381
01324185,1461147138715,-9.68503,-1.6409,0.594656,-0.260835,0.0171498,-0.0491174,0.784904,0.190175,0.284598
01324181,1461147138715,-9.78491,0.784485,-0.111552,-0.187719,0.0252898,-0.0221328,0.747971,-0.396598,0.0740884
01324180,1461147138715,-9.55006,-2.04659,-0.0114415,-0.138207,-0.0193954,-0.0299048,0.700643,0.357178,0.312892
01324189,1461147138732,-9.77445,-0.345639,-0.524299,-0.178344,-0.0116191,-0.0335346,0.768894,0.0489428,0.387966
01324188,1461147138732,-9.74278,0.247794,-1.13131,-0.0285354,0.0108178,-0.0178924,0.84398,-0.00283116,0.504376
01324185,1461147138732,-9.68748,-1.6409,0.570498,-0.252128,0.0159676,-0.0712305,0.783286,0.188544,0.287757
01324181,1461147138732,-9.7655,0.784699,-0.092112,-0.18243,0.0192322,-0.0153115,0.747718,-0.398584,0.0749319
01324180,1461147138732,-9.54195,-2.11418,-0.0020665,-0.119125,-0.0232651,-0.00873028,0.698766,0.357492,0.314136
01324189,1461147138749,-9.77953,-0.353083,-0.543712,-0.195527,-0.0114221,-0.0193766,0.766998,0.0498485,0.386793
01324188,1461147138749,-9.75265,0.194715,-1.12112,-0.0302633,0.000481752,-0.0197877,0.843971,-0.00132,0.503128
01324185,1461147138749,-9.67774,-1.60245,0.564832,-0.25664,0.00474262,-0.053297,0.783287,0.189684,0.2884
01324181,1461147138749,-9.80431,0.796389,-0.11432,-0.213559,0.00855099,-0.0170205,0.745954,-0.396728,0.0734461
01324180,1461147138749,-9.5174,-2.13049,-0.0309175,-0.140315,-0.0398844,0.0296921,0.6989,0.357783,0.313467
01324189,1461147138765,-9.81843,-0.316861,-0.53817,-0.199072,-0.018288,-0.0246993,0.768648,0.0477916,0.38609
01324188,1461147138765,-9.76223,0.218829,-1.11646,-0.0171808,0.00901705,-0.0160667,0.843985,-0.00372531,0.504857
01324185,1461147138765,-9.71389,-1.61663,0.600495,-0.313217,-0.0194529,-0.0598751,0.78397,0.186602,0.289474
01324181,1461147138765,-9.85271,0.783727,-0.165102,-0.220616,0.00394645,-0.0265061,0.748008,-0.398076,0.0721207
01324180,1461147138765,-9.55573,-2.15995,-0.02662,-0.149008,-0.0506083,0.0383548,0.700143,0.353568,0.314844
01324189,1461147138782,-9.81847,-0.312016,-0.538158,-0.210511,-0.0242263,-0.035388,0.768003,0.0429242,0.385525
01324188,1461147138782,-9.75499,0.214081,-1.13091,-0.0233755,0.0134098,-0.0337601,0.844538,-0.00539706,0.503135
01324185,1461147138782,-9.77686,-1.70292,0.594373,-0.33755,-0.0244557,-0.0538474,0.782615,0.187177,0.289996
01324181,1461147138782,-9.80903,0.769667,-0.140403,-0.205496,0.010168,-0.0256474,0.748037,-0.398004,0.0689216
01324180,1461147138782,-9.59771,-2.29869,0.0350439,-0.177357,-0.0478094,0.067182,0.699863,0.354874,0.314471
01324189,1461147138798,-9.83442,-0.369884,-0.494243,-0.202484,-0.0251451,-0.0229167,0.770297,0.0428715,0.387101
01324188,1461147138798,-9.76224,0.21419,-1.14289,-0.03901,0.00577298,-0.0215613,0.845748,-0.00425233,0.503057
01324185,1461147138798,-9.81578,-1.80383,0.572813,-0.327074,-0.0281121,-0.0563762,0.782618,0.185352,0.290405
01324181,1461147138798,-9.74349,0.726762,-0.129501,-0.210873,0.0191541,-0.0169443,0.748331,-0.398479,0.0670635
01324180,1461147138798,-9.63401,-2.50011,0.0964189,-0.175699,-0.0588269,0.0908105,0.703732,0.354222,0.315611
01324189,1461147138815,-9.76359,-0.510275,-0.515118,-0.202273,-0.0147887,-0.00873224,0.768685,0.0430478,0.385118
01324188,1461147138815,-9.74781,0.194764,-1.13079,-0.0389866,0.00384307,-0.0180395,0.845466,-0.00252859,0.503571
01324185,1461147138815,-9.80629,-1.86166,0.577854,-0.327537,-0.0229351,-0.0674658,0.784384,0.185379,0.291837
01324181,1461147138815,-9.7305,0.673514,-0.0970025,-0.193055,0.0190814,-0.0221697,0.748314,-0.39677,0.066495
01324180,1461147138815,-9.68065,-2.63849,0.119371,-0.121481,-0.0695359,0.109517,0.703914,0.350471,0.314861
01324189,1461147138831,-9.77277,-0.568386,-0.505382,-0.207595,-0.0216486,-0.0185076,0.768007,0.0417767,0.385783
01324188,1461147138831,-9.7575,0.189793,-1.1042,-0.0302244,0.00687487,-0.00909768,0.845461,-0.00185461,0.504687
01324185,1461147138831,-9.80395,-1.88817,0.5756,-0.289208,-0.0410053,-0.0758968,0.783028,0.185943,0.291837
01324181,1461147138831,-9.7447,0.687727,-0.0658216,-0.1984,0.0119384,-0.0290478,0.749196,-0.397577,0.0662866
01324180,1461147138831,-9.66745,-2.72287,0.12387,-0.0708442,-0.0695951,0.121242,0.704455,0.350179,0.313907
01324189,1461147138848,-9.75906,-0.51043,-0.537093,-0.165933,-0.0117325,-0.0192787,0.766245,0.0411053,0.385798
01324188,1461147138848,-9.71872,0.218638,-1.11198,-0.0424884,0.00913428,-0.0197721,0.842764,-0.00288042,0.502778
01324185,1461147138848,-9.78692,-1.86896,0.625628,-0.265854,-0.0415219,-0.104839,0.782216,0.185956,0.292493
01324181,1461147138848,-9.73044,0.707298,-0.0564452,-0.209117,0.021812,-0.0203146,0.748247,-0.396859,0.0657485
01324180,1461147138848,-9.6593,-2.79537,0.140469,-0.0220698,-0.0608815,0.132141,0.70542,0.347564,0.313975
01324189,1461147138865,-9.77967,-0.404215,-0.575473,-0.147831,-0.0171127,-0.0280904,0.767343,0.0393534,0.385771
