ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461146779587,-9.80341,-0.322986,-0.53201,-0.00860656,0.00504103,-0.0109844,0.820421,-0.0635563,-0.317477
01324188,1461146779587,-9.77835,-0.0493548,-0.888715,-0.00489882,0.00674569,0.000988258,0.913262,-0.10322,-0.217442
01324185,1461146779587,-9.5405,-1.91004,1.28283,0.0179501,0.00700886,-0.000297201,0.70348,0.13125,-0.479689
01324181,1461146779587,-9.79289,0.628037,0.0300426,-0.0129614,0.00134651,0.00216951,0.739369,0.318415,-0.0564985
01324180,1461146779587,-9.34596,-2.96793,0.145106,0.0133214,0.00937203,-0.00511266,0.792084,0.100189,-0.353669
01324189,1461146779591,-9.79335,-0.327597,-0.507835,-0.0138563,0.0119991,-0.0127934,0.815069,-0.0583247,-0.324392
01324188,1461146779591,-9.77841,-0.066166,-0.898187,-0.00497128,0.00927594,-0.0140294,0.911103,-0.100482,-0.222836
01324185,1461146779591,-9.54523,-1.91237,1.33401,0.020948,-0.00195424,-0.0121486,0.700773,0.134231,-0.484899
01324181,1461146779591,-9.80935,0.639927,0.085251,-0.00586161,0.00670328,0.00392057,0.735178,0.325758,-0.0612233
01324180,1461146779591,-9.35074,-2.98277,0.173976,0.0219738,0.0154923,-0.0032594,0.788863,0.107144,-0.359874
01324189,1461146779607,-9.80569,-0.322918,-0.52224,-0.00845449,0.0171429,0.00143242,0.818046,-0.0598289,-0.324967
01324188,1461146779607,-9.77357,-0.0639057,-0.878994,-0.000575688,0.00808892,-0.00781673,0.911919,-0.102233,-0.222688
01324185,1461146779607,-9.55722,-1.8738,1.31229,0.0353043,0.0032631,-0.00539223,0.703465,0.132406,-0.48515
01324181,1461146779607,-9.79978,0.635198,0.0733286,-0.0156896,0.00506246,0.011693,0.736099,0.326882,-0.0612561
01324180,1461146779607,-9.36079,-2.9539,0.17162,0.0203841,0.00499081,-0.00421278,0.790985,0.106247,-0.359523
01324189,1461146779623,-9.79822,-0.322771,-0.507749,-0.0068867,0.015383,-0.0109986,0.820587,-0.0651376,-0.319742
01324188,1461146779623,-9.78324,-0.0638874,-0.876513,0.0134165,0.00514241,-0.000674603,0.915554,-0.104952,-0.218243
