ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461145924436,-10.1939,0.604023,-3.2825,-0.0914283,0.126085,0.435874,0.686618,-0.058231,0.496907
01324188,1461145924436,-9.84208,-0.399224,-0.989872,0.0859368,0.180914,-0.268339,0.674417,-0.134111,0.293083
01324185,1461145924436,-9.04646,-0.607704,1.68614,0.249603,-0.17502,0.124133,0.909279,-0.071442,0.197912
01324181,1461145924436,-10.2369,1.36257,3.1117,0.194089,-0.0617112,-0.0666957,0.721553,-0.427139,-0.306667
01324180,1461145924436,-8.83245,-2.13609,2.5534,0.255305,0.26539,-0.173325,0.793196,0.427868,0.00779321
01324189,1461145924440,-9.57541,0.926734,-3.2497,0.101148,0.253582,0.556989,0.685812,-0.0547779,0.493737
01324188,1461145924440,-9.9716,-0.136302,-1.28484,0.180468,0.200017,-0.36132,0.674621,-0.123245,0.290536
01324185,1461145924440,-9.41993,-0.41764,1.61283,0.0359822,-0.218967,0.107721,0.910343,-0.0644986,0.191016
01324181,1461145924440,-9.78664,1.51829,3.14541,0.174519,-0.102603,-0.0731522,0.720822,-0.418077,-0.313121
01324180,1461145924440,-9.315,-1.84908,2.49709,0.412588,0.238288,-0.275201,0.788061,0.43419,0.00476428
01324189,1461145924456,-9.15203,1.60064,-2.82123,0.333579,0.411833,0.674664,0.683883,-0.0590103,0.499069
01324188,1461145924456,-9.92319,-0.117204,-1.28299,0.234794,0.187109,-0.509769,0.675384,-0.115844,0.293539
01324185,1461145924456,-9.83547,-0.564454,1.48411,-0.148333,-0.197793,0.114687,0.912655,-0.0685097,0.188553
01324181,1461145924456,-9.27988,1.55845,2.90155,0.158506,-0.129158,-0.067433,0.721659,-0.419821,-0.313494
01324180,1461145924456,-9.65174,-1.5936,2.38887,0.454732,0.253212,-0.308098,0.787601,0.439255,0.00473761
01324189,1461145924473,-8.92347,2.39228,-2.41388,0.436037,0.50159,0.811614,0.678323,-0.0739074,0.50703
01324188,1461145924473,-10.0527,0.188046,-1.07538,0.264687,0.191889,-0.663541,0.676463,-0.115994,0.299422
01324185,1461145924473,-10.0997,-0.957792,1.36602,-0.257322,-0.161168,0.15291,0.912797,-0.0767295,0.187976
01324181,1461145924473,-8.90714,1.39319,2.6994,0.176973,-0.115945,-0.0191864,0.721004,-0.424602,-0.30925
01324180,1461145924473,-9.93088,-1.33598,2.37064,0.425279,0.2249,-0.297807,0.787176,0.439087,0.00998969
01324189,1461145924489,-8.70882,2.86813,-2.102,0.430952,0.538945,0.951859,0.673381,-0.0779063,0.514536
01324188,1461145924489,-9.70883,-0.304423,-0.823313,0.248356,0.207078,-0.822728,0.67586,-0.106624,0.304309
01324185,1461145924489,-10.0502,-1.28082,1.27744,-0.290011,-0.132121,0.207185,0.91307,-0.0807169,0.186702
