ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491817849046,-9.78349,0.509595,-0.686993,-0.00841259,0.00982768,0.00114449,0.181658,0.310806,0.522061
01324186,1491817849046,-9.44592,0.800863,2.64511,0.00494507,-0.0260447,-0.023966,0.672342,-0.161038,-0.174096
01324185,1491817849046,-9.20802,-2.52728,2.217,0.0192547,-0.0257635,-0.00537488,1.01753,0.156385,-0.0410892
01324184,1491817849046,-9.6939,0.358061,-1.14059,-0.0131572,0.00563152,0.0128968,0.502521,0.343184,0.0996048
01324180,1491817849046,-9.09509,-2.19212,2.7396,0.0360862,0.0162742,0.0312164,0.637464,0.574457,-0.137363
01324187,1491817849050,-9.76371,0.509738,-0.657611,-0.0206275,0.0117326,0.00546822,0.179495,0.317668,0.519056
01324186,1491817849050,-9.44316,0.814639,2.72787,0.00313324,-0.0155672,-0.0222043,0.671846,-0.155904,-0.179492
01324185,1491817849050,-9.17413,-2.49858,2.23467,0.0265774,-0.020478,0.00137867,1.01778,0.163377,-0.0460218
01324184,1491817849050,-9.67407,0.323901,-1.17634,-0.00649762,0.0303922,0.000623299,0.5025,0.352734,0.0970727
01324180,1491817849050,-9.06606,-2.20174,2.76884,0.0042863,0.0371838,0.0311529,0.636017,0.583839,-0.14028
01324187,1491817849066,-9.75465,0.563891,-0.642439,0.0054413,0.000125851,0.00383521,0.181271,0.319347,0.518204
01324186,1491817849066,-9.41627,0.795028,2.71382,0.0136088,-0.0208562,-0.0204197,0.674191,-0.157105,-0.180381
01324185,1491817849066,-9.18372,-2.46476,2.24436,0.0214785,-0.0150181,0.00650948,1.01884,0.162695,-0.0462516
01324184,1491817849066,-9.70843,0.353081,-1.16006,-0.0164876,0.0137776,0.00237947,0.502782,0.353304,0.0970802
01324180,1491817849066,-9.08319,-2.19244,2.78322,0.00959327,0.0210896,0.0477836,0.636287,0.584426,-0.141632
01324187,1491817849082,-9.72097,0.581665,-0.661362,0.0142588,0.00455753,0.0127016,0.182078,0.315494,0.519849
01324186,1491817849082,-9.40407,0.772651,2.685,0.00294118,-0.0177855,-0.00990861,0.674979,-0.160602,-0.176153
01324185,1491817849082,-9.18853,-2.45991,2.24452,0.0283266,-0.0160077,0.00225697,1.0194,0.156967,-0.041859
01324184,1491817849082,-9.75282,0.416465,-1.13476,-0.0146423,0.021663,0.00414893,0.505487,0.347626,0.096012
01324180,1491817849082,-9.09495,-2.21669,2.78056,0.0130356,0.033601,0.0364608,0.640282,0.576164,-0.138322
01324187,1491817849098,-9.7401,0.566576,-0.64712,0.0213162,0.0079348,0.0092435,0.181538,0.315489,0.518219
01324186,1491817849098,-9.42588,0.758301,2.69951,0.0100416,-0.0051241,-0.0186562,0.675664,-0.160931,-0.175352
01324185,1491817849098,-9.2368,-2.48367,2.26139,0.0184905,-0.0131194,0.018419,1.01804,0.157522,-0.0425171
01324184,1491817849098,-9.768,0.477567,-1.09218,0.015304,0.0105505,0.0147753,0.504387,0.347378,0.0949373
01324180,1491817849098,-9.14336,-2.2248,2.80904,0.0185128,0.0196271,0.0346481,0.638933,0.576188,-0.138302
01324187,1491817849114,-9.7229,0.554547,-0.651905,0.0197636,0.0202839,0.0163144,0.181533,0.315216,0.519858
01324186,1491817849114,-9.41618,0.772993,2.70434,0.00650197,-0.0211492,-0.0134131,0.674432,-0.159425,-0.175828
01324185,1491817849114,-9.26087,-2.4859,2.29399,0.0147522,-0.0131421,0.0133257,1.01694,0.158052,-0.0444908
01324184,1491817849114,-9.73387,0.467973,-1.07231,0.0107578,0.00353409,0.0165146,0.503819,0.346232,0.0954621
01324180,1491817849114,-9.17237,-2.22757,2.81116,0.0114619,0.0231098,0.0346337,0.639766,0.574425,-0.138757
01324187,1491817849130,-9.77422,0.544125,-0.68172,-0.00663163,0.0117427,0.0126072,0.180043,0.317508,0.517958
01324186,1491817849130,-9.41112,0.758832,2.72407,0.0136522,-0.0154573,-0.023934,0.673494,-0.156978,-0.179003
01324185,1491817849130,-9.25609,-2.50279,2.29396,-0.0115518,-0.0181567,0.0150871,1.01775,0.160833,-0.0472817
01324184,1491817849130,-9.72389,0.441108,-1.08391,0.0171908,0.00894209,0.00427283,0.501116,0.351775,0.0958528
01324180,1491817849130,-9.16247,-2.24685,2.8184,-0.00257954,0.0310845,0.0275606,0.63839,0.577675,-0.141391
01324187,1491817849146,-9.76444,0.539367,-0.686519,-0.00980203,0.0318218,0.0108951,0.180995,0.3185,0.518894
01324186,1491817849146,-9.41608,0.783373,2.73834,0.00489188,-0.0190774,-0.0222102,0.672258,-0.156206,-0.179508
01324185,1491817849146,-9.21748,-2.51745,2.324,-0.000771583,-0.0164474,0.0201585,1.01598,0.159725,-0.04595
01324184,1491817849146,-9.6918,0.407002,-1.16099,-0.00752422,0.0336902,0.0146378,0.502616,0.350572,0.0967637
01324180,1491817849146,-9.12816,-2.28027,2.82097,-0.000836413,0.0301728,0.0293076,0.63783,0.578696,-0.139731
01324187,1491817849162,-9.74917,0.505104,-0.674511,-0.00921492,0.0142715,0.00642603,0.181806,0.316215,0.520258
01324186,1491817849162,-9.38189,0.783588,2.74366,-0.00221816,-0.0176188,-0.0152103,0.672918,-0.159079,-0.176621
01324185,1491817849162,-9.18381,-2.54175,2.30825,0.00575156,-0.00517304,0.00816586,1.01626,0.156925,-0.044083
01324184,1491817849162,-9.69418,0.402093,-1.16822,0.00318432,0.0232348,0.000692195,0.504119,0.348812,0.0961797
01324180,1491817849162,-9.13812,-2.2661,2.84029,0.00632608,0.0232878,0.0240355,0.639357,0.574872,-0.13915
01324187,1491817849177,-9.70149,0.586833,-0.656244,-0.0223263,0.0145192,0.0160168,0.182351,0.315631,0.519708
01324186,1491817849177,-9.37733,0.802157,2.69962,0.00666778,-0.0163807,-0.0239683,0.675683,-0.158838,-0.176909
01324185,1491817849177,-9.22703,-2.47886,2.32158,0.0129902,-0.0113623,0.0133085,1.01789,0.157464,-0.0455402
01324184,1491817849177,-9.70405,0.406946,-1.12941,-0.0029932,0.0320368,0.00591092,0.504944,0.348504,0.0960322
01324180,1491817849177,-9.17223,-2.25463,2.85935,0.0115695,0.0268801,0.0205877,0.640159,0.574848,-0.137531
01324187,1491817849193,-9.72597,0.598738,-0.646677,-0.0151661,0.0240114,0.0125852,0.180851,0.314084,0.519737
01324186,1491817849193,-9.40615,0.759233,2.74363,-0.00142302,-0.00540594,-0.0125506,0.674584,-0.158218,-0.177285
01324185,1491817849193,-9.23656,-2.44028,2.32402,0.00953432,-0.011312,0.0150143,1.01707,0.157467,-0.0454059
01324184,1491817849193,-9.74852,0.485006,-1.11656,0.00299069,0.0160699,0.00948192,0.504238,0.347642,0.0972382
01324180,1491817849193,-9.16791,-2.206,2.83066,-0.005932,0.0250427,0.0222335,0.641239,0.575421,-0.138895
01324187,1491817849210,-9.73599,0.593848,-0.68329,0.00147771,0.0256335,0.0127009,0.18072,0.316218,0.518637
01324186,1491817849210,-9.34482,0.73837,2.78369,0.00129176,-0.0175732,-0.0160888,0.673767,-0.157856,-0.179314
01324185,1491817849210,-9.20768,-2.45491,2.31323,0.00546009,-0.0272494,0.00235801,1.01652,0.159112,-0.0483126
01324184,1491817849210,-9.76818,0.492257,-1.06324,0.00104733,0.0106794,0.0182349,0.503287,0.349389,0.0978171
01324180,1491817849210,-9.15851,-2.18909,2.84051,-0.00571594,0.0200462,0.00901479,0.640017,0.576618,-0.140349
01324187,1491817849227,-9.76505,0.578699,-0.68617,-0.0114736,0.0360862,0.00386005,0.179354,0.316538,0.520292
01324186,1491817849227,-9.394,0.744137,2.71472,0.0116843,-0.00358752,-0.0125025,0.67322,-0.156679,-0.178989
01324185,1491817849227,-9.21726,-2.43559,2.3183,-0.0106727,-0.0254014,-0.00443793,1.01406,0.15882,-0.0488273
01324184,1491817849227,-9.71452,0.480319,-1.05295,0.00724592,0.0036416,0.0130082,0.502728,0.347978,0.0964472
01324180,1491817849227,-9.1628,-2.23516,2.85472,-0.0125156,0.00599187,0.00886292,0.639485,0.576045,-0.140488
01324187,1491817849243,-9.76014,0.549465,-0.730135,-0.0254236,0.0396071,-0.00238442,0.180163,0.31268,0.521391
01324186,1491817849243,-9.41106,0.766545,2.74592,0.00115937,-0.00724432,-0.00990325,0.673623,-0.157172,-0.177235
01324185,1491817849243,-9.19548,-2.42126,2.33177,-0.00177113,-0.016652,-0.00195761,1.01366,0.156435,-0.0474879
01324184,1491817849243,-9.70921,0.446065,-1.13506,-0.00418312,0.0229741,0.0216756,0.503797,0.347172,0.101014
01324180,1491817849243,-9.13434,-2.19384,2.86006,-0.00542733,0.00347416,0.00449818,0.640019,0.574992,-0.136846
01324187,1491817849260,-9.76428,0.524651,-0.693943,-0.0411392,0.0414892,-0.00159862,0.182483,0.314353,0.520804
