ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491819585170,-9.72721,-0.682222,-0.803122,0.00597631,0.00206762,0.00262162,0.870337,0.38617,-0.0689939
01324186,1491819585170,-9.00495,-0.070509,3.93317,-0.00140101,0.00670746,-0.00841296,0.794054,-0.303625,-0.137904
01324185,1491819585170,-9.69636,-0.833759,1.90432,0.0256123,0.0120324,0.000114781,0.802939,0.261368,0.137981
01324184,1491819585170,-9.6992,0.0575501,-1.33377,-0.00856919,0.0128536,0.0100643,0.84619,0.296921,-0.0860232
01324180,1491819585170,-8.87638,-3.4945,2.76814,-0.0164596,0.0144216,0.0326197,0.577018,0.575706,-0.221604
01324187,1491819585177,-9.74679,-0.677579,-0.803291,-0.00954164,0.0162044,0.00434016,0.869919,0.385761,-0.0670616
01324186,1491819585177,-9.03883,-0.0445327,4.02505,-0.00932013,0.00128472,-0.00492272,0.794075,-0.30181,-0.140154
01324185,1491819585177,-9.65293,-0.829211,1.90727,0.0172585,-0.00187238,0.0104088,0.803485,0.261647,0.137713
01324184,1491819585177,-9.70154,0.0428592,-1.32376,-0.0156339,0.0199272,0.0135257,0.845901,0.295348,-0.0868612
01324180,1491819585177,-8.84795,-3.45074,2.77107,-0.0160892,-0.00468297,0.0237012,0.57676,0.575135,-0.222423
01324187,1491819585193,-9.73223,-0.677341,-0.810425,-0.0123402,0.00580507,0.00780086,0.869626,0.381204,-0.0622239
01324186,1491819585193,-9.00455,-0.0812994,4.00156,-0.018032,-0.0287684,-0.0014813,0.79264,-0.306325,-0.134309
01324185,1491819585193,-9.64332,-0.814863,1.86546,-0.00217067,-0.0105026,0.00878244,0.803908,0.25517,0.140673
01324184,1491819585193,-9.73071,0.037803,-1.33358,-0.0332935,0.0254987,0.00996573,0.846353,0.289182,-0.0807426
01324180,1491819585193,-8.82831,-3.46477,2.74943,-0.0254277,-0.00954747,0.00250075,0.578013,0.570748,-0.220906
