ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491819753707,-9.68298,-0.123133,-1.39558,-0.00151693,-0.025599,0.00425035,0.756412,-0.851939,0.276931
01324186,1491819753707,-9.09042,0.128204,3.68645,-0.0418866,-0.0521685,0.0601032,0.32772,0.206729,-0.154415
01324185,1491819753707,-9.61562,-0.337858,1.94379,-0.0882462,0.0460002,0.0607676,0.153646,-0.106157,-0.329947
01324184,1491819753707,-9.737,0.165075,-1.13148,-0.00356721,-0.0204997,0.00492665,0.400048,-0.586663,0.307321
01324180,1491819753707,-8.85258,-3.42119,2.67739,-0.129828,0.0370621,0.0358774,0.2513,-0.354475,-0.341244
01324187,1491819753710,-9.70217,-0.133316,-1.37886,0.010819,-0.0204914,0.00259376,0.754381,-0.844344,0.27005
01324186,1491819753710,-9.04162,0.118378,3.67258,-0.0401161,-0.0371081,0.0565956,0.325407,0.21094,-0.156551
01324185,1491819753710,-9.61545,-0.357015,2.06045,-0.0866626,0.0600187,0.0564235,0.153222,-0.0990955,-0.332653
01324184,1491819753710,-9.72239,0.165155,-1.12896,0.01081,-0.00487258,0.00669587,0.395166,-0.578689,0.304253
01324180,1491819753710,-8.86178,-3.45505,2.67228,-0.136743,0.0354083,0.0296617,0.24842,-0.346686,-0.347813
01324187,1491819753726,-9.70273,-0.0891206,-1.36631,-0.00489544,-0.0183851,0.0165893,0.754795,-0.842914,0.269762
01324186,1491819753726,-9.10474,0.114551,3.73518,-0.0383897,-0.0220802,0.0548756,0.324854,0.210379,-0.157115
01324185,1491819753726,-9.58892,-0.386035,2.1033,-0.0641579,0.0720449,0.0478116,0.153906,-0.0991009,-0.332919
01324184,1491819753726,-9.70353,0.228898,-1.06918,0.00896675,-0.0118465,0.00497242,0.395844,-0.579725,0.30477
01324180,1491819753726,-8.82263,-3.49337,2.68696,-0.134986,0.0462201,0.0147849,0.246949,-0.347094,-0.34807
