ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491818300823,-9.79362,-0.116261,-0.203689,-0.00624827,0.0110107,0.00141322,0.708562,0.279857,0.181819
01324186,1491818300823,-9.46337,1.01552,2.47186,0.0154254,0.00342409,0.0206421,0.632204,-0.359243,-0.295128
01324185,1491818300823,-9.18507,-2.72219,2.09612,-0.0338621,0.016935,0.0118662,0.774458,-0.0237826,0.0453688
01324184,1491818300823,-9.50752,0.455715,-2.13517,0.00842988,0.0169735,-0.0131976,0.639973,0.281093,0.246343
01324180,1491818300823,-9.00764,-2.3253,3.07374,-0.0194136,0.0100422,-0.00938438,0.677299,0.313719,0.0559655
01324187,1491818300870,-9.78898,-0.0843544,-0.176612,0.00230665,-0.00119448,0.00758809,0.709507,0.276284,0.184561
01324186,1491818300870,-9.45337,0.981719,2.4797,0.014893,0.00682195,-0.000464077,0.631324,-0.362043,-0.288246
01324185,1491818300870,-9.20696,-2.78226,2.09283,-0.0262255,0.00357655,0.00514573,0.774738,-0.0278741,0.0467246
01324184,1491818300870,-9.5465,0.450616,-2.11339,-0.0111869,0.0214553,-0.00276788,0.643223,0.275802,0.247572
01324180,1491818300870,-9.03673,-2.31583,3.059,-0.0318374,0.0105836,0.00549516,0.680029,0.311189,0.0558741
01324187,1491818300886,-9.7886,-0.0967328,-0.157274,-0.00624202,0.011298,0.0199024,0.710064,0.27797,0.181533
01324186,1491818300886,-9.45859,1.00016,2.43066,0.00364833,-0.0133182,-0.00404269,0.632436,-0.36204,-0.289351
01324185,1491818300886,-9.20935,-2.7678,2.08307,-0.0174369,-0.00179119,0.00517072,0.774331,-0.0275697,0.0477765
01324184,1491818300886,-9.56632,0.496994,-2.12414,-0.00780684,0.0142499,0.00426664,0.642392,0.275394,0.247302
01324180,1491818300886,-9.01702,-2.35956,3.10729,-0.0299492,0.00361111,0.00280556,0.680571,0.310737,0.0565372
01324187,1491818300902,-9.78393,-0.0697213,-0.135102,-0.0115682,0.00596456,0.0119263,0.710197,0.277836,0.182901
01324186,1491818300902,-9.45854,1.0153,2.45973,-0.00529313,0.00652652,0.00473835,0.631324,-0.362897,-0.289376
01324185,1491818300902,-9.18034,-2.74872,2.08649,-0.0156834,0.0131697,0.00506614,0.773104,-0.0292727,0.0477973
01324184,1491818300902,-9.55702,0.553322,-2.12516,-0.0255597,0.0162354,0.00422676,0.642514,0.274651,0.248774
01324180,1491818300902,-9.00267,-2.33988,3.08821,-0.0248892,0.014082,0.00642914,0.681134,0.308978,0.0562213
01324187,1491818300916,-9.7991,-0.0647926,-0.183836,-0.0064118,0.000602004,0.00578226,0.708965,0.277427,0.183194
01324186,1491818300916,-9.41936,1.02096,2.4943,0.0103359,0.00107485,0.0118151,0.631923,-0.359114,-0.294162
01324185,1491818300916,-9.19493,-2.76792,2.05334,-0.0191937,0.0193707,0.00503406,0.775413,-0.0273676,0.0435568
01324184,1491818300916,-9.54754,0.582742,-2.10618,-0.0131484,0.0177798,0.00777043,0.639108,0.276524,0.244244
01324180,1491818300916,-8.99762,-2.33934,3.04234,-0.017844,0.0115272,0.00469656,0.677052,0.311382,0.0568743
01324187,1491818300930,-9.78398,-0.0965445,-0.183961,-0.00630093,0.00759572,0.00668128,0.708692,0.278582,0.18374
01324186,1491818300930,-9.42437,0.995519,2.43604,0.010403,-0.000559303,0.00829758,0.63163,-0.361472,-0.293705
01324185,1491818300930,-9.19736,-2.76792,2.04374,-0.00396007,0.0102814,-0.00853118,0.774456,-0.0262264,0.0438124
01324184,1491818300930,-9.52759,0.524124,-2.11468,-0.00953425,0.0134783,-0.000979211,0.641301,0.275589,0.245424
01324180,1491818300930,-9.012,-2.3591,3.06867,-0.0177879,0.00801302,0.00467063,0.679458,0.313086,0.0576895
01324187,1491818300944,-9.78845,-0.113886,-0.169581,-0.0116776,-0.000308018,0.00133619,0.710055,0.278143,0.185229
01324186,1491818300944,-9.42423,0.991145,2.46047,-0.00561424,0.0181784,0.0223258,0.631749,-0.362144,-0.290445
01324185,1491818300944,-9.18047,-2.76801,2.05029,-0.0142173,0.00516465,-0.00168723,0.775006,-0.0283434,0.0444895
01324184,1491818300944,-9.55637,0.465245,-2.10642,-0.0130503,0.0213608,0.00422879,0.640707,0.27326,0.248225
01324180,1491818300944,-8.98782,-2.3638,3.08339,-0.0171484,0.0273599,0.00128703,0.680963,0.311159,0.0581725
01324187,1491818300958,-9.77889,-0.096574,-0.16203,-0.0116896,-0.0010998,0.00661364,0.708969,0.280007,0.183318
01324186,1491818300958,-9.41681,1.00155,2.49457,0.00146163,0.00780169,0.0188219,0.630638,-0.362565,-0.290315
01324185,1491818300958,-9.19963,-2.73898,2.07751,-0.0121679,0.0157773,0.00504968,0.774599,-0.0287538,0.045285
01324184,1491818300958,-9.56617,0.465201,-2.07969,-0.0166423,0.0161656,0.0024779,0.641815,0.272958,0.247129
01324180,1491818300958,-8.98728,-2.40735,3.09282,-0.0100564,0.0131445,0.0117711,0.679596,0.312643,0.0580867
01324187,1491818300972,-9.77444,-0.0719009,-0.16662,0.00601088,0.0109474,0.00501126,0.709247,0.279412,0.181126
01324186,1491818300972,-9.43662,1.02265,2.45993,0.0224903,0.00979492,0.015393,0.632855,-0.361888,-0.289897
01324185,1491818300972,-9.21413,-2.75814,2.08803,-0.0071065,0.0191966,-7.70038e-05,0.774595,-0.0277804,0.0442221
01324184,1491818300972,-9.52727,0.489863,-2.13594,-0.0130969,0.0160966,0.00249196,0.640993,0.272992,0.246056
01324180,1491818300972,-9.02081,-2.42192,3.06341,-0.000698163,0.0234949,0.0224565,0.679593,0.312788,0.0583617
01324187,1491818300985,-9.77908,-0.0842826,-0.16192,0.0138555,0.00910619,0.00329526,0.708422,0.279439,0.182918
01324186,1491818300985,-9.44392,1.0302,2.47437,0.0183561,0.00853083,0.00130902,0.629542,-0.361202,-0.290936
01324185,1491818300985,-9.24791,-2.74831,2.07239,-0.00261283,0.0172116,-0.0179214,0.774599,-0.0300391,0.0449025
01324184,1491818300985,-9.53234,0.526524,-2.17564,-0.00967765,0.0141298,0.0112625,0.641581,0.276437,0.246247
01324180,1491818300985,-9.04478,-2.43663,3.05826,-0.0177654,0.00266741,0.00901729,0.67933,0.3128,0.0570054
01324187,1491818300999,-9.7769,-0.0768082,-0.176414,0.0044334,0.021269,-0.00552551,0.708968,0.278856,0.182776
01324186,1491818300999,-9.45866,1.03719,2.46191,0.0033783,0.00995777,0.00829299,0.631192,-0.36286,-0.290743
01324185,1491818300999,-9.24304,-2.72668,2.06468,-0.0274913,0.0228827,-0.00347403,0.774054,-0.0300312,0.0452993
01324184,1491818300999,-9.53484,0.528964,-2.15622,-0.00421926,0.0177096,0.00427946,0.642123,0.275275,0.245817
01324180,1491818300999,-9.05406,-2.46817,3.06283,-0.0176883,-0.000788051,0.00635044,0.679608,0.311769,0.0577967
01324187,1491818301016,-9.79435,-0.0671061,-0.200822,0.00262063,0.0179793,0.0050212,0.709507,0.276428,0.184698
01324186,1491818301016,-9.42923,1.00802,2.45533,0.00332305,0.00982253,0.0118009,0.630087,-0.362539,-0.290857
01324185,1491818301016,-9.25755,-2.74344,2.06547,-0.00711044,0.0156712,-4.4983e-05,0.775007,-0.0293371,0.0444992
01324184,1491818301016,-9.53737,0.528505,-2.13442,-0.00442316,0.0071415,0.00609529,0.641413,0.275042,0.248984
01324180,1491818301016,-9.05383,-2.48009,3.04826,-0.00897478,0.00818696,-0.00232599,0.680175,0.308534,0.0600359
01324187,1491818301032,-9.79872,-0.0942592,-0.191391,-0.00109442,0.00482406,-0.000333043,0.709918,0.276417,0.184144
01324186,1491818301032,-9.44397,1.02001,2.45012,0.0156253,0.0171082,0.00658388,0.632026,-0.361723,-0.289883
01324185,1491818301032,-9.24786,-2.73867,2.082,-0.0106298,0.0165852,-4.92746e-05,0.775553,-0.0290585,0.0442312
01324184,1491818301032,-9.55682,0.523507,-2.12957,-0.0147493,0.0337157,0.00427559,0.642117,0.276182,0.248728
01324180,1491818301032,-9.04459,-2.45111,3.05818,-0.0159806,0.0153478,-0.0111065,0.680439,0.30941,0.0592334
01324187,1491818301049,-9.77436,-0.0865853,-0.181337,0.000656626,0.00491374,0.00671411,0.711017,0.278688,0.183569
01324186,1491818301049,-9.48308,1.03953,2.46156,0.0193734,0.0141658,-0.00834237,0.632851,-0.362622,-0.289926
01324185,1491818301049,-9.22386,-2.76773,2.06185,-0.0124548,0.0157097,-0.0017472,0.774735,-0.0284699,0.0452818
01324184,1491818301049,-9.55158,0.484375,-2.16288,-0.00245418,0.0194951,0.00257097,0.641712,0.276776,0.248201
01324180,1491818301049,-9.00603,-2.43605,3.04656,0.00517904,0.000418655,-0.00580734,0.680432,0.310438,0.0581658
01324187,1491818301066,-9.79891,-0.0770839,-0.183946,-0.000904582,0.0161715,-0.000289191,0.707196,0.280738,0.181834
01324186,1491818301066,-9.466,1.02964,2.44971,0.0113361,0.0137365,0.00217378,0.632021,-0.361747,-0.288925
01324185,1491818301066,-9.20959,-2.82082,2.0351,-0.00745782,0.0226433,-0.00860274,0.775009,-0.0273191,0.0460598
