ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491819133843,-9.76743,-0.335652,-0.622815,-0.00139663,0.00059851,-0.00758931,0.841525,0.210439,-0.102391
01324186,1491819133843,-8.89212,0.394926,4.05292,-0.00209386,-0.001596,-0.00533221,0.838036,-0.175624,-0.121626
01324185,1491819133843,-9.60481,-0.215547,2.11375,0.0673195,-0.0170702,-0.0112135,0.836073,0.233517,-0.0276678
01324184,1491819133843,-9.70989,0.462333,-1.2932,-0.0158299,0.00964493,0.00159234,0.8665,0.121101,-0.113617
01324180,1491819133843,-8.93833,-3.21389,2.61476,0.0460548,0.0186617,-0.0218226,0.631562,0.472873,-0.279662
01324187,1491819133861,-9.76548,-0.310979,-0.634725,-0.00306116,0.00598533,0.000343653,0.843037,0.211139,-0.102004
01324186,1491819133861,-8.90681,0.384735,4.03091,0.00146102,0.00915722,-0.0105791,0.837079,-0.173766,-0.119513
01324185,1491819133861,-9.54679,-0.109976,2.05431,0.0444554,-0.00968977,-0.00949235,0.83762,0.234111,-0.0284265
01324184,1491819133861,-9.69531,0.462418,-1.2785,-0.0053606,0.00231724,0.0103798,0.867897,0.121372,-0.11498
01324180,1491819133861,-8.90299,-3.13352,2.58655,0.0324278,0.00134325,-0.0343262,0.630751,0.474478,-0.280959
01324187,1491819133877,-9.7651,-0.316038,-0.603166,-0.00144759,-0.00294435,-0.0102425,0.842475,0.208293,-0.098954
01324186,1491819133877,-8.93094,0.410695,4.12047,0.0135393,0.00979263,-0.00173351,0.839221,-0.179129,-0.11622
01324185,1491819133877,-9.54453,-0.143724,2.02544,0.00206973,0.00565209,-0.0137958,0.838711,0.23122,-0.0252761
01324184,1491819133877,-9.70266,0.479493,-1.31784,0.000176353,0.0129226,0.0033905,0.867827,0.115708,-0.113452
01324180,1491819133877,-8.86012,-3.07982,2.5776,0.00409588,0.00962313,-0.0151026,0.632273,0.4681,-0.277757
01324187,1491819133893,-9.76552,-0.296316,-0.615146,-0.00678469,-0.00797512,-0.000609895,0.842471,0.207441,-0.0975736
01324186,1491819133893,-8.92152,0.404291,4.04024,0.00467338,-0.00558166,0.00876662,0.839074,-0.179464,-0.114336
01324185,1491819133893,-9.55202,-0.225547,2.01447,-0.0226397,-0.00382733,-0.0162559,0.83898,0.230924,-0.0260557
01324184,1491819133893,-9.70042,0.50153,-1.30851,-0.00333944,0.0199503,0.00687482,0.867266,0.115709,-0.112363
01324180,1491819133893,-8.86401,-3.15233,2.58199,-0.00616028,-0.00254825,-0.0223028,0.631999,0.468679,-0.277474
01324187,1491819133909,-9.75038,-0.32076,-0.600619,0.00213692,0.00233122,-0.00580363,0.841372,0.208611,-0.0972884
01324186,1491819133909,-8.89438,0.370793,4.06049,-0.00402815,0.0130111,0.00346897,0.837161,-0.180255,-0.115975
01324185,1491819133909,-9.55705,-0.31698,2.04232,-0.0156469,-0.00215855,-0.0179725,0.837361,0.231221,-0.0252715
01324184,1491819133909,-9.69546,0.486881,-1.29358,-0.0014944,0.0165621,-0.0018648,0.866985,0.115424,-0.11223
01324180,1491819133909,-8.8731,-3.19588,2.58167,-0.0150089,-0.0117685,-0.00133265,0.632011,0.466795,-0.275367
01324187,1491819133924,-9.76993,-0.335654,-0.630134,-0.00317955,-0.000897898,0.00648013,0.839734,0.213229,-0.0989389
01324186,1491819133924,-8.91608,0.361873,4.10419,0.00300798,-0.00539357,0.0034804,0.836381,-0.176076,-0.119597
01324185,1491819133924,-9.56431,-0.360227,2.0916,0.00334423,-0.00507811,-0.0264771,0.836546,0.234161,-0.0258181
01324184,1491819133924,-9.68563,0.472257,-1.28107,0.0143391,0.00921217,0.00431114,0.866207,0.12065,-0.111724
01324180,1491819133924,-8.90206,-3.19606,2.56688,0.0165619,-0.0151204,-0.00290829,0.630646,0.470427,-0.277017
01324187,1491819133940,-9.77972,-0.333332,-0.630219,0.0116939,-0.00107728,0.00305758,0.840566,0.21435,-0.101158
01324186,1491819133940,-8.93337,0.368422,4.06976,0.00133964,0.0089105,-0.00353946,0.837602,-0.176439,-0.117726
01324185,1491819133940,-9.59056,-0.282988,2.1259,0.0244279,0.00440283,-0.0265569,0.836947,0.234833,-0.0273891
01324184,1491819133940,-9.71492,0.481883,-1.28873,0.0177951,0.0107642,0.0139453,0.867029,0.120043,-0.1112
01324180,1491819133940,-8.88268,-3.18583,2.53329,0.0216523,0.000824053,-0.00979933,0.631695,0.472433,-0.278735
01324187,1491819133956,-9.75092,-0.303421,-0.629638,0.00219113,0.0058478,-0.00490922,0.842341,0.212188,-0.0981458
01324186,1491819133956,-8.94296,0.349213,4.08205,0.00120745,0.0139287,0.00350161,0.838807,-0.179279,-0.115681
01324185,1491819133956,-9.61206,-0.229863,2.15054,0.0216245,0.00439204,-0.029952,0.838437,0.234865,-0.025701
01324184,1491819133956,-9.71487,0.481876,-1.31065,0.0145732,0.0138692,-0.0105566,0.867798,0.115647,-0.108573
01324180,1491819133956,-8.91648,-3.19105,2.53293,0.0259633,-0.00648643,0.0060076,0.631846,0.470701,-0.278235
01324187,1491819133971,-9.76986,-0.316161,-0.591064,0.00219629,0.00582693,-0.00578359,0.844267,0.212152,-0.0989991
01324186,1491819133971,-8.94519,0.313009,4.0949,0.00127478,0.0178555,-0.00699096,0.839125,-0.178484,-0.114703
01324185,1491819133971,-9.62885,-0.196049,2.15333,0.0139589,0.00188166,-0.0239712,0.838434,0.237677,-0.0255978
01324184,1491819133971,-9.69561,0.511343,-1.31354,-0.0034346,0.0128922,0.00776213,0.867392,0.116528,-0.10869
01324180,1491819133971,-8.95033,-3.19391,2.53742,0.0147571,-0.00259609,-0.0151286,0.630652,0.470434,-0.278223
01324187,1491819133987,-9.75043,-0.323175,-0.610365,0.000438561,0.00613107,0.0118059,0.841793,0.210748,-0.0992315
01324186,1491819133987,-8.92614,0.336001,4.02663,-0.000756544,0.0171955,0.0105839,0.837895,-0.178448,-0.115097
01324185,1491819133987,-9.60473,-0.191394,2.14255,0.00336714,0.0116688,-0.024878,0.838434,0.236119,-0.0262341
01324184,1491819133987,-9.71032,0.521053,-1.30407,-0.0070372,0.00421877,0.00339604,0.868627,0.115623,-0.10831
01324180,1491819133987,-8.94093,-3.18198,2.56175,0.00751832,0.00590586,-0.00368512,0.631574,0.470698,-0.276891
01324187,1491819134003,-9.73567,-0.325471,-0.600504,-0.0117763,0.00776891,-0.000596915,0.840974,0.212767,-0.100331
01324186,1491819134003,-8.96025,0.35102,4.05525,-0.000814346,0.0259272,0.0123611,0.836671,-0.178101,-0.116292
01324185,1491819134003,-9.5806,-0.179516,2.13169,-0.00212692,-0.000451456,-0.0094917,0.835462,0.233715,-0.0271127
01324184,1491819134003,-9.67591,0.479645,-1.2982,-0.0158218,0.0061921,-0.00277287,0.866291,0.116288,-0.110446
01324180,1491819134003,-8.91685,-3.172,2.5572,0.00420728,0.0116635,-0.0291638,0.629313,0.471907,-0.279917
01324187,1491819134019,-9.76059,-0.301154,-0.617568,-0.00839353,0.000885149,0.00645263,0.841519,0.211904,-0.0992333
01324186,1491819134019,-8.95051,0.350958,4.0505,-0.00588297,0.0156755,0.00353514,0.83668,-0.17749,-0.117487
01324185,1491819134019,-9.56136,-0.196492,2.12861,0.00208891,-0.00229374,-0.0137407,0.835465,0.232887,-0.0263232
01324184,1491819134019,-9.70034,0.491743,-1.30832,-0.00341599,0.002531,-0.00359744,0.866849,0.116281,-0.110994
01324180,1491819134019,-8.90268,-3.13779,2.53336,0.00778063,0.00102688,-0.0221773,0.630779,0.471592,-0.27981
01324187,1491819134036,-9.75015,-0.33551,-0.60075,-0.00571108,0.00423021,-0.00056651,0.841652,0.210183,-0.0982635
01324186,1491819134036,-8.92126,0.375808,4.07497,-0.00147494,0.00163773,0.00352934,0.837627,-0.178834,-0.116871
01324185,1491819134036,-9.58089,-0.244571,2.07656,-0.00833566,0.00488058,-0.0112183,0.836817,0.232894,-0.0259371
01324184,1491819134036,-9.71488,0.481876,-1.30822,-0.0180315,-0.00824062,0.0191091,0.867387,0.116092,-0.108562
01324180,1491819134036,-8.9,-3.16205,2.54775,0.0216633,0.00173425,-0.0115414,0.631049,0.471008,-0.279156
01324187,1491819134053,-9.75023,-0.330593,-0.600707,0.00553392,-0.0037517,-0.0022831,0.842753,0.211028,-0.0984212
01324186,1491819134053,-8.92643,0.369593,4.00672,-0.00595994,0.013717,0.0088036,0.837898,-0.178999,-0.116338
01324185,1491819134053,-9.56162,-0.244701,2.06603,-0.0155216,-0.000364845,-0.0145828,0.837893,0.233426,-0.027509
01324184,1491819134053,-9.69287,0.467318,-1.29806,-0.0246962,0.014973,0.00505506,0.866565,0.116698,-0.109086
01324180,1491819134053,-8.90025,-3.15265,2.57197,0.00406556,0.0113763,-0.0150994,0.630516,0.471162,-0.279279
01324187,1491819134069,-9.77022,-0.311113,-0.620192,-0.00655872,0.00605496,0.0029642,0.842755,0.210153,-0.0997929
01324186,1491819134069,-8.93597,0.375469,4.06015,-0.00157157,0.0049614,0.00881266,0.838715,-0.17833,-0.114693
01324185,1491819134069,-9.57617,-0.275904,2.07183,-0.00180774,0.0223147,-0.0232439,0.836812,0.23597,-0.0267482
01324184,1491819134069,-9.69037,0.467322,-1.32727,-0.0122602,0.0130758,0.00334627,0.867646,0.114066,-0.109142
01324180,1491819134069,-8.90286,-3.14815,2.60097,-0.0133394,-0.00292814,-0.00475831,0.631579,0.471872,-0.280755
01324187,1491819134086,-9.77512,-0.306287,-0.615339,-0.013701,-0.00251543,0.00905155,0.841933,0.212181,-0.0997911
01324186,1491819134086,-8.9851,0.41622,4.04196,-0.0183718,0.0115296,0.0193233,0.83844,-0.179037,-0.11526
01324185,1491819134086,-9.61963,-0.306913,2.09342,-0.0184301,0.0207199,-0.0215044,0.837082,0.235969,-0.0267491
01324184,1491819134086,-9.70985,0.467215,-1.32983,-0.0103929,0.00625924,-0.0106286,0.86686,0.116729,-0.11207
01324180,1491819134086,-8.87812,-3.18887,2.59857,-0.0285394,0.0180132,-0.00296504,0.632115,0.471284,-0.280238
01324187,1491819134103,-9.75096,-0.300962,-0.629617,-0.00500962,-0.00621489,0.00116322,0.84083,0.210765,-0.0989425
01324186,1491819134103,-8.92162,0.39669,4.02596,-0.00452798,0.0112657,0.0281508,0.837903,-0.178127,-0.116303
01324185,1491819134103,-9.61959,-0.302085,2.10793,-0.0118307,0.0119485,-0.0112502,0.836275,0.233165,-0.0264589
01324184,1491819134103,-9.69268,0.457514,-1.35145,-0.0174643,0.0202388,-0.000182162,0.867681,0.116121,-0.11141
01324180,1491819134103,-8.90183,-3.23036,2.61503,-0.0165269,0.0283905,0.00597014,0.629725,0.470747,-0.279678
01324187,1491819134119,-9.74557,-0.325543,-0.615196,0.00545872,-0.00799788,0.00474243,0.841239,0.211782,-0.097027
01324186,1491819134119,-8.91422,0.384581,4.0262,-0.0131014,0.0257243,0.0158212,0.837622,-0.179145,-0.11607
01324185,1491819134119,-9.59544,-0.302222,2.12145,-0.0119801,0.0127983,-0.0146627,0.835332,0.233188,-0.0252836
01324184,1491819134119,-9.69043,0.469316,-1.32742,-0.025697,0.00972653,0.00423588,0.865094,0.117345,-0.108135
01324180,1491819134119,-8.88233,-3.2497,2.63928,-0.00142791,0.00543409,0.0164454,0.630934,0.470011,-0.280514
01324187,1491819134136,-9.76019,-0.330632,-0.622692,0.00212935,0.0025156,0.00476337,0.841518,0.213209,-0.098139
01324186,1491819134136,-8.97022,0.374966,4.04021,-0.00428507,0.0330345,0.00972167,0.836791,-0.179597,-0.114726
01324185,1491819134136,-9.57378,-0.326421,2.13533,0.00872471,0.0116249,-0.0240374,0.835467,0.235451,-0.0245242
01324184,1491819134136,-9.69544,0.491306,-1.34249,-0.0248943,0.00267185,0.00425622,0.865788,0.117047,-0.108825
01324180,1491819134136,-8.87754,-3.23978,2.62005,-0.00818888,0.00408661,-0.0047049,0.629842,0.472331,-0.280184
01324187,1491819134152,-9.76531,-0.31594,-0.625045,-0.0120215,-0.00719978,-0.0094462,0.842073,0.213909,-0.0995265
01324186,1491819134152,-8.97506,0.370144,4.04264,-0.00439306,0.0133557,0.0193735,0.838972,-0.18068,-0.113975
01324185,1491819134152,-9.58578,-0.297468,2.12099,0.00164224,0.00904381,-0.0248614,0.837088,0.23686,-0.0242828
01324184,1491819134152,-9.69535,0.476629,-1.33246,-0.0142041,0.0112327,0.0103937,0.86788,0.117591,-0.110189
01324180,1491819134152,-8.8873,-3.23014,2.61034,0.000364182,0.00734538,0.0094429,0.630511,0.472616,-0.281797
01324187,1491819134169,-9.77526,-0.306222,-0.629925,-0.0101449,0.000821936,0.00116322,0.842344,0.211457,-0.0995182
01324186,1491819134169,-8.96524,0.357995,4.04048,-0.00749546,0.0195031,-0.00525555,0.84035,-0.180094,-0.115319
01324185,1491819134169,-9.59544,-0.282988,2.09214,0.000547093,0.00656779,-0.00953413,0.837083,0.237387,-0.0261115
01324184,1491819134169,-9.7051,0.471689,-1.31051,-0.0113826,0.00450061,-0.00882742,0.868983,0.116136,-0.111851
01324180,1491819134169,-8.8825,-3.24012,2.64658,0.0145614,0.00954038,-0.0106758,0.630258,0.471177,-0.281017
01324187,1491819134186,-9.76061,-0.310911,-0.634672,-0.00501241,-0.00616656,0.0038068,0.842348,0.210866,-0.101442
01324186,1491819134186,-8.94357,0.384191,4.0112,-0.00250026,0.00482559,0.0123295,0.839257,-0.180065,-0.115579
01324185,1491819134186,-9.60524,-0.331084,2.0882,-0.00463733,0.0154396,-0.00788122,0.838166,0.237549,-0.0249444
01324184,1491819134186,-9.70264,0.466811,-1.30309,-0.0212613,0.00447478,-0.000114334,0.868132,0.114699,-0.111056
01324180,1491819134186,-8.89166,-3.27887,2.6487,0.00760623,0.00420192,-0.00812727,0.628943,0.470051,-0.281423
01324187,1491819134202,-9.75088,-0.305879,-0.62966,-0.0025295,-0.0149386,0.00290793,0.840691,0.210629,-0.0982518
01324186,1491819134202,-8.95066,0.360281,4.03089,-0.00759069,0.0122146,0.00176704,0.837624,-0.178709,-0.116053
01324185,1491819134202,-9.61977,-0.379109,2.12814,0.0105414,0.0186545,-0.0232228,0.836275,0.234582,-0.0258212
01324184,1491819134202,-9.70045,0.498633,-1.30369,-0.010617,0.00691808,0.00342356,0.866906,0.117607,-0.109502
01324180,1491819134202,-8.89175,-3.2741,2.65355,0.00576584,0.00401808,0.000652429,0.628772,0.471029,-0.275905
01324187,1491819134219,-9.7701,-0.316052,-0.615374,0.00120085,-0.00102622,0.00122763,0.840278,0.210348,-0.0982444
01324186,1491819134219,-8.97021,0.384962,4.05472,0.00284962,0.0174822,0.00357673,0.83693,-0.180296,-0.115973
01324185,1491819134219,-9.64894,-0.47281,2.14491,0.0263278,0.00438249,-0.0248415,0.836007,0.234735,-0.0251705
01324184,1491819134219,-9.69568,0.513337,-1.31368,-0.021245,0.00277173,-0.00359524,0.865508,0.117049,-0.108415
01324180,1491819134219,-8.87934,-3.30805,2.68249,0.0177548,0.0215408,0.0025981,0.628385,0.469883,-0.275655
01324187,1491819134236,-9.76498,-0.32586,-0.605684,-0.00480741,0.00597569,-0.000548784,0.840833,0.21148,-0.0996341
01324186,1491819134236,-8.96526,0.385267,4.0694,0.00285121,0.0166041,0.00357423,0.837886,-0.179765,-0.114742
01324185,1491819134236,-9.62501,-0.636541,2.29357,0.0423507,0.00755778,-0.0418915,0.837357,0.234875,-0.0251764
01324184,1491819134236,-9.73924,0.476397,-1.30837,-0.0281765,0.0117647,-0.00888505,0.866913,0.117762,-0.110313
01324180,1491819134236,-8.77901,-3.42609,2.77224,0.0405535,0.0288327,-0.00956639,0.62943,0.471738,-0.276169
01324187,1491819134253,-9.77746,-0.316133,-0.620315,-0.00941187,-0.0080054,-0.00414602,0.843029,0.210584,-0.0993862
01324186,1491819134253,-8.98479,0.405094,4.09329,-0.0128947,0.0209232,0.00352514,0.83842,-0.180973,-0.113439
01324185,1491819134253,-9.524,-0.937855,2.58593,0.0906575,-0.0107995,-0.0656579,0.835733,0.238955,-0.0249496
01324184,1491819134253,-9.7198,0.47651,-1.28877,-0.042777,0.00967046,0.0208055,0.868291,0.116721,-0.110886
01324180,1491819134253,-8.53693,-3.69833,2.99303,0.142294,0.0763705,-0.0069534,0.629039,0.473507,-0.282026
01324187,1491819134269,-9.77034,-0.306175,-0.62501,-0.0120081,-0.00618012,-0.000636457,0.841932,0.212619,-0.0991053
01324186,1491819134269,-9.03871,0.428792,4.0728,-0.0319694,0.0070339,-0.00358065,0.839246,-0.180541,-0.113972
01324185,1491819134269,-9.49123,-1.40017,2.75427,0.191028,-0.0361965,-0.126838,0.836268,0.238629,-0.027293
01324184,1491819134269,-9.73461,0.505788,-1.3016,-0.0391353,-0.0006317,0.00335226,0.868845,0.116564,-0.111029
01324180,1491819134269,-8.42684,-4.04187,3.19038,0.349201,0.117387,-0.00898377,0.628517,0.473237,-0.283498
01324187,1491819134286,-9.76993,-0.316128,-0.598357,-0.0206376,0.000810838,-0.0041887,0.842481,0.210588,-0.0999287
01324186,1491819134286,-8.98514,0.503129,4.14087,-0.0405801,-0.0139393,-0.00804493,0.839387,-0.179256,-0.11311
01324185,1491819134286,-9.54764,-1.79218,2.84321,0.355648,-0.0762863,-0.186275,0.836533,0.241707,-0.0279749
01324184,1491819134286,-9.71522,0.520572,-1.31151,-0.0391818,-0.000699231,0.00685313,0.867742,0.117453,-0.110462
01324180,1491819134286,-8.32209,-4.32196,3.31554,0.624689,0.19005,-0.00155036,0.62933,0.471927,-0.283402
01324187,1491819134303,-9.79458,-0.306583,-0.61069,-0.0258898,0.000997721,0.00370992,0.840829,0.210625,-0.098529
01324186,1491819134303,-8.97563,0.522002,4.11152,-0.0571451,-0.0112973,-0.0107439,0.839265,-0.17847,-0.115381
01324185,1491819134303,-9.59406,-2.14562,3.05749,0.589346,-0.130555,-0.274616,0.833957,0.243472,-0.0312396
01324184,1491819134303,-9.72033,0.554796,-1.32437,-0.0498235,-0.00226446,0.00333605,0.867586,0.116288,-0.109667
01324180,1491819134303,-8.18559,-4.67562,3.5856,0.973386,0.283879,0.00998548,0.628876,0.467213,-0.287912
01324187,1491819134319,-9.77423,-0.343315,-0.581633,-0.0328019,0.00629261,0.00455582,0.841377,0.210909,-0.0979879
01324186,1491819134319,-8.98498,0.449066,4.10739,-0.0525895,-0.00997946,-0.0221568,0.83666,-0.179425,-0.115666
01324185,1491819134319,-9.71104,-2.51574,2.97896,0.826919,-0.218421,-0.374635,0.831778,0.247015,-0.0369978
01324184,1491819134319,-9.71257,0.508332,-1.36971,-0.0745362,0.00518483,-0.00289057,0.86566,0.117498,-0.1099
01324180,1491819134319,-8.33625,-4.75607,3.95344,1.36997,0.339396,0.018171,0.630799,0.464479,-0.293758
01324187,1491819134336,-9.78983,-0.301576,-0.615455,-0.0163517,-0.00439383,-0.000651058,0.840833,0.211336,-0.0996334
01324186,1491819134336,-8.87681,0.363225,4.16832,-0.0558257,-0.0235913,-0.0354072,0.836393,-0.178257,-0.115618
01324185,1491819134336,-9.68783,-2.63654,2.6832,1.05457,-0.264091,-0.498761,0.830936,0.254703,-0.0464478
01324184,1491819134336,-9.70508,0.486349,-1.37654,-0.0904165,0.00467206,-0.0125671,0.866766,0.117181,-0.109916
01324180,1491819134336,-8.56595,-4.44428,4.57884,1.65035,0.342293,0.00426766,0.630067,0.463698,-0.305424
01324187,1491819134353,-9.77777,-0.306223,-0.637245,-0.0276417,0.000856138,-0.00599185,0.842483,0.212606,-0.0996636
01324186,1491819134353,-8.88098,0.197028,4.11174,-0.0594138,-0.0202937,-0.0301461,0.838867,-0.177411,-0.11669
01324185,1491819134353,-9.64654,-2.12693,2.07932,1.23602,-0.276993,-0.568632,0.828473,0.261534,-0.0566656
01324184,1491819134353,-9.69541,0.505965,-1.41096,-0.0611568,-0.00184353,-0.0142113,0.867323,0.117033,-0.110737
01324180,1491819134353,-9.04139,-3.93028,5.4422,1.7664,0.213104,-0.0114954,0.631761,0.460138,-0.316778
01324187,1491819134369,-9.78461,-0.335837,-0.635156,-0.0243759,-0.0130828,-0.00249978,0.841799,0.211162,-0.101435
01324186,1491819134369,-8.83189,0.203396,4.18056,-0.0555763,-0.0230569,-0.050373,0.839685,-0.176738,-0.115181
01324185,1491819134369,-9.73459,-1.41412,1.64388,1.22365,-0.25974,-0.624851,0.826556,0.267142,-0.064659
01324184,1491819134369,-9.68078,0.520705,-1.47447,-0.0745048,-0.0103733,-0.0212344,0.868455,0.117902,-0.113036
01324180,1491819134369,-9.24973,-3.7057,5.8909,1.70641,0.0166187,-0.0210619,0.634798,0.456132,-0.32977
01324187,1491819134386,-9.76547,-0.320748,-0.649399,-0.0298864,-0.0285527,0.00972804,0.842348,0.211732,-0.101171
01324186,1491819134386,-8.88104,0.241576,4.15509,-0.0604102,-0.0239362,-0.0749978,0.840111,-0.17526,-0.116482
01324185,1491819134386,-9.86553,-0.941237,1.83387,1.03043,-0.260172,-0.675643,0.823284,0.276534,-0.0732053
01324184,1491819134386,-9.69041,0.525524,-1.54282,-0.108394,-0.0101418,-0.0108444,0.86679,0.118082,-0.112476
01324180,1491819134386,-9.25051,-3.40705,5.72337,1.47283,-0.191372,-0.0037019,0.635653,0.454873,-0.338385
01324187,1491819134403,-9.77538,-0.306167,-0.642081,-0.0332635,-0.021871,-0.0105132,0.840695,0.211773,-0.0992208
01324186,1491819134403,-8.8376,0.291925,4.11606,-0.044751,-0.032878,-0.0688022,0.838749,-0.17435,-0.11684
01324185,1491819134403,-10.0609,-1.26221,2.30168,0.778958,-0.299592,-0.797531,0.818399,0.28429,-0.0791251
01324184,1491819134403,-9.69025,0.505948,-1.54731,-0.106846,-0.0243384,-0.00557826,0.865677,0.118523,-0.110831
01324180,1491819134403,-9.21434,-3.3422,5.56457,1.17744,-0.337503,0.0637457,0.6373,0.45403,-0.34687
01324187,1491819134419,-9.77484,-0.330827,-0.625282,-0.0404953,-0.0355409,0.00435482,0.839597,0.211784,-0.099893
01324186,1491819134419,-8.76005,0.332205,4.05321,-0.0432471,-0.00340515,-0.058231,0.837126,-0.172802,-0.119204
01324185,1491819134419,-10.2393,-1.6217,2.89533,0.574612,-0.364228,-0.927818,0.812964,0.295938,-0.087295
01324184,1491819134419,-9.70947,0.447147,-1.45863,-0.0980825,-0.0401893,-0.00991606,0.866544,0.121408,-0.111602
01324180,1491819134419,-9.26339,-3.75615,5.85182,0.968623,-0.429751,0.0739955,0.637876,0.451154,-0.348812
01324187,1491819134436,-9.78436,-0.331073,-0.601078,-0.0194629,-0.0342075,-0.00958656,0.841529,0.214619,-0.101724
01324186,1491819134436,-8.80374,0.367853,4.14484,-0.0469501,0.0368168,-0.0529137,0.838086,-0.172251,-0.118784
01324185,1491819134436,-10.071,-2.12791,3.37859,0.526091,-0.444572,-1.07526,0.806309,0.309247,-0.0967793
