ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491824391268,-9.77883,-0.681542,-0.338033,0.000549172,0.017359,0.00364,0.684923,0.0245563,0.440125
01324186,1491824391268,-8.81846,-0.0064097,4.19515,-0.00788059,-0.00697005,0.0265576,0.560014,-0.183715,-0.644639
01324185,1491824391268,-9.68447,-0.372194,2.00207,0.00510987,0.0358087,0.00423606,0.823688,-0.275781,0.0792912
01324184,1491824391268,-9.74617,-0.0773572,-1.28832,-0.017351,0.0196853,0.0144163,0.703997,0.208422,0.444225
01324180,1491824391268,-9.30247,-2.39042,2.35791,-0.00878363,0.0371619,-0.00125313,0.824511,0.109626,0.199267
01324187,1491824391302,-9.80853,-0.662223,-0.352762,0.00929774,0.0172572,0.00106614,0.683832,0.0254401,0.4415
01324186,1491824391302,-8.88164,-0.0204243,4.23349,-0.0216676,0.00403034,0.0124642,0.559183,-0.185277,-0.645923
01324185,1491824391302,-9.67468,-0.326501,2.00846,-0.0162352,0.0359659,-0.000847185,0.82369,-0.276337,0.0798218
01324184,1491824391302,-9.76723,-0.185136,-1.29856,-0.00397266,0.0247653,0.0161649,0.702886,0.208151,0.44504
01324180,1491824391302,-9.29501,-2.40977,2.36996,-0.0366183,0.026576,-0.00326807,0.825027,0.111066,0.200101
01324187,1491824391318,-9.78285,-0.627148,-0.415367,0.000555581,0.0183317,0.00804938,0.685862,0.0215795,0.444354
01324186,1491824391318,-8.92296,-0.0198483,4.26951,-0.0269515,-0.00489754,0.0159625,0.562289,-0.191657,-0.639648
01324185,1491824391318,-9.665,-0.32895,2.0299,-0.0476358,0.0222332,0.00522641,0.825613,-0.279629,0.0853621
01324184,1491824391318,-9.74244,-0.238833,-1.30469,0.00139712,0.0178158,0.0065513,0.706158,0.206157,0.448081
01324180,1491824391318,-9.29502,-2.40482,2.35791,-0.0330588,0.0249104,-0.00677257,0.826798,0.10885,0.200708
01324187,1491824391333,-9.72964,-0.589587,-0.399871,-0.0084435,0.00268157,0.0088003,0.688037,0.0206968,0.445145
01324186,1491824391333,-8.88165,-0.0204723,4.23105,-0.0288583,-0.019424,0.0282394,0.563138,-0.190575,-0.642617
01324185,1491824391333,-9.67469,-0.352955,2.0427,-0.058329,0.0222982,0.00183853,0.827655,-0.280207,0.0848355
01324184,1491824391333,-9.70835,-0.236203,-1.31184,0.019011,0.0156372,0.0171007,0.70754,0.206692,0.448618
01324180,1491824391333,-9.30927,-2.4218,2.35042,-0.0190271,0.0214214,-0.00495096,0.828676,0.108517,0.202299
01324187,1491824391348,-9.75412,-0.592322,-0.414743,0.00130538,0.0105005,0.01066,0.68831,0.0196893,0.444601
01324186,1491824391348,-8.86708,-0.0207095,4.21662,-0.0268901,-0.0136361,0.0141803,0.563955,-0.191073,-0.641005
01324185,1491824391348,-9.68457,-0.42514,2.02931,-0.0637704,-0.000595172,-0.00225742,0.826972,-0.280219,0.0841814
01324184,1491824391348,-9.67955,-0.17977,-1.31762,-0.00651386,0.0214978,0.00216206,0.707117,0.206401,0.449696
01324180,1491824391348,-9.30974,-2.39053,2.36026,-0.0169022,0.0113334,-0.0260998,0.827327,0.108683,0.202728
01324187,1491824391363,-9.74557,-0.518407,-0.421275,-0.0118233,0.00969378,0.00793379,0.685597,0.0228502,0.442169
01324186,1491824391363,-8.90619,-0.00866227,4.21841,-0.0254407,-0.0125019,0.0317844,0.56152,-0.186794,-0.645867
01324185,1491824391363,-9.68479,-0.511806,2.04234,-0.0668868,0.00127555,0.00624022,0.824781,-0.276608,0.0804773
01324184,1491824391363,-9.68972,-0.106442,-1.3824,-0.0129092,0.0092111,0.00393334,0.7048,0.207362,0.446629
01324180,1491824391363,-9.30996,-2.3761,2.36517,-0.0226351,0.0319948,-0.00840487,0.826111,0.110319,0.200206
01324187,1491824391377,-9.78271,-0.62233,-0.393446,-0.00314045,0.00614543,0.00886239,0.683961,0.0205874,0.441658
01324186,1491824391377,-8.90604,-0.0354075,4.21629,-0.0253222,-0.0184281,0.0256221,0.560696,-0.184768,-0.644141
01324185,1491824391377,-9.68493,-0.55996,2.04284,-0.0509658,0.00642171,0.00789155,0.825597,-0.275762,0.080335
01324184,1491824391377,-9.71434,-0.0698779,-1.39299,-0.0200214,0.0144941,0.00916516,0.704506,0.205642,0.446466
01324180,1491824391377,-9.3054,-2.36675,2.3991,-0.0224522,0.0251141,-0.0154838,0.823569,0.109493,0.199956
01324187,1491824391392,-9.76171,-0.602062,-0.458666,-0.00231546,0.00340306,0.000927962,0.68409,0.0194604,0.443708
01324186,1491824391392,-8.86676,-0.0392612,4.26072,-0.0163917,-0.00824302,0.0124657,0.560269,-0.185393,-0.64225
01324185,1491824391392,-9.65588,-0.540854,2.07052,-0.0349927,0.018634,0.0111906,0.824244,-0.278686,0.0828628
01324184,1491824391392,-9.70442,-0.108953,-1.33374,0.0048999,0.0177107,0.00922496,0.704754,0.203463,0.447236
01324180,1491824391392,-9.26697,-2.35695,2.42853,-0.0294986,0.0195717,-0.00326545,0.824674,0.107446,0.198679
01324187,1491824391406,-9.74185,-0.720272,-0.357432,0.002047,0.00252494,0.00534107,0.684769,0.0214644,0.445734
01324186,1491824391406,-8.82767,-0.0688258,4.23233,-0.0496295,-0.0120344,0.0149626,0.56026,-0.187282,-0.642871
01324185,1491824391406,-9.63401,-0.492822,2.08365,-0.0379346,0.00470869,0.0248844,0.826153,-0.277956,0.0840309
01324184,1491824391406,-9.72348,-0.175108,-1.29362,0.0103232,0.0246975,0.00921218,0.705064,0.206064,0.446199
01324180,1491824391406,-9.24269,-2.3664,2.43597,0.000267078,0.0124837,0.00565678,0.82601,0.107707,0.199748
01324187,1491824391421,-9.81202,-0.590991,-0.347294,-0.0137977,-0.00436422,0.00172552,0.687902,0.0214145,0.445416
01324186,1491824391421,-8.82812,-0.0284309,4.18797,-0.0355896,-0.00477855,0.0106294,0.561365,-0.187871,-0.643723
01324185,1491824391421,-9.62419,-0.435093,2.08748,-0.0283674,0.00616112,0.00274948,0.826698,-0.279519,0.0837816
01324184,1491824391421,-9.70887,-0.179916,-1.27396,-0.0136234,0.0138079,-0.0048409,0.70629,0.205436,0.447797
01324180,1491824391421,-9.24285,-2.35682,2.44327,0.00379527,0.0107416,0.00566928,0.828163,0.107081,0.200788
01324187,1491824391435,-9.8375,-0.561531,-0.415361,-0.00485754,0.00785993,0.00447811,0.689813,0.0213701,0.44348
01324186,1491824391435,-8.87693,0.0186651,4.24528,-0.035371,-0.0130991,-0.00167498,0.56041,-0.187792,-0.646033
01324185,1491824391435,-9.58805,-0.435337,2.06653,-0.0366456,-0.00948697,0.0147573,0.82642,-0.277855,0.0819281
01324184,1491824391435,-9.73822,-0.140954,-1.35525,-0.0319918,0.0317535,-0.0119065,0.707019,0.209166,0.447856
01324180,1491824391435,-9.19979,-2.32257,2.44871,0.0159687,0.0178279,0.0040364,0.827334,0.108691,0.201374
01324187,1491824391452,-9.78394,-0.55586,-0.414734,-0.015655,-0.010448,0.00168357,0.687909,0.0211037,0.442281
01324186,1491824391452,-8.94495,-0.0897062,4.17742,-0.0267231,-0.000876575,0.00190313,0.559312,-0.187459,-0.646693
01324185,1491824391452,-9.61712,-0.507354,2.10491,-0.0403483,-0.0145958,0.0301099,0.825326,-0.279457,0.0795839
01324184,1491824391452,-9.6871,-0.135783,-1.36234,-0.0356889,0.0307234,-0.00142552,0.705341,0.206905,0.447561
01324180,1491824391452,-9.21654,-2.32236,2.40988,0.0143385,0.0126833,-0.00128096,0.826935,0.108261,0.201507
01324187,1491824391469,-9.74391,-0.626567,-0.422236,6.72154e-05,-0.0113633,0.00792557,0.684637,0.0180118,0.442071
01324186,1491824391469,-8.95283,-0.0199245,4.14724,-0.0293745,-7.61607e-05,0.0036581,0.560269,-0.186673,-0.643803
01324185,1491824391469,-9.66537,-0.497439,2.08746,-0.0407987,-0.0340744,0.0200403,0.823694,-0.278018,0.0807573
01324184,1491824391469,-9.67975,-0.140639,-1.36707,-0.0277178,0.0349123,0.00471221,0.704498,0.205484,0.447544
01324180,1491824391469,-9.29203,-2.31943,2.50584,0.0266731,0.000203573,0.0101561,0.82546,0.10785,0.201791
01324187,1491824391485,-9.67616,-0.591204,-0.418757,-0.0015328,-0.00268535,0.00528586,0.683955,0.0188872,0.443167
01324186,1491824391485,-8.98416,0.0388601,4.30214,-0.018264,-0.0208419,0.0212723,0.559165,-0.187218,-0.644497
01324185,1491824391485,-9.63629,-0.427825,2.05396,-0.0222832,-0.0447936,0.0217819,0.824781,-0.279748,0.0791947
01324184,1491824391485,-9.68939,-0.167588,-1.31304,-0.000300278,0.0300709,0.0109191,0.702967,0.20521,0.449442
01324180,1491824391485,-9.34663,-2.23367,2.55411,0.0337535,-0.00866393,0.0163261,0.823975,0.107868,0.203168
01324187,1491824391502,-9.79197,-0.622937,-0.342475,-0.00146841,0.00637734,0.0195152,0.686975,0.0202931,0.445166
01324186,1491824391502,-8.99771,-0.175537,4.26551,-0.0319217,-0.0431822,0.00536424,0.559163,-0.188079,-0.645214
01324185,1491824391502,-9.61496,-0.55077,2.03732,-0.00215145,-0.0395335,0.0387327,0.826142,-0.279749,0.07919
01324184,1491824391502,-9.77262,-0.141095,-1.21664,0.00853238,0.0160737,0.00224131,0.706441,0.207152,0.448636
01324180,1491824391502,-9.3128,-2.19353,2.44832,0.0106691,-0.00389276,0.0381945,0.826528,0.108411,0.202057
01324187,1491824391518,-9.77682,-0.657147,-0.342621,-0.00494069,0.00797372,0.00892664,0.689432,0.0221002,0.443757
01324186,1491824391518,-8.86155,-0.157278,4.18419,-0.0352788,-0.0341314,-0.00346649,0.559734,-0.187424,-0.64847
01324185,1491824391518,-9.6607,-0.574487,2.1196,0.0096177,-0.0186534,0.0258394,0.825875,-0.282276,0.0802659
01324184,1491824391518,-9.76585,-0.077433,-1.19346,0.000347386,-0.00484885,-0.00297913,0.70452,0.207785,0.447989
01324180,1491824391518,-9.3055,-2.18092,2.40495,-0.00862279,-0.0039992,0.0407107,0.827861,0.109111,0.202594
01324187,1491824391535,-9.84601,-0.594215,-0.337934,0.00819074,0.00781342,0.00463692,0.687931,0.0209856,0.44433
01324186,1491824391535,-8.80888,0.0699664,4.25043,-0.0425617,-0.0348095,0.0140857,0.560288,-0.186717,-0.647901
01324185,1491824391535,-9.62603,-0.280923,2.15392,0.0128463,-0.0442566,0.021734,0.825055,-0.281732,0.0790817
01324184,1491824391535,-9.72705,-0.0332069,-1.27931,-0.0289654,0.0110918,0.010908,0.705613,0.206889,0.448233
01324180,1491824391535,-9.2985,-2.19385,2.49438,-0.0266229,-0.0250219,0.0351699,0.827191,0.108683,0.203137
01324187,1491824391551,-9.75935,-0.563178,-0.404782,-0.00694623,-0.00782744,0.00181372,0.687929,0.0186986,0.443932
01324186,1491824391551,-8.82325,0.0436985,4.27493,-0.0391124,-0.0295791,0.0158655,0.559462,-0.185126,-0.646329
01324185,1491824391551,-9.65974,-0.213357,2.08673,0.00301361,-0.047508,0.0387813,0.825593,-0.281068,0.0768412
01324184,1491824391551,-9.71495,-0.00380177,-1.34799,-0.0205943,0.0201644,-0.0118103,0.704492,0.205754,0.449033
01324180,1491824391551,-9.2078,-2.25472,2.41517,-0.0489521,-0.0150983,0.0614372,0.827004,0.103625,0.198839
01324187,1491824391568,-9.74386,-0.631715,-0.424681,-0.0121188,-0.00268894,-0.00701529,0.683982,0.0173159,0.442086
01324186,1491824391568,-8.85752,-0.0563826,4.12942,-0.0288668,-0.00180495,0.0264935,0.558363,-0.184221,-0.64642
01324185,1491824391568,-9.64121,-0.411007,1.9812,-0.0329804,-0.0533191,0.0388585,0.825046,-0.279091,0.0765613
01324184,1491824391568,-9.6406,-0.150228,-1.41536,-0.0311651,0.0307631,-0.0084186,0.704482,0.204182,0.447926
01324180,1491824391568,-9.26522,-2.2888,2.37817,-0.0208302,-0.0219431,0.0589342,0.826729,0.104655,0.197509
01324187,1491824391585,-9.75871,-0.609851,-0.41249,0.000330473,0.00972196,0.010724,0.686025,0.0188615,0.442867
01324186,1491824391585,-9.00327,-0.0664341,4.25927,-0.0176539,-0.00905146,0.035358,0.557537,-0.184765,-0.64739
01324185,1491824391585,-9.63643,-0.454341,2.02027,-0.0854482,-0.0635256,0.0253741,0.822325,-0.28135,0.0768551
01324184,1491824391585,-9.68366,-0.277665,-1.31577,0.0122178,0.0196209,-0.00480586,0.702571,0.206385,0.448521
01324180,1491824391585,-9.27289,-2.25749,2.37585,-0.0279677,-0.0222288,0.0720837,0.826336,0.103495,0.198304
01324187,1491824391601,-9.73184,-0.582652,-0.36334,0.00212141,0.0113993,0.00897499,0.6863,0.0212882,0.443397
01324186,1491824391601,-8.93458,-0.121922,4.2657,-0.0395014,-0.0507252,0.0422439,0.556708,-0.185888,-0.648656
01324185,1491824391601,-9.61454,-0.420729,2.06266,-0.0847141,-0.0492717,0.0422853,0.824769,-0.28269,0.0734458
01324184,1491824391601,-9.72209,-0.365938,-1.24612,0.0263136,0.00543026,-0.00738902,0.702844,0.205668,0.447696
01324180,1491824391601,-9.23189,-2.24982,2.38113,-0.0190372,-0.0398717,0.0790424,0.826076,0.10233,0.199368
01324187,1491824391618,-9.68346,-0.714754,-0.361585,0.0406007,0.0110006,0.00567476,0.688335,0.020996,0.44637
01324186,1491824391618,-8.86692,-0.0946726,4.159,-0.00879026,-0.0264889,0.0318189,0.557804,-0.187376,-0.648724
01324185,1491824391618,-9.47996,-0.566069,2.02442,-0.0793947,-0.0440211,0.0422191,0.826678,-0.28395,0.0742393
01324184,1491824391618,-9.7319,-0.361093,-1.23166,0.038636,-0.0018084,-0.00471371,0.705723,0.204855,0.449276
01324180,1491824391618,-9.16872,-2.24596,2.31409,-0.0576067,-0.0355738,0.0770571,0.828648,0.101127,0.198494
