ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491823748760,-9.75726,-0.812591,0.944106,-0.0434495,-0.0594168,0.115039,0.847589,-0.0507096,-0.0495418
01324186,1491823748760,-9.70114,1.20138,1.54004,-0.486419,-0.101829,0.112075,0.722924,0.114049,-0.254269
01324185,1491823748760,-9.79401,-1.04757,0.816223,-0.755878,-0.231403,0.143704,0.699882,-0.0423022,-0.329988
01324184,1491823748760,-9.67114,0.3073,-2.07023,-0.209428,0.0195664,0.0305419,0.672346,-0.12302,0.153536
01324180,1491823748760,-9.38819,-2.02351,0.240419,-0.722592,-0.27871,0.232341,0.729884,0.00704365,-0.140591
01324187,1491823748775,-9.80541,-0.862374,0.928554,-0.0611853,-0.0732177,0.114887,0.848669,-0.0532793,-0.0483199
01324186,1491823748775,-9.79807,1.16908,1.64154,-0.482574,-0.0965553,0.0892565,0.722651,0.114061,-0.254538
01324185,1491823748775,-9.8717,-1.26373,0.875152,-0.686296,-0.199986,0.184268,0.699328,-0.0395482,-0.333546
01324184,1491823748775,-9.69494,0.243545,-2.09837,-0.278709,0.0169874,0.0268135,0.672358,-0.121311,0.154641
01324180,1491823748775,-9.36513,-2.24863,0.0943979,-0.913509,-0.297515,0.26259,0.729778,0.0059049,-0.14358
01324187,1491823748791,-9.78806,-0.724422,0.925127,-0.0613278,-0.082753,0.119258,0.848382,-0.0600912,-0.045969
01324186,1491823748791,-9.78345,1.0944,1.54512,-0.461394,-0.126076,0.0822645,0.723025,0.110598,-0.250731
01324185,1491823748791,-9.86224,-1.36967,0.931644,-0.598655,-0.147671,0.216153,0.697439,-0.043727,-0.330751
01324184,1491823748791,-9.76309,0.223616,-2.04483,-0.246842,0.000858586,0.02169,0.675266,-0.129629,0.159311
01324180,1491823748791,-9.33747,-2.50407,0.0835976,-1.05401,-0.284497,0.28634,0.731182,0.00125895,-0.145717
01324187,1491823748808,-9.74512,-0.659915,0.931033,-0.0647169,-0.0766718,0.116607,0.848382,-0.0618076,-0.0469131
01324186,1491823748808,-9.74935,1.09423,1.53094,-0.449186,-0.157906,0.0893017,0.723179,0.111246,-0.253429
01324185,1491823748808,-9.7465,-1.44735,1.03182,-0.534272,-0.141009,0.239828,0.697706,-0.0439033,-0.332582
01324184,1491823748808,-9.64814,0.160629,-2.04293,-0.287955,-0.0163079,0.0250538,0.674996,-0.129614,0.158641
01324180,1491823748808,-9.12174,-2.72882,0.118305,-1.06956,-0.255257,0.3092,0.730282,-1.72307e-06,-0.150181
01324187,1491823748824,-9.6812,-0.659274,0.987632,-0.0783039,-0.0520331,0.123632,0.84757,-0.063664,-0.0490695
01324186,1491823748824,-9.68573,1.10017,1.57557,-0.431716,-0.175524,0.0928482,0.723175,0.111935,-0.251769
01324185,1491823748824,-9.60635,-1.40963,1.10793,-0.476444,-0.141199,0.275452,0.697429,-0.044092,-0.335065
01324184,1491823748824,-9.60643,0.0923816,-1.93908,-0.325268,-0.0348708,0.00745074,0.676366,-0.13106,0.156722
01324180,1491823748824,-8.99231,-3.02991,0.200087,-1.01056,-0.198356,0.364375,0.731529,-0.00232341,-0.153079
01324187,1491823748841,-9.73138,-0.639772,0.870596,-0.0699465,-0.0747793,0.121859,0.845953,-0.0618256,-0.053682
01324186,1491823748841,-9.62589,0.966384,1.67545,-0.417586,-0.166287,0.0823365,0.721156,0.115743,-0.256228
01324185,1491823748841,-9.44475,-1.39621,1.08632,-0.420928,-0.137956,0.298296,0.695105,-0.0409542,-0.340714
01324184,1491823748841,-9.58089,-0.0836161,-1.85033,-0.291721,-0.0459982,0.0162569,0.674524,-0.126068,0.151716
01324180,1491823748841,-8.82049,-3.25351,0.306877,-0.826336,-0.14989,0.425568,0.730194,-0.0005318,-0.15815
01324187,1491823748857,-9.68326,-1.06324,1.13952,-0.0872898,-0.0651217,0.122619,0.845143,-0.0632592,-0.0563849
01324186,1491823748857,-9.65387,0.837436,1.78875,-0.393583,-0.175988,0.111435,0.721012,0.114863,-0.255989
01324185,1491823748857,-9.26402,-1.46955,1.10602,-0.378436,-0.127717,0.304098,0.692796,-0.0416837,-0.342007
01324184,1491823748857,-9.55634,-0.142164,-1.72973,-0.274111,-0.0550896,0.0215529,0.674781,-0.12906,0.149241
01324180,1491823748857,-8.70264,-3.40734,0.374854,-0.596924,-0.071233,0.476737,0.728899,-0.00353993,-0.15981
01324187,1491823748874,-9.72309,-0.888958,1.0799,-0.0646643,-0.0730056,0.130685,0.845945,-0.0656613,-0.0525744
01324186,1491823748874,-9.62329,0.678799,1.86416,-0.365756,-0.196468,0.122933,0.719902,0.112857,-0.256603
01324185,1491823748874,-9.18451,-1.51336,1.12491,-0.323401,-0.103867,0.274953,0.693347,-0.0453193,-0.340273
01324184,1491823748874,-9.50544,-0.384163,-1.87334,-0.259518,-0.0262533,0.0197167,0.675984,-0.130845,0.151754
01324180,1491823748874,-8.69038,-3.44663,0.452097,-0.37418,-0.00997277,0.520761,0.731072,-0.00824212,-0.15481
01324187,1491823748890,-9.75871,-0.685007,0.998719,-0.0541022,-0.0693008,0.146639,0.847301,-0.0696788,-0.0537987
01324186,1491823748890,-9.58143,0.615843,1.86546,-0.333443,-0.186648,0.123051,0.720187,0.113469,-0.257942
01324185,1491823748890,-9.18684,-1.47484,1.11005,-0.272623,-0.0550789,0.269481,0.69185,-0.0470568,-0.342606
01324184,1491823748890,-9.5668,-0.582752,-2.07204,-0.267937,0.00473902,0.0125832,0.675163,-0.13138,0.150273
01324180,1491823748890,-8.72391,-3.32241,0.539458,-0.196664,0.0291416,0.568791,0.7305,-0.0156051,-0.156838
01324187,1491823748907,-9.69178,-0.573605,1.03934,-0.0509984,-0.0413479,0.151149,0.847302,-0.0711105,-0.0547442
01324186,1491823748907,-9.53969,0.63694,1.94375,-0.336213,-0.176376,0.130075,0.719634,0.112896,-0.25796
01324185,1491823748907,-9.23469,-1.36375,1.14978,-0.210793,-0.0115737,0.275946,0.69185,-0.049047,-0.343372
01324184,1491823748907,-9.61528,-0.636816,-1.98363,-0.280773,-0.0120934,0.0300477,0.676236,-0.133427,0.151035
01324180,1491823748907,-8.87079,-3.19878,0.555621,-0.0892237,0.0769653,0.608551,0.731903,-0.0217223,-0.155092
01324187,1491823748923,-9.64549,-0.669291,1.1362,-0.0181622,-0.0138601,0.143517,0.845675,-0.0725295,-0.0571633
01324186,1491823748923,-9.51459,0.555373,1.98893,-0.296327,-0.146813,0.144316,0.718004,0.114452,-0.260334
01324185,1491823748923,-9.39326,-1.17973,1.19835,-0.172371,0.0179323,0.270643,0.692934,-0.0493446,-0.344158
01324184,1491823748923,-9.61185,-0.555926,-1.60038,-0.245736,-0.0555631,0.0302567,0.676258,-0.133942,0.146185
01324180,1491823748923,-9.07972,-3.12374,0.532241,-0.0686891,0.115791,0.601106,0.730668,-0.0286247,-0.159529
01324187,1491823748940,-9.678,-0.912045,1.42533,0.0348051,0.0137978,0.158923,0.844317,-0.0726534,-0.0574154
01324186,1491823748940,-9.58243,0.529831,2.05904,-0.235111,-0.165807,0.144543,0.718009,0.11377,-0.262266
01324185,1491823748940,-9.48419,-0.957608,1.24849,-0.158736,0.0485347,0.261943,0.690769,-0.0512887,-0.342562
01324184,1491823748940,-9.60693,-0.590121,-1.50229,-0.196089,-0.0563242,0.0391472,0.676821,-0.133508,0.144844
01324180,1491823748940,-9.19207,-3.03797,0.514698,-0.121252,0.129932,0.586853,0.731266,-0.0344349,-0.158305
01324187,1491823748957,-9.82479,-0.494282,1.02647,0.0382183,0.0110538,0.195102,0.844176,-0.0753513,-0.0567198
01324186,1491823748957,-9.58704,0.538439,2.12713,-0.21537,-0.154102,0.163975,0.716896,0.111604,-0.262342
