ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076819695,-9.68416,0.27639,-1.38847,-0.0058915,-0.00172011,-0.00781573,0.696742,0.0750909,0.350168
01324186,1492076819695,-9.47242,0.501375,2.42629,0.019568,-0.00471143,-0.00439805,0.679369,-0.282859,-0.168159
01324185,1492076819695,-9.48918,-1.65566,1.94085,0.00708944,0.00770794,0.0377979,0.740391,0.147731,0.103233
01324184,1492076819695,-9.73003,1.08936,0.0291085,0.00533442,0.00890192,0.00839468,0.718016,-0.188101,0.23975
01324180,1492076819695,-9.49077,-2.06989,1.45541,0.00102027,0.0523359,0.0376574,0.665613,0.307788,0.0931096
01324187,1492076819699,-9.70263,0.25123,-1.32083,0.00117139,0.00182757,0.000171422,0.697036,0.0807361,0.344558
01324186,1492076819699,-9.48712,0.515982,2.4308,0.0187583,0.00338679,-0.00966374,0.679289,-0.276909,-0.172814
01324185,1492076819699,-9.48893,-1.60745,1.99857,0.0261503,0.0160639,0.011358,0.74078,0.154127,0.0989926
01324184,1492076819699,-9.75416,1.0452,0.0858173,-0.000958307,0.00369075,0.0101209,0.71727,-0.183433,0.234872
01324180,1492076819699,-9.50004,-2.10389,1.4648,0.0194332,0.0434557,0.0464968,0.665969,0.312713,0.090375
01324187,1492076819715,-9.71486,0.241313,-1.3405,0.00644424,0.0035547,0.00109506,0.696759,0.0807589,0.346875
01324186,1492076819715,-9.53097,0.526113,2.45935,0.00569632,-0.0106926,-0.0105959,0.680378,-0.277826,-0.172044
01324185,1492076819715,-9.49374,-1.60261,1.99873,0.0349427,0.0124556,0.0113724,0.740644,0.154974,0.0991155
01324184,1492076819715,-9.73993,1.08444,0.124116,0.00269936,0.0038056,0.00139955,0.71757,-0.181144,0.234641
01324180,1492076819715,-9.52889,-2.11378,1.45479,0.028339,0.031187,0.0482295,0.666206,0.314431,0.0924257
01324187,1492076819731,-9.68554,0.345371,-1.42189,0.00804764,-0.00505719,0.00811368,0.698244,0.0803367,0.350257
01324186,1492076819731,-9.50182,0.515691,2.41842,0.012633,-0.00461354,-0.00793276,0.681296,-0.280749,-0.166735
01324185,1492076819731,-9.55133,-1.49632,1.99525,0.0348365,0.021245,0.00962599,0.741334,0.149543,0.102299
01324184,1492076819731,-9.74012,1.12601,0.0575683,-0.000798067,0.00565408,-0.00209985,0.719683,-0.184733,0.24221
01324180,1492076819731,-9.54349,-2.10917,1.45951,0.0231581,0.0276983,0.0464184,0.668922,0.310477,0.0929803
01324187,1492076819747,-9.70943,0.320392,-1.41022,0.0064688,0.00543831,0.00814779,0.697972,0.0790552,0.349723
01324186,1492076819747,-9.57011,0.510647,2.42003,0.0038788,-0.0011295,-0.00794387,0.68019,-0.281051,-0.165379
01324185,1492076819747,-9.54154,-1.46746,2.02608,0.0137194,0.0135197,0.0096959,0.743091,0.149658,0.100986
01324184,1492076819747,-9.73574,1.18232,0.0857397,0.0044721,0.00724767,0.004055,0.720628,-0.185909,0.242718
01324180,1492076819747,-9.54906,-2.05618,1.46458,0.00952557,0.0211521,0.0208055,0.668658,0.310486,0.0921764
01324187,1492076819763,-9.67124,0.360369,-1.43132,-0.00589311,-0.0013912,0.0115545,0.697162,0.0797661,0.348098
01324186,1492076819763,-9.57477,0.496645,2.44938,0.016149,-0.0151198,-0.00791246,0.680752,-0.280426,-0.167533
01324185,1492076819763,-9.52717,-1.49644,2.01848,-0.00163182,0.00741036,0.000394422,0.74187,0.14893,0.0996918
01324184,1492076819763,-9.72596,1.17748,0.0858918,-0.0133925,0.0090652,0.0136143,0.718721,-0.185555,0.24113
01324180,1492076819763,-9.55619,-2.05101,1.42345,-0.0217167,0.0143796,0.00385964,0.666934,0.309653,0.0916463
01324187,1492076819779,-9.68762,0.330522,-1.40746,-0.00408365,0.00193901,0.00277836,0.696899,0.082602,0.346184
01324186,1492076819779,-9.53098,0.511167,2.44003,0.00737597,-0.00111786,-0.0079415,0.677769,-0.27707,-0.170905
01324185,1492076819779,-9.52004,-1.5302,2.01124,0.00992305,0.00644418,0.00293833,0.740376,0.152299,0.0991422
01324184,1492076819779,-9.73542,1.13829,0.0963255,-0.016643,0.0181892,-0.00216264,0.717132,-0.182732,0.236362
01324180,1492076819779,-9.54842,-2.0796,1.39679,-0.0303719,0.0109551,-0.00150272,0.666769,0.312257,0.0917008
