ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076265800,-9.74931,0.258896,-1.09395,-0.0182113,0.00214815,-0.000141559,0.829619,-0.101742,0.350923
01324186,1492076265800,-9.37046,1.1324,2.58676,0.0190116,-0.0134448,0.0147911,0.757952,-0.277633,-0.247969
01324185,1492076265800,-9.51161,-2.12013,1.30875,0.0547873,0.00928564,-0.0128346,0.847986,0.173339,0.111839
01324184,1492076265800,-9.71228,1.096,-0.859389,-0.0224065,0.00865661,0.00169748,0.805126,-0.232969,0.274124
01324180,1492076265800,-9.49467,-2.30883,1.33,0.0635458,0.0253498,0.00116258,0.802308,0.290296,0.105257
01324187,1492076265804,-9.74978,0.283519,-1.10345,0.00272875,-0.00148787,0.0017431,0.829098,-0.096827,0.34659
01324186,1492076265804,-9.38234,1.11381,2.6307,0.031325,-0.000819781,0.00781853,0.75718,-0.274015,-0.253078
01324185,1492076265804,-9.53798,-2.0718,1.32394,0.0508098,0.016265,-0.0230755,0.848907,0.179947,0.106723
01324184,1492076265804,-9.72256,1.15712,-0.828965,-0.0205301,0.0157167,-3.38506e-05,0.806598,-0.224133,0.271463
01324180,1492076265804,-9.53856,-2.28033,1.3249,0.0550067,0.0131277,-0.00247673,0.799748,0.295966,0.100064
01324187,1492076265820,-9.73463,0.249313,-1.1036,-0.0111418,0.006337,-0.00712931,0.829094,-0.0968141,0.348209
01324186,1492076265820,-9.38951,1.07961,2.62126,0.0283987,0.00379797,0.0253995,0.757035,-0.273921,-0.250916
01324185,1492076265820,-9.52823,-2.04778,1.33783,0.020937,0.00951537,-0.0221516,0.848234,0.181623,0.106709
01324184,1492076265820,-9.69347,1.1744,-0.826684,-0.0171683,0.00328407,0.00349594,0.804961,-0.223816,0.272149
01324180,1492076265820,-9.5146,-2.25818,1.31075,0.0289495,-0.000982981,-0.00274027,0.798951,0.295832,0.100874
01324187,1492076265837,-9.73261,0.160521,-1.03633,-0.000773645,-0.00148715,0.00170673,0.829755,-0.101039,0.350783
01324186,1492076265837,-9.40408,1.05996,2.61156,0.0189013,0.00400685,0.0183326,0.756317,-0.278167,-0.24838
01324185,1492076265837,-9.50897,-2.06234,1.34444,0.00990505,0.011274,-0.0332106,0.847307,0.17623,0.109613
01324184,1492076265837,-9.68807,1.10593,-0.825341,-0.0118741,0.00315332,0.00698715,0.806242,-0.228483,0.278061
01324180,1492076265837,-9.51962,-2.23128,1.27219,0.00123683,-0.0148949,-0.0126758,0.800693,0.29306,0.103465
01324187,1492076265853,-9.72464,0.224935,-1.1183,0.0123981,0.00206454,0.010609,0.828414,-0.0990508,0.349713
01324186,1492076265853,-9.40436,1.09854,2.59891,0.0101589,0.016325,0.0165561,0.757137,-0.276902,-0.247529
01324185,1492076265853,-9.51863,-2.0719,1.35223,0.0113698,0.00766616,-0.0399904,0.847042,0.175978,0.11104
01324184,1492076265853,-9.68763,1.0521,-0.836483,-0.0223839,0.0156063,0.00691794,0.804453,-0.229866,0.278186
01324180,1492076265853,-9.49494,-2.25973,1.25052,-0.0056712,-0.0147226,-0.0224014,0.801338,0.294191,0.104413
01324187,1492076265870,-9.70615,0.274489,-1.14438,-0.00419374,0.00395276,0.0105057,0.830025,-0.10133,0.350241
01324186,1492076265870,-9.38992,1.13757,2.60594,0.0109415,0.0178925,0.0218343,0.757143,-0.276876,-0.248606
01324185,1492076265870,-9.51386,-2.096,1.35712,-0.00115676,0.011258,-0.0451029,0.846236,0.177106,0.11155
01324184,1492076265870,-9.70694,1.03731,-0.863104,-0.00826466,0.0126901,0.0122093,0.806106,-0.229176,0.276716
01324180,1492076265870,-9.48007,-2.28362,1.24329,-0.012459,-0.0233354,-0.0313053,0.80175,0.293036,0.104384
01324187,1492076265887,-9.72991,0.249458,-1.12056,-0.0199962,0.000491305,0.00423505,0.830302,-0.0976707,0.349275
01324186,1492076265887,-9.40938,1.13526,2.61547,-0.000489664,0.0159223,0.0261906,0.75715,-0.277821,-0.251339
01324185,1492076265887,-9.51396,-2.12009,1.34282,0.00588586,0.00678706,-0.0450815,0.848909,0.181792,0.108259
01324184,1492076265887,-9.70232,1.06425,-0.846546,-0.00488228,0.00462172,0.0183624,0.807111,-0.227003,0.271942
01324180,1492076265887,-9.47999,-2.27597,1.20466,-0.00915114,-0.00655277,-0.0364398,0.800799,0.296372,0.100991
01324187,1492076265903,-9.7189,0.192876,-1.07964,-0.0147481,0.000531108,0.0104244,0.828961,-0.0955414,0.348204
01324186,1492076265903,-9.40436,1.0886,2.58684,0.0029456,0.0122615,0.0305933,0.757157,-0.275817,-0.250452
01324185,1492076265903,-9.52133,-2.15376,1.32407,0.0205623,0.00325824,-0.0314655,0.84703,0.181231,0.108141
