ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076761760,-9.65997,0.578101,-1.43181,-0.0174902,0.0101824,-0.0081986,0.666564,0.084869,0.319521
01324186,1492076761760,-9.38149,0.403527,2.36396,0.0216048,-0.015919,0.00936033,0.684464,-0.293041,-0.165162
01324185,1492076761760,-9.51328,-1.77593,2.05494,0.0789236,0.0441371,-0.0128545,0.739889,0.149878,0.116985
01324184,1492076761760,-9.71229,1.3115,0.13254,-0.0148041,0.0100931,0.00295286,0.686307,-0.174424,0.236416
01324180,1492076761760,-9.3895,-2.35084,1.24632,0.0985761,0.0619635,-0.00789428,0.637697,0.334179,0.104238
01324187,1492076761764,-9.66672,0.560649,-1.40044,0.00155824,-0.00215213,-0.00459733,0.664405,0.086291,0.315468
01324186,1492076761764,-9.4768,0.437461,2.37694,0.0168042,0.0115848,-0.0222565,0.684247,-0.287802,-0.170652
01324185,1492076761764,-9.4888,-1.80958,2.2896,0.15977,0.0336233,-0.0145833,0.737707,0.157119,0.113009
01324184,1492076761764,-9.69769,1.30425,0.16199,-0.0129503,0.00931679,-0.00403961,0.685441,-0.168044,0.231975
01324180,1492076761764,-9.25319,-2.49153,1.46439,0.166399,0.0962902,-0.00729044,0.636299,0.341308,0.0998253
01324187,1492076761780,-9.68517,0.626953,-1.43893,-0.00724817,-0.00543576,0.00238714,0.662372,0.0875995,0.315219
01324186,1492076761780,-9.6966,0.535501,2.46066,0.0135697,0.00341378,-0.0380433,0.683159,-0.285617,-0.169743
01324185,1492076761780,-9.42652,-1.94481,2.26648,0.214099,0.0205203,-0.0400839,0.73608,0.157376,0.111707
01324184,1492076761780,-9.73671,1.3016,0.198332,-0.0219859,-0.000292875,-0.00055143,0.685846,-0.168907,0.231421
01324180,1492076761780,-9.35205,-2.80489,1.77105,0.306115,0.120263,-0.00277774,0.634985,0.339892,0.0988742
01324187,1492076761797,-9.68898,0.567813,-1.42249,-0.00882806,0.00490633,-0.00639202,0.664256,0.0836219,0.319288
