ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076717579,-9.6967,0.527442,-1.27464,-0.000290502,-0.00353929,0.0130755,0.748607,-0.392895,-0.567181
01324186,1492076717579,-9.52847,0.858386,2.31302,0.0251839,-0.00394229,-0.00368798,0.457148,0.20096,-0.0982969
01324185,1492076717579,-9.56759,-1.87237,1.54631,-0.00920985,0.00908253,0.00279194,0.285971,-0.0481336,-0.341405
01324184,1492076717579,-9.70261,1.31355,0.127583,-0.00954267,0.00396966,-0.00221792,0.541448,0.0960517,-0.62904
01324180,1492076717579,-9.49166,-2.29401,1.22169,-0.0225474,0.017776,-0.00351509,0.398324,-0.299976,-0.314313
01324187,1492076717586,-9.70606,0.507597,-1.2652,0.00143006,-0.00532912,0.0113212,0.74564,-0.39034,-0.573404
01324186,1492076717586,-9.49428,0.863551,2.32315,0.0129202,0.0127133,-0.00460474,0.455285,0.208353,-0.101111
01324185,1492076717586,-9.52435,-1.96889,1.60125,-0.0106409,0.00211202,0.00963382,0.282977,-0.0418865,-0.34589
01324184,1492076717586,-9.69292,1.30628,0.181355,-0.0185947,0.00212285,0.00999819,0.540154,0.0997491,-0.63567
01324180,1492076717586,-9.47718,-2.29641,1.23632,-0.0192186,0.0300516,-0.0034119,0.394378,-0.291787,-0.319072
01324187,1492076717602,-9.70534,0.480416,-1.23384,0.00236527,-0.00191291,0.00781653,0.746456,-0.389216,-0.573557
01324186,1492076717602,-9.49871,0.830614,2.37711,0.0269611,0.0111619,-0.00807167,0.458024,0.207855,-0.101019
01324185,1492076717602,-9.50258,-1.9666,1.62941,0.00584586,0.0142328,0.00443026,0.285274,-0.0412039,-0.346948
01324184,1492076717602,-9.71714,1.28902,0.181539,-0.0114772,0.00897144,0.0161284,0.54112,0.10044,-0.635532
01324180,1492076717602,-9.44785,-2.32272,1.24613,-0.0165585,0.0211128,0.00532065,0.394493,-0.290345,-0.31891
01324187,1492076717618,-9.7193,0.438411,-1.23193,0.0093297,-0.00365595,0.0113781,0.748199,-0.391317,-0.566231
01324186,1492076717618,-9.48505,0.876274,2.22806,0.00598572,0.0163083,-0.00814477,0.457277,0.199786,-0.0980728
01324185,1492076717618,-9.50972,-1.89919,1.57565,0.0280683,0.0123258,0.0103717,0.28651,-0.0444636,-0.340789
01324184,1492076717618,-9.71685,1.25232,0.177372,-0.00439555,0.00191429,0.0117756,0.541179,0.0960701,-0.629976
01324180,1492076717618,-9.44788,-2.33273,1.27991,0.000852969,0.0281739,0.00547773,0.399088,-0.296079,-0.315996
01324187,1492076717633,-9.70021,0.477928,-1.21193,-0.00716888,0.00342619,0.0095335,0.748204,-0.389332,-0.567057
01324186,1492076717633,-9.57937,0.894489,2.42892,0.0112533,-0.00119514,-0.00812082,0.458383,0.201786,-0.0974613
01324185,1492076717633,-9.49533,-1.94019,1.59486,-0.0160746,0.0197523,0.00611806,0.287322,-0.0448909,-0.341049
01324184,1492076717633,-9.73627,1.24242,0.182314,-0.00263954,0.00532619,0.0170219,0.542012,0.0971922,-0.629695
01324180,1492076717633,-9.45785,-2.30368,1.26064,-0.000843859,0.0228833,0.00719765,0.398948,-0.295936,-0.315183
01324187,1492076717648,-9.68537,0.460949,-1.21678,-0.00480564,-0.0122855,0.0112462,0.747927,-0.391024,-0.565685
01324186,1492076717648,-9.48387,0.789215,2.36805,0.00233695,-0.0175933,0.00586768,0.458385,0.201377,-0.0985628
01324185,1492076717648,-9.54109,-1.9567,1.65522,0.0019677,0.0126189,0.0163594,0.287455,-0.045333,-0.342089
01324184,1492076717648,-9.71178,1.22788,0.173001,-0.00173264,0.0105263,0.0205077,0.542554,0.0968855,-0.629169
01324180,1492076717648,-9.44392,-2.25011,1.23207,-0.0200337,0.019357,0.00530341,0.397484,-0.296051,-0.315837
01324187,1492076717664,-9.70805,0.487832,-1.25081,-0.00905495,-0.00428524,0.0165389,0.74659,-0.387638,-0.571663
01324186,1492076717664,-9.4354,0.760577,2.26177,0.0203167,-0.0146797,-0.0239706,0.456776,0.205688,-0.100686
01324185,1492076717664,-9.51234,-1.95697,1.55694,0.0236513,2.83757e-05,0.00960666,0.283791,-0.0445623,-0.345998
01324184,1492076717664,-9.74118,1.25462,0.157699,-0.011289,0.00749806,-0.00049465,0.53909,0.103065,-0.6352
01324180,1492076717664,-9.47509,-2.29463,1.29919,-0.0237562,0.0332742,0.00888989,0.396838,-0.296745,-0.318668
01324187,1492076717679,-9.68741,0.429002,-1.22682,-0.00359257,0.00869344,0.0130889,0.746858,-0.388347,-0.570848
01324186,1492076717679,-9.54329,0.897358,2.32211,0.0235073,0.00681984,-0.00983241,0.457045,0.205375,-0.100022
01324185,1492076717679,-9.50485,-1.89679,1.59968,0.00260084,0.0090539,0.0112699,0.283796,-0.0453764,-0.344424
01324184,1492076717679,-9.68278,1.26228,0.153037,-0.0130929,0.00920618,0.00299207,0.54019,0.103606,-0.634798
01324180,1492076717679,-9.44851,-2.29437,1.30428,-0.015015,0.0314777,0.0124432,0.39548,-0.295283,-0.317542
01324187,1492076717695,-9.69095,0.497817,-1.23109,0.00324085,-0.00178108,0.0166228,0.74739,-0.391463,-0.568258
01324186,1492076717695,-9.55327,0.961095,2.35534,0.0147084,-0.00483182,-0.00459757,0.457852,0.203865,-0.098596
01324185,1492076717695,-9.53378,-1.91584,1.63508,0.0141894,0.00192034,0.0147112,0.286641,-0.0466263,-0.343509
01324184,1492076717695,-9.7073,1.27439,0.186749,-0.0059852,0.0108602,0.00476803,0.542866,0.0987788,-0.632223
01324180,1492076717695,-9.419,-2.30785,1.24166,0.00244982,0.0225098,0.0265473,0.396435,-0.297621,-0.315988
01324187,1492076717710,-9.70548,0.500005,-1.21665,-0.00731134,-0.005243,0.0130259,0.747117,-0.390884,-0.567441
01324186,1492076717710,-9.46529,0.932086,2.34709,0.0146284,-0.0156502,0.00240015,0.457572,0.20271,-0.0987746
01324185,1492076717710,-9.51479,-1.969,1.55232,0.000728709,0.00219694,0.0283288,0.286509,-0.0451845,-0.341696
01324184,1492076717710,-9.70733,1.26706,0.225852,-0.000568861,0.0161138,0.00302655,0.540396,0.0988348,-0.631798
01324180,1492076717710,-9.44587,-2.30878,1.2994,-0.00198112,0.0313478,0.0213121,0.396674,-0.295314,-0.315945
01324187,1492076717725,-9.70836,0.531904,-1.21153,0.00675041,-0.00201361,0.00432836,0.747661,-0.390607,-0.56745
