ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076411953,-9.72063,0.44476,-1.36386,0.0221283,0.0137211,0.0264956,0.610011,0.208431,0.66803
01324186,1492076411953,-9.54175,0.734925,2.17558,0.0701956,-0.0129584,-0.030032,0.399268,-0.138685,-0.163605
01324185,1492076411953,-9.48444,-1.84986,1.54655,0.0907982,-0.0386971,-0.0212466,0.539729,0.135099,0.179976
01324184,1492076411953,-9.6296,1.41086,-0.992408,0.0800767,-0.00300427,-0.00445677,0.493374,-0.134788,0.591388
01324180,1492076411953,-9.44285,-2.10646,1.24473,0.0835095,-0.0245554,0.0412274,0.447691,0.393809,0.196947
01324187,1492076411956,-9.68083,0.420532,-1.3199,0.0336199,0.0206835,0.0327434,0.607054,0.216681,0.667761
01324186,1492076411956,-9.52204,0.740759,2.22208,0.0956972,-0.00717275,-0.040487,0.397805,-0.136484,-0.169182
01324185,1492076411956,-9.45057,-1.84041,1.58867,0.0945734,-0.0307476,-0.0153564,0.537561,0.143177,0.177569
01324184,1492076411956,-9.62025,1.45007,-0.951704,0.0675681,0.005722,0.00949745,0.493464,-0.126781,0.590457
01324180,1492076411956,-9.42816,-2.12079,1.24721,0.0754327,-0.00335889,0.0316474,0.445199,0.403795,0.193432
01324187,1492076411972,-9.70639,0.493952,-1.32437,0.0430232,0.00652841,0.0257239,0.607049,0.217833,0.670189
01324186,1492076411972,-9.51251,0.764725,2.20486,0.0805865,0.00102097,-0.0264674,0.398057,-0.137868,-0.166265
01324185,1492076411972,-9.4602,-1.81629,1.56458,0.0866515,-0.023622,-0.0153916,0.537158,0.142622,0.177835
01324184,1492076411972,-9.67674,1.50604,-0.931202,0.0532107,0.0109141,0.0260863,0.493192,-0.125934,0.591811
01324180,1492076411972,-9.40362,-2.13464,1.21354,0.0774735,-0.0315835,0.0411242,0.444636,0.406683,0.192962
01324187,1492076411989,-9.70693,0.523491,-1.33383,0.0124618,0.010339,0.0290639,0.608786,0.211183,0.673577
01324186,1492076411989,-9.51233,0.760496,2.2366,0.0746989,0.00150509,-0.0405589,0.400335,-0.143343,-0.163932
01324185,1492076411989,-9.46745,-1.81145,1.55028,0.0719592,-0.0269432,-0.00939932,0.53879,0.138089,0.182547
01324184,1492076411989,-9.68185,1.53293,-0.917137,0.0480394,0.0129453,0.0147083,0.494072,-0.131423,0.595049
01324180,1492076411989,-9.42321,-2.11052,1.19415,0.0772193,-0.014046,0.0412559,0.447747,0.400423,0.19681
01324187,1492076412005,-9.69049,0.439874,-1.27851,0.00893646,0.00838067,0.0158179,0.609741,0.211992,0.670314
01324186,1492076412005,-9.50976,0.736188,2.23448,0.0702573,0.00662494,-0.0370546,0.399656,-0.142324,-0.16348
01324185,1492076412005,-9.46986,-1.81143,1.55038,0.0700143,-0.0287288,-0.0136375,0.538246,0.13861,0.180467
01324184,1492076412005,-9.65227,1.48661,-0.916071,0.0355043,0.000836768,0.0111708,0.49491,-0.130288,0.593992
01324180,1492076412005,-9.43268,-2.11516,1.16503,0.0719855,-0.0158073,0.0412115,0.4491,0.399262,0.194624
01324187,1492076412022,-9.68108,0.415768,-1.35397,0.0211368,0.00677065,0.02909,0.609875,0.210286,0.669645
01324186,1492076412022,-9.52187,0.721585,2.2345,0.0692276,0.0098169,-0.0282592,0.400079,-0.140715,-0.164367
01324185,1492076412022,-9.48426,-1.79208,1.55565,0.0524961,-0.0162139,-0.0119946,0.538782,0.138027,0.179302
01324184,1492076412022,-9.62254,1.43049,-0.948908,0.0176248,-0.0051744,0.0145999,0.494658,-0.12912,0.592411
01324180,1492076412022,-9.45173,-2.13957,1.16955,0.0649291,-0.0159392,0.046439,0.449134,0.396823,0.193504
01324187,1492076412038,-9.6825,0.475,-1.40692,0.0248648,0.0206416,0.0238862,0.609078,0.214234,0.666392
01324186,1492076412038,-9.53662,0.740996,2.23651,0.0674014,0.0167118,-0.0247366,0.398607,-0.136311,-0.165128
01324185,1492076412038,-9.501,-1.74863,1.56563,0.0421159,-0.0107885,-0.00776284,0.536879,0.142685,0.173811
01324184,1492076412038,-9.6274,1.43046,-0.953807,0.0124203,0.00285958,0.0119487,0.49417,-0.125075,0.589679
01324180,1492076412038,-9.47101,-2.14462,1.16933,0.0447822,-0.00883876,0.0384521,0.447791,0.399018,0.191157
01324187,1492076412054,-9.67795,0.514266,-1.37735,0.0125131,0.0136764,0.0193813,0.608535,0.215391,0.668422
01324186,1492076412054,-9.55617,0.750732,2.24102,0.0567622,0.0127965,-0.0151029,0.398335,-0.137142,-0.166509
01324185,1492076412054,-9.50319,-1.70042,1.6089,0.0384358,-0.000221485,-0.011229,0.539037,0.142856,0.17549
01324184,1492076412054,-9.60332,1.46973,-0.969023,0.0125908,0.0152174,0.00931791,0.493054,-0.125934,0.592079
01324180,1492076412054,-9.4685,-2.14439,1.15002,0.0282806,-0.00953828,0.0269135,0.446455,0.399616,0.191188
01324187,1492076412070,-9.68719,0.494367,-1.35576,0.00557306,0.0172088,0.0184709,0.608527,0.213712,0.670864
01324186,1492076412070,-9.57093,0.7502,2.21646,0.0496023,0.0159234,-0.00544974,0.399388,-0.141449,-0.163444
01324185,1492076412070,-9.5008,-1.71487,1.62107,0.0320367,-0.00354086,0.00325676,0.538374,0.13997,0.178376
01324184,1492076412070,-9.64234,1.46953,-0.940035,0.0177938,0.0184431,0.0233262,0.493,-0.129956,0.594015
01324180,1492076412070,-9.46644,-2.11283,1.13572,0.0194305,0.00375981,0.0181666,0.449638,0.399406,0.193013
01324187,1492076412086,-9.69976,0.523659,-1.34833,0.00467744,0.0152402,0.0043788,0.609333,0.213713,0.672475
01324186,1492076412086,-9.57595,0.749607,2.18715,0.0451642,0.00955724,-0.000195705,0.399923,-0.143206,-0.163247
01324185,1492076412086,-9.47437,-1.74874,1.62029,0.00416736,0.0108817,0.00914311,0.539723,0.140277,0.179796
01324184,1492076412086,-9.69832,1.46922,-0.95498,0.0141994,0.0201655,0.0285648,0.492716,-0.130251,0.595348
01324180,1492076412086,-9.43995,-2.10533,1.14085,-0.00658294,-0.00127691,0.00213812,0.448558,0.400279,0.194385
01324187,1492076412102,-9.72715,0.533311,-1.39229,-0.00160161,0.00693247,0.0254457,0.60988,0.214391,0.66976
01324186,1492076412102,-9.59995,0.708939,2.22144,0.0338538,-9.2612e-05,-0.00200326,0.401023,-0.140937,-0.162087
01324185,1492076412102,-9.47451,-1.80651,1.6306,0.000631521,0.00738011,0.00832009,0.538642,0.139965,0.178115
01324184,1492076412102,-9.68174,1.53292,-0.97071,-0.000923362,0.00129352,0.0110745,0.493818,-0.1297,0.594814
01324180,1492076412102,-9.4275,-2.13171,1.13841,-0.0207671,0.02174,-0.0118659,0.448985,0.398411,0.193002
01324187,1492076412119,-9.6926,0.482346,-1.43127,-0.0192064,0.000592129,0.0024037,0.610419,0.212539,0.669221
01324186,1492076412119,-9.56101,0.703645,2.19276,0.0287561,0.00194662,-0.0108237,0.400648,-0.138219,-0.166031
01324185,1492076412119,-9.4457,-1.82358,1.59072,0.00774529,0.00909869,0.00999629,0.538638,0.140781,0.176809
01324184,1492076412119,-9.62331,1.55767,-1.04875,-0.00728297,0.00461596,0.025043,0.492755,-0.128216,0.592443
01324180,1492076412119,-9.43228,-2.1416,1.15522,-0.0155874,0.0270111,-0.0117976,0.448841,0.400004,0.191429
01324187,1492076412136,-9.69878,0.445112,-1.37334,-0.0263857,-0.0107451,0.000555798,0.610691,0.211533,0.66787
01324186,1492076412136,-9.57549,0.696793,2.21703,0.02319,0.00122095,0.00850266,0.399824,-0.137945,-0.164662
01324185,1492076412136,-9.47469,-1.83064,1.57505,0.00138464,0.0251646,0.0252152,0.539713,0.141471,0.17628
01324184,1492076412136,-9.62297,1.50386,-1.01363,-0.0302539,0.00595154,0.0162075,0.493582,-0.128499,0.59056
01324180,1492076412136,-9.45175,-2.13464,1.15991,-0.00691399,0.0286896,-0.00645007,0.447784,0.400031,0.190106
01324187,1492076412152,-9.67129,0.408564,-1.36122,-0.0261889,0.00160906,0.00939374,0.610146,0.210564,0.669504
01324186,1492076412152,-9.55554,0.651424,2.25196,0.0284584,-0.00841734,0.00850432,0.400219,-0.140418,-0.164762
01324185,1492076412152,-9.46491,-1.83304,1.64744,-0.0199424,0.0297145,0.0201044,0.538097,0.142734,0.176403
01324184,1492076412152,-9.59808,1.42572,-0.980325,-0.0426095,0.0122733,0.0161321,0.49276,-0.128764,0.590562
01324180,1492076412152,-9.42329,-2.09579,1.17006,-0.00874355,0.0411261,-0.0151628,0.448311,0.399577,0.192232
01324187,1492076412169,-9.69068,0.405799,-1.35416,-0.0193333,-0.00714708,0.0111734,0.608926,0.21088,0.671413
01324186,1492076412169,-9.54098,0.638669,2.21817,0.0161188,-0.000771733,0.013738,0.401028,-0.141895,-0.164422
01324185,1492076412169,-9.43611,-1.87175,1.63205,-0.00413666,0.0410084,0.0191586,0.538778,0.143076,0.179643
01324184,1492076412169,-9.64167,1.38634,-0.953049,-0.0353884,0.0158106,0.0108939,0.494919,-0.129432,0.594007
01324180,1492076412169,-9.42839,-2.0865,1.19907,-0.0142308,0.0496338,-0.00370561,0.447213,0.401888,0.193767
01324187,1492076412186,-9.69891,0.474216,-1.33902,-0.0245131,0.00179831,0.0165357,0.609473,0.210078,0.672138
01324186,1492076412186,-9.56794,0.630622,2.18379,0.0251101,-0.00724104,-0.000296661,0.401291,-0.142517,-0.162962
01324185,1492076412186,-9.48435,-1.86425,1.61463,0.00454678,0.0497034,0.0165525,0.539185,0.143098,0.18081
01324184,1492076412186,-9.67074,1.3715,-0.972423,-0.0316635,0.0229281,0.00389609,0.493522,-0.130859,0.596668
01324180,1492076412186,-9.45977,-2.09667,1.2132,-0.0214447,0.0726045,-0.0141355,0.446923,0.402738,0.196734
01324187,1492076412202,-9.67663,0.464605,-1.31942,-0.0271339,0.00171935,0.0112286,0.609071,0.213346,0.67294
01324186,1492076412202,-9.59014,0.704167,2.22407,0.0285182,-0.0144661,0.00587199,0.399255,-0.141284,-0.164112
01324185,1492076412202,-9.49396,-1.85936,1.62955,-0.00705983,0.0508539,0.0327185,0.538381,0.142002,0.182121
01324184,1492076412202,-9.64184,1.40592,-0.943685,-0.0265162,0.0130903,0.00918309,0.492173,-0.130231,0.594819
01324180,1492076412202,-9.47188,-2.10184,1.23239,-0.0327029,0.0691769,-0.0203833,0.446122,0.403331,0.196088
01324187,1492076412219,-9.69575,0.45439,-1.29542,-0.0313047,0.0139774,0.0112521,0.607862,0.211496,0.66945
01324186,1492076412219,-9.57574,0.745522,2.2262,0.0302527,-0.00918829,0.00588204,0.398582,-0.139955,-0.164459
01324185,1492076412219,-9.50356,-1.85447,1.64932,0.00939927,0.0393855,0.0472335,0.539182,0.139973,0.178503
01324184,1492076412219,-9.67834,1.39105,-0.904659,-0.0220591,0.0156621,0.0109418,0.493284,-0.129661,0.592681
01324180,1492076412219,-9.45258,-2.1067,1.25672,-0.0302912,0.0687528,0.000722866,0.446135,0.402473,0.195401
