ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076920599,0.0747985,0.291667,9.79356,0.00110068,0.0138737,-0.00312488,0.24848,0.879235,-0.46211
01324186,1492076920599,0.813176,0.629734,9.74209,-0.00028869,0.00439381,-0.00338458,-0.845344,-0.208333,-0.569794
01324185,1492076920599,0.0848393,-0.945619,-9.7813,-0.00153473,-0.00051549,0.00556924,0.430095,0.335198,0.781396
01324184,1492076920599,-0.0742169,0.0431021,9.79932,-0.00136158,0.00628779,0.00249148,0.379223,-0.257505,-0.290906
01324180,1492076920599,-0.128522,-1.71852,9.64165,0.00129705,0.00674934,-0.00602624,-0.510897,-0.200202,-0.732568
01324187,1492076920602,0.077813,0.276789,9.82992,-0.00244043,0.0115026,0.0109279,0.245107,0.887933,-0.468647
01324186,1492076920602,0.815822,0.630606,9.78599,0.00135445,0.00948582,0.00190167,-0.852577,-0.205357,-0.577502
01324185,1492076920602,0.070376,-0.947929,-9.77338,0.00861114,-0.000709586,-0.00379249,0.427913,0.343479,0.779362
01324184,1492076920602,-0.0839955,0.0357231,9.84323,-0.0129097,0.0133684,0.00944119,0.374941,-0.249011,-0.295426
01324180,1492076920602,-0.143247,-1.72166,9.69465,-0.00606262,0.0222013,0.00810423,-0.518405,-0.195239,-0.741528
01324187,1492076920618,0.0680815,0.269321,9.82003,-0.00251124,0.00688304,-0.00493324,0.246053,0.887651,-0.466478
01324186,1492076920618,0.79137,0.650225,9.80006,0.00110428,0.0036451,0.0177293,-0.852286,-0.202734,-0.577538
01324185,1492076920618,0.0752479,-0.940723,-9.75911,-0.00561069,0.000273299,-0.00718619,0.426829,0.342352,0.779376
01324184,1492076920618,-0.0840986,0.0504014,9.83808,-0.00848977,0.00982068,0.00771582,0.374134,-0.247832,-0.296205
01324180,1492076920618,-0.138331,-1.71894,9.67055,-0.00672515,0.00821885,0.00624339,-0.518944,-0.195234,-0.740711
01324187,1492076920635,0.0628837,0.296249,9.82994,-0.004373,7.12226e-05,0.00471788,0.246585,0.882527,-0.46428
01324186,1492076920635,0.811038,0.626024,9.8006,0.00136242,0.00597411,0.00189876,-0.846014,-0.206952,-0.57191
01324185,1492076920635,0.0704244,-0.940693,-9.7589,0.000919611,0.0161488,0.00121049,0.429413,0.335873,0.779822
01324184,1492076920635,-0.0839473,0.0308283,9.83846,-0.0226544,0.00314356,-0.0028191,0.376893,-0.254908,-0.28721
01324180,1492076920635,-0.143181,-1.724,9.68739,-0.0129792,0.0187438,0.00451911,-0.512401,-0.196542,-0.7349
01324187,1492076920651,0.0731117,0.266877,9.83221,-0.000874406,-0.000121856,-0.00494969,0.248077,0.882806,-0.462258
01324186,1492076920651,0.808477,0.640433,9.79309,0.0119035,0.013216,-0.00244876,-0.846567,-0.207523,-0.571928
