ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076601128,-9.74089,0.282726,-1.19252,0.00577968,0.00112786,0.0283186,0.491426,-0.413925,0.627031
01324186,1492076601128,-9.54849,0.780052,2.51662,0.0280883,-0.000342361,-0.0348406,0.631665,-0.385726,-0.445994
01324185,1492076601128,-9.67805,-1.6965,1.33387,0.0346898,0.0185721,-0.00455337,0.864317,0.056677,0.289622
01324184,1492076601128,-9.7555,0.828839,-0.569026,-0.00582075,-0.00186441,0.00956094,0.511362,-0.528501,0.401436
01324180,1492076601128,-9.5771,-2.37051,0.955177,0.043247,0.0320113,-0.012933,0.671131,0.292215,0.361925
01324187,1492076601131,-9.68709,0.27852,-1.18226,0.0041763,0.00977909,0.0239198,0.49035,-0.409799,0.626076
01324186,1492076601131,-9.45029,0.713208,2.55769,0.0174995,0.00642303,-0.0296273,0.632818,-0.38179,-0.453166
01324185,1492076601131,-9.62483,-1.68954,1.40916,0.0382042,0.0185357,-0.0045693,0.866463,0.0633578,0.286424
01324184,1492076601131,-9.74602,0.846037,-0.510854,-0.00391875,0.0069585,0.00781113,0.51254,-0.523599,0.396154
01324180,1492076601131,-9.5397,-2.28844,0.997078,0.0370908,0.0219853,0.00455246,0.668203,0.303817,0.360049
01324187,1492076601147,-9.74574,0.282647,-1.19014,-0.0027378,0.0150842,0.0230337,0.491163,-0.410951,0.625663
01324186,1492076601147,-9.39909,0.723142,2.56068,0.031428,0.00635603,-0.0260709,0.633364,-0.381808,-0.4529
01324185,1492076601147,-9.6055,-1.70648,1.45218,0.0343958,0.025547,-0.0114178,0.866462,0.0646218,0.286412
01324184,1492076601147,-9.74614,0.853386,-0.481773,-0.0110257,0.00878719,0.00953874,0.513084,-0.523621,0.396819
01324180,1492076601147,-9.4972,-2.22315,1.0341,0.0206607,0.0168689,-0.0061305,0.668621,0.303245,0.357882
01324187,1492076601164,-9.69543,0.337466,-1.19397,0.00937323,0.00623533,0.0230672,0.491021,-0.413638,0.626628
01324186,1492076601164,-9.42365,0.74228,2.55038,0.0296695,0.0098656,-0.0260662,0.632502,-0.383973,-0.447017
01324185,1492076601164,-9.58131,-1.68976,1.46553,0.0171716,0.0205152,-0.00286777,0.86472,0.0596337,0.289982
01324184,1492076601164,-9.74647,0.897424,-0.485053,-0.0110505,0.00529718,0.00780946,0.512496,-0.52551,0.400273
01324180,1492076601164,-9.47846,-2.19943,1.09483,-0.00235951,0.0306324,0.0017342,0.669088,0.29615,0.361227
01324187,1492076601180,-9.70743,0.344528,-1.16244,0.0111578,0.00796046,0.0230901,0.488858,-0.413335,0.62503
01324186,1492076601180,-9.48243,0.768579,2.53955,0.0188859,0.0100618,-0.00850327,0.630864,-0.382505,-0.446132
01324185,1492076601180,-9.54991,-1.66589,1.44938,0.024568,0.0134899,0.00566627,0.862287,0.0586267,0.288698
01324184,1492076601180,-9.74658,0.902327,-0.45349,0.0031406,0.00855383,0.0130982,0.509635,-0.524571,0.399511
01324180,1492076601180,-9.45931,-2.21458,1.17952,-0.000492019,0.027191,-0.00268195,0.667222,0.295891,0.361786
01324187,1492076601197,-9.72173,0.324646,-1.16034,0.0042166,0.0113416,0.0124965,0.490481,-0.412494,0.62663
01324186,1492076601197,-9.48747,0.782787,2.52226,0.0171849,0.00926984,-0.0111463,0.631965,-0.382779,-0.447778
01324185,1492076601197,-9.51143,-1.67099,1.40412,0.0206765,0.0055266,-0.00279112,0.86337,0.0583652,0.289739
01324184,1492076601197,-9.75645,0.916956,-0.444089,0.00307375,0.0119272,0.0218445,0.511256,-0.526896,0.399188
01324180,1492076601197,-9.44044,-2.19555,1.22815,0.00327923,0.000666196,0.00858535,0.669079,0.296432,0.362307
01324187,1492076601214,-9.71675,0.327108,-1.14568,0.0181295,0.00609521,0.019609,0.489404,-0.409077,0.625815
01324186,1492076601214,-9.47017,0.771337,2.5543,0.0136635,0.00212708,-0.00853502,0.631705,-0.382419,-0.450336
01324185,1492076601214,-9.52846,-1.70462,1.37608,0.0291092,-0.00432813,-0.0112373,0.864577,0.0622574,0.287613
01324184,1492076601214,-9.73678,0.897484,-0.463078,-0.0110311,0.0105209,0.0112996,0.511411,-0.525742,0.398136
01324180,1492076601214,-9.44949,-2.22409,1.17715,0.00695636,-0.013346,0.00938464,0.666941,0.298219,0.35915
01324187,1492076601230,-9.68881,0.372058,-1.2106,-0.00296021,0.00116112,0.0264907,0.491298,-0.409384,0.626468
01324186,1492076601230,-9.40912,0.786638,2.58173,0.0205023,-0.00525965,0.00201835,0.633074,-0.381886,-0.449514
01324185,1492076601230,-9.58628,-1.69942,1.40276,0.0168736,0.00108013,-0.00954496,0.864442,0.0625433,0.287872
01324184,1492076601230,-9.71727,0.897586,-0.475138,-0.00942433,0.00159863,0.0165626,0.513603,-0.526212,0.397037
01324180,1492076601230,-9.49494,-2.23341,1.09449,0.0123127,-0.0274606,0.0163608,0.669083,0.298045,0.357772
01324187,1492076601246,-9.73472,0.346816,-1.20889,-0.0133417,0.00787192,0.00357205,0.491697,-0.413359,0.627295
01324186,1492076601246,-9.38457,0.7774,2.60166,0.0150953,0.012025,0.00904387,0.634835,-0.382582,-0.446441
01324185,1492076601246,-9.6489,-1.67014,1.40271,0.0185476,-0.0227415,-0.0110818,0.864847,0.0614121,0.28749
01324184,1492076601246,-9.77101,0.916869,-0.468528,-0.000528586,0.00151436,0.0157277,0.513186,-0.525655,0.399059
01324180,1492076601246,-9.51611,-2.25719,1.03615,0.0188435,-0.00487766,0.0288673,0.670945,0.297422,0.360016
01324187,1492076601263,-9.71133,0.297636,-1.13616,-0.0115871,0.0079699,0.0123771,0.489666,-0.413044,0.627323
01324186,1492076601263,-9.47748,0.771359,2.55665,0.020577,0.00906488,-0.00498219,0.633057,-0.382112,-0.446271
01324185,1492076601263,-9.63686,-1.65579,1.37294,-0.00432314,-0.0198727,-0.0110777,0.863497,0.0622653,0.288008
01324184,1492076601263,-9.75612,0.882693,-0.477524,-0.000387883,0.0051651,0.00783883,0.511828,-0.52476,0.398819
01324180,1492076601263,-9.52039,-2.29576,1.02623,-0.00708654,-0.0214441,0.0197872,0.669624,0.296875,0.358949
01324187,1492076601279,-9.73131,0.31223,-1.16298,0.000575323,0.00238373,-0.00340368,0.490346,-0.413351,0.625822
01324186,1492076601279,-9.50649,0.73262,2.56648,0.017064,0.014325,-0.00498369,0.631968,-0.38093,-0.44608
01324185,1492076601279,-9.60565,-1.67769,1.333,0.00671716,-0.028668,1.60243e-05,0.862549,0.0608264,0.286202
01324184,1492076601279,-9.75584,0.84844,-0.481737,0.00492245,0.0085244,0.0130859,0.511011,-0.52431,0.398834
01324180,1492076601279,-9.52422,-2.34576,0.955829,-0.00057011,0.0110266,0.0200445,0.667759,0.296033,0.360572
01324187,1492076601295,-9.71193,0.312558,-1.17493,-0.00462147,0.00614916,0.0106554,0.488452,-0.411618,0.625841
01324186,1492076601295,-9.48959,0.731911,2.52771,0.0170631,0.00546802,-0.00323862,0.632796,-0.381195,-0.447859
01324185,1492076601295,-9.61053,-1.68971,1.3212,0.00631443,-0.0146644,-0.00942685,0.862416,0.0608464,0.287244
01324184,1492076601295,-9.74605,0.833823,-0.452175,0.00672395,0.00680822,0.00959074,0.509107,-0.524097,0.396979
01324180,1492076601295,-9.50447,-2.35706,0.905208,0.00155182,-0.0080222,0.00936761,0.667195,0.299517,0.3585
01324187,1492076601312,-9.68295,0.3131,-1.20378,0.000539386,0.00069264,9.46527e-05,0.49089,-0.411226,0.626211
01324186,1492076601312,-9.4725,0.746916,2.54725,0.0226302,-0.00616593,-0.0208208,0.632249,-0.381747,-0.448553
01324185,1492076601312,-9.61047,-1.68968,1.35274,0.00114834,-0.0251629,-0.00680271,0.864034,0.0613925,0.286452
01324184,1492076601312,-9.73164,0.873032,-0.501542,-0.00037228,0.0138321,0.0148161,0.51128,-0.525307,0.397876
01324180,1492076601312,-9.50445,-2.35203,0.885902,0.00490216,0.0061248,0.0042143,0.668819,0.297615,0.35817
01324187,1492076601329,-9.71261,0.344601,-1.19409,0.00232071,0.00259043,0.00980934,0.491425,-0.413066,0.627976
01324186,1492076601329,-9.47722,0.742621,2.57649,0.017215,0.00227646,-0.0120383,0.634146,-0.384143,-0.447444
01324185,1492076601329,-9.6104,-1.70889,1.41602,-0.00730043,-0.00211403,0.000713069,0.864983,0.0619838,0.288005
