ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076535305,-9.70496,0.299375,-1.23345,-0.0256984,-0.0237713,0.0100412,0.745571,-0.170617,-0.212556
01324186,1492076535305,-9.32017,0.765941,2.74323,-0.182404,-0.0276747,0.0309296,0.724887,0.320583,-0.182948
01324185,1492076535305,-10.6109,-2.29795,3.62709,0.291048,-0.983258,-0.498563,0.589688,0.0328612,-0.534371
01324184,1492076535305,-9.69435,1.18278,-0.769921,-0.149168,0.0117223,-0.0154365,0.764111,0.0159943,-0.299564
01324180,1492076535305,-11.4407,-3.7956,7.09308,-0.147564,-0.838731,-0.820914,0.703991,-0.145495,-0.386448
01324187,1492076535309,-9.71632,0.269533,-1.19496,-0.0362195,-0.0256411,-0.00235636,0.745589,-0.164692,-0.216379
01324186,1492076535309,-9.19342,0.880178,2.85321,-0.193691,0.0157176,0.0194716,0.72685,0.32657,-0.185709
01324185,1492076535309,-10.3318,-2.4635,3.51979,0.0899622,-1.11473,-0.631929,0.578567,0.0431557,-0.553946
01324184,1492076535309,-9.66993,1.17313,-0.769588,-0.152606,0.0162539,-0.0207066,0.765601,0.0240444,-0.305861
01324180,1492076535309,-11.5313,-4.32508,7.30195,-0.277085,-1.1273,-0.927604,0.696891,-0.122638,-0.405347
01324187,1492076535325,-9.71603,0.259636,-1.18046,-0.0291935,-0.0237559,0.0100203,0.747214,-0.164581,-0.217216
01324186,1492076535325,-9.11108,0.992247,2.86026,-0.214017,0.0363001,0.0299512,0.724929,0.327705,-0.18294
01324185,1492076535325,-10.1587,-2.6668,3.54116,-0.126856,-1.2267,-0.763677,0.567737,0.0519156,-0.565701
01324184,1492076535325,-9.71363,1.15332,-0.759733,-0.16053,0.0147292,-0.0277272,0.766981,0.0251541,-0.305853
01324180,1492076535325,-11.3042,-4.33729,6.87876,-0.370284,-1.408,-1.01637,0.690843,-0.111052,-0.421802
01324187,1492076535342,-9.69674,0.303937,-1.13124,-0.0451255,-0.036014,0.00106716,0.747746,-0.166694,-0.214367
01324186,1492076535342,-9.16817,0.781819,2.90833,-0.231643,0.0712712,0.0325665,0.727338,0.321464,-0.179551
01324185,1492076535342,-9.93309,-3.23135,3.80177,-0.319025,-1.32968,-0.938039,0.55666,0.0544839,-0.571022
01324184,1492076535342,-9.71359,1.14843,-0.759639,-0.15782,0.0112964,-0.0347116,0.767882,0.0223551,-0.301092
01324180,1492076535342,-10.9887,-4.4599,6.49449,-0.422578,-1.63758,-1.0694,0.683027,-0.10531,-0.443715
01324187,1492076535358,-9.69594,0.274277,-1.09504,-0.0625023,-0.0290979,-0.0113469,0.745584,-0.165389,-0.214885
01324186,1492076535358,-9.30391,0.568814,2.83841,-0.259289,0.0753982,0.0122711,0.724733,0.321343,-0.178314
01324185,1492076535358,-9.77242,-3.68,3.9839,-0.443726,-1.43931,-1.09711,0.538947,0.0681767,-0.581761
01324184,1492076535358,-9.71789,1.06523,-0.723981,-0.172256,0.00596369,-0.0207826,0.765699,0.0232602,-0.300522
