ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492076478999,-9.70817,0.412915,-1.13049,0.0082048,-0.00734122,-0.0128503,0.804973,-0.236464,-0.44821
01324186,1492076478999,-9.35372,0.839497,2.90174,-0.0265693,-0.00330721,0.0330894,0.834882,0.377426,-0.323671
01324185,1492076478999,-9.63848,-1.70895,1.6314,-0.0177565,-0.0151153,-0.00480266,0.725029,0.0210346,-0.570406
01324184,1492076478999,-9.67592,1.0472,-0.854555,-0.0567659,-0.00969005,-0.0205707,0.824832,0.0252225,-0.465849
01324180,1492076478999,-9.62314,-2.19243,1.33307,-0.00728834,-0.0106385,0.066099,0.764901,-0.171233,-0.448225
01324187,1492076479002,-9.7284,0.444704,-1.15473,-0.0109614,-0.00157868,0.00818391,0.804448,-0.23608,-0.454296
01324186,1492076479002,-9.36337,0.852365,2.94046,-0.0246991,0.00405632,0.0243138,0.835648,0.385436,-0.331075
01324185,1492076479002,-9.61399,-1.62236,1.69982,-0.0161734,-0.00283536,-0.00829233,0.724334,0.0293412,-0.575943
01324184,1492076479002,-9.68792,1.01289,-0.815009,-0.0397073,0.0093933,-0.0161827,0.82513,0.0364534,-0.473147
01324180,1492076479002,-9.60412,-2.16807,1.33339,0.0122588,-0.0244166,0.0573364,0.765379,-0.165174,-0.451866
01324187,1492076479018,-9.72569,0.442172,-1.13042,0.00134913,0.00171492,0.0029926,0.80607,-0.23653,-0.454452
01324186,1492076479018,-9.3732,0.859516,2.93538,-0.047201,0.00884677,0.010168,0.8377,0.385403,-0.3315
01324185,1492076479018,-9.60408,-1.54536,1.72286,0.00460582,-0.0295253,-0.0149517,0.726354,0.0298912,-0.576475
01324184,1492076479018,-9.73692,1.05665,-0.83806,-0.0212133,0.00201326,-0.00997399,0.826226,0.036433,-0.473692
01324180,1492076479018,-9.58051,-2.12681,1.33868,0.00698917,-0.0136724,0.0450752,0.767011,-0.167496,-0.453544
01324187,1492076479034,-9.68985,0.472313,-1.15893,0.00815895,-0.00958027,0.0100284,0.807678,-0.237078,-0.449057
01324186,1492076479034,-9.36033,0.735501,2.9224,-0.0402876,0.00604948,0.0154586,0.837517,0.380525,-0.327902
01324185,1492076479034,-9.57728,-1.61031,1.96016,-0.00452495,-0.0452041,-0.00294074,0.727447,0.0239326,-0.572782
01324184,1492076479034,-9.6887,1.12053,-0.841425,0.00629067,0.00681034,-0.00288313,0.828045,0.0294797,-0.469816
01324180,1492076479034,-9.44785,-2.15842,1.50897,0.00222604,-0.0219066,0.0141796,0.768055,-0.169584,-0.44435
01324187,1492076479050,-9.70297,0.531146,-1.16097,-0.000626406,-0.0120916,0.0117319,0.805786,-0.237764,-0.449839
01324186,1492076479050,-9.44909,0.497837,2.94844,-0.049308,-0.0112135,-0.0179945,0.835861,0.379352,-0.326039
01324185,1492076479050,-9.599,-1.92034,2.41071,0.0267405,-0.123406,-0.0339325,0.725964,0.0242185,-0.57252
01324184,1492076479050,-9.67968,1.20378,-0.804002,0.00979467,0.00325455,-0.00283906,0.828034,0.0288984,-0.469023
01324180,1492076479050,-9.33547,-2.45302,2.10537,0.0494677,-0.00245441,0.00308721,0.766473,-0.170707,-0.444484
01324187,1492076479066,-9.70537,0.521334,-1.17323,-0.00937667,-0.0121293,0.00463227,0.805245,-0.238041,-0.449966
01324186,1492076479066,-9.31817,0.638956,2.94359,-0.076057,-0.00446052,-0.0392212,0.834491,0.379364,-0.32535
01324185,1492076479066,-9.57509,-2.12256,2.59858,0.135983,-0.209816,-0.110893,0.721374,0.025007,-0.575371
01324184,1492076479066,-9.65579,1.26752,-0.819687,-0.00537673,-0.00530122,-0.0063529,0.823534,0.0301509,-0.468829
01324180,1492076479066,-9.61558,-2.7438,2.8188,0.0761617,0.0051285,-0.0318662,0.765268,-0.169672,-0.445384
01324187,1492076479082,-9.76595,0.638617,-1.19956,-0.0111445,-0.0139468,-0.00240011,0.802287,-0.232353,-0.453065
01324186,1492076479082,-9.21516,1.13377,3.15354,-0.151242,0.00218832,-0.0395087,0.834272,0.387109,-0.327074
01324185,1492076479082,-9.84997,-2.13043,2.65168,0.219914,-0.303187,-0.202176,0.717579,0.0285217,-0.582281
01324184,1492076479082,-9.69759,1.31867,-0.82092,-0.0304005,-0.012106,-0.00115188,0.824422,0.0347429,-0.4721
01324180,1492076479082,-10.1165,-3.01646,3.62926,0.107411,-0.0393405,-0.0934758,0.762999,-0.166283,-0.451987
01324187,1492076479098,-9.81512,0.67229,-1.18763,-0.0286376,-0.0136712,0.00454978,0.804991,-0.233676,-0.45391
01324186,1492076479098,-9.29754,1.48417,3.21193,-0.146614,0.00645184,-0.00949828,0.836924,0.389443,-0.32678
01324185,1492076479098,-10.1391,-2.0852,2.75093,0.202811,-0.359732,-0.230648,0.714063,0.0280109,-0.587073
