ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077620819,-9.69718,-0.972222,-1.19531,0.0681047,0.00274718,0.0217849,0.645915,-0.158525,0.220923
01324186,1492077620819,-9.09998,0.685861,3.68981,0.0824904,-0.0417277,-0.0719384,0.71604,-0.25762,-0.294424
01324185,1492077620819,-9.2174,-1.69946,0.449293,0.075292,-0.0346925,0.214213,0.821184,0.0883853,0.13449
01324184,1492077620819,-9.62505,0.8468,1.60853,0.0694244,-0.01467,-0.0116923,0.690145,-0.318978,-0.0641615
01324180,1492077620819,-8.92965,-2.74292,-0.590898,0.266717,0.194923,0.216734,0.701813,0.289914,0.301302
01324187,1492077620822,-9.72135,-0.992187,-1.20547,0.0418547,0.00297884,0.0216225,0.64839,-0.151173,0.216484
01324186,1492077620822,-9.07502,0.643506,3.75402,0.0789163,-0.0463295,-0.0666905,0.714856,-0.252839,-0.301911
01324185,1492077620822,-9.24154,-1.77385,0.552999,0.0305225,-0.00472505,0.174956,0.819408,0.093665,0.130525
01324184,1492077620822,-9.64486,0.868737,1.67861,0.0668357,-0.0119108,-0.0151914,0.688053,-0.311946,-0.0702133
01324180,1492077620822,-9.00467,-2.95728,-0.491301,0.0697997,0.123793,0.22902,0.69906,0.297506,0.298527
01324187,1492077620838,-9.67648,-1.04084,-1.18112,0.0434877,-0.00398588,0.0251111,0.648664,-0.151471,0.21539
01324186,1492077620838,-9.01678,0.677113,3.72513,0.0647376,-0.0362576,-0.0561952,0.715541,-0.253182,-0.300558
01324185,1492077620838,-9.35001,-1.84528,0.694253,-0.0161285,0.00800127,0.173249,0.819271,0.0905353,0.128988
01324184,1492077620838,-9.63024,0.863928,1.69341,0.0686412,-0.00410313,-0.00995279,0.686145,-0.310735,-0.0712527
01324180,1492077620838,-9.06841,-3.24748,-0.512852,-0.0399377,0.0740373,0.241987,0.700171,0.293571,0.299781
01324187,1492077620854,-9.67732,-0.976995,-1.16597,0.0602346,0.00288373,0.0270103,0.649464,-0.158311,0.218687
01324186,1492077620854,-9.01739,0.684516,3.60802,0.0800529,-0.00884392,-0.0350017,0.714958,-0.255744,-0.297771
01324185,1492077620854,-9.4971,-1.93812,0.851939,-0.0207924,0.0253453,0.145963,0.821864,0.0814461,0.132725
01324184,1492077620854,-9.64551,0.942149,1.71617,0.0587122,-0.00418021,0.00228835,0.689627,-0.318194,-0.0683169
01324180,1492077620854,-9.19162,-3.41225,-0.592298,-0.0815383,0.0315306,0.257237,0.702147,0.283528,0.303192
01324187,1492077620870,-9.66768,-0.998775,-1.21225,0.0452974,-0.000703596,0.0128094,0.646875,-0.157554,0.21913
01324186,1492077620870,-9.19244,0.686738,3.74954,0.0956662,-0.0124504,-0.0287463,0.715767,-0.258449,-0.296376
01324185,1492077620870,-9.6079,-2.02633,1.05655,-0.0371791,0.0217976,0.132421,0.820922,0.0797958,0.134835
01324184,1492077620870,-9.58718,0.95715,1.72111,0.0623594,-0.00842427,-0.00993812,0.688679,-0.316171,-0.0671962
01324180,1492077620870,-9.28667,-3.52391,-0.639759,-0.0671936,0.00707485,0.256272,0.705241,0.281731,0.304189
01324187,1492077620886,-9.64306,-0.991221,-1.17545,0.0507246,0.00982452,0.0199185,0.646873,-0.157836,0.219677
01324186,1492077620886,-9.23553,0.605552,3.82551,0.0886987,-0.0247697,-0.0287789,0.716196,-0.256965,-0.297145
01324185,1492077620886,-9.61986,-2.11276,1.2375,-0.0025645,0.0160141,0.118816,0.820922,0.0803644,0.135091
01324184,1492077620886,-9.56283,0.967059,1.68697,0.0729876,0.00350295,0.00406974,0.6899,-0.317643,-0.0669633
01324180,1492077620886,-9.26717,-3.53578,-0.637217,-0.0541225,0.0196165,0.245006,0.704466,0.279136,0.304688
01324187,1492077620902,-9.70754,-0.920824,-1.17551,0.0506487,0.00443458,0.00936092,0.646747,-0.153849,0.218022
01324186,1492077620902,-9.07497,0.588957,3.69617,0.0940661,-0.0404758,-0.0323349,0.715261,-0.253618,-0.300573
01324185,1492077620902,-9.67509,-2.07383,1.30741,0.059642,0.0100644,0.113694,0.82091,0.0831072,0.131145
01324184,1492077620902,-9.61723,1.07931,1.66257,0.0339976,0.00589041,-0.00300823,0.688431,-0.313577,-0.0671486
01324180,1492077620902,-9.2616,-3.57634,-0.676055,-0.0283183,0.0115511,0.21521,0.70488,0.278851,0.302788
01324187,1492077620918,-9.66584,-0.833767,-1.26421,0.0224621,-0.00663568,0.0108905,0.648379,-0.15616,0.217737
01324186,1492077620918,-9.04076,0.644009,3.77397,0.10272,-0.0370758,-0.0279101,0.713591,-0.253894,-0.299882
01324185,1492077620918,-9.7038,-1.99179,1.30779,0.101529,-0.00802291,0.106965,0.820103,0.0797461,0.132225
01324184,1492077620918,-9.58857,1.16753,1.60505,0.0218577,0.0307008,-0.00480602,0.687339,-0.313529,-0.0687539
01324180,1492077620918,-9.32218,-3.55741,-0.707961,0.0169503,0.0491014,0.187646,0.705054,0.275665,0.302452
01324187,1492077620934,-9.67926,-0.932159,-1.29684,-0.0213671,-0.010822,-0.00173636,0.646467,-0.15755,0.218863
01324186,1492077620934,-8.98292,0.720728,3.7153,0.116635,-0.0248182,-0.0252178,0.714672,-0.257638,-0.298393
01324185,1492077620934,-9.71815,-1.91951,1.26399,0.0953465,-0.0185257,0.107041,0.82146,0.0766408,0.131989
01324184,1492077620934,-9.62695,1.08169,1.64055,-0.0103059,0.0377712,0.0177977,0.68924,-0.316725,-0.070038
01324180,1492077620934,-9.31454,-3.57137,-0.749049,0.0731173,0.0586388,0.15993,0.706715,0.270271,0.304073
01324187,1492077620949,-9.66243,-1.0062,-1.18552,-0.0248272,-0.00908932,-0.00176159,0.648103,-0.158439,0.218025
01324186,1492077620949,-8.98285,0.725967,3.73474,0.127217,-0.0227814,-0.031331,0.714946,-0.257801,-0.29799
01324185,1492077620949,-9.68929,-1.88126,1.1653,0.107344,-0.0292596,0.100286,0.822138,0.0756468,0.131604
01324184,1492077620949,-9.61616,0.94229,1.6579,-0.0139868,0.0220361,0.014264,0.687988,-0.317847,-0.0697776
01324180,1492077620949,-9.27659,-3.51541,-0.748371,0.108205,0.0625148,0.147876,0.707525,0.269091,0.305386
01324187,1492077620965,-9.68179,-0.979696,-1.12715,-0.0197535,-0.0203509,0.00704339,0.648378,-0.156729,0.218013
01324186,1492077620965,-9.01182,0.687415,3.75432,0.116751,-0.0210062,-0.0331213,0.716894,-0.2571,-0.298255
01324185,1492077620965,-9.6365,-1.89614,1.04673,0.106155,-0.0259739,0.0730412,0.822134,0.0776093,0.131063
01324184,1492077620965,-9.58687,0.93511,1.65821,-0.0120406,0.0257097,0.00376497,0.689097,-0.31617,-0.0681422
01324180,1492077620965,-9.27606,-3.55649,-0.743758,0.118993,0.0649001,0.11806,0.707384,0.269818,0.305133
01324187,1492077620982,-9.65429,-0.949176,-1.2627,-0.0378708,-0.00368885,-6.53785e-05,0.648242,-0.154719,0.219097
01324186,1492077620982,-9.04339,0.66808,3.76389,0.143144,-0.0222376,-0.0435672,0.715507,-0.256355,-0.297389
01324185,1492077620982,-9.56441,-1.90874,0.922457,0.125277,-0.0349908,0.0679601,0.821863,0.0761854,0.130293
01324184,1492077620982,-9.63111,1.01069,1.56883,-0.0439146,0.0314603,-0.000687312,0.687991,-0.315871,-0.0667811
01324180,1492077620982,-9.22756,-3.56558,-0.743334,0.143343,0.066487,0.13052,0.708327,0.269662,0.304307
01324187,1492077620999,-9.65354,-1.01054,-1.28269,-0.0634242,-0.0139756,-0.00203371,0.648107,-0.15544,0.21801
01324186,1492077620999,-9.04597,0.677444,3.74668,0.12755,-0.0290914,-0.0506667,0.716062,-0.256223,-0.297251
01324185,1492077620999,-9.52118,-1.94036,0.872404,0.124767,-0.0192391,0.0559448,0.821725,0.0756044,0.129385
01324184,1492077620999,-9.62062,0.917765,1.55849,-0.0477437,0.0189803,0.0106556,0.68827,-0.316152,-0.0678655
01324180,1492077620999,-9.20469,-3.46383,-0.752219,0.147461,0.0406743,0.107527,0.708173,0.271696,0.303406
01324187,1492077621015,-9.68084,-1.07776,-1.18637,-0.060034,-0.0208096,0.0102941,0.647698,-0.156005,0.218019
01324186,1492077621015,-9.03097,0.649138,3.78622,0.138248,-0.0321032,-0.0629458,0.715644,-0.255937,-0.29655
01324185,1492077621015,-9.53562,-1.95949,0.916894,0.151393,-0.0163287,0.0210315,0.822408,0.0745045,0.13083
01324184,1492077621015,-9.63963,0.839385,1.62076,-0.0458313,0.0104962,-0.00771396,0.687988,-0.315597,-0.0656992
01324180,1492077621015,-9.18984,-3.47286,-0.795627,0.135302,0.0372436,0.102146,0.707803,0.268951,0.303626
01324187,1492077621032,-9.70412,-1.10546,-1.11638,-0.0249457,-0.0158513,0.0123064,0.647146,-0.158129,0.219266
01324186,1492077621032,-8.99158,0.603399,3.79947,0.14094,-0.0248768,-0.0682164,0.715081,-0.256969,-0.296037
01324185,1492077621032,-9.60313,-2.00233,0.995442,0.173571,-0.0132019,0.00484375,0.821725,0.0739011,0.128748
01324184,1492077621032,-9.66835,0.748727,1.70999,-0.0158438,0.0219295,0.0229452,0.687707,-0.316165,-0.0657067
01324180,1492077621032,-9.21269,-3.54968,-0.861526,0.158392,0.0308247,0.0776175,0.708863,0.269213,0.305234
01324187,1492077621048,-9.66557,-1.07541,-1.11569,-0.00671341,-0.0247202,0.0141423,0.648783,-0.15859,0.218289
01324186,1492077621048,-8.94804,0.644236,3.7703,0.154059,-0.0159721,-0.0699255,0.71535,-0.258016,-0.295669
01324185,1492077621048,-9.64654,-2.01168,1.01438,0.188515,-0.0082734,-0.0156055,0.821999,0.0744871,0.129917
01324184,1492077621048,-9.67291,0.702221,1.73521,0.0197271,0.00248637,0.00208064,0.687849,-0.31644,-0.0670591
01324180,1492077621048,-9.2466,-3.55267,-0.844956,0.182753,0.0432309,0.0752279,0.709683,0.268338,0.303856
01324187,1492077621065,-9.68553,-1.04131,-1.1083,0.0189183,-0.00903966,0.0249383,0.648247,-0.156888,0.215832
01324186,1492077621065,-9.04035,0.595947,3.79892,0.159366,-0.01046,-0.0751529,0.716896,-0.256518,-0.297957
01324185,1492077621065,-9.65146,-2.05017,1.01984,0.228242,0.00878722,-0.0327659,0.823886,0.0775309,0.127007
01324184,1492077621065,-9.61963,0.756323,1.68092,0.046515,0.00406297,-0.00832165,0.689071,-0.319035,-0.069
01324180,1492077621065,-9.25637,-3.54056,-0.859486,0.22134,0.0435317,0.0675669,0.708865,0.269803,0.303358
01324187,1492077621082,-9.67707,-1.01128,-1.19545,0.0259325,-0.00719584,0.0329114,0.649336,-0.156472,0.21636
01324186,1492077621082,-9.05011,0.571066,3.76984,0.171966,-0.0149015,-0.0962117,0.716064,-0.254642,-0.295678
01324185,1492077621082,-9.64658,-2.03574,1.02919,0.252637,0.00321676,-0.0378613,0.822937,0.0789503,0.127519
01324184,1492077621082,-9.64923,0.805096,1.67737,0.0480769,-0.00490615,0.000460845,0.687969,-0.319011,-0.0687207
01324180,1492077621082,-9.26551,-3.57428,-0.876678,0.249617,0.0333647,0.0553603,0.709403,0.270091,0.302007
01324187,1492077621098,-9.68644,-1.00915,-1.15177,0.0311902,-0.00730906,0.0294276,0.648108,-0.155729,0.217602
01324186,1492077621098,-9.03042,0.546959,3.77526,0.1899,-0.0102774,-0.124283,0.717593,-0.253235,-0.294401
01324185,1492077621098,-9.68517,-2.05474,1.0553,0.296319,-0.00432763,-0.044656,0.823883,0.0799237,0.126853
01324184,1492077621098,-9.63501,0.873661,1.61039,0.071204,-0.00343095,-0.00119896,0.688401,-0.317294,-0.068829
01324180,1492077621098,-9.3188,-3.54772,-0.937473,0.284406,0.0583355,0.0417075,0.709788,0.271385,0.302297
01324187,1492077621115,-9.66798,-0.959585,-1.1803,0.0346898,-0.00726256,0.0338492,0.64756,-0.157146,0.21789
01324186,1492077621115,-9.03057,0.601028,3.80874,0.198757,-0.0170329,-0.130411,0.716748,-0.25385,-0.292633
01324185,1492077621115,-9.68972,-1.9584,1.0545,0.320542,0.0164971,-0.0533215,0.823069,0.0801983,0.126461
01324184,1492077621115,-9.62565,0.912874,1.64866,0.0728608,-0.00707103,0.00494644,0.688399,-0.317297,-0.0685598
01324180,1492077621115,-9.28091,-3.48693,-0.936769,0.319347,0.0619296,0.0437184,0.709248,0.271976,0.301778
01324187,1492077621131,-9.65292,-0.996187,-1.19505,0.0242135,-0.00542878,0.0337802,0.648923,-0.157167,0.217871
01324186,1492077621131,-9.01098,0.621281,3.84776,0.198925,-0.0201949,-0.140091,0.717304,-0.25443,-0.293485
01324185,1492077621131,-9.65833,-1.93454,1.03836,0.333971,0.0135888,-0.0677827,0.821573,0.0808683,0.124631
01324184,1492077621131,-9.60663,0.966813,1.66723,0.0730748,0.00535834,-0.00117617,0.688663,-0.319016,-0.0696693
01324180,1492077621131,-9.26771,-3.39027,-0.931276,0.361397,0.0675513,0.0334949,0.708298,0.273151,0.301815
01324187,1492077621148,-9.70042,-1.04139,-1.1352,0.0417152,-0.005594,0.0330257,0.649473,-0.159488,0.214462
01324186,1492077621148,-8.97223,0.600271,3.76075,0.212889,-0.00959817,-0.140037,0.717597,-0.253214,-0.295224
01324185,1492077621148,-9.6751,-1.86705,0.999557,0.345926,0.010761,-0.0754293,0.82171,0.0831476,0.125915
01324184,1492077621148,-9.62564,0.898209,1.69765,0.0819236,0.00865518,0.00582223,0.689237,-0.315887,-0.0680038
01324180,1492077621148,-9.26927,-3.28937,-0.887234,0.375301,0.0835802,0.0231706,0.709508,0.274164,0.298177
01324187,1492077621164,-9.72156,-0.921312,-1.11247,0.0555886,-0.0145142,0.0286977,0.648783,-0.160022,0.21775
01324186,1492077621164,-8.99142,0.561801,3.7829,0.230689,-0.0105557,-0.159312,0.719123,-0.251536,-0.292974
01324185,1492077621164,-9.6847,-1.82369,0.960701,0.3635,0.0158824,-0.07548,0.821167,0.0849845,0.12616
01324184,1492077621164,-9.63122,1.00337,1.64446,0.0697497,0.0161162,-0.00993346,0.688674,-0.316181,-0.0663885
01324180,1492077621164,-9.30804,-3.29495,-0.858641,0.375416,0.0747749,0.0248752,0.708973,0.274321,0.297783
01324187,1492077621181,-9.69438,-0.85404,-1.22095,0.0295035,-0.00370334,0.0338446,0.649195,-0.159753,0.216515
01324186,1492077621181,-8.94778,0.605498,3.77564,0.25193,0.0166346,-0.179437,0.720361,-0.251614,-0.290929
01324185,1492077621181,-9.66539,-1.79255,0.920732,0.358928,0.00512891,-0.0992234,0.823468,0.087804,0.126256
01324184,1492077621181,-9.63691,1.10855,1.64485,0.0666908,0.00522767,0.0110976,0.689723,-0.318846,-0.0624053
01324180,1492077621181,-9.31382,-3.2474,-0.795599,0.368842,0.0593115,0.0071554,0.70841,0.277381,0.2961
01324187,1492077621198,-9.69347,-0.908153,-1.21414,0.00401426,-0.0105937,0.0266078,0.648107,-0.158308,0.216523
01324186,1492077621198,-8.9524,0.561793,3.7761,0.259085,0.015266,-0.189084,0.721745,-0.25109,-0.289548
01324185,1492077621198,-9.63684,-1.92996,0.920923,0.346514,0.0157818,-0.102683,0.823731,0.0891677,0.12389
01324184,1492077621198,-9.58734,1.00605,1.61545,0.0320808,-0.00815861,-0.00477129,0.689469,-0.316546,-0.0618243
01324180,1492077621198,-9.28741,-3.25748,-0.725309,0.350565,0.046775,0.0157349,0.708142,0.277826,0.295034
01324187,1492077621214,-9.6915,-1.0067,-1.16639,0.00121602,-0.0212102,0.0177405,0.648513,-0.158305,0.217609
01324186,1492077621214,-8.8985,0.532999,3.78446,0.259559,0.0251291,-0.218985,0.721748,-0.249505,-0.288112
01324185,1492077621214,-9.71711,-2.21351,0.985508,0.377716,0.0153218,-0.115449,0.822516,0.0910475,0.126358
01324184,1492077621214,-9.61615,0.942289,1.65546,0.0533567,0.0157415,0.0232268,0.688525,-0.31592,-0.0639593
01324180,1492077621214,-9.36227,-3.46899,-0.666781,0.325215,0.0449059,0.0155261,0.708123,0.280005,0.293729
01324187,1492077621231,-9.68701,-0.947873,-1.11233,0.015286,-0.0177386,0.0248908,0.648243,-0.159458,0.215845
01324186,1492077621231,-8.93257,0.563158,3.84216,0.259765,0.0432896,-0.234782,0.721481,-0.247874,-0.288319
01324185,1492077621231,-9.68145,-2.44961,1.06405,0.428963,0.0214939,-0.152118,0.821421,0.0930912,0.122684
01324184,1492077621231,-9.66446,0.883312,1.68309,0.0480204,0.00714759,0.0162124,0.688671,-0.316188,-0.0658501
01324180,1492077621231,-9.37608,-3.79786,-0.398038,0.334087,0.0413577,0.0137207,0.707829,0.282916,0.291904
01324187,1492077621247,-9.69383,-0.977496,-1.10781,0.0222795,-0.0176228,0.0355007,0.649877,-0.160914,0.215419
01324186,1492077621247,-9.17286,0.34402,3.84895,0.277789,0.00755392,-0.262835,0.723144,-0.247208,-0.286935
01324185,1492077621247,-9.60544,-2.73677,0.87935,0.482664,0.0450509,-0.213571,0.821281,0.0956124,0.121876
01324184,1492077621247,-9.64016,0.895672,1.66352,0.0601731,-0.0150539,0.0180329,0.688397,-0.315897,-0.0655734
01324180,1492077621247,-9.44076,-4.27425,0.299593,0.347371,0.0122146,-0.0295812,0.708487,0.284066,0.291378
01324187,1492077621264,-9.63867,-0.956759,-1.17023,0.0281814,-0.030826,0.0319517,0.650423,-0.158629,0.216492
01324186,1492077621264,-9.21306,0.17018,3.90412,0.266944,-0.0663042,-0.335057,0.724262,-0.245049,-0.285898
01324185,1492077621264,-9.82451,-3.26774,0.627289,0.550703,0.0729495,-0.351538,0.821278,0.100129,0.122224
01324184,1492077621264,-9.56709,0.874074,1.73743,0.0726343,-0.0186375,0.012817,0.689451,-0.319396,-0.0638936
01324180,1492077621264,-9.77728,-5.0161,0.915774,0.259809,-0.0411043,-0.107981,0.709947,0.28564,0.29004
01324187,1492077621280,-9.61974,-0.883,-1.11102,0.029324,-0.0163355,0.0126441,0.64906,-0.157602,0.217325
01324186,1492077621280,-8.95626,0.436719,3.83604,0.199471,-0.0325402,-0.381057,0.726373,-0.24037,-0.286281
01324185,1492077621280,-10.483,-4.28427,0.884305,0.681689,0.0658926,-0.562386,0.820189,0.107619,0.123332
01324184,1492077621280,-9.56344,1.01114,1.81032,0.0832248,-0.0110438,0.0251295,0.69001,-0.317985,-0.0627966
01324180,1492077621280,-10.4458,-7.03313,1.67639,0.219378,-0.160527,-0.252722,0.710462,0.289277,0.28552
01324187,1492077621297,-9.68847,-0.85445,-1.11394,0.0294373,-0.00906593,0.0285425,0.647155,-0.157582,0.21626
01324186,1492077621297,-8.91071,1.08743,3.95565,0.112425,0.0526429,-0.416454,0.728894,-0.235735,-0.285295
01324185,1492077621297,-10.7668,-4.5899,1.73184,0.84259,-0.0333901,-0.806794,0.820037,0.120687,0.121377
01324184,1492077621297,-9.56866,1.02583,1.9196,0.0796023,-0.0153974,0.026882,0.688889,-0.319265,-0.0617323
01324180,1492077621297,-10.8355,-10.686,3.3588,0.388044,-0.363271,-0.510601,0.711748,0.295651,0.280774
01324187,1492077621314,-9.66747,-0.923213,-1.06815,0.0277313,-0.00651261,0.025008,0.646882,-0.159298,0.215454
01324186,1492077621314,-8.76287,1.62562,3.89267,0.014122,0.0423005,-0.388715,0.731124,-0.232446,-0.283263
01324185,1492077621314,-10.4033,-4.82699,2.96344,0.901455,-0.218562,-1.11022,0.816349,0.13736,0.116263
01324184,1492077621314,-9.57366,1.04293,1.91924,0.0883702,-0.0251903,0.0269298,0.688873,-0.321689,-0.0633902
01324180,1492077621314,-10.4991,-13.3031,5.60985,0.670717,-0.595683,-0.894472,0.703734,0.309599,0.271462
01324187,1492077621330,-9.66209,-0.952665,-1.0635,0.0420614,0.0130702,0.00227844,0.648791,-0.159046,0.214879
