ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077245907,-9.75864,-0.49836,-0.734068,-6.78203e-05,0.00144731,0.0194125,0.85706,0.23336,0.197126
01324186,1492077245907,-9.18019,0.230586,3.48548,0.0126466,-0.00929516,0.00438825,0.827976,-0.225298,-0.230359
01324185,1492077245907,-9.42211,-2.64754,1.26461,0.0126532,0.00912533,-0.00252746,0.870254,0.254854,0.12007
01324184,1492077245907,-9.69581,1.42265,0.297156,-0.0109559,-0.00435417,0.00837265,0.88485,-0.202101,0.212024
01324180,1492077245907,-9.08506,-3.688,-0.635753,0.0185179,0.0280288,0.0204879,0.748472,0.435648,0.264331
01324187,1492077245911,-9.75862,-0.517896,-0.763414,-0.00337267,0.0136222,0.0141512,0.85667,0.24108,0.193254
01324186,1492077245911,-9.19458,0.226641,3.5341,0.00390233,-0.00933188,0.00435813,0.827752,-0.220041,-0.234801
01324185,1492077245911,-9.42197,-2.63786,1.32516,0.0309818,0.000302817,0.0145174,0.87051,0.262136,0.116061
01324184,1492077245911,-9.69375,1.46426,0.320726,0.00799024,0.00967816,-0.00206935,0.884956,-0.194963,0.206877
01324180,1492077245911,-9.10466,-3.66889,-0.638256,0.0323891,0.038634,0.0189007,0.746535,0.442976,0.258555
01324187,1492077245927,-9.74882,-0.51778,-0.758446,-0.000974604,-0.000518622,0.00530868,0.856808,0.240499,0.19257
01324186,1492077245927,-9.19946,0.206727,3.50989,0.0145219,-0.00368851,-0.00438794,0.826932,-0.218833,-0.23543
01324185,1492077245927,-9.44126,-2.60888,1.28687,0.0302288,0.00014431,-0.00248596,0.870646,0.262995,0.116577
01324184,1492077245927,-9.66681,1.45217,0.296768,-0.00269202,0.00804129,-0.00210732,0.886051,-0.195999,0.206714
01324180,1492077245927,-9.10017,-3.64973,-0.618772,0.0533212,0.03495,0.031319,0.745724,0.443279,0.258844
01324187,1492077245943,-9.72979,-0.505084,-0.787296,-0.0114888,-0.00141633,-0.00181123,0.856925,0.23422,0.196849
01324186,1492077245943,-9.19464,0.208979,3.50018,0.0195147,-0.00775413,0.0114532,0.826893,-0.223162,-0.232591
01324185,1492077245943,-9.41955,-2.59459,1.26395,0.0432802,0.0142875,0.0144131,0.87093,0.254815,0.118099
01324184,1492077245943,-9.672,1.50106,0.266575,-0.00998452,8.32616e-05,0.0048942,0.886946,-0.200691,0.210544
01324180,1492077245943,-9.08586,-3.62019,-0.657141,0.044613,0.0260273,0.0382387,0.749783,0.439122,0.262217
01324187,1492077245960,-9.7586,-0.513023,-0.753646,-0.0122054,0.00848299,0.0158367,0.856108,0.23566,0.196031
01324186,1492077245960,-9.19694,0.207072,3.52699,0.0161762,-0.0127199,0.00264213,0.827997,-0.223053,-0.232049
01324185,1492077245960,-9.42193,-2.57051,1.24682,0.0373992,0.00540366,0.000869438,0.871067,0.255396,0.11888
01324184,1492077245960,-9.68658,1.49365,0.278806,-0.0117751,0.0113406,0.0171148,0.887766,-0.201012,0.211477
01324180,1492077245960,-9.09116,-3.584,-0.661827,0.0285214,0.0523386,0.0348148,0.748172,0.43915,0.262242
01324187,1492077245976,-9.74326,-0.54732,-0.734345,-0.0115,-0.00224459,0.00170936,0.856378,0.233794,0.196311
01324186,1492077245976,-9.18973,0.216566,3.51478,0.024984,-0.0266705,0.000900296,0.827169,-0.222745,-0.231893
01324185,1492077245976,-9.42186,-2.55124,1.25633,0.0373307,0.00206727,0.0196004,0.870109,0.256782,0.117295
01324184,1492077245976,-9.70087,1.44709,0.296658,-0.0144695,-0.00251691,0.00661871,0.885562,-0.201509,0.20946
01324180,1492077245976,-9.08603,-3.5957,-0.690844,0.0272593,0.0136736,0.0398068,0.748183,0.438574,0.261418
01324187,1492077245992,-9.73781,-0.557281,-0.690622,0.00337873,-0.00237123,0.00268362,0.857485,0.239649,0.195169
01324186,1492077245992,-9.18473,0.197166,3.51508,0.0179597,-0.0144079,0.000884894,0.828432,-0.222393,-0.235311
01324185,1492077245992,-9.39292,-2.56104,1.26489,0.0257518,0.00390879,0.0161933,0.871742,0.25877,0.117664
01324184,1492077245992,-9.68584,1.38845,0.317355,-0.0151582,-0.000500759,-0.00739947,0.886184,-0.196297,0.207113
01324180,1492077245992,-9.066,-3.65114,-0.676452,0.0270178,0.0240035,0.0486509,0.746962,0.44123,0.257838
01324187,1492077246008,-9.7336,-0.527615,-0.712186,-6.5649e-05,0.00131556,0.0123591,0.858168,0.236907,0.19435
01324186,1492077246008,-9.16036,0.212053,3.5274,0.0153775,-0.0178752,-0.000893404,0.827743,-0.221512,-0.234722
01324185,1492077246008,-9.40252,-2.55134,1.27491,0.0257133,0.0127064,0.0152884,0.870922,0.257039,0.115978
01324184,1492077246008,-9.70031,1.36635,0.327431,-0.00616843,0.00992199,-0.00564366,0.884511,-0.197839,0.20683
01324180,1492077246008,-9.06576,-3.66799,-0.681376,0.035884,0.0224584,0.0399005,0.747383,0.439625,0.257935
01324187,1492077246025,-9.74476,-0.458756,-0.748145,-0.0176735,-0.00565092,0.00342475,0.857066,0.234349,0.195339
01324186,1492077246025,-9.17018,0.231676,3.53923,0.0109628,-0.0126868,0.000857445,0.827185,-0.222663,-0.235173
01324185,1492077246025,-9.40248,-2.5393,1.27964,0.0346168,0.0232155,0.0177624,0.871745,0.255656,0.117694
01324184,1492077246025,-9.70083,1.43242,0.331034,-0.00620615,0.00641911,-0.00649085,0.88599,-0.200784,0.208388
01324180,1492077246025,-9.07813,-3.64887,-0.676558,0.0291338,0.0103063,0.032747,0.749817,0.436217,0.262429
01324187,1492077246041,-9.74363,-0.527621,-0.741463,-0.00447138,-0.000554616,0.00176238,0.856928,0.2345,0.196025
01324186,1492077246041,-9.14562,0.217487,3.55435,0.0214115,-0.0197934,0.00439904,0.827874,-0.223261,-0.23534
01324185,1492077246041,-9.4194,-2.52479,1.23896,0.0183712,0.00918979,0.00851886,0.872157,0.255116,0.119011
01324184,1492077246041,-9.69366,1.45203,0.325831,-0.000956125,0.00970154,0.00314613,0.885992,-0.200074,0.209346
