ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077589315,-9.74688,-0.521201,-0.562174,-0.000132912,-0.00251418,-0.00847236,0.838859,0.0362896,0.301778
01324186,1492077589315,-9.16302,0.368406,3.35583,0.00473555,0.00495076,-0.0160067,0.8501,-0.185219,-0.1394
01324185,1492077589315,-9.4982,-2.39788,0.958622,0.00447623,-0.0116569,-0.00349941,0.820627,0.323809,0.109483
01324184,1492077589315,-9.5919,0.955116,1.68226,-0.00204587,0.0206149,-0.0146053,0.835517,-0.208998,0.0765044
01324180,1492077589315,-9.06703,-3.59151,-0.853083,-0.0127855,0.00195432,-0.00107503,0.701311,0.487528,0.19941
01324187,1492077589318,-9.74651,-0.523811,-0.528163,0.00165108,-0.0007941,-0.0084543,0.839423,0.0431079,0.298187
01324186,1492077589318,-9.28551,0.448172,3.35816,0.021245,-0.0066146,-0.00888605,0.848496,-0.177887,-0.142662
01324185,1492077589318,-9.48853,-2.42198,1.00698,0.00624416,-0.00815699,-0.0035257,0.817085,0.329339,0.103823
01324184,1492077589318,-9.61633,0.95255,1.72599,-0.00913692,0.0190085,-0.0172457,0.836459,-0.201464,0.0701672
01324180,1492077589318,-9.08615,-3.60863,-0.853364,-0.00841591,-0.00884625,0.0138224,0.698861,0.493541,0.193363
01324187,1492077589334,-9.7656,-0.538922,-0.509059,-0.0106534,-0.00415452,-0.00677973,0.839693,0.0419645,0.298599
01324186,1492077589334,-9.4315,0.432113,3.42958,0.0153034,-0.0185553,-0.0185563,0.847386,-0.17815,-0.142937
01324185,1492077589334,-9.52227,-2.44099,1.04744,0.0132882,-0.00823571,-0.00352535,0.815998,0.327616,0.102145
01324184,1492077589334,-9.60383,0.918354,1.6975,-0.0102822,0.0186438,0.00372651,0.836165,-0.203184,0.0702743
01324180,1492077589334,-9.10079,-3.59666,-0.860692,0.00551236,-0.00893356,0.0209493,0.698594,0.493106,0.194437
01324187,1492077589350,-9.74072,-0.580303,-0.52375,0.00849967,-0.00952922,-0.00492639,0.838319,0.0378589,0.30055
01324186,1492077589350,-9.17496,0.421734,3.47693,0.00301603,-0.0417976,-0.0107844,0.847891,-0.184265,-0.140302
01324185,1492077589350,-9.55602,-2.43596,1.04884,0.0541855,-0.0252674,0.00675141,0.819946,0.324061,0.107915
01324184,1492077589350,-9.59128,0.87682,1.67402,-0.00300137,0.0205161,-0.0085129,0.834599,-0.205787,0.0745495
01324180,1492077589350,-9.11036,-3.59156,-0.89701,0.0192957,-0.00207188,0.0316377,0.700895,0.489572,0.197569
01324187,1492077589367,-9.73987,-0.622191,-0.502243,0.00838079,-0.0163185,0.00737015,0.839408,0.0395695,0.302163
01324186,1492077589367,-9.12897,0.372995,3.33672,-0.0064775,-0.0266159,-0.0196092,0.849296,-0.182064,-0.141188
01324185,1492077589367,-9.5655,-2.35407,1.01443,0.0559194,-0.00678046,0.00663176,0.820347,0.325158,0.106335
01324184,1492077589367,-9.61569,0.87914,1.69331,0.00428074,0.0189495,-0.0242259,0.836525,-0.205554,0.0750753
01324180,1492077589367,-9.16313,-3.6235,-0.902534,0.034735,0.00459321,0.0520063,0.701977,0.488833,0.196999
01324187,1492077589383,-9.77228,-0.588134,-0.52173,0.0136602,-0.0146858,0.00214102,0.840231,0.040115,0.300511
01324186,1492077589383,-9.31451,0.446795,3.41631,-0.0162487,-0.00835964,-0.0142986,0.849017,-0.182206,-0.141191
01324185,1492077589383,-9.49269,-2.20524,1.0292,0.0296322,-0.00647883,0.0100416,0.82021,0.325717,0.106069
01324184,1492077589383,-9.63052,0.90353,1.70249,0.00242056,0.0327101,-0.00412786,0.835971,-0.205549,0.0757532
01324180,1492077589383,-9.09136,-3.56725,-0.891857,0.0454208,0.00136564,0.0397411,0.702791,0.488245,0.196031
01324187,1492077589399,-9.76597,-0.531427,-0.535733,0.0225263,-0.00765601,0.00926855,0.837377,0.043573,0.298897
01324186,1492077589399,-9.21211,0.496463,3.45605,-0.0093453,-0.0279891,-0.00552684,0.84905,-0.178186,-0.142953
01324185,1492077589399,-9.47791,-2.11862,1.06164,0.0175894,0.000752806,0.0168071,0.818303,0.328193,0.102915
01324184,1492077589399,-9.62588,0.928029,1.72153,-0.00131114,0.0186637,-0.00323597,0.835756,-0.201058,0.0735455
01324180,1492077589399,-9.05132,-3.47968,-0.91032,0.0054096,-0.00549645,0.0253863,0.700751,0.492353,0.192907
01324187,1492077589416,-9.79287,-0.514684,-0.516425,0.0156481,-0.000667917,0.00573856,0.838193,0.0428509,0.299435
01324186,1492077589416,-9.14857,0.447277,3.41359,-0.00768998,-0.0123127,-0.00200483,0.847386,-0.179149,-0.144211
01324185,1492077589416,-9.50704,-2.15219,1.01471,-0.0157463,-0.021809,0.0186966,0.818847,0.327358,0.103444
01324184,1492077589416,-9.62633,0.986749,1.72041,0.00599845,0.0309861,-0.00845893,0.835745,-0.202206,0.0733909
