ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077541220,-9.79479,-0.264396,-0.567566,-0.0354247,-0.00604602,0.00738702,0.591038,0.0173014,0.313946
01324186,1492077541220,-9.2656,0.486888,3.46983,0.0280978,0.0070422,0.00252487,0.73079,-0.261786,-0.233557
01324185,1492077541220,-9.60441,-2.42116,1.00208,-0.00201618,0.0256657,0.0100127,0.803807,0.152946,0.154066
01324184,1492077541220,-9.65497,0.970921,1.45732,-0.0127728,-0.00640691,0.0274871,0.675461,-0.293348,0.0961118
01324180,1492077541220,-9.24285,-3.5281,-0.66813,-0.0280584,0.0210407,0.0114681,0.673327,0.32524,0.298215
01324187,1492077541223,-9.77068,-0.224875,-0.532919,-0.0441464,-0.00522033,0.00116677,0.588596,0.0216018,0.310954
01324186,1492077541223,-9.21997,0.40961,3.72975,0.0291513,-0.0278549,-0.00368377,0.727503,-0.258941,-0.238491
01324185,1492077541223,-9.61415,-2.52694,1.11035,-0.00747866,0.0203621,0.00495366,0.802167,0.159662,0.151392
01324184,1492077541223,-9.62567,0.960836,1.4381,-0.0195559,0.0219272,0.0230964,0.674341,-0.2861,0.090346
01324180,1492077541223,-9.22814,-3.54241,-0.668065,-0.0192772,0.030133,-0.00336494,0.669517,0.331401,0.296101
01324187,1492077541239,-9.76866,-0.323443,-0.480312,-0.0615878,-0.00167228,-0.00334198,0.588185,0.0204647,0.310966
01324186,1492077541239,-9.00529,0.302967,3.58024,0.0285201,-0.0097739,-0.0195542,0.727644,-0.259217,-0.239326
01324185,1492077541239,-9.62421,-2.65211,1.0781,0.0172988,0.0201463,0.00748387,0.80244,0.159111,0.15205
01324184,1492077541239,-9.66451,0.931277,1.48227,-0.0443395,0.0310352,0.0247504,0.674058,-0.286953,0.0900641
01324180,1492077541239,-9.26083,-3.63464,-0.656807,-0.00880991,0.0192933,0.0141928,0.66924,0.331394,0.298128
01324187,1492077541256,-9.80849,-0.279678,-0.494929,-0.0668367,-0.00146483,0.00544467,0.591173,0.0168717,0.314082
01324186,1492077541256,-9.11328,0.397106,3.5704,0.0647094,0.00626366,-0.0439879,0.729266,-0.262889,-0.235234
01324185,1492077541256,-9.57616,-2.68616,1.03271,0.0418307,0.00776825,0.0253859,0.802721,0.153359,0.153543
01324184,1492077541256,-9.63979,0.911806,1.38538,-0.0407291,0.0379674,0.026489,0.674824,-0.290616,0.0937647
01324180,1492077541256,-9.20761,-3.64891,-0.617696,0.029684,0.0229689,0.011809,0.671952,0.328304,0.298296
01324187,1492077541272,-9.81203,-0.104741,-0.583322,-0.10567,-0.021977,0.0104143,0.590359,0.0173007,0.312589
01324186,1492077541272,-9.17168,0.402621,3.61345,0.05399,0.024292,-0.0334417,0.729825,-0.261164,-0.234073
01324185,1492077541272,-9.56561,-3.24718,1.07685,0.0395046,0.00914964,-0.012032,0.803804,0.154768,0.153526
01324184,1492077541272,-9.64556,1.05854,1.27051,-0.0794252,0.0771004,0.0298567,0.674546,-0.290333,0.0947149
01324180,1492077541272,-9.08331,-3.94826,-0.477951,0.0672878,0.0572711,0.0526258,0.672473,0.328864,0.299919
01324187,1492077541288,-9.83557,-0.195777,-0.642736,-0.154455,-0.00751195,0.0136728,0.590904,0.0175826,0.313127
01324186,1492077541288,-9.04613,0.32798,3.74762,0.0539459,0.0294856,-0.0317167,0.728978,-0.26408,-0.234455
01324185,1492077541288,-9.57575,-4.20787,0.985262,0.13483,0.0179723,-0.092115,0.802447,0.155615,0.153522
01324184,1492077541288,-9.67561,1.18803,1.18505,-0.121793,0.104001,0.0314794,0.672888,-0.290587,0.0952636
01324180,1492077541288,-9.13377,-4.79668,-0.197918,0.192278,0.0843436,0.116706,0.673016,0.328865,0.298292
01324187,1492077541305,-9.77811,-0.249331,-0.584265,-0.18986,-0.0325761,0.0133312,0.590913,0.0207101,0.311062
01324186,1492077541305,-8.87315,0.516405,3.91827,0.0386136,0.0603149,-0.0608002,0.729571,-0.259044,-0.236181
01324185,1492077541305,-9.57706,-4.75189,1.11223,0.417545,0.00545113,-0.187587,0.802571,0.162627,0.151624
01324184,1492077541305,-9.69971,1.11943,1.31772,-0.164374,0.104647,0.0278314,0.673186,-0.289421,0.0935304
