ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077329880,-9.79002,-0.212262,-0.493905,0.062002,-0.00524031,0.0190974,0.847454,-0.135802,-0.0901391
01324186,1492077329880,-9.06959,0.698898,3.70048,0.131238,-0.0180104,-0.0778984,0.756523,0.106875,-0.409148
01324185,1492077329880,-9.5842,-1.97787,1.02518,0.173415,0.0374112,-0.0306393,0.803002,0.104733,-0.309894
01324184,1492077329880,-9.65298,1.49513,0.691403,0.0741988,-0.00160733,-0.0109871,0.828149,-0.0538738,-0.256758
01324180,1492077329880,-9.23528,-3.24536,-0.967931,0.151742,0.0594938,-0.00948547,0.865538,0.133935,-0.105481
01324187,1492077329883,-9.80568,-0.148531,-0.498359,0.0324367,0.00543519,0.0154336,0.845278,-0.134937,-0.0933954
01324186,1492077329883,-9.10852,0.706716,3.73401,0.118722,-0.0133663,-0.0621027,0.755619,0.112056,-0.415911
01324185,1492077329883,-9.59136,-1.96817,1.04965,0.154287,0.0261921,-0.0254423,0.80054,0.111143,-0.314401
01324184,1492077329883,-9.66339,1.57582,0.709278,0.0600625,0.00216374,-0.0145059,0.8277,-0.0478691,-0.263396
01324180,1492077329883,-9.241,-3.18773,-0.945918,0.149986,0.0684607,-0.019968,0.862767,0.14269,-0.107694
01324187,1492077329899,-9.77685,-0.162565,-0.566237,-0.00801746,-0.00665468,0.00191119,0.846922,-0.13469,-0.0951987
01324186,1492077329899,-9.09616,0.690009,3.74656,0.115231,-0.0151427,-0.062122,0.757276,0.11201,-0.415517
01324185,1492077329899,-9.58164,-1.94896,1.05874,0.157799,0.0349672,-0.025505,0.802037,0.110313,-0.313481
01324184,1492077329899,-9.65419,1.65416,0.67861,0.0211702,0.0237143,-0.0111352,0.82715,-0.0472892,-0.262571
01324180,1492077329899,-9.23665,-3.14898,-0.952914,0.146612,0.0569893,-0.0165446,0.864642,0.143244,-0.109061
01324187,1492077329915,-9.78373,-0.325121,-0.528889,-0.0272496,-0.00470001,0.00530616,0.84568,-0.134197,-0.0897111
01324186,1492077329915,-9.0935,0.65861,3.75428,0.125751,-0.0220855,-0.0629712,0.756399,0.107805,-0.411025
01324185,1492077329915,-9.57931,-1.96825,1.04428,0.166524,0.0269405,-0.0271642,0.802452,0.106957,-0.311747
01324184,1492077329915,-9.62948,1.60781,0.684518,0.00511119,0.0186182,-0.0103207,0.828334,-0.0503977,-0.258453
01324180,1492077329915,-9.2463,-3.14904,-0.957842,0.134247,0.0594366,-0.0095703,0.864112,0.141791,-0.106787
01324187,1492077329931,-9.79858,-0.271528,-0.465364,-0.0318501,-0.0195355,0.00435241,0.846776,-0.134945,-0.0916384
01324186,1492077329931,-9.04702,0.67415,3.79614,0.11536,-0.0307699,-0.067429,0.755579,0.107724,-0.412936
01324185,1492077329931,-9.60837,-2.00179,1.03617,0.154967,0.0263362,-0.0101314,0.803541,0.10442,-0.311465
01324184,1492077329931,-9.63909,1.55397,0.816998,-0.0108791,0.0240344,-0.00427012,0.828878,-0.0512725,-0.258743
01324180,1492077329931,-9.24639,-3.13931,-0.96504,0.148397,0.0543718,-0.016547,0.864674,0.139462,-0.106572
01324187,1492077329947,-9.78917,-0.222422,-0.421065,-0.0398662,-0.0292065,-0.00277591,0.846227,-0.13536,-0.0908076
01324186,1492077329947,-9.01029,0.654909,3.79929,0.131152,-0.0199625,-0.0726443,0.75502,0.106283,-0.413535
01324185,1492077329947,-9.62295,-2.04263,1.03721,0.149705,0.0263829,-0.0101218,0.803813,0.104137,-0.311463
01324184,1492077329947,-9.70015,1.57321,0.826,-0.0371567,0.0387606,-0.0209764,0.828736,-0.0514198,-0.258205
01324180,1492077329947,-9.25578,-3.15865,-0.972488,0.137745,0.0540544,-0.00255296,0.864664,0.13945,-0.104413
01324187,1492077329963,-9.815,-0.291598,-0.429261,-0.0414708,-0.0193887,0.00869715,0.845422,-0.132805,-0.0950496
