ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077481366,-9.73431,-0.618281,-0.424272,0.0213491,-0.0107554,0.0200176,0.521749,0.22064,0.320765
01324186,1492077481366,-9.11333,0.500118,3.61418,0.0136716,-0.0454361,0.0135251,0.854464,-0.475889,-0.228373
01324185,1492077481366,-9.55057,-2.2048,1.06071,0.0114212,0.0244527,-0.00367452,1.05113,0.179221,0.501329
01324184,1492077481366,-9.59584,1.02002,0.964806,0.00435802,0.0381706,-0.0258737,0.611213,-0.362913,0.413252
01324180,1492077481366,-9.19187,-3.32327,-0.789992,0.0193062,0.0482851,-0.0321025,0.56942,0.54588,0.756593
01324187,1492077481370,-9.73563,-0.348027,-0.380519,0.017072,-0.00720999,0.0217851,0.52068,0.229628,0.316774
01324186,1492077481370,-9.10788,0.442798,3.66125,0.0260222,-0.0353864,0.00478485,0.856171,-0.472989,-0.234029
01324185,1492077481370,-9.53369,-2.22895,1.09178,0.0275567,0.0270046,0.00309152,1.05275,0.183971,0.499187
01324184,1492077481370,-9.66475,1.12239,0.923463,-0.00798757,0.0540543,-0.0188989,0.61018,-0.358666,0.409296
01324180,1492077481370,-9.20196,-3.30941,-0.741678,0.0171596,0.066387,-0.0179174,0.566901,0.555481,0.756013
01324187,1492077481386,-9.79705,-0.230342,-0.49436,-0.0196506,-0.00500962,0.0268651,0.523545,0.230874,0.317137
01324186,1492077481386,-9.1123,0.385011,3.68626,0.0286659,-0.033549,0.00303661,0.859503,-0.471877,-0.234289
01324185,1492077481386,-9.50725,-2.25561,1.08364,0.0269812,0.0200352,0.00993513,1.05328,0.185194,0.49682
01324184,1492077481386,-9.73419,1.27372,0.959108,-0.0372908,0.0527566,-0.0224273,0.611289,-0.357834,0.40957
01324180,1492077481386,-9.17306,-3.2994,-0.743757,-0.00380514,0.0582832,-0.0110776,0.5669,0.555774,0.75548
