ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1492077438984,-9.80413,-0.473282,-0.350634,-0.108003,-0.0330144,-0.0456453,0.800529,-0.0861152,-0.621137
01324186,1492077438984,-8.91991,0.190462,3.88636,-0.431321,0.168378,0.0859246,0.842897,0.413731,-0.338009
01324185,1492077438984,-10.7277,-8.10456,2.37005,-1.13879,-0.505794,-3.29726,0.609779,0.495377,-0.562933
01324184,1492077438984,-9.73893,1.35937,0.469852,-0.137571,0.0727736,-0.0399843,0.846645,0.383583,-0.484815
01324180,1492077438984,-13.9221,-13.8638,3.1669,0.492844,-1.23638,-3.6103,0.696414,0.383631,-0.552086
01324187,1492077438987,-9.77653,-0.615997,-0.244675,-0.12567,-0.0434474,-0.0493367,0.800294,-0.0773253,-0.63157
01324186,1492077438987,-9.00264,0.136489,3.8713,-0.43344,0.164197,0.0560356,0.843532,0.426824,-0.338592
01324185,1492077438987,-10.5848,-8.65457,2.19246,-1.27848,-0.505364,-3.47913,0.57608,0.550149,-0.562301
01324184,1492077438987,-9.72786,1.19548,0.443832,-0.19958,0.0798368,-0.0472395,0.847578,0.391527,-0.488458
01324180,1492077438987,-14.2258,-13.5077,2.93871,0.620502,-1.28686,-3.86113,0.655246,0.430825,-0.571453
01324187,1492077439003,-9.79173,-0.606173,-0.288503,-0.144897,-0.0413462,-0.0388841,0.799473,-0.0764433,-0.630195
01324186,1492077439003,-8.89562,0.0307951,3.66431,-0.45087,0.165884,0.054183,0.8453,0.426186,-0.332328
01324185,1492077439003,-10.3695,-9.12799,2.01584,-1.24805,-0.500977,-3.63146,0.53563,0.594093,-0.552514
01324184,1492077439003,-9.79483,1.05563,0.377914,-0.256415,0.0770967,-0.0509514,0.847867,0.393237,-0.487622
01324180,1492077439003,-14.406,-12.9141,2.52934,0.740116,-1.32213,-4.03802,0.61069,0.468055,-0.585978
01324187,1492077439019,-9.81114,-0.606491,-0.278992,-0.185312,-0.0514094,-0.0347733,0.798091,-0.0795299,-0.625237
01324186,1492077439019,-9.00284,-0.0932385,3.54738,-0.422858,0.203255,0.0455618,0.845924,0.422261,-0.323032
01324185,1492077439019,-10.0373,-9.3468,1.95777,-1.11226,-0.452291,-3.74595,0.494931,0.625412,-0.538809
