ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491821932581,-9.63686,0.667479,0.119163,-0.0447265,0.0857044,-0.0097123,0.682967,0.348366,-0.0367194
01324186,1491821932581,-9.95218,0.699306,2.74106,0.0837785,0.0155605,-0.0210764,0.708439,-0.4839,-0.222367
01324185,1491821932581,-9.62309,-4.34418,2.58025,1.14834,-0.344417,-0.372936,0.800519,0.216916,0.275805
01324184,1491821932581,-9.76125,0.357223,-2.04205,-0.0509407,-0.0868066,-0.00171793,0.717505,0.401379,0.15982
01324180,1491821932581,-9.11915,-5.57522,2.81881,2.68561,0.770355,0.289401,0.684217,0.451293,0.196713
01324187,1491821932584,-9.64127,0.642783,0.128616,-0.0860594,0.1261,-0.016876,0.681479,0.354385,-0.0418123
01324186,1491821932584,-10.0279,0.629069,2.63852,0.105491,-0.0348488,-0.0570818,0.706843,-0.474747,-0.223629
01324185,1491821932584,-9.55558,-3.95988,1.99347,1.64528,-0.263339,-0.430153,0.799789,0.233875,0.263783
01324184,1491821932584,-9.65532,0.467971,-1.86818,-0.123966,-0.132827,-0.033328,0.718187,0.409562,0.153039
01324180,1491821932584,-9.38301,-5.77232,2.90216,3.25528,0.77747,0.212183,0.680417,0.461647,0.178955
01324187,1491821932600,-9.66951,0.69921,0.0704824,-0.0995722,0.155872,-0.0203642,0.679135,0.355615,-0.0364253
01324186,1491821932600,-9.84417,0.468466,2.58921,0.125869,-0.0766414,-0.0658987,0.705074,-0.472877,-0.226544
01324185,1491821932600,-9.66398,-3.77639,1.79967,2.05251,-0.162883,-0.388702,0.798797,0.244904,0.253664
01324184,1491821932600,-9.70505,0.602276,-1.88079,-0.198561,-0.140468,-0.0448668,0.716779,0.408985,0.155619
01324180,1491821932600,-9.32334,-5.0959,2.69377,3.52538,0.774223,0.166548,0.679758,0.468167,0.160666
01324187,1491821932616,-9.63827,0.729155,0.0710891,-0.13238,0.182188,-0.0292924,0.679521,0.350491,-0.0292596
01324186,1491821932616,-9.74539,0.125373,2.40932,0.188562,-0.101507,-0.0991408,0.707366,-0.476758,-0.21989
01324185,1491821932616,-9.92091,-3.27409,1.66234,2.38857,-0.0245252,-0.323576,0.795209,0.253512,0.243182
01324184,1491821932616,-9.70563,0.709898,-1.99976,-0.239475,-0.161661,-0.0632942,0.714878,0.400468,0.156842
01324180,1491821932616,-9.64766,-5.18775,3.49251,3.1715,0.68122,0.00722034,0.679125,0.471915,0.143677
01324187,1491821932632,-9.70971,0.580888,0.0106397,-0.105816,0.202675,-0.0466422,0.679654,0.351948,-0.0266578
01324186,1491821932632,-9.82313,-0.142107,2.1531,0.269751,-0.0737735,-0.14979,0.706666,-0.477363,-0.218542
01324185,1491821932632,-10.2553,-2.60196,2.37829,2.61836,-0.00208573,-0.313711,0.794893,0.269218,0.232488
01324184,1491821932632,-9.70175,0.575276,-2.18712,-0.325242,-0.189883,-0.051325,0.716411,0.401014,0.156431
01324180,1491821932632,-9.67533,-5.48348,4.03684,2.60339,0.598699,-0.274827,0.678845,0.479137,0.128514
01324187,1491821932648,-9.78751,0.622358,-0.155119,-0.0916955,0.211108,-0.0623408,0.681573,0.352503,-0.0255889
01324186,1491821932648,-9.92369,-0.293471,2.37298,0.355481,-0.059636,-0.210986,0.709277,-0.477473,-0.216385
01324185,1491821932648,-10.4057,-1.69983,3.10098,2.67777,-0.0465967,-0.29562,0.794844,0.284442,0.218898
01324184,1491821932648,-9.60887,0.304073,-2.48823,-0.316707,-0.207919,-0.0391365,0.716397,0.39985,0.156817
01324180,1491821932648,-9.80855,-6.44802,4.24293,2.3155,0.51419,-0.578115,0.674717,0.493261,0.113546
01324187,1491821932663,-9.79717,0.659958,-0.339626,-0.0550052,0.208915,-0.074434,0.682676,0.354491,-0.0265766
01324186,1491821932663,-9.83638,-0.444468,2.58068,0.438105,-0.0862725,-0.288116,0.711787,-0.475548,-0.219335
01324185,1491821932663,-10.114,-1.00563,3.25849,2.52416,-0.150839,-0.302515,0.794106,0.302914,0.204226
01324184,1491821932663,-9.33707,-0.120299,-2.7561,-0.286271,-0.208142,-0.0567087,0.719688,0.406498,0.15175
01324180,1491821932663,-9.91554,-7.21762,4.99657,2.3253,0.370868,-0.962531,0.664851,0.51549,0.0976063
01324187,1491821932679,-9.74289,0.661584,-0.526202,-0.0466261,0.187468,-0.10265,0.680198,0.354845,-0.0229697
01324186,1491821932679,-9.66762,-0.556774,2.52084,0.521298,-0.0871686,-0.349404,0.714284,-0.470844,-0.216167
01324185,1491821932679,-9.9875,-0.652436,3.29555,2.19006,-0.246192,-0.296468,0.7931,0.313836,0.188573
01324184,1491821932679,-9.32575,-0.267121,-2.96267,-0.188677,-0.213093,-0.0494589,0.719971,0.407353,0.152306
01324180,1491821932679,-10.0622,-6.8981,5.44161,2.21322,0.199744,-1.37225,0.653465,0.530929,0.0788421
01324187,1491821932695,-9.72431,0.659847,-0.625683,-0.019748,0.17298,-0.121905,0.679223,0.357215,-0.0162339
