ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491822831552,-9.72306,-0.158485,0.479834,-0.0431751,0.00888451,0.0119354,0.756952,0.196855,0.354558
01324186,1491822831552,-8.985,-0.320889,3.80148,-0.0357398,-0.0527457,-0.017081,0.585546,-0.0787533,-0.62276
01324185,1491822831552,-9.50773,-1.68794,1.01178,0.174728,-0.0750204,0.0296258,0.820022,-0.254051,-0.0958411
01324184,1491822831552,-9.61503,0.317235,-1.77173,-0.0600302,0.0144071,0.00122515,0.67221,-0.0399933,0.54094
01324180,1491822831552,-9.52708,-2.33254,0.78031,0.0136467,0.0029016,0.158539,0.787319,-0.0234923,0.281544
01324187,1491822831560,-9.6636,-0.231325,0.460368,-0.0290041,0.0202186,0.0190853,0.757226,0.195697,0.353738
01324186,1491822831560,-8.99952,-0.3851,3.74843,-0.035742,-0.0615982,-0.0153299,0.586666,-0.0767134,-0.623099
01324185,1491822831560,-9.47331,-1.50028,1.07389,0.179304,-0.0290042,0.054828,0.820018,-0.254942,-0.0978104
01324184,1491822831560,-9.61481,0.287873,-1.77117,-0.0529771,0.0202942,0.0117228,0.671671,-0.0395253,0.539327
01324180,1491822831560,-9.49688,-2.20318,0.679803,0.0785842,0.0152497,0.124775,0.786665,-0.0243434,0.279635
01324187,1491822831576,-9.72843,-0.146121,0.448288,-0.022022,0.0181215,-0.00021729,0.755706,0.190009,0.356528
01324186,1491822831576,-8.97923,-0.466399,3.80817,-0.0295018,-0.0595207,-0.0232277,0.586062,-0.080089,-0.616798
01324185,1491822831576,-9.43943,-1.47158,1.08913,0.178631,0.0148931,0.0392313,0.817708,-0.259701,-0.093932
01324184,1491822831576,-9.74623,0.292029,-1.83537,-0.0494628,0.0219287,0.0169911,0.672357,-0.0514433,0.542227
01324180,1491822831576,-9.43061,-2.0515,0.562851,0.0946834,0.0349692,0.0643764,0.788228,-0.0318131,0.281363
01324187,1491822831593,-9.80579,-0.127997,0.547282,-0.0166126,0.0269176,0.00692122,0.754612,0.189303,0.355863
01324186,1491822831593,-8.99903,-0.442773,3.77837,-0.0143288,-0.0410722,-0.0451265,0.584955,-0.0797858,-0.616229
01324185,1491822831593,-9.3914,-1.49122,1.00477,0.18025,0.0571385,0.0355472,0.816895,-0.26122,-0.0916727
01324184,1491822831593,-9.73252,0.380227,-1.72981,-0.0336758,-0.0148763,-0.00211461,0.671419,-0.0490918,0.541193
01324180,1491822831593,-9.34539,-1.9154,0.571682,0.0913859,0.0569419,0.0170502,0.786605,-0.0313472,0.281396
01324187,1491822831610,-9.83927,-0.233726,0.443873,-0.0150235,0.0191192,0.00866522,0.753243,0.1912,0.35738
01324186,1491822831610,-9.07239,-0.403811,3.79645,-0.0144522,-0.0413105,-0.0380716,0.583859,-0.0802839,-0.618838
01324185,1491822831610,-9.42723,-1.35618,0.987932,0.17186,0.0722979,0.0456702,0.818269,-0.26131,-0.0889074
01324184,1491822831610,-9.57376,0.322369,-1.72774,-0.0576265,-0.00416592,0.00475679,0.670983,-0.0508201,0.541437
01324180,1491822831610,-9.37105,-1.81456,0.596155,0.0373855,0.0644338,-0.0166157,0.786062,-0.0319335,0.283565
01324187,1491822831626,-9.75996,-0.193012,0.389185,0.00789192,0.0293385,0.00530465,0.755986,0.194592,0.356502
