ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491822718988,-8.83135,0.989059,-2.59211,0.425784,-0.380962,0.120836,0.951079,0.124907,-0.101102
01324186,1491822718988,-7.97574,-1.81323,4.77797,-0.446495,-0.39077,-0.0633691,0.768605,-0.133424,-0.378771
01324185,1491822718988,-8.37744,-2.38914,2.80499,-0.0322541,-0.354581,0.242368,0.892177,0.132702,0.00211569
01324184,1491822718988,-9.23222,-1.08516,-0.305771,0.533732,-0.188879,0.0886451,0.891704,0.168169,0.169813
01324180,1491822718988,-8.74058,-1.37136,2.08876,-0.14222,0.00832733,0.275455,0.819986,0.347297,-0.0246073
01324187,1491822718991,-8.64906,1.3531,-2.06181,0.315699,-0.274323,0.0852736,0.95151,0.125839,-0.109064
01324186,1491822718991,-7.88512,-2.12722,4.96816,-0.433211,-0.372782,-0.0246499,0.764574,-0.122212,-0.389232
01324185,1491822718991,-8.37693,-2.37688,3.04992,-0.0507229,-0.27713,0.221479,0.891331,0.132793,-0.00790627
01324184,1491822718991,-8.94947,-0.652764,0.296525,0.510614,-0.210486,0.139461,0.890284,0.174081,0.162884
01324180,1491822718991,-8.77912,-1.42367,2.19928,-0.0637881,0.0620256,0.32028,0.819447,0.348046,-0.0264854
01324187,1491822719007,-8.86796,0.981338,-2.09669,0.134196,-0.135015,0.0688035,0.949599,0.125277,-0.111226
01324186,1491822719007,-7.90902,-2.46569,5.16689,-0.384563,-0.325389,-0.0156323,0.76212,-0.120284,-0.393784
01324185,1491822719007,-8.37643,-2.31894,3.22402,-0.0453086,-0.241937,0.224648,0.892144,0.130442,-0.011843
01324184,1491822719007,-8.69308,0.293412,1.11288,0.238397,-0.232759,0.212425,0.890733,0.174424,0.157737
01324180,1491822719007,-8.80878,-1.41055,2.29574,0.0145315,0.0919842,0.325391,0.822448,0.344193,-0.0245704
01324187,1491822719023,-8.92365,-0.79742,-3.65937,0.0149544,0.090049,-0.0369372,0.947539,0.122159,-0.110496
01324186,1491822719023,-7.96691,-2.86076,5.33173,-0.347692,-0.307093,-0.0295455,0.760454,-0.122134,-0.394663
01324185,1491822719023,-8.42414,-2.25827,3.41228,-0.0657054,-0.199729,0.200595,0.892837,0.122629,-0.0113735
01324184,1491822719023,-8.8377,0.860518,1.75384,-0.0803226,-0.217315,0.278102,0.89311,0.163229,0.157113
01324180,1491822719023,-8.89687,-1.34423,2.31941,0.0868518,0.115925,0.325173,0.824658,0.337714,-0.0199807
01324187,1491822719039,-9.1543,-1.41266,-5.32036,0.0472044,0.474171,-0.167389,0.948627,0.126632,-0.105188
