ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491822496525,-9.75461,0.194925,0.813769,-0.0270268,-0.00128827,0.0201803,0.804936,0.208357,-0.119383
01324186,1491822496525,-9.04363,-0.265575,3.91568,-0.311865,0.19496,0.0210723,0.651115,-0.256485,-0.300458
01324185,1491822496525,-10.4218,-6.00444,2.84621,-0.651706,-1.50194,-2.14487,0.730356,0.253151,0.0278712
01324184,1491822496525,-9.73713,0.750398,-1.27096,-0.0822813,0.000344476,-0.0101312,0.762293,0.165616,0.241884
01324180,1491822496525,-15.4014,-0.935532,9.78679,0.971519,-3.77084,-0.711663,0.631309,0.379787,-0.245707
01324187,1491822496560,-9.72513,0.180586,0.813956,-0.0269708,0.00219385,0.0201824,0.805212,0.208059,-0.12021
01324186,1491822496560,-8.96312,-0.260441,3.91667,-0.313392,0.180383,0.0104774,0.652209,-0.256291,-0.297448
01324185,1491822496560,-9.99138,-6.42618,2.76175,-0.729087,-1.56707,-2.30775,0.72083,0.278847,0.0141572
01324184,1491822496560,-9.71765,0.76517,-1.31984,-0.103467,0.00252624,-0.019818,0.763539,0.165009,0.241455
01324180,1491822496560,-14.7858,-2.47376,9.82303,0.875417,-4.10184,-0.623677,0.607587,0.384878,-0.293426
01324187,1491822496576,-9.73271,0.190371,0.801809,-0.0504807,0.00957147,0.0315049,0.805475,0.201881,-0.118946
01324186,1491822496576,-8.96158,-0.229383,3.76762,-0.352295,0.221573,0.0314819,0.655493,-0.258687,-0.292644
01324185,1491822496576,-9.0389,-7.13076,2.36908,-0.915942,-1.52147,-2.52319,0.708987,0.29892,0.00460783
01324184,1491822496576,-9.70821,0.80926,-1.34011,-0.173024,-0.0160038,-0.017369,0.763321,0.160733,0.24709
01324180,1491822496576,-13.7909,-3.05835,9.81986,0.917762,-4.31116,-0.544362,0.583906,0.387205,-0.342971
01324187,1491822496591,-9.73284,0.200194,0.804327,-0.0461899,0.00422325,0.0271123,0.806568,0.200871,-0.117307
01324186,1491822496591,-9.01168,-0.39888,3.79824,-0.354721,0.248377,0.0675598,0.655231,-0.256756,-0.293249
01324185,1491822496591,-8.56863,-7.89476,2.18451,-1.04039,-1.43802,-2.76095,0.693012,0.32979,-0.00728214
01324184,1491822496591,-9.69168,0.868087,-1.31191,-0.170983,-0.017371,-0.0409541,0.762339,0.160454,0.248181
01324180,1491822496591,-13.1888,-3.29236,10.0178,0.960089,-4.43307,-0.408874,0.553751,0.386842,-0.387304
