ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491823566598,-9.59454,-1.42798,1.15865,-0.000921792,0.0160359,0.0160154,0.431435,0.254834,0.155531
01324186,1491823566598,-9.77144,0.941378,0.657258,0.0456856,-0.0104733,0.00989018,0.702216,-0.197723,0.0108479
01324185,1491823566598,-9.6355,-1.61238,0.990835,0.0307044,0.00171193,-0.00649031,0.817218,0.107349,0.108194
01324184,1491823566598,-9.45159,0.166035,-2.63005,0.020666,0.018464,0.00529594,0.548751,0.252365,0.26716
01324180,1491823566598,-9.32436,-2.70649,1.21531,0.0361341,0.0207606,0.0014409,0.634373,0.422708,0.0742763
01324187,1491823566601,-9.63316,-1.42626,1.202,-0.00788421,0.0178105,0.0142299,0.43132,0.262903,0.151965
01324186,1491823566601,-9.78585,0.937337,0.700994,0.0334556,-0.0140426,0.00984315,0.700909,-0.190575,0.00598007
01324185,1491823566601,-9.63784,-1.60752,1.02,0.0337395,0.012138,-0.0176161,0.816391,0.114464,0.104866
01324184,1491823566601,-9.44925,0.166062,-2.58621,0.0231326,0.00950418,0.0131884,0.546149,0.262534,0.261457
01324180,1491823566601,-9.34094,-2.74569,1.25118,0.0334089,0.0295376,-0.000279121,0.633334,0.433289,0.0701996
01324187,1491823566617,-9.61628,-1.4235,1.18763,-0.00438496,0.0176498,0.00632309,0.432139,0.265723,0.150989
01324186,1491823566617,-9.78579,0.930153,0.705955,0.0299524,-0.0114244,0.00983236,0.70337,-0.191664,0.00659443
01324185,1491823566617,-9.64506,-1.61228,1.03977,0.0325779,0.0140425,-0.00401815,0.817746,0.115473,0.106157
01324184,1491823566617,-9.44687,0.178302,-2.60591,0.00984875,0.0305015,0.0297359,0.546981,0.263093,0.260923
01324180,1491823566617,-9.35026,-2.76986,1.24371,0.0289951,0.0240538,0.0102004,0.633593,0.434154,0.0696752
01324187,1491823566633,-9.6139,-1.41611,1.19258,-0.00793896,0.0141121,0.00188539,0.43321,0.260186,0.153172
01324186,1491823566633,-9.77603,0.930187,0.706082,0.0291447,-0.00863523,0.00543311,0.70373,-0.197873,0.00974215
01324185,1491823566633,-9.65467,-1.6122,1.05474,0.029495,0.0192519,-0.0142515,0.81938,0.111577,0.108538
01324184,1491823566633,-9.45918,0.195363,-2.60387,0.0160664,0.00792363,0.00793206,0.549883,0.257034,0.26978
01324180,1491823566633,-9.34283,-2.77932,1.23406,0.0340116,0.0218273,0.0348286,0.636057,0.428181,0.0714026
01324187,1491823566649,-9.62863,-1.40407,1.20225,-0.00109696,0.00459647,0.0107046,0.431991,0.260202,0.152918
01324186,1491823566649,-9.75656,0.94991,0.718289,0.0370536,-0.0191082,0.0045677,0.704006,-0.197588,0.00975092
01324185,1491823566649,-9.66433,-1.61696,1.0552,0.0237858,0.0105991,-0.00398211,0.818024,0.110709,0.107246
01324184,1491823566649,-9.45431,0.190502,-2.5867,0.0171152,0.0124683,-0.000818341,0.549055,0.255642,0.268153
01324180,1491823566649,-9.33054,-2.78868,1.21963,0.0166436,0.0238389,0.0189032,0.634609,0.426474,0.0713897
01324187,1491823566665,-9.61901,-1.41607,1.16822,-0.00811618,0.00370314,0.00536919,0.431981,0.257665,0.155374
