ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491823802995,-9.53153,-1.24272,0.90871,-0.0541436,0.0508332,0.00631692,0.629692,0.40519,0.155121
01324186,1491823802995,-9.78485,0.944736,1.09888,0.0674652,-0.0147441,-0.00343651,0.724085,-0.453724,-0.215718
01324185,1491823802995,-9.60334,-1.78546,0.771825,-0.0203638,-0.0301627,0.0838571,0.826236,-0.0820359,0.265616
01324184,1491823802995,-9.42475,-0.583023,-2.48539,-0.0603866,0.111582,-0.0130896,0.627254,0.343903,0.443564
01324180,1491823802995,-9.29743,-2.91454,1.00807,0.0220274,0.0536534,0.0602212,0.723214,0.338838,0.294662
01324187,1491823803009,-9.49349,-1.80275,1.43394,-0.0286766,0.0547673,0.00468969,0.629417,0.403487,0.155406
01324186,1491823803009,-9.88238,0.944781,1.11711,0.0639737,-0.0412238,6.4902e-05,0.724777,-0.451874,-0.21429
01324185,1491823803009,-9.60076,-1.76857,0.829775,-0.0434585,-0.0414482,0.078851,0.825826,-0.084188,0.263806
01324184,1491823803009,-9.54309,-0.493024,-2.14202,-0.00456058,0.0160381,-0.0188475,0.627375,0.34246,0.443807
01324180,1491823803009,-9.1907,-2.89768,0.900445,0.00949635,0.0711645,0.060245,0.723249,0.335939,0.294604
01324187,1491823803025,-9.75514,-1.3316,0.837442,0.024024,0.0721591,0.0633083,0.630082,0.398801,0.158687
01324186,1491823803025,-9.96,0.951476,1.22327,0.073436,-0.0555883,0.0106564,0.725011,-0.455635,-0.210219
01324185,1491823803025,-9.6418,-1.80921,0.873198,-0.0399224,-0.0274028,0.0787668,0.824615,-0.0905035,0.265704
01324184,1491823803025,-9.64656,-0.319894,-2.21902,0.079983,-0.0327982,-0.00532992,0.630079,0.337802,0.443164
01324180,1491823803025,-9.21907,-2.91643,0.815476,-0.00478205,0.0940712,0.0532838,0.724249,0.329089,0.298367
01324187,1491823803042,-9.74284,-1.20096,0.804727,0.0090837,0.0664735,0.0279821,0.629533,0.396822,0.159658
01324186,1491823803042,-9.84327,0.99742,1.195,0.0569236,-0.0908739,0.011406,0.723922,-0.454698,-0.211671
01324185,1491823803042,-9.67802,-1.84747,0.911538,-0.0166682,-0.0134611,0.0871649,0.823255,-0.0899585,0.264656
01324184,1491823803042,-9.47061,-0.289701,-2.60574,0.101277,-0.00550937,0.0209146,0.629803,0.338086,0.443978
01324180,1491823803042,-9.26226,-2.95593,0.85109,-0.0100536,0.103894,0.0427695,0.724257,0.328216,0.298889
01324187,1491823803059,-9.71852,-1.19083,0.814803,-0.00869536,0.0490317,0.020754,0.630079,0.397952,0.159372
