ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491823699653,-9.55615,-1.8756,0.880615,0.00425125,0.0580842,-0.0184802,0.452671,0.220732,0.12486
01324186,1491823699653,-9.55557,1.14805,1.76118,0.0592416,-0.0624721,-0.00034409,0.64507,-0.231589,-0.0188788
01324185,1491823699653,-9.54927,-1.62706,0.904205,0.0982598,-0.0139306,0.0169323,0.751768,0.102672,0.141395
01324184,1491823699653,-9.25945,-0.286513,-3.30287,-0.0156044,-0.045701,-0.0304053,0.502104,0.243554,0.312991
01324180,1491823699653,-9.14438,-2.88929,1.18936,0.0531706,0.00962921,0.0203975,0.598658,0.39347,0.133095
01324187,1491823699663,-9.5464,-1.87546,0.880721,0.0218622,0.064991,-0.0139429,0.454029,0.221854,0.125379
01324186,1491823699663,-9.5285,1.15405,1.81509,0.0609289,-0.0678947,0.00404509,0.644234,-0.233182,-0.0186621
01324185,1491823699663,-9.47412,-1.46865,0.870242,0.166984,-0.0162896,0.0211043,0.753122,0.102664,0.140998
01324184,1491823699663,-9.21472,-0.37927,-3.37875,0.0341996,-0.0237903,-0.0128304,0.502668,0.245256,0.313554
01324180,1491823699663,-9.0946,-2.99,1.17962,0.0688559,0.0131643,0.0213646,0.599474,0.393032,0.131322
01324187,1491823699679,-9.58006,-1.89568,0.897191,0.0357904,0.0603547,-0.0235436,0.456051,0.219153,0.129442
01324186,1491823699679,-9.4945,1.17834,1.81037,0.0646645,-0.0744324,-0.00914573,0.647394,-0.233683,-0.0188459
01324185,1491823699679,-9.48112,-1.35308,0.820826,0.196511,-0.0148778,0.0134081,0.752186,0.0969406,0.143933
01324184,1491823699679,-9.09722,-0.430043,-3.47448,0.0719865,0.000596124,-0.0285219,0.504087,0.238012,0.316102
01324180,1491823699679,-9.10833,-3.02817,1.12128,0.0898074,0.000580481,0.041623,0.602187,0.387893,0.135897
01324187,1491823699696,-9.62208,-1.79964,0.737183,0.0265544,0.0314964,-0.0351342,0.456463,0.219132,0.127533
01324186,1491823699696,-9.4606,1.2271,1.81511,0.0714944,-0.0570881,-0.00207381,0.647386,-0.234572,-0.0183368
01324185,1491823699696,-9.54359,-1.24438,0.78356,0.208268,-0.0133468,0.00149092,0.75354,0.0983446,0.143653
01324184,1491823699696,-9.08868,-0.266075,-3.50679,0.127287,0.0296558,-0.0195949,0.505483,0.239989,0.315856
01324180,1491823699696,-9.18556,-3.00879,1.02879,0.136989,0.000679336,0.0472192,0.605386,0.388997,0.135467
01324187,1491823699712,-9.62711,-1.80208,0.717662,0.0336378,0.0365248,-0.044753,0.454698,0.219016,0.127559
01324186,1491823699712,-9.43864,1.22717,1.81539,0.0839365,-0.0627638,-0.01347,0.646283,-0.234847,-0.0180658
01324185,1491823699712,-9.6206,-1.16447,0.754493,0.190132,-0.0361945,-0.0102334,0.753265,0.0988835,0.142342
01324184,1491823699712,-9.0815,0.0202856,-3.3515,0.13769,0.0205831,-0.00895569,0.505761,0.239989,0.315316
01324180,1491823699712,-9.21989,-2.96051,0.990051,0.158108,-0.0170025,0.0595566,0.603525,0.388456,0.13454
01324187,1491823699729,-9.65969,-1.80328,0.877725,0.0279303,0.00669818,-0.053688,0.454435,0.222424,0.126186
01324186,1491823699729,-9.45099,1.24141,1.80044,0.0889162,-0.0677367,0.00325459,0.647973,-0.230571,-0.0211767
01324185,1491823699729,-9.65425,-1.09207,0.709088,0.163131,-0.0360654,-0.0238054,0.753521,0.103596,0.138112
