ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491822660734,-9.7847,0.152645,0.657262,0.00686616,0.00265939,-0.00826301,0.76357,0.505216,-0.168812
01324186,1491822660734,-9.13895,-0.157578,3.49604,-0.0152437,-0.0476994,-0.00534762,0.528955,-0.15429,-0.261465
01324185,1491822660734,-9.35325,-2.44935,1.11682,-0.0591286,-0.102192,0.0321286,0.661996,0.0635888,0.185558
01324184,1491822660734,-9.57251,0.539299,-2.12233,-0.0258721,0.00268574,-0.00697868,0.596466,0.390629,0.276283
01324180,1491822660734,-9.42135,-2.32029,1.49073,-0.0439483,0.0197889,0.11767,0.565883,0.398334,0.111381
01324187,1491822660738,-9.74491,0.138182,0.715899,-0.00537571,0.00293205,0.00397061,0.764823,0.509175,-0.174203
01324186,1491822660738,-9.11911,-0.186059,3.52589,-0.00925206,-0.0285018,-0.000914604,0.527387,-0.145094,-0.269436
01324185,1491822660738,-9.34622,-2.48797,1.06353,-0.0319838,-0.0564767,0.0488143,0.66047,0.0703204,0.180215
01324184,1491822660738,-9.50843,0.427108,-2.06865,-0.026696,0.0252742,0.0104336,0.594382,0.400031,0.270362
01324180,1491822660738,-9.42651,-2.29372,1.48358,-0.0591776,0.0153443,0.0744718,0.564236,0.402474,0.107138
01324187,1491822660754,-9.7687,0.118042,0.74463,-0.00726534,-0.00587231,-0.00134874,0.762764,0.506906,-0.174436
01324186,1491822660754,-9.12431,-0.140154,3.51553,-0.00655726,-0.0283278,-0.00529736,0.524351,-0.142855,-0.268225
01324185,1491822660754,-9.4042,-2.51651,1.05903,-0.000903188,-0.032258,0.035031,0.660326,0.0705541,0.177572
01324184,1491822660754,-9.52194,0.299776,-2.12231,-0.0197666,0.016247,0.0174217,0.594213,0.396855,0.269764
01324180,1491822660754,-9.45499,-2.34007,1.49754,-0.0555927,0.0227154,0.0569582,0.565884,0.400407,0.106256
01324187,1491822660770,-9.77808,0.11773,0.78342,0.00306939,-0.0165916,-0.0101206,0.763705,0.503922,-0.168807
01324186,1491822660770,-9.12931,-0.130702,3.50316,-0.0221323,-0.026299,-0.0150245,0.526935,-0.14841,-0.265731
01324185,1491822660770,-9.42349,-2.46348,0.988936,0.00663811,-0.00754065,0.0467743,0.661024,0.0644911,0.180666
01324184,1491822660770,-9.56576,0.304422,-2.14701,0.0133248,0.0247983,0.00789696,0.596457,0.389053,0.274899
01324180,1491822660770,-9.46973,-2.33081,1.5192,-0.0343076,0.00620354,0.0534661,0.566464,0.39497,0.111168
01324187,1491822660786,-9.75423,0.113439,0.720436,0.0064982,-0.0199557,-0.00131645,0.764666,0.50419,-0.169371
01324186,1491822660786,-9.16821,-0.132689,3.53193,-0.0309878,-0.0177392,-0.00976287,0.527881,-0.151392,-0.264762
01324185,1491822660786,-9.44267,-2.42483,0.991786,-0.00459817,-0.0207982,0.0315669,0.66281,0.0639567,0.182514
01324184,1491822660786,-9.56607,0.328907,-2.09391,-0.00377898,0.02298,0.0244724,0.594819,0.391698,0.275231
01324180,1491822660786,-9.48487,-2.29013,1.5362,-0.0182412,0.00324616,0.0289444,0.56886,0.397107,0.112535
01324187,1491822660801,-9.74499,0.152866,0.730615,0.00487049,-0.0130062,-0.00394276,0.764534,0.507641,-0.169112
01324186,1491822660801,-9.17066,-0.152642,3.50532,-0.0224209,-0.0180812,0.000821179,0.527041,-0.153276,-0.265103
01324185,1491822660801,-9.3847,-2.40592,1.00367,-0.00671045,-0.00431546,0.00338549,0.663501,0.0627135,0.184505
01324184,1491822660801,-9.55663,0.36811,-2.0946,-0.0116282,0.0232932,0.0122164,0.595942,0.393398,0.276065
01324180,1491822660801,-9.48119,-2.20564,1.54153,-0.0180962,0.00802008,0.00965761,0.568031,0.398282,0.113659
01324187,1491822660817,-9.77383,0.132734,0.742277,-0.000209052,-0.00234929,0.00399452,0.764691,0.511611,-0.175036
