ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491823477780,-9.5448,-1.56655,1.54613,-0.00947963,0.0219478,0.00914457,0.618595,0.228632,-0.407533
01324186,1491823477780,-9.62866,1.2871,1.01498,0.0638746,0.00218572,-0.0150265,0.764994,-0.0863106,0.242007
01324185,1491823477780,-9.63379,-1.29331,0.872577,0.0301652,0.0464794,0.0456005,0.692596,0.405145,-0.0450816
01324184,1491823477780,-9.49003,0.498346,-2.46385,0.00388467,0.0111118,0.0174083,0.786483,0.132427,-0.0660418
01324180,1491823477780,-9.32603,-2.81373,0.982486,-0.00430601,0.0730583,0.0247607,0.609451,0.4272,-0.273986
01324187,1491823477788,-9.5326,-1.56151,1.55603,-0.00774321,0.0211541,0.0153119,0.613756,0.231775,-0.412478
01324186,1491823477788,-9.68239,1.32651,1.05281,0.0480908,0.00290341,-0.0124319,0.764512,-0.0780914,0.238684
01324185,1491823477788,-9.63854,-1.30527,0.926281,0.0279666,0.0534367,0.0353539,0.691363,0.412331,-0.0503419
01324184,1491823477788,-9.46577,0.508267,-2.45902,0.00580119,0.0285957,0.0226368,0.780308,0.138653,-0.0725562
01324180,1491823477788,-9.35453,-2.88997,1.08571,-0.0146023,0.0661328,0.0167222,0.602794,0.43123,-0.279696
01324187,1491823477804,-9.54468,-1.57149,1.55095,0.00628069,0.0228029,0.016292,0.611574,0.226204,-0.405936
01324186,1491823477804,-9.64313,1.30519,1.07307,0.0452262,0.00676403,0.00161877,0.764672,-0.0757248,0.236748
01324185,1491823477804,-9.68426,-1.30974,0.991366,0.0253945,0.0514982,0.0166691,0.689878,0.410043,-0.0527828
01324184,1491823477804,-9.48031,0.508176,-2.4932,0.013033,0.0356,0.0191513,0.77739,0.134986,-0.0701917
01324180,1491823477804,-9.4145,-2.90945,1.03426,-0.0178969,0.0566597,0.00873147,0.603637,0.426899,-0.278724
01324187,1491823477820,-9.54437,-1.58872,1.55566,-0.0157652,0.0125949,0.0213934,0.610729,0.216393,-0.39669
01324186,1491823477820,-9.58483,1.33439,1.06887,0.0617446,0.015713,-2.63295e-05,0.764131,-0.0778201,0.238777
01324185,1491823477820,-9.74443,-1.29488,1.03261,0.0192227,0.0407716,-0.00365348,0.69245,0.401677,-0.050633
01324184,1491823477820,-9.45118,0.527899,-2.52018,0.0129043,0.0232958,0.017423,0.77831,0.124699,-0.0592968
01324180,1491823477820,-9.42157,-2.94891,1.10648,0.00502566,0.0434979,0.0122926,0.607635,0.420872,-0.267396
01324187,1491823477835,-9.55239,-1.55189,1.54132,-0.00786099,0.0142826,0.0214557,0.615322,0.219991,-0.397854
01324186,1491823477835,-9.59002,1.36786,1.04403,0.0584142,-0.00162071,-0.00708905,0.764808,-0.0791292,0.238314
01324185,1491823477835,-9.76125,-1.27551,1.03798,0.0244185,0.0354177,-0.00532251,0.692181,0.402105,-0.0502465
01324184,1491823477835,-9.41235,0.547682,-2.52763,-0.00659279,0.0288002,0.0182317,0.780535,0.128637,-0.0592475
01324180,1491823477835,-9.44862,-2.97262,1.26558,0.0385131,0.0322241,0.009788,0.609063,0.423139,-0.266301
