ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324187,1491822772449,-9.77113,-0.203902,0.47897,0.0547379,0.0141321,-0.00134055,0.763755,-0.137882,0.108655
01324186,1491822772449,-9.26333,0.0405576,3.21852,0.0783075,-0.0457111,-0.0481434,0.674317,0.243681,-0.336149
01324185,1491822772449,-9.38459,-2.42072,0.929038,0.0969881,-0.0461423,0.0168129,0.702104,0.155374,-0.351062
01324184,1491822772449,-9.49736,0.341278,-2.25878,0.0322358,0.0572845,0.0417619,0.711305,-0.222383,0.179177
01324180,1491822772449,-9.55905,-1.77187,1.36338,0.0801762,-0.00274277,0.0150289,0.740294,-0.0982856,-0.183153
01324187,1491822772457,-9.80624,-0.164875,0.440053,0.0616193,0.00712833,-0.000427231,0.762938,-0.136876,0.107428
01324186,1491822772457,-9.26329,0.0407017,3.22583,0.0579968,-0.0330192,-0.0376547,0.674587,0.242928,-0.335634
01324185,1491822772457,-9.42356,-2.46875,0.805021,0.137279,0.00276085,0.0122131,0.701831,0.154513,-0.351448
01324184,1491822772457,-9.55081,0.333633,-2.29793,0.0603959,0.0340404,0.0418849,0.712267,-0.223555,0.178335
01324180,1491822772457,-9.55635,-1.60754,1.34981,0.074368,-0.0219587,0.0113809,0.740554,-0.0977105,-0.182602
01324187,1491822772473,-9.76673,-0.198732,0.437741,0.0563643,0.00728994,0.00744689,0.76387,-0.145447,0.113352
01324186,1491822772473,-9.29997,0.065181,3.24212,0.0585885,-0.0274315,-0.021808,0.674544,0.239151,-0.331405
01324185,1491822772473,-9.43786,-2.38682,0.773245,0.136731,0.00177262,0.000315441,0.700894,0.147228,-0.345834
01324184,1491822772473,-9.51704,0.399856,-2.38179,0.0941277,0.0127925,0.0227976,0.711476,-0.22912,0.18502
01324180,1491822772473,-9.54648,-1.61446,1.33053,0.0501455,-0.0322921,-0.00203569,0.74165,-0.100963,-0.178201
01324187,1491822772490,-9.75253,-0.169038,0.440593,0.0476786,0.0107631,0.00211881,0.762771,-0.145563,0.114739
01324186,1491822772490,-9.31694,0.0904486,3.29523,0.0795661,-0.0414358,-0.0199806,0.674277,0.239488,-0.332895
01324185,1491822772490,-9.47121,-2.2758,0.826915,0.125662,0.0184972,-0.0108304,0.701436,0.146902,-0.347943
01324184,1491822772490,-9.43951,0.458996,-2.40681,0.0535127,0.0301037,0.0174109,0.711047,-0.229702,0.186097
01324180,1491822772490,-9.50598,-1.74173,1.31089,-0.0122918,-0.022265,0.0107864,0.74194,-0.102126,-0.179587
01324187,1491822772507,-9.7962,-0.150228,0.493771,0.0459965,0.0143253,0.00565914,0.762767,-0.146702,0.115704
01324186,1491822772507,-9.35925,0.141586,3.18681,0.0723424,-0.0508348,-0.00417509,0.674569,0.239418,-0.336184
01324185,1491822772507,-9.44194,-2.18926,0.86845,0.108442,0.027363,-0.0219325,0.701712,0.146344,-0.347411
01324184,1491822772507,-9.46884,0.44419,-2.30198,0.0304316,0.0382329,0.0243244,0.710481,-0.23028,0.187176
01324180,1491822772507,-9.51804,-1.7219,1.24804,-0.0509158,-0.0297771,0.0298383,0.741821,-0.103879,-0.178534
01324187,1491822772523,-9.83612,-0.130827,0.430317,0.0565458,0.0175612,-0.00657237,0.763182,-0.146146,0.114325
01324186,1491822772523,-9.36698,0.154778,3.1183,0.0194182,-0.0521965,0.025524,0.673496,0.242604,-0.339332
01324185,1491822772523,-9.46561,-2.12157,1.00465,0.0880499,0.0477651,-0.0254392,0.703066,0.149395,-0.351403
01324184,1491822772523,-9.55728,0.492704,-2.12566,0.0533442,0.0360041,0.0384205,0.710524,-0.227077,0.185606
01324180,1491822772523,-9.51428,-1.78846,1.15345,-0.0722492,-0.00879199,0.0298332,0.741455,-0.105304,-0.182768
01324187,1491822772540,-9.77182,-0.149885,0.494036,0.0600515,0.0177207,0.00751491,0.764147,-0.144167,0.112519
01324186,1491822772540,-9.33695,0.073417,3.17329,-0.00147557,-0.0503561,0.0201589,0.672388,0.242188,-0.339338
01324185,1491822772540,-9.51824,-2.02966,1.09817,0.102912,0.0521968,-0.00676469,0.703892,0.147282,-0.35033
01324184,1491822772540,-9.55773,0.548983,-2.11943,0.0642948,0.0466749,0.0244653,0.710527,-0.226788,0.185611
01324180,1491822772540,-9.51895,-1.76326,1.04719,-0.0898841,-0.00541729,0.0350276,0.741969,-0.103274,-0.182599
01324187,1491822772557,-9.80183,-0.125539,0.455041,0.0319377,0.0109653,0.00555916,0.762358,-0.146271,0.115023
01324186,1491822772557,-9.31711,-0.00233003,3.1452,-0.00502981,-0.0381462,0.0219093,0.673733,0.238978,-0.335509
01324185,1491822772557,-9.55165,-1.93791,1.14719,0.0885896,0.0487536,-0.0118242,0.701986,0.14592,-0.347276
01324184,1491822772557,-9.53795,0.551488,-2.26792,0.0418019,0.0378687,0.0383963,0.710774,-0.227424,0.189663
01324180,1491822772557,-9.53773,-1.78208,0.979233,-0.0862421,-0.00867636,0.0244777,0.741015,-0.102826,-0.181625
01324187,1491822772573,-9.77148,-0.176894,0.486503,0.0388775,0.00748034,0.0108601,0.762631,-0.146561,0.115157
01324186,1491822772573,-9.31726,0.00951709,3.13043,-0.0119096,-0.0573832,0.0183459,0.673462,0.239864,-0.335472
01324185,1491822772573,-9.49845,-1.90451,1.16883,0.0808242,0.0578795,0.0119261,0.703357,0.143081,-0.34699
01324184,1491822772573,-9.56181,0.521953,-2.39414,0.0251962,0.0505571,0.0278211,0.710753,-0.2286,0.191134
