ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523874574789,-9.83296,0.168259,-1.20732,-0.00859989,0.0338436,-0.0122417,0.125817,-0.15139,-0.397274
01324188,1523874574789,-9.78615,0.144956,-1.45684,-0.0159438,0.00494992,-0.0423066,-0.188188,-0.351564,-0.36135
01324185,1523874574789,-9.65606,-0.771973,1.39739,-0.00196961,0.0158638,0.0119078,-0.00986293,0.451825,0.0874133
01324181,1523874574789,-8.93559,0.151687,3.85373,-0.0359666,-0.0162136,0.018909,0.40087,-0.208404,0.142278
01324180,1523874574789,-9.27075,-2.56008,1.88277,-0.0421936,0.0189547,-0.00239483,-0.216848,0.286042,-0.155841
01324189,1523874574792,-9.86081,0.183396,-1.1168,0.00545572,0.0311398,-0.00329866,0.120398,-0.148535,-0.403769
01324188,1523874574792,-9.77889,0.145097,-1.48096,-0.000162279,0.00902696,-0.0200267,-0.193891,-0.351304,-0.364766
01324185,1523874574792,-9.69701,-0.776501,1.43316,-0.0411807,0.0178736,4.08474e-05,-0.0165727,0.459123,0.0828879
01324181,1523874574792,-8.9882,0.182548,3.92284,-0.0235109,0.00504617,0.019064,0.395474,-0.20641,0.138019
01324180,1523874574792,-9.29747,-2.56563,1.92115,-0.0386281,0.0190624,-0.0076418,-0.224559,0.291157,-0.160509
01324189,1523874574808,-9.75418,0.193606,-1.10865,-0.00165885,0.0294466,-0.0148897,0.120818,-0.148839,-0.404582
01324188,1523874574808,-9.71382,0.0804892,-1.58677,0.03211,0.00874088,-0.0136005,-0.192529,-0.351718,-0.365752
01324185,1523874574808,-9.76466,-0.809797,1.42427,-0.0520916,0.0178844,-0.00843606,-0.0168441,0.459136,0.0835471
01324181,1523874574808,-9.00298,0.240569,3.96269,-0.0074612,0.00491531,0.0103898,0.396008,-0.207101,0.139631
01324180,1523874574808,-9.35536,-2.57339,1.90604,-0.0595985,0.0163689,-0.00778219,-0.225373,0.290869,-0.158603
01324189,1523874574825,-9.63463,0.232155,-1.20043,0.00344904,0.0466113,-0.0175946,0.124444,-0.149479,-0.39778
01324188,1523874574825,-9.60754,0.049324,-1.66914,0.0294395,0.00399446,-0.0233881,-0.188725,-0.352338,-0.363279
01324185,1523874574825,-9.78156,-0.807295,1.41284,-0.0264505,0.0297983,-0.025546,-0.0149159,0.456687,0.0890953
01324181,1523874574825,-8.96964,0.226449,3.91004,-0.0253364,0.00873787,0.0277109,0.399034,-0.211999,0.141037
01324180,1523874574825,-9.36767,-2.55661,1.9036,-0.0574709,-0.0126132,-0.00444829,-0.219824,0.286817,-0.154832
01324189,1523874574841,-9.65604,0.269851,-1.32415,-0.00185084,0.0673697,-0.0176492,0.125154,-0.151239,-0.399414
01324188,1523874574841,-9.64123,0.0972723,-1.61156,0.015486,0.00242909,-0.0270482,-0.188449,-0.352899,-0.363856
01324185,1523874574841,-9.7332,-0.749833,1.38591,-0.0324571,0.0173768,-0.0416301,-0.0132802,0.456663,0.0879047
01324181,1523874574841,-8.94034,0.226756,3.95852,-0.0111917,0.00901221,0.0414521,0.400117,-0.211877,0.140756
01324180,1523874574841,-9.36817,-2.51797,1.90139,-0.0927074,0.00213024,-0.00279991,-0.220375,0.287402,-0.153727
01324189,1523874574858,-9.80889,0.312833,-1.32174,-0.0294277,0.0590839,-0.00170529,0.123241,-0.151188,-0.399392
01324188,1523874574858,-9.67257,0.125788,-1.53456,-0.0124213,0.00938147,-0.0280545,-0.188708,-0.354734,-0.365046
01324185,1523874574858,-9.71603,-0.66564,1.41343,-0.0411689,0.0139654,-0.0390528,-0.014913,0.456423,0.0901513
01324181,1523874574858,-8.97555,0.206878,4.02147,-0.0059207,0.0375891,0.0554857,0.397968,-0.212858,0.140532
