ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523872946390,-9.66262,-0.624014,-1.51281,0.00507218,-0.00983765,-0.0144547,0.735425,-0.215762,0.045735
01324188,1523872946390,-9.82639,0.265097,-0.264318,-0.00639964,0.0109695,-0.0105894,0.647153,-0.27016,-0.0571232
01324185,1523872946390,-9.70724,1.32083,0.890504,0.0238195,-0.029431,-0.0153386,0.741221,-0.305096,-0.236058
01324181,1523872946390,-7.99112,0.81235,5.43064,0.0393087,0.0194862,-0.000613025,0.688542,0.134715,-0.433943
01324180,1523872946390,-9.67647,-1.25697,0.830707,0.0565705,-0.000349083,0.00222558,0.748875,-0.114639,-0.203835
01324189,1523872946393,-9.63243,-0.669462,-1.45495,-0.00174389,0.00751189,-0.00385292,0.735972,-0.208898,0.041237
01324188,1523872946393,-9.85553,0.226639,-0.266149,-0.001174,0.0110822,-0.0123257,0.646429,-0.26186,-0.0633136
01324185,1523872946393,-9.73856,1.32104,0.908827,-0.00233757,-0.0212078,-0.0102529,0.741067,-0.29842,-0.240695
01324181,1523872946393,-8.01254,0.831466,5.47844,0.0144104,0.0335978,-0.00126938,0.686325,0.142946,-0.438478
01324180,1523872946393,-9.71119,-1.19961,0.847602,0.0335728,0.00989501,0.0118444,0.745857,-0.106723,-0.208902
01324189,1523872946409,-9.65714,-0.635798,-1.47397,0.00857911,0.0151686,-0.00915924,0.735172,-0.209458,0.0399046
01324188,1523872946409,-9.82628,0.294066,-0.269395,-0.00283149,-0.00357783,0.00166493,0.6463,-0.262835,-0.064179
01324185,1523872946409,-9.74352,1.28975,0.882671,0.00448458,-0.0248461,-0.015338,0.740654,-0.297902,-0.243051
01324181,1523872946409,-8.05166,0.860143,5.44625,0.0322225,0.0335612,-0.00476829,0.686989,0.143515,-0.438231
01324180,1523872946409,-9.7176,-1.26245,0.847194,0.0127764,0.000318269,0.00459858,0.74559,-0.106863,-0.208901
01324189,1523872946425,-9.67234,-0.563288,-1.48817,0.00144945,0.0160921,-0.0198444,0.734894,-0.213318,0.0428188
