ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523873293438,-9.71133,-0.366234,-1.23542,5.83743e-05,0.0185087,-0.00530015,0.895429,-0.499604,0.166841
01324188,1523873293438,-9.86123,0.318116,-0.401558,0.00681819,-0.0171309,0.00344358,0.841086,-0.66066,0.108368
01324185,1523873293438,-9.67994,1.42744,1.33895,0.0224987,0.0100647,0.00186048,0.769216,-0.532289,-0.283795
01324181,1523873293438,-8.2282,0.49209,5.19373,0.0353088,-0.0160596,-0.0111203,0.680586,0.331849,-0.516661
01324180,1523873293438,-9.68098,-1.47092,1.51553,0.049767,0.00344506,0.0412492,0.860098,-0.343693,-0.26395
01324189,1523873293441,-9.74026,-0.385737,-1.23503,-0.00183934,0.0236993,-0.0159718,0.897045,-0.494321,0.165658
01324188,1523873293441,-9.80314,0.341635,-0.346874,-0.00541039,0.000204241,0.00355741,0.841357,-0.660185,0.104359
01324185,1523873293441,-9.63178,1.36458,1.38849,0.0437731,0.00636767,0.00525281,0.770694,-0.528429,-0.28855
01324181,1523873293441,-8.22545,0.51148,5.25616,0.0157555,-0.00197561,-0.0135237,0.677639,0.336014,-0.524986
01324180,1523873293441,-9.60595,-1.31375,1.57514,0.0613927,0.00750483,0.0149987,0.858442,-0.337819,-0.269224
01324189,1523873293457,-9.72038,-0.399961,-1.20615,0.00960424,0.0149596,-0.00792431,0.8973,-0.493313,0.166869
01324188,1523873293457,-9.79855,0.274068,-0.341483,-0.00532874,-0.0143097,0.0149068,0.843124,-0.66094,0.10429
01324185,1523873293457,-9.61725,1.39337,1.37544,0.0506109,-0.00254345,0.00104639,0.771373,-0.528565,-0.288289
01324181,1523873293457,-8.20892,0.53836,5.26058,0.0353226,0.00425523,-0.0126775,0.678995,0.336821,-0.526618
01324180,1523873293457,-9.64242,-1.28973,1.54591,0.033547,-0.0120716,0.0252494,0.860865,-0.337858,-0.269937
01324189,1523873293473,-9.73922,-0.390019,-1.16447,0.0210624,0.0148659,0.00277974,0.897316,-0.498062,0.168171
01324188,1523873293473,-9.77923,0.269125,-0.334369,0.0068593,-0.00719847,0.0124161,0.843395,-0.661229,0.107228
01324185,1523873293473,-9.61707,1.43674,1.40411,0.0365633,-0.00064002,0.00189912,0.771661,-0.533843,-0.283789
01324181,1523873293473,-8.20168,0.531173,5.25352,0.0237115,0.00439779,-0.00402108,0.681133,0.335174,-0.521804
01324180,1523873293473,-9.58649,-1.31327,1.55116,0.0645912,-0.0237828,0.00248754,0.862401,-0.345334,-0.263746
01324189,1523873293490,-9.73198,-0.346241,-1.14743,0.010601,0.0253326,0.00272347,0.897594,-0.499796,0.16869
01324188,1523873293490,-9.77909,0.307589,-0.317873,0.027765,-0.0033949,0.00728919,0.844205,-0.660851,0.108183
01324185,1523873293490,-9.61696,1.444,1.45255,0.0210144,-0.0164864,-0.0115899,0.772476,-0.533269,-0.283273
01324181,1523873293490,-8.2018,0.560264,5.27953,0.00143385,-0.000838599,0.00117302,0.680361,0.332865,-0.522815
01324180,1523873293490,-9.53543,-1.40607,1.24903,0.0900329,-0.0233242,-0.0114487,0.861717,-0.344452,-0.263447
01324189,1523873293506,-9.74374,-0.346096,-1.12291,0.0071534,0.0150169,0.00273376,0.895685,-0.497734,0.167389
01324188,1523873293506,-9.78863,0.346071,-0.298896,0.0242709,-0.00668553,0.0036861,0.842309,-0.661047,0.106849
01324185,1523873293506,-9.61768,1.34749,1.22064,0.00448122,-0.0215512,-0.00813414,0.770169,-0.53227,-0.282752
01324181,1523873293506,-8.22973,0.506537,5.30453,0.0227191,-0.00149713,0.0114561,0.67994,0.333325,-0.521753
