ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524492675869,-9.75954,0.388627,-1.18058,-0.00877103,0.000301625,0.00565998,0.931242,-0.458536,0.181149
01324188,1524492675869,-9.75726,-0.203538,-1.12674,0.00785934,0.0139851,0.0100875,0.962984,-0.252456,0.426499
01324185,1524492675869,-9.54215,0.751222,2.49148,-0.0440984,0.00682037,-0.0361503,0.949945,-0.428441,0.0325029
01324181,1524492675869,-9.80568,0.137941,1.61495,-0.0113047,0.0148698,0.0152447,0.830105,0.00800167,-0.586952
01324180,1524492675869,-9.0261,-3.40263,2.02339,-0.0463321,0.00560463,-0.0119253,1.02092,0.00207789,0.0656414
01324189,1524492675872,-9.75967,0.463938,-1.15606,0.0111583,0.0208132,0.00568795,0.929324,-0.452402,0.176624
01324188,1524492675872,-9.7911,-0.20561,-1.15775,-0.000873489,0.0250388,0.0145697,0.962952,-0.247127,0.424679
01324185,1524492675872,-9.47956,0.760469,2.4401,0.0139025,0.0116386,-0.0362035,0.950702,-0.421933,0.0271899
01324181,1524492675872,-9.67317,0.314187,1.62691,0.00297954,-0.00128885,0.00207614,0.829575,0.012881,-0.595098
01324180,1524492675872,-9.01684,-3.38854,2.0719,-0.0394783,0.0116073,-0.00480544,1.01813,0.0106384,0.0614921
01324189,1524492675888,-9.74058,0.458996,-1.17827,-0.00957435,-0.00831975,0.0101111,0.928647,-0.453404,0.176083
01324188,1524492675888,-9.7523,-0.17432,-1.17037,0.00874606,0.0136583,0.0162857,0.962407,-0.246815,0.424436
01324185,1524492675888,-9.43084,0.914287,2.45584,0.0446442,0.0282925,-0.0159471,0.949606,-0.422203,0.0279905
01324181,1524492675888,-9.58487,0.32498,1.57413,-0.00598657,0.0131337,0.0185821,0.82886,0.0135339,-0.592153
01324180,1524492675888,-8.98783,-3.37827,2.04565,-0.0235785,0.0101636,-0.017027,1.01894,0.0112092,0.0614917
01324189,1524492675905,-9.77002,0.536474,-1.17034,-0.0106373,0.00722182,0.000310435,0.930287,-0.457645,0.179816
01324188,1524492675905,-9.75962,-0.188995,-1.13648,0.00258206,0.0212529,0.00393531,0.961342,-0.250244,0.426523
01324185,1524492675905,-9.46412,1.06863,2.4848,0.0250222,0.0169788,-0.0209515,0.952086,-0.426728,0.0301441
01324181,1524492675905,-9.6218,0.22262,1.60001,-0.000635506,0.0290673,0.018725,0.829435,0.00728673,-0.587064
01324180,1524492675905,-8.96413,-3.32936,2.01231,-0.0127692,0.00541305,-0.0398428,1.01941,0.00622963,0.0609749
01324189,1524492675921,-9.75912,0.444786,-1.1269,-0.0183505,0.00731318,0.00561478,0.932089,-0.4577,0.178442
01324188,1524492675921,-9.77165,-0.17435,-1.15578,0.00260631,0.0175013,0.00920251,0.96189,-0.251157,0.427132
01324185,1524492675921,-9.46675,1.01083,2.45881,-0.0325204,0.00178939,-0.00973292,0.950714,-0.426437,0.0304107
01324181,1524492675921,-9.65275,0.23677,1.65026,0.010018,0.0291241,0.0204221,0.830246,0.00728709,-0.586536
01324180,1524492675921,-8.97659,-3.30048,2.00751,-0.0308699,0.0366238,-0.0256624,1.01938,0.00798299,0.0614198
01324189,1524492675938,-9.72982,0.396405,-1.13233,-0.0130652,0.00380323,0.00918773,0.930304,-0.459103,0.178992
01324188,1524492675938,-9.73065,-0.203468,-1.15102,0.00607161,0.0212027,0.00484868,0.96229,-0.249995,0.427065
01324185,1524492675938,-9.48904,0.847173,2.39593,-0.0678278,0.00825059,-0.0139792,0.952087,-0.426147,0.0306679
01324181,1524492675938,-9.61432,0.217838,1.62189,-0.0113279,0.0344248,0.0222523,0.829989,0.00669567,-0.587326
01324180,1524492675938,-9.01227,-3.34928,2.01657,-0.0288719,0.0100882,-0.0135317,1.02076,0.00664692,0.0605542
01324189,1524492675954,-9.73453,0.357557,-1.13965,-0.00278748,0.0183577,0.000311829,0.930577,-0.456211,0.17739
01324188,1524492675954,-9.74277,-0.208447,-1.122,0.000901548,0.0146005,0.0144741,0.963096,-0.248607,0.425123
01324185,1524492675954,-9.48928,0.755683,2.40659,-0.05593,0.0141943,-0.0242341,0.952357,-0.425322,0.0290705
01324181,1524492675954,-9.64057,0.20297,1.622,-0.000602768,0.036052,0.0136214,0.83243,0.00975502,-0.591038
01324180,1524492675954,-9.02633,-3.3932,2.04519,-0.0306104,0.00828287,-0.0118048,1.01881,0.0109198,0.0613514
01324189,1524492675971,-9.74506,0.468902,-1.14897,0.000724659,0.0226452,0.0056468,0.930853,-0.455929,0.177119
01324188,1524492675971,-9.76689,-0.193825,-1.13157,0.00431336,0.0248281,0.00221532,0.960523,-0.249303,0.425381
01324185,1524492675971,-9.48662,0.799071,2.47397,0.00165409,0.0205777,-0.0345457,0.951947,-0.425304,0.0299983
01324181,1524492675971,-9.68665,0.229121,1.61396,0.00829048,0.0360713,0.0136014,0.832441,0.00875073,-0.590748
01324180,1524492675971,-8.96827,-3.39499,2.05058,-0.0200139,0.0030897,-0.0135459,1.01932,0.0123628,0.0631458
01324189,1524492675987,-9.7703,0.536318,-1.18981,0.0069593,0.0174181,0.0172307,0.92949,-0.458363,0.177385
01324188,1524492675987,-9.77887,-0.169301,-1.18464,0.0130261,0.0213746,0.00223519,0.961345,-0.25087,0.427426
01324185,1524492675987,-9.48872,0.880988,2.51205,0.00111914,0.0171427,-0.0260199,0.950025,-0.423586,0.0302529
01324181,1524492675987,-9.70165,0.28716,1.62966,-0.00769459,0.0270837,0.00667622,0.83157,0.0100099,-0.586607
01324180,1524492675987,-8.96824,-3.3974,2.05057,-0.0273321,0.0258686,-0.0143124,1.0183,0.00948813,0.057648
01324189,1524492676003,-9.75579,0.594727,-1.16555,0.000665529,0.0105565,0.0021156,0.930033,-0.458953,0.178456
01324188,1524492676003,-9.78608,-0.154807,-1.18472,0.00607654,0.0023401,0.000207116,0.959446,-0.25063,0.426119
01324185,1524492676003,-9.50795,0.914806,2.49796,-0.0282115,0.00855013,-0.0327324,0.9503,-0.423871,0.0302547
