ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524492568868,-0.0218572,-9.79506,0.739571,-0.00916605,-0.00727558,-0.005654,-0.083637,1.10504,-0.54145
01324188,1524492568868,-0.0343951,-8.30636,5.20486,-0.00141274,0.00558222,-0.00181414,-0.203062,0.778498,-0.951183
01324185,1524492568868,-1.46477,-5.84393,7.78044,-0.0232316,-0.000446927,-0.0117256,-0.19424,0.31356,-1.07444
01324181,1524492568868,-0.77928,0.0416519,-9.82734,-0.00165965,-0.00622007,0.000145278,-0.118511,0.478567,1.08457
01324180,1524492568868,0.280597,-5.98874,7.72356,0.00239316,0.00502243,-0.0184474,-0.23757,0.228701,-1.05783
01324189,1524492568879,0.0100083,-9.79958,0.763422,0.00405513,0.0150471,0.010335,-0.0848668,1.11303,-0.547042
01324188,1524492568879,-0.0344182,-8.31131,5.22416,-0.00142628,0.00750727,-0.00533336,-0.206779,0.78891,-0.960839
01324185,1524492568879,-1.46929,-5.7644,7.81864,0.00778518,0.014285,-0.00590176,-0.20195,0.321347,-1.08454
01324181,1524492568879,-0.779082,0.0440606,-9.80324,-0.00883792,-0.00426616,0.0105281,-0.125536,0.48842,1.08243
01324180,1524492568879,0.299422,-5.96484,7.76738,-0.00304186,0.00821295,-0.00439151,-0.242777,0.238201,-1.06655
01324189,1524492568895,0.00519516,-9.80444,0.763483,-0.0160965,0.00833477,-0.00215728,-0.0858371,1.11422,-0.546887
01324188,1524492568895,-0.0345712,-8.35467,5.21734,-0.00138935,0.0121582,0.0053398,-0.207183,0.788601,-0.960315
01324185,1524492568895,-1.45944,-5.7259,7.86635,0.00236074,0.0189074,0.0110805,-0.201263,0.318777,-1.08478
01324181,1524492568895,-0.793496,0.041466,-9.80569,0.00542984,0.00273421,0.00537566,-0.12488,0.489022,1.08401
01324180,1524492568895,0.275322,-5.96989,7.76228,-0.00821721,-0.00245987,0.00253831,-0.243849,0.237639,-1.06709
01324189,1524492568911,0.0489944,-9.80901,0.774982,-0.0057227,0.00130552,-0.00744828,-0.0825395,1.10704,-0.542526
01324188,1524492568911,0.0811132,-8.46509,5.08508,0.0124636,0.0248636,-0.00502358,-0.203893,0.782372,-0.958998
01324185,1524492568911,-1.50289,-5.73766,7.86834,-0.0276839,0.0112289,0.00777086,-0.196991,0.314207,-1.07787
01324181,1524492568911,-0.778983,0.0416296,-9.79594,-0.00704168,-0.00609594,0.00705921,-0.120181,0.482604,1.08356
01324180,1524492568911,0.260787,-5.97011,7.76697,-0.0155711,0.0130432,0.0149116,-0.237174,0.230461,-1.06011
01324189,1524492568926,-0.0336795,-9.8071,0.754327,-0.0039892,0.00648461,-0.00654813,-0.0833644,1.10735,-0.542649
01324188,1524492568926,-0.157446,-8.23394,5.25811,-0.0118265,-0.0203669,-0.00396183,-0.204156,0.780868,-0.957878
01324185,1524492568926,-1.47878,-5.73782,7.86245,-0.017356,0.00315559,0.00270317,-0.197266,0.315207,-1.07775
01324181,1524492568926,-0.793351,0.0463023,-9.78405,0.00548857,0.00608252,-0.0049388,-0.121535,0.482056,1.08399
01324180,1524492568926,0.251395,-5.9845,7.74747,-0.0310195,-0.000816561,0.00416569,-0.239765,0.232112,-1.0595
01324189,1524492568941,-0.00492573,-9.78041,0.744219,-0.0127446,0.00828836,-0.0101406,-0.0825457,1.10762,-0.542252
01324188,1524492568941,-0.0252231,-8.4462,5.19884,0.0107675,0.0110921,-0.00697465,-0.202817,0.78347,-0.958001
01324185,1524492568941,-1.46911,-5.74268,7.8815,-0.0139103,0.00838875,0.000962794,-0.196579,0.315071,-1.07736
01324181,1524492568941,-0.774137,0.0368364,-9.79823,-0.00344551,0.00265599,0.00195146,-0.121286,0.483502,1.08436
01324180,1524492568941,0.280541,-5.98887,7.73564,-0.0329489,0.0114476,0.0042318,-0.239359,0.231809,-1.05896
01324189,1524492568957,-0.00985771,-9.79993,0.729642,-0.0179746,0.010067,-0.0110489,-0.0863827,1.11337,-0.546752
01324188,1524492568957,-0.087608,-8.31122,5.23902,-0.0057998,0.0178966,-0.00437241,-0.207445,0.786947,-0.959071
01324185,1524492568957,-1.47894,-5.78598,7.85325,-0.0237918,0.0137183,-0.00416,-0.200292,0.319434,-1.08029
01324181,1524492568957,-0.774152,0.0344139,-9.80302,-0.00877714,-0.0097816,-0.000724888,-0.122935,0.485813,1.08352
01324180,1524492568957,0.276233,-6.02752,7.73297,-0.0188256,0.00813108,-0.00274383,-0.241396,0.234652,-1.06378
01324189,1524492568972,-0.00952212,-9.79731,0.753985,0.00309349,0.00987156,0.00323747,-0.085397,1.11289,-0.548928
01324188,1524492568972,-0.14087,-8.34157,5.12419,0.019415,0.0406019,-0.00484112,-0.207446,0.786884,-0.95773
01324185,1524492568972,-1.48877,-5.8293,7.82014,-0.0139556,0.0101355,-0.000742912,-0.200845,0.318253,-1.0824
01324181,1524492568972,-0.802949,0.0413403,-9.78885,-0.00879122,-0.00442041,0.00191397,-0.121865,0.486812,1.08376
01324180,1524492568972,0.271652,-6.05186,7.74729,-0.00851056,0.0168025,0.00353117,-0.24088,0.236689,-1.06375
01324189,1524492568988,-0.0191365,-9.77543,0.768788,-0.00384887,0.0151292,0.00498307,-0.0843161,1.1081,-0.544118
01324188,1524492568988,0.00425731,-8.31599,5.18299,0.00118076,0.0108802,-0.00350188,-0.204304,0.782933,-0.95842
01324185,1524492568988,-1.50329,-5.83403,7.80625,-0.0109557,0.0135108,-0.0126708,-0.197401,0.314074,-1.07734
01324181,1524492568988,-0.79342,0.0534369,-9.79372,0.000907875,-0.00595751,0.0105442,-0.120753,0.483894,1.0837
01324180,1524492568988,0.264547,-6.06155,7.74234,-0.0119104,0.0115864,0.000834905,-0.238938,0.231523,-1.06129
01324189,1524492569003,-0.0190511,-9.77781,0.773649,-0.00225325,0.0116457,-0.00566639,-0.0842949,1.10809,-0.546278
01324188,1524492569003,-0.0730926,-8.31104,5.20521,0.00905502,0.0208847,0.00550002,-0.204164,0.78237,-0.95886
01324185,1524492569003,-1.50769,-5.69914,7.82689,0.0046936,0.0152939,0.0043078,-0.197682,0.316318,-1.07921
01324181,1524492569003,-0.776317,0.0318029,-9.79319,0.00187863,-0.00621545,-0.0032535,-0.120505,0.485064,1.08461
01324180,1524492569003,0.264408,-6.04943,7.73757,-0.00223635,0.0063114,0.00349959,-0.239212,0.23182,-1.06128
01324189,1524492569018,0.0051646,-9.7996,0.763495,-0.00408247,0.00301489,-0.013657,-0.0834802,1.10923,-0.546009
01324188,1524492569018,-0.0393321,-8.33524,5.20035,0.0108358,0.00175975,0.00530818,-0.204448,0.784387,-0.958327
01324185,1524492569018,-1.53651,-5.67967,7.86433,-0.0106731,-0.00403693,-0.00490058,-0.197954,0.314901,-1.0788
01324181,1524492569018,-0.802941,0.0460456,-9.79363,0.00360781,-0.00427956,0.00538188,-0.119715,0.485947,1.08593
01324180,1524492569018,0.271933,-6.07112,7.74236,-0.0170617,0.00455543,0.000749052,-0.238665,0.231224,-1.06103
01324189,1524492569035,0.016996,-9.77782,0.753631,-0.0109825,0.015175,-0.00748633,-0.0843171,1.11128,-0.545982
01324188,1524492569035,-0.053784,-8.32069,5.19552,0.0108226,0.00359635,0.00355562,-0.205787,0.781823,-0.959008
01324185,1524492569035,-1.48862,-5.79556,7.84891,-0.014415,-0.00757997,-0.0108352,-0.199335,0.320853,-1.08058
