ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524492458490,-4.92858,-8.25277,1.64462,0.0166571,0.0161165,-0.0136812,0.0726428,1.01983,-0.0646267
01324188,1524492458490,-9.67563,-0.641452,-1.17406,-0.00721103,-0.0124778,-0.00717112,0.923839,0.431927,-0.187948
01324185,1524492458490,-8.75865,-0.977108,3.42729,-0.0696231,0.0541776,-0.034296,0.704027,0.32872,-0.636295
01324181,1524492458490,-9.43366,0.492025,2.34142,-0.0290059,-0.00151539,0.00950697,0.913413,-0.143408,0.170835
01324180,1524492458490,-3.60624,-7.65829,4.63122,0.123241,-0.0813027,0.00693653,-0.052787,0.740599,-0.634651
01324189,1524492458494,-4.86497,-8.29836,1.66789,-0.009823,0.0232446,-0.0422249,0.0685129,1.02414,-0.0662993
01324188,1524492458494,-9.6613,-0.685325,-1.11361,-0.00111496,-0.0180847,-0.0160387,0.923125,0.438304,-0.193323
01324185,1524492458494,-8.73859,-0.890304,3.69246,-0.0315548,0.0875149,-0.00819503,0.704419,0.336034,-0.641259
01324181,1524492458494,-9.45165,0.465046,2.43601,-0.00504865,0.00576371,0.0181218,0.914546,-0.142973,0.165188
01324180,1524492458494,-3.45945,-7.52197,4.91861,0.147634,-0.0690793,0.00893504,-0.0591677,0.746618,-0.643974
01324189,1524492458510,-4.79304,-8.4176,1.56428,-0.0250884,0.0165022,-0.0174007,0.0690589,1.0247,-0.0663011
01324188,1524492458510,-9.70996,-0.767433,-1.06916,-0.00724198,-0.0193547,-0.0249502,0.924067,0.439487,-0.194067
01324185,1524492458510,-8.84152,-0.752219,3.90413,-0.0133329,0.101548,0.00702211,0.704692,0.337034,-0.641138
01324181,1524492458510,-9.48999,0.4767,2.46452,0.0136942,-0.00507097,0.00418596,0.914124,-0.141535,0.16476
01324180,1524492458510,-3.36502,-7.44902,5.20514,0.109197,-0.0819335,0.0261812,-0.0590263,0.745881,-0.643446
01324189,1524492458526,-4.69653,-8.54384,1.4822,-0.0216554,0.0198803,-0.0209674,0.0715234,1.01972,-0.0624547
01324188,1524492458526,-9.76113,-0.878368,-1.03888,-0.00721331,-0.0263394,-0.0241462,0.923834,0.433081,-0.190834
01324185,1524492458526,-8.9979,-0.722197,4.07068,-0.00694542,0.0735135,0.0327414,0.706216,0.333999,-0.635958
01324181,1524492458526,-9.47623,0.51085,2.43981,0.01996,-0.00873263,-0.00276899,0.913037,-0.144315,0.168715
