ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524492272543,-9.6432,0.913941,-1.12853,0.0572629,0.0505476,-0.15182,0.802777,-0.214278,-0.433048
01324188,1524492272543,-9.78801,0.511699,-1.26782,0.0261572,-0.055831,-0.0853157,0.765602,-0.583648,-0.167255
01324185,1524492272543,-9.5148,1.65628,2.6804,0.0729698,0.0446542,0.0277552,0.647192,-0.410793,-0.562432
01324181,1524492272543,-9.31555,0.405935,2.5153,-0.18087,-0.168194,0.0929973,0.815408,0.421913,-0.221535
01324180,1524492272543,-9.1266,-3.27475,2.41179,-0.0393372,0.0618025,0.0955342,0.721708,-0.0132639,-0.550532
01324189,1524492272578,-9.72483,0.772967,-1.13981,0.0327275,0.0853317,-0.162611,0.804419,-0.207667,-0.436521
01324188,1524492272578,-9.74918,0.554862,-1.25407,0.0209086,-0.0624307,-0.0925001,0.763939,-0.577391,-0.172762
01324185,1524492272578,-9.60122,1.84939,2.61417,0.0827159,0.033827,0.0108205,0.64718,-0.408591,-0.566418
01324181,1524492272578,-9.2213,0.445782,2.6214,-0.189867,-0.126258,0.114049,0.814165,0.427579,-0.226865
01324180,1524492272578,-9.28175,-3.25994,2.43694,0.00810926,0.0659224,0.073923,0.719652,-0.00969833,-0.5537
01324189,1524492272594,-9.90046,0.7499,-0.898656,0.0347643,0.0526026,-0.150956,0.803863,-0.205769,-0.437039
01324188,1524492272594,-9.75433,0.472529,-1.20034,0.0208591,-0.0514438,-0.102999,0.764483,-0.577495,-0.173852
01324185,1524492272594,-9.52395,2.0365,2.37599,0.0859961,-0.00338422,-0.0127769,0.646498,-0.411579,-0.566254
01324181,1524492272594,-9.10263,0.495579,2.78061,-0.232788,-0.121239,0.149534,0.815249,0.427566,-0.226742
01324180,1524492272594,-9.31641,-3.17758,2.3718,0.0488426,0.0346148,0.0704729,0.720073,-0.0108747,-0.553867
01324189,1524492272610,-9.69024,0.792938,-1.08429,0.0366957,0.0404439,-0.135867,0.805758,-0.209132,-0.432231
01324188,1524492272610,-9.71746,0.636699,-1.25025,0.020007,-0.0638037,-0.0995995,0.767621,-0.580917,-0.170338
01324185,1524492272610,-9.20538,2.1885,2.2346,0.0206871,-0.0152545,-0.0365142,0.648155,-0.41249,-0.561758
01324181,1524492272610,-9.02703,0.210189,2.76966,-0.275565,-0.0606778,0.17693,0.817849,0.423563,-0.223605
01324180,1524492272610,-9.1867,-2.9075,2.31654,0.0671415,0.00471596,0.0361301,0.723462,-0.0158236,-0.543521
01324189,1524492272625,-9.74942,0.865059,-1.12461,0.0264344,0.0543916,-0.119925,0.808769,-0.209497,-0.43119
01324188,1524492272625,-9.76882,0.477371,-1.19546,0.0217146,-0.0563232,-0.109245,0.769778,-0.578851,-0.171716
01324185,1524492272625,-8.9782,2.346,2.22811,-0.0690021,-0.00376556,-0.0348411,0.647876,-0.412811,-0.563604
01324181,1524492272625,-9.15698,-0.0680371,2.8925,-0.291509,-0.0201135,0.170505,0.818941,0.422133,-0.22238
01324180,1524492272625,-9.02884,-2.56693,2.24744,-0.00161311,-0.0480056,-0.0120992,0.72333,-0.0158163,-0.544337
01324189,1524492272640,-9.80914,0.995236,-1.17695,0.0110414,0.0355939,-0.102163,0.807919,-0.206858,-0.43008
01324188,1524492272640,-9.80735,0.514081,-1.25325,0.0165118,-0.0755779,-0.106842,0.769774,-0.578119,-0.171804
01324185,1524492272640,-8.75135,2.40234,2.19355,-0.153756,-0.0153102,-0.0415283,0.648972,-0.410807,-0.563099
01324181,1524492272640,-9.20251,-0.102517,2.86147,-0.282701,-0.0233482,0.185979,0.81867,0.421017,-0.220881
01324180,1524492272640,-8.80917,-2.31961,2.16151,-0.119636,-0.0716679,-0.0762979,0.722642,-0.0152249,-0.543361
01324189,1524492272656,-9.64889,0.95236,-1.16974,-0.0201824,0.0350227,-0.0987434,0.808639,-0.205882,-0.434127
01324188,1524492272656,-9.7249,0.581599,-1.29782,-0.00785008,-0.0816177,-0.0929039,0.76866,-0.573121,-0.175514
01324185,1524492272656,-8.59256,2.27612,2.16864,-0.248622,0.0138249,-0.0399419,0.648681,-0.405913,-0.567903
01324181,1524492272656,-9.13285,-0.201057,2.72614,-0.284597,0.00192871,0.215502,0.82139,0.420125,-0.220355
01324180,1524492272656,-8.66471,-2.22988,2.05465,-0.243248,-0.0923699,-0.114159,0.719364,-0.00808233,-0.554072
01324189,1524492272671,-9.63196,0.751928,-1.09257,-0.0863594,0.062462,-0.1079,0.806707,-0.204235,-0.434092
01324188,1524492272671,-9.64833,0.375126,-1.11846,-0.0235499,-0.0894829,-0.109898,0.768652,-0.571619,-0.176496
01324185,1524492272671,-8.64119,2.0983,2.23079,-0.329462,0.0418848,-0.0400186,0.647032,-0.403221,-0.568717
