ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523876710778,-9.77255,0.354332,-0.853506,0.0198009,0.0027391,0.00282099,0.91503,-0.412385,-0.155648
01324188,1523876710778,-9.74836,0.390309,-1.18217,0.025677,0.008936,-0.000879548,1.00625,-0.342418,-0.182594
01324185,1523876710778,-9.68921,0.237492,1.6547,-0.0240925,0.00552852,-0.00168926,0.803223,-0.179454,-0.615973
01324181,1523876710778,-9.14567,0.351731,3.47543,0.00399058,-0.00641653,0.00948402,0.908004,0.368971,-0.156574
01324180,1523876710778,-9.3311,-2.64078,1.30377,0.0113634,0.0338994,-0.0144312,0.869808,-0.0342254,-0.524442
01324189,1523876710782,-9.76722,0.354624,-0.819512,0.001485,0.011559,-0.000811188,0.91482,-0.412551,-0.161732
01324188,1523876710782,-9.73382,0.399834,-1.17275,0.00996553,0.0124668,-0.00271657,1.00835,-0.335962,-0.186333
01324185,1523876710782,-9.67959,0.208567,1.68128,-0.0119178,0.0159433,-0.00517293,0.803872,-0.174281,-0.62222
01324181,1523876710782,-9.11442,0.361792,3.48993,0.0111004,0.000696582,0.011238,0.909857,0.374054,-0.162476
01324180,1523876710782,-9.32131,-2.66279,1.34241,-0.00702659,0.0220738,0.00294481,0.867375,-0.0281448,-0.528552
01324189,1523876710798,-9.73581,0.354715,-0.824853,-0.0012116,0.0167501,-0.00616671,0.913874,-0.413517,-0.160671
01324188,1523876710798,-9.73379,0.409445,-1.16802,-0.00485083,0.00722185,-0.00287584,1.00889,-0.335691,-0.18619
01324185,1523876710798,-9.67483,0.191681,1.67639,0.000956082,0.00890076,0.00761407,0.803873,-0.174831,-0.621827
01324181,1523876710798,-9.10229,0.34254,3.47588,0.00583016,0.00403157,0.000939834,0.910902,0.375595,-0.162519
01324180,1523876710798,-9.33053,-2.70167,1.35661,-0.0129275,0.0116702,-0.00420607,0.869769,-0.0288976,-0.529402
01324189,1523876710815,-9.75502,0.340138,-0.819731,-0.0133718,0.0263788,-0.00444458,0.915184,-0.414526,-0.156328
01324188,1523876710815,-9.72414,0.404521,-1.15843,-0.0126324,0.00133469,0.00939826,1.00757,-0.339545,-0.183097
01324185,1523876710815,-9.68928,0.206203,1.66231,-0.00641681,0.0194655,-9.65595e-05,0.805492,-0.177963,-0.61806
01324181,1523876710815,-9.12354,0.325293,3.49298,0.00579474,0.000594784,0.00608926,0.910276,0.369466,-0.158446
01324180,1523876710815,-9.36001,-2.6732,1.37098,0.000720208,0.0290355,0.00656524,0.871369,-0.0322514,-0.523892
01324189,1523876710831,-9.77413,0.31589,-0.812198,-0.0342606,0.00933096,-0.00980941,0.914639,-0.413374,-0.156313
01324188,1523876710831,-9.73866,0.399785,-1.16308,-0.00744874,0.0104131,0.00245113,1.00971,-0.339568,-0.18339
01324185,1523876710831,-9.69398,0.230333,1.69137,-0.00862895,0.0202624,-0.0103042,0.804418,-0.177704,-0.619092
01324181,1523876710831,-9.13081,0.334905,3.49999,0.000458889,0.00412777,0.00613769,0.909498,0.368882,-0.159739
01324180,1523876710831,-9.35044,-2.67332,1.39282,0.014824,0.0184544,0.011853,0.870584,-0.0333886,-0.52297
01324189,1523876710848,-9.75686,0.269949,-0.810134,-0.0134448,0.0116956,-0.0133006,0.915721,-0.413404,-0.156854
01324188,1523876710848,-9.72425,0.375421,-1.1341,-0.000460018,0.0053032,0.000675282,1.0065,-0.339522,-0.183215
01324185,1523876710848,-9.69878,0.249683,1.70101,-0.0083005,0.00632672,-0.00165244,0.805413,-0.17703,-0.618165
01324181,1523876710848,-9.14071,0.361469,3.50425,0.000449376,0.00770024,0.00789189,0.910552,0.369303,-0.159233
01324180,1523876710848,-9.36995,-2.65899,1.38546,0.0112953,0.0255995,0.00485549,0.869515,-0.0323662,-0.523201
01324189,1523876710864,-9.80517,0.291689,-0.792317,0.00236343,0.0115618,-0.00168824,0.916008,-0.411719,-0.159755
01324188,1523876710864,-9.73393,0.370734,-1.14842,0.00212978,0.0132249,-0.000991214,1.00796,-0.336205,-0.187139
01324185,1523876710864,-9.67955,0.235109,1.69063,0.00555004,-0.00178125,-0.00672242,0.806347,-0.177194,-0.619457
01324181,1523876710864,-9.14583,0.373553,3.48708,-0.00309503,0.00943186,0.00619399,0.908689,0.370839,-0.161347
01324180,1523876710864,-9.37029,-2.62992,1.37595,-0.0165307,0.016848,-0.000649408,0.869236,-0.0299094,-0.526214
01324189,1523876710880,-9.79069,0.282,-0.79986,-0.0028126,0.0116148,0.000956895,0.915197,-0.411696,-0.159481
01324188,1523876710880,-9.75327,0.370738,-1.13864,-0.00393076,0.0152651,0.00960709,1.00769,-0.335988,-0.185531
01324185,1523876710880,-9.68919,0.24479,1.68124,0.00723368,0.0122786,-0.00851326,0.805138,-0.176388,-0.62101
01324181,1523876710880,-9.13606,0.351844,3.47549,0.00579687,0.00768719,0.00701239,0.90921,0.371684,-0.161238
01324180,1523876710880,-9.38455,-2.65191,1.38535,-0.00928214,-0.00426985,0.00452112,0.869495,-0.0290502,-0.527001
01324189,1523876710896,-9.77391,0.308719,-0.800049,-0.0148768,0.0186535,0.00978427,0.916422,-0.414146,-0.159381
01324188,1523876710896,-9.75315,0.404559,-1.14858,0.0134698,0.015771,0.000880397,1.00809,-0.336664,-0.189688
01324185,1523876710896,-9.72292,0.264248,1.66793,0.0284437,-0.00551795,-0.00586415,0.804609,-0.178298,-0.618924
01324181,1523876710896,-9.14555,0.356568,3.49466,0.00580407,0.0147505,0.00621377,0.909195,0.370757,-0.15833
01324180,1523876710896,-9.3891,-2.67369,1.38519,-0.019703,-0.00414909,-0.00346058,0.870416,-0.0296531,-0.524626
