ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523883048240,-9.68942,0.370902,-1.40145,0.00436757,0.00861208,-0.00523157,1.00357,-0.448303,-0.137209
01324188,1523883048240,-9.62193,-0.0730767,-1.2439,-0.00795361,-0.0149141,-0.002291,1.03072,-0.42111,0.299477
01324185,1523883048240,-9.3993,2.20321,1.5686,-0.0166119,-4.39339e-05,-0.00964351,0.728539,-0.533689,-0.535527
01324181,1523883048240,-9.50717,-0.175327,2.19859,-0.0167837,0.009477,-0.00859347,0.864677,0.4698,-0.248951
01324180,1523883048240,-9.17947,-3.22188,0.848224,-0.00863325,0.026168,-0.0725026,0.847646,0.132254,-0.607784
01324189,1523883048243,-9.6869,0.294491,-1.26049,0.0217626,0.01449,-0.00695866,1.00441,-0.444859,-0.141246
01324188,1523883048243,-9.67033,-0.0808028,-1.14718,-0.00795183,0.014275,0.00510125,1.03302,-0.41778,0.296276
01324185,1523883048243,-9.41857,2.20575,1.57911,-0.00576046,0.00431943,-0.00287566,0.727425,-0.531108,-0.541884
01324181,1523883048243,-9.5274,-0.0906536,2.2065,-0.0114161,0.0359754,-0.0109716,0.864559,0.481434,-0.25242
01324180,1523883048243,-9.17729,-3.20996,0.865229,-0.0155996,0.0279971,-0.0778063,0.847033,0.141185,-0.614108
01324189,1523883048259,-9.76016,0.323034,-1.28852,0.0321886,0.0100797,-0.00690218,1.00551,-0.443001,-0.141649
01324188,1523883048259,-9.72828,-0.0632127,-1.21909,0.0059998,-0.0011772,0.00236374,1.0318,-0.41795,0.297227
01324185,1523883048259,-9.42825,2.19618,1.57962,0.0204021,-0.0030315,-0.00795784,0.727424,-0.531119,-0.542412
01324181,1523883048259,-9.64921,-0.101854,2.27356,-0.00433751,0.00947936,-0.0111911,0.866211,0.480947,-0.25377
01324180,1523883048259,-9.21358,-3.21536,0.879347,0.00680699,0.0282991,-0.0451274,0.846618,0.141623,-0.613008
01324189,1523883048275,-9.74243,0.438917,-1.35181,0.013019,0.0119915,-0.00697574,1.00247,-0.449291,-0.13707
01324188,1523883048275,-9.75713,-0.0240256,-1.29142,0.00943225,0.0128351,0.000766437,1.03127,-0.420942,0.298804
01324185,1523883048275,-9.44262,2.22276,1.58967,0.031394,0.00224702,0.00220426,0.727574,-0.5336,-0.538296
01324181,1523883048275,-9.52526,-0.146556,2.35732,0.0169829,-0.0188244,-0.0123911,0.865307,0.474677,-0.25027
01324180,1523883048275,-9.2521,-3.23034,0.883722,0.0119877,0.012873,-0.0179443,0.848954,0.139274,-0.616753
01324189,1523883048291,-9.69538,0.491842,-1.42542,-0.0321374,0.0150356,-0.00181281,1.00358,-0.449614,-0.137625
01324188,1523883048291,-9.75719,-0.0432497,-1.30087,0.00589082,0.0151243,-0.00985232,1.0318,-0.41953,0.299698
01324185,1523883048291,-9.41583,2.30447,1.60224,0.0172205,0.00325295,0.000504981,0.727029,-0.534156,-0.537629
