ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523883303406,-9.63156,0.0726745,-2.1118,0.0278952,0.000877694,0.00978611,0.916211,-0.249125,-0.00995008
01324188,1523883303406,-9.64983,-0.867323,-1.56848,0.0331283,0.00412743,-0.00966437,0.890668,-0.237641,0.232103
01324185,1523883303406,-9.67059,1.29061,1.46232,0.316997,-0.240789,-0.175948,0.823672,-0.375612,-0.351609
01324181,1523883303406,-9.6466,0.119617,1.84878,0.0495217,0.0543391,-0.0671495,0.871897,0.294104,-0.187261
01324180,1523883303406,-9.12039,-3.92548,0.801989,0.306465,-0.0147215,-0.155273,0.838435,0.203906,-0.354022
01324189,1523883303409,-9.57709,0.0395154,-2.04454,0.0103827,0.0122641,0.0008126,0.914838,-0.245029,-0.0128786
01324188,1523883303409,-9.5822,-0.880042,-1.50873,0.0157698,0.00921697,0.00798315,0.889529,-0.229691,0.228556
01324185,1523883303409,-9.63385,1.43973,1.52959,0.305007,-0.236182,-0.167471,0.821995,-0.366055,-0.359378
01324181,1523883303409,-9.63949,0.0809318,1.78677,0.0512675,0.0527078,-0.0594099,0.869374,0.304128,-0.192952
01324180,1523883303409,-9.11218,-3.81429,0.797846,0.282247,-0.0160582,-0.180025,0.833521,0.210748,-0.360072
01324189,1523883303425,-9.55718,-0.0670993,-2.05483,0.000164043,-0.00229385,0.0114643,0.9151,-0.245465,-0.0112611
01324188,1523883303425,-9.61622,-0.925952,-1.47676,0.00868848,0.0283931,-0.00955958,0.890597,-0.225925,0.22905
01324185,1523883303425,-9.64826,1.38214,1.6497,0.26648,-0.253414,-0.163913,0.820208,-0.36636,-0.360428
01324181,1523883303425,-9.62735,-0.0597127,1.86683,0.0424133,0.0419102,-0.0689415,0.868,0.30502,-0.192687
01324180,1523883303425,-9.05424,-3.81885,0.837059,0.245335,-0.038254,-0.217353,0.833517,0.211633,-0.361416
01324189,1523883303441,-9.5969,-0.0921127,-2.13218,0.00337151,0.0105965,-0.00453428,0.913995,-0.247754,-0.00950743
01324188,1523883303441,-9.70337,-0.963618,-1.56238,0.0104621,0.0167521,-0.0026056,0.88982,-0.232909,0.231464
01324185,1523883303441,-9.65785,1.34376,1.73787,0.252346,-0.275329,-0.165456,0.821317,-0.370018,-0.357615
01324181,1523883303441,-9.64746,0.0128341,1.87014,0.0388981,0.0399824,-0.0775697,0.869363,0.301067,-0.18765
01324180,1523883303441,-9.00439,-3.94924,0.894838,0.217262,-0.0358263,-0.21404,0.832968,0.209556,-0.354508
01324189,1523883303457,-9.6189,0.0498185,-2.2508,-0.00710602,0.0150118,-0.00279997,0.914546,-0.247769,-0.00951393
01324188,1523883303457,-9.72259,-0.936523,-1.63467,0.0121793,0.0117343,-0.00619176,0.890919,-0.234121,0.231915
01324185,1523883303457,-9.68257,1.06949,1.83396,0.263932,-0.30208,-0.183997,0.822274,-0.37034,-0.359469
01324181,1523883303457,-9.60535,0.0934112,1.85438,0.0407535,0.0485982,-0.0895882,0.86938,0.30117,-0.189532
01324180,1523883303457,-9.06091,-4.05838,0.879185,0.227007,-0.0328431,-0.229796,0.832974,0.209564,-0.355869
01324189,1523883303473,-9.57552,0.134983,-2.22934,-0.0243735,0.0126063,0.00602205,0.917037,-0.249292,-0.00982565
01324188,1523883303473,-9.65965,-0.915015,-1.64017,0.00179131,0.00225504,0.00780253,0.890927,-0.235239,0.230762
01324185,1523883303473,-9.74561,0.983164,1.79387,0.268496,-0.3023,-0.200994,0.821441,-0.369833,-0.362782
01324181,1523883303473,-9.57934,0.151922,1.88724,0.0318082,0.0575911,-0.0808755,0.870013,0.303372,-0.187571
01324180,1523883303473,-9.10914,-4.0611,0.854529,0.238248,-0.0276384,-0.224404,0.832435,0.21091,-0.359373
01324189,1523883303489,-9.52827,0.0288669,-2.19136,-0.0314472,0.0143854,-0.00467357,0.916465,-0.245205,-0.0101922
01324188,1523883303489,-9.60185,-0.969076,-1.52461,-0.00170598,0.00274318,-0.00194269,0.890892,-0.229689,0.231111
01324185,1523883303489,-9.73585,1.04327,1.76128,0.290101,-0.304143,-0.189102,0.820187,-0.365658,-0.36838
01324181,1523883303489,-9.59067,0.0765968,1.85963,0.0585489,0.0663398,-0.0877689,0.867823,0.306518,-0.190434
01324180,1523883303489,-9.14848,-3.99833,0.810983,0.266653,-0.0573502,-0.222649,0.830912,0.216522,-0.365226
