ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523882452011,-9.68632,-0.67978,-1.63539,-0.0215256,0.0325791,0.0187045,0.749913,0.205993,0.134112
01324188,1523882452011,-9.59784,0.0125233,-1.98708,-0.0109209,0.00801841,-0.00186851,0.742515,0.123378,0.107836
01324185,1523882452011,9.62932,1.07274,1.3705,-0.0315226,-0.00577678,0.00947982,-0.840375,-0.20202,0.0139216
01324181,1523882452011,-8.60521,-0.2996,4.57305,0.0243859,0.0103261,-0.0048491,0.763891,-0.110503,-0.379512
01324180,1523882452011,-9.32111,-2.35026,2.02591,0.0222362,0.0148567,-1.37816e-05,0.777872,0.320222,-0.0402581
01324189,1523882452015,-9.69025,-0.657411,-1.56225,-0.0103191,0.0221033,0.00987862,0.749125,0.210166,0.12839
01324188,1523882452015,-9.627,-0.0283626,-1.98649,0.000390167,0.0270735,0.000184991,0.739508,0.128689,0.107131
01324185,1523882452015,9.62685,1.04868,1.37813,-0.0444582,-0.0057988,-0.00496249,-0.847489,-0.194542,0.0113712
01324181,1523882452015,-8.65274,-0.305056,4.62357,0.0314873,0.0165718,-0.00308053,0.76454,-0.1043,-0.384998
01324180,1523882452015,-9.28277,-2.32824,2.0409,0.0263513,0.0314638,0.00276282,0.776716,0.3281,-0.0427893
01324189,1523882452031,-9.61305,-0.654823,-1.58289,-0.0154706,0.0255956,0.0151704,0.750474,0.211431,0.129189
01324188,1523882452031,-9.59309,-0.0114064,-2.01578,0.00123751,0.0357526,0.000291039,0.739509,0.128727,0.106329
01324185,1523882452031,9.63398,1.01973,1.36356,-0.0458004,-0.0144989,0.00444877,-0.847898,-0.196108,0.0111244
01324181,1523882452031,-8.63402,-0.275708,4.60864,0.0225642,0.00512226,0.000287926,0.764541,-0.103743,-0.385812
01324180,1523882452031,-9.28985,-2.34784,2.06006,0.031654,0.0261641,0.0053934,0.774416,0.329888,-0.0435315
