ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523883949994,-6.40408,2.58537,6.9501,0.00187378,0.00948287,-0.00820746,1.82543,-0.231759,-1.3676
01324188,1523883949994,1.75146,0.921569,-9.59916,-0.00172619,0.00872444,0.00208393,-0.326198,0.194606,2.53903
01324185,1523883949994,1.00366,-1.70125,-9.63798,-0.00242737,0.00397877,0.000749693,-0.34958,0.846525,2.95599
01324181,1523883949994,-1.18829,4.44745,8.58924,-0.00382045,0.00255205,-0.000373437,0.257503,-0.945085,-1.95169
01324180,1523883949994,-0.794557,-0.556728,-9.76619,-0.0122573,0.000273741,0.00266275,1.11267,-0.112582,3.23989
01324189,1523883949998,-6.40368,2.59045,6.97932,-0.00331074,0.00954308,-0.00644778,1.83017,-0.227606,-1.37973
01324188,1523883949998,1.73695,0.921521,-9.5846,-0.00869531,0.0103592,0.00382189,-0.334387,0.200895,2.54774
01324185,1523883949998,1.00371,-1.69642,-9.6162,-0.00433771,-0.00660895,-0.0025824,-0.354602,0.854975,2.96775
01324181,1523883949998,-1.18302,4.45717,8.65187,-0.000252221,0.00426752,-0.00381925,0.252493,-0.944691,-1.96294
01324180,1523883949998,-0.79701,-0.559323,-9.75173,0.00941346,0.012545,0.00640224,1.11309,-0.10701,3.25023
01324189,1523883950014,-6.42284,2.60022,6.99911,-0.00164884,0.0103887,-0.0117706,1.83099,-0.226761,-1.38
01324188,1523883950014,1.73693,0.916649,-9.57734,-0.00346453,0.00872619,0.00206972,-0.335471,0.200673,2.54666
01324185,1523883950014,0.998922,-1.68675,-9.61366,0.00284502,0.00392473,0.000744862,-0.35542,0.855403,2.96788
01324181,1523883950014,-1.18302,4.45717,8.65187,-0.00382853,0.00609567,-0.000344318,0.253324,-0.945589,-1.96425
01324180,1523883950014,-0.784764,-0.566295,-9.76373,-0.012239,0.000306682,0.000900252,1.11214,-0.105838,3.25054
01324189,1523883950030,-6.42055,2.58799,6.98444,0.00556835,0.00602065,0.00603018,1.82694,-0.229066,-1.37055
01324188,1523883950030,1.72727,0.916784,-9.5917,-0.00350396,0.0150914,-0.00317213,-0.328106,0.195553,2.54126
01324185,1523883950030,0.998904,-1.68676,-9.62337,-0.000523415,0.00927713,0.00411616,-0.350527,0.850722,2.96042
01324181,1523883950030,-1.17808,4.43298,8.63305,-0.0146069,0.00642996,0.0186565,0.254159,-0.94647,-1.95176
01324180,1523883950030,-0.787118,-0.57115,-9.76378,-0.00537478,0.00727175,0.00450836,1.1122,-0.108544,3.24334
01324189,1523883950046,-6.41064,2.58573,6.99889,0.010619,0.0128579,-0.0046287,1.82777,-0.229089,-1.37083
01324188,1523883950046,1.72245,0.921524,-9.57727,-0.00346819,0.0104692,0.00208649,-0.328928,0.196742,2.54108
01324185,1523883950046,0.989284,-1.68188,-9.61573,-0.00647093,0.00389492,-0.011149,-0.349983,0.849568,2.95938
01324181,1523883950046,-1.19737,4.45215,8.65188,0.00329326,0.0131828,-0.0003014,0.25538,-0.946233,-1.95324
01324180,1523883950046,-0.801771,-0.561691,-9.76146,-0.0106429,0.0072192,0.00623859,1.11276,-0.110146,3.24357
01324189,1523883950062,-6.40836,2.58566,6.98912,-0.00164244,0.0138377,-0.0108913,1.8264,-0.230497,-1.37029
01324188,1523883950062,1.73213,0.926278,-9.57258,0.00524669,-0.001306,-0.0050622,-0.328379,0.195861,2.54102
01324185,1523883950062,0.994121,-1.6771,-9.61598,-0.00625013,0.0013022,-0.00603103,-0.351071,0.850155,2.96042
01324181,1523883950062,-1.18058,4.4475,8.64241,-0.00384767,0.0043891,0.00308903,0.256465,-0.946823,-1.95337
01324180,1523883950062,-0.787433,-0.55197,-9.7516,-0.00549201,0.00523409,0.0185644,1.11275,-0.109127,3.24251
01324189,1523883950078,-6.40104,2.58815,6.99388,-0.00162332,0.0112482,-0.00999937,1.82971,-0.228002,-1.37461
01324188,1523883950078,1.74657,0.906968,-9.57733,-0.00347401,0.0139359,0.00212859,-0.330853,0.2004,2.54456
01324185,1523883950078,1.00131,-1.6964,-9.61367,-0.00242844,0.0039754,0.000750017,-0.354198,0.853651,2.96527
01324181,1523883950078,-1.17823,4.45723,8.64949,-0.00205592,0.00966664,0.00140358,0.254923,-0.946411,-1.9616
01324180,1523883950078,-0.777393,-0.58087,-9.74682,-0.0158913,0.00719243,0.00619498,1.11244,-0.107126,3.24741
01324189,1523883950094,-6.42025,2.59546,7.00879,-0.00327627,0.00782692,-0.00466402,1.82778,-0.22621,-1.3735
01324188,1523883950094,1.73697,0.926294,-9.57743,0.00347449,0.0125909,-0.00492097,-0.330983,0.199139,2.54664
01324185,1523883950094,0.989261,-1.69151,-9.6132,0.00101306,-0.00136092,-0.000917935,-0.35297,0.852234,2.96528
01324181,1523883950094,-1.17807,4.43541,8.63783,-0.00115927,0.00255859,-0.000382332,0.254109,-0.946385,-1.96093
01324180,1523883950094,-0.794405,-0.566331,-9.77108,-0.0106226,0.010868,-0.00077166,1.11311,-0.107135,3.247
01324189,1523883950110,-6.41804,2.58562,6.98926,0.0019529,0.00086435,-0.00463409,1.82708,-0.22777,-1.37108
01324188,1523883950110,1.72241,0.911812,-9.56755,0.00526011,0.0087502,0.00212748,-0.328657,0.196876,2.54122
01324185,1523883950110,0.998908,-1.68676,-9.62094,-0.0110788,-0.00559501,0.00422307,-0.351885,0.850902,2.96239
01324181,1523883950110,-1.17795,4.43297,8.64754,-0.00381777,0.00429296,-0.00208225,0.2546,-0.946144,-1.95616
01324180,1523883950110,-0.787129,-0.571176,-9.76136,0.00684641,0.010855,0.00285246,1.11198,-0.111576,3.24302
01324189,1523883950126,-6.40822,2.58087,6.99641,-0.01891,-0.00755436,-0.00646694,1.82736,-0.228071,-1.37176
01324188,1523883950126,1.74656,0.904541,-9.5749,0.00527647,0.00343456,0.00384327,-0.329471,0.196694,2.54229
01324185,1523883950126,0.989298,-1.68187,-9.60845,-0.00448891,0.00392573,-0.00604866,-0.352296,0.850604,2.96161
01324181,1523883950126,-1.18284,4.44019,8.64737,0.0032501,0.00711638,0.00653919,0.255671,-0.946704,-1.95496
01324180,1523883950126,-0.786935,-0.585656,-9.76144,-0.0158635,0.00365686,0.00792966,1.11303,-0.11059,3.24437
01324189,1523883950142,-6.41092,2.58557,6.97942,-0.0120568,0.0061768,-0.0109116,1.82722,-0.228355,-1.37149
01324188,1523883950142,1.74173,0.906969,-9.57488,0.00697692,0.00820477,-0.00405884,-0.328519,0.19635,2.54307
01324185,1523883950142,1.00373,-1.69401,-9.61379,-0.00484542,-0.00123475,0.0058882,-0.351887,0.851175,2.96186
01324181,1523883950142,-1.19043,4.46437,8.63961,-0.000224823,0.0112792,-0.00720537,0.25674,-0.946702,-1.95418
01324180,1523883950142,-0.782422,-0.561466,-9.76127,-0.0070555,0.00379476,0.00271642,1.11384,-0.111035,3.24381
01324189,1523883950158,-6.4083,2.57597,6.98909,-0.00849454,0.00960191,-0.00468716,1.82698,-0.230097,-1.37406
01324188,1523883950158,1.74182,0.931066,-9.57269,0.00526035,0.00362426,0.000303525,-0.330162,0.198335,2.54483
01324185,1523883950158,0.998881,-1.7012,-9.61351,-0.00689901,-0.00128382,-0.000911634,-0.35434,0.853748,2.9629
01324181,1523883950158,-1.15858,4.42592,8.65263,-0.00381156,0.0113655,-0.00202488,0.25573,-0.947394,-1.96026
01324180,1523883950158,-0.787391,-0.556848,-9.74679,-0.0123275,0.00552512,0.00269744,1.11327,-0.10872,3.24534
01324189,1523883950175,-6.40358,2.58564,6.98418,-0.00154468,0.00952792,-0.00466482,1.82753,-0.229247,-1.37473
01324188,1523883950175,1.72728,0.921473,-9.57249,0.00520924,0.00423562,-0.0111974,-0.330973,0.197913,2.54481
01324185,1523883950175,0.998881,-1.7012,-9.61351,-0.00976032,-0.00130714,-0.00601104,-0.354064,0.853201,2.96395
01324181,1523883950175,-1.19261,4.43767,8.62804,0.00861771,0.00437375,0.00132927,0.256418,-0.949381,-1.95916
01324180,1523883950175,-0.796924,-0.566589,-9.74935,-0.0103681,-0.00126708,-0.00788773,1.11409,-0.111055,3.2465
01324189,1523883950191,-6.39389,2.59055,6.98648,-0.003325,0.016447,-0.00646248,1.82642,-0.23065,-1.3719
01324188,1523883950191,1.73213,0.926295,-9.57498,0.00874148,0.0113616,0.00218106,-0.328946,0.19944,2.54259
01324185,1523883950191,1.0013,-1.6964,-9.61852,-0.0128338,-0.00117459,0.00419633,-0.352704,0.851323,2.96213
01324181,1523883950191,-1.17815,4.45238,8.652,-0.010957,0.00257966,0.00137114,0.255286,-0.947017,-1.95641
01324180,1523883950191,-0.787139,-0.568711,-9.76618,-0.0070697,0.00467267,0.00272176,1.11261,-0.10972,3.2452
01324189,1523883950208,-6.41299,2.59062,7.00624,-0.0137942,0.0243287,-0.00828522,1.8286,-0.230415,-1.37112
01324188,1523883950208,1.73212,0.921522,-9.58216,-0.00698724,0.0175961,-0.00139795,-0.329205,0.19753,2.54302
01324185,1523883950208,1.00614,-1.69643,-9.60902,-0.00246521,0.00749048,-0.000124005,-0.352432,0.850892,2.96187
01324181,1523883950208,-1.18302,4.45717,8.65187,0.00686213,0.00250794,-0.00385722,0.257143,-0.94615,-1.95485
01324180,1523883950208,-0.777651,-0.561562,-9.74672,-0.0149148,0.000185745,0.00615689,1.11356,-0.110606,3.24544
