ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523883523575,-9.67476,0.255685,-2.05818,-0.0311867,-0.00476064,-0.0209652,0.788913,-0.499721,-0.102406
01324188,1523883523575,-9.76781,-0.617817,-1.76257,-0.0144335,-0.00139558,-0.00137513,0.740196,-0.496965,0.377144
01324185,1523883523575,-9.70614,1.24529,1.80661,0.447579,-0.174837,-0.128993,0.723505,-0.491114,-0.387253
01324181,1523883523575,-9.57334,-0.0430616,2.12119,0.0517806,-0.0301257,-0.104735,0.791581,0.398953,-0.317876
01324180,1523883523575,-9.31194,-3.28301,1.06883,0.343792,0.0291592,0.000649566,0.787659,-0.0329896,-0.435576
01324189,1523883523579,-9.64619,0.316325,-2.06577,-0.0207333,0.0106668,-0.0156346,0.787536,-0.493015,-0.106394
01324188,1523883523579,-9.72642,-0.540603,-1.79247,-0.0109912,-0.00267051,-0.0102117,0.7392,-0.490147,0.375558
01324185,1523883523579,-9.66282,1.23295,1.77334,0.508026,-0.179186,-0.154555,0.719649,-0.48618,-0.390465
01324181,1523883523579,-9.64505,0.121067,2.12724,0.0803585,0.0138624,-0.119961,0.789621,0.407092,-0.32258
01324180,1523883523579,-9.27543,-3.3318,1.15835,0.404894,0.0452024,-0.00326767,0.784082,-0.0258996,-0.439052
01324189,1523883523595,-9.54897,0.380134,-2.01596,-0.0239608,0.0107086,0.00210474,0.785473,-0.492381,-0.106906
01324188,1523883523595,-9.58874,-0.574894,-1.78842,-0.0153289,-0.00465282,-0.0067013,0.736339,-0.489915,0.374798
01324185,1523883523595,-9.66065,1.13904,1.78634,0.53927,-0.186641,-0.164746,0.718558,-0.487272,-0.387936
01324181,1523883523595,-9.53232,0.296917,2.33471,0.0588632,-0.0159744,-0.106407,0.787683,0.410145,-0.322624
01324180,1523883523595,-9.2249,-3.33182,1.21685,0.479935,0.064795,-0.00618383,0.782504,-0.0293746,-0.438963
01324189,1523883523612,-9.54784,0.312676,-1.96746,-0.00999099,0.0174804,0.00569404,0.787265,-0.496344,-0.104794
01324188,1523883523612,-9.5815,-0.570648,-1.7091,-0.0178712,0.00236885,0.00840376,0.737596,-0.494975,0.376221
01324185,1523883523612,-9.68267,0.934632,1.92771,0.609815,-0.217671,-0.202037,0.720641,-0.493409,-0.380602
01324181,1523883523612,-9.39211,0.191868,2.27966,0.0392861,-0.0141675,-0.10118,0.786101,0.404467,-0.319675
01324180,1523883523612,-9.08847,-3.48719,1.45178,0.568813,0.0767678,0.0198881,0.78499,-0.0379389,-0.429788
01324189,1523883523628,-9.57082,0.216002,-1.92352,-0.00647191,0.0140033,0.00571856,0.787671,-0.496062,-0.104256
01324188,1523883523628,-9.57425,-0.568647,-1.65382,-0.00742661,0.00368036,0.000524496,0.739918,-0.496041,0.37626
