ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523882357997,-9.59494,0.375869,-1.25523,-0.0745614,0.052011,0.0111142,0.642081,-0.464857,0.0765632
01324188,1523882357997,-9.47909,0.464476,-2.42539,-0.0245712,0.097585,-0.00989554,0.618861,-0.565389,0.381201
01324185,1523882357997,-4.21719,5.08674,4.93844,0.0640985,1.78895,-1.80999,0.557695,-0.271431,-0.707687
01324181,1523882357997,-9.14238,-0.872749,3.43826,0.0150033,0.246258,-0.154283,0.640964,0.500694,-0.372607
01324180,1523882357997,3.59342,-1.41338,3.7721,-0.103689,-2.74309,-1.96015,-0.60163,-0.190946,-0.604077
01324189,1523882358000,-9.6726,0.312242,-1.29315,-0.0675466,0.0726774,0.0182219,0.641591,-0.462861,0.0696175
01324188,1523882358000,-9.5324,0.426373,-2.46554,-0.0245462,0.0869861,-0.00647779,0.615756,-0.565307,0.377493
01324185,1523882358000,-4.82985,5.24204,4.71557,0.0148441,1.76748,-1.70847,0.580752,-0.246294,-0.698538
01324181,1523882358000,-9.07036,-1.07568,3.41362,-0.00638553,0.246402,-0.143864,0.639508,0.510307,-0.374933
01324180,1523882358000,4.00261,-1.44246,3.78077,0.0791428,-2.66147,-1.97786,-0.625127,-0.201417,-0.581197
01324189,1523882358016,-9.7708,0.306237,-1.38661,-0.0586715,0.0726161,0.0324846,0.641874,-0.462874,0.0685423
01324188,1523882358016,-9.56112,0.503887,-2.50212,-0.0366991,0.0699957,0.00209669,0.615218,-0.565857,0.380146
01324185,1523882358016,-5.43388,5.04574,4.48624,-0.117346,1.73066,-1.63566,0.60547,-0.229405,-0.682998
01324181,1523882358016,-9.15792,-0.977256,3.43533,-0.0367352,0.275068,-0.122822,0.63878,0.512529,-0.372565
01324180,1523882358016,4.08086,-1.75002,3.96111,0.32792,-2.65489,-2.00271,-0.642713,-0.225392,-0.55299
01324189,1523882358033,-9.77197,0.339634,-1.45224,-0.0307754,0.0706014,0.0396883,0.643319,-0.465326,0.0756074
01324188,1523882358033,-9.58533,0.494363,-2.50665,-0.0226872,0.0557577,0.00911323,0.617798,-0.568497,0.382897
01324185,1523882358033,-5.68853,4.83507,4.08195,-0.289485,1.68384,-1.55091,0.631974,-0.216568,-0.664267
01324181,1523882358033,-9.35204,-1.1032,3.33023,-0.038656,0.261414,-0.097015,0.642292,0.507753,-0.365013
01324180,1523882358033,4.05397,-1.6634,3.26767,0.747778,-2.62817,-2.11061,-0.652335,-0.254475,-0.5204
01324189,1523882358049,-9.71392,0.485715,-1.39435,-0.0292313,0.0671086,0.0272495,0.644271,-0.46535,0.0758643
01324188,1523882358049,-9.47419,0.474704,-2.51215,-0.0296883,0.0440991,-0.00166563,0.617796,-0.568239,0.383584
01324185,1523882358049,-5.88007,4.51839,4.04003,-0.480641,1.67374,-1.41962,0.654094,-0.195575,-0.649285
