ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523964030647,-9.76526,-0.314922,-0.977498,-0.0203413,0.0159886,-0.0101579,0.924834,-0.276336,-0.201697
01324188,1523964030647,-9.75531,-0.52398,-1.03943,0.00319567,0.0103062,-0.00842774,0.969185,-0.352278,-0.0887368
01324185,1523964030647,-9.63905,-0.87162,-0.439231,0.0856905,-0.00502859,-0.0212561,0.88336,0.323174,-0.333424
01324181,1523964030647,-9.21385,0.858507,2.52153,-0.0254082,0.0482649,-0.107635,0.894113,0.352379,-0.128991
01324180,1523964030647,-9.23095,-3.31755,0.493314,0.143861,-0.0102671,0.00604651,0.77687,0.377554,-0.433888
01324189,1523964030651,-9.77637,-0.294967,-0.899393,-0.00655383,0.0287958,-0.0172402,0.922155,-0.273417,-0.208205
01324188,1523964030651,-9.73597,-0.524134,-1.02754,0.00836553,0.000911571,-0.0279635,0.97147,-0.347858,-0.0936113
01324185,1523964030651,-9.67964,-0.765378,-0.385205,0.010413,0.0147519,-0.0527598,0.883205,0.329566,-0.338455
01324181,1523964030651,-9.29665,0.818638,2.60871,-0.0183528,0.0883522,-0.0934928,0.895915,0.362547,-0.134006
01324180,1523964030651,-9.22647,-3.30588,0.536925,0.14938,-0.0169735,-0.00890918,0.775506,0.383147,-0.442951
01324189,1523964030667,-9.77866,-0.30463,-0.894513,-0.0110485,0.0288287,-0.0279161,0.92133,-0.271669,-0.208584
01324188,1523964030667,-9.74577,-0.560335,-1.01751,-0.00038775,0.0233928,-0.026007,0.971066,-0.348465,-0.0929702
01324185,1523964030667,-9.74242,-0.765016,-0.416491,-0.050131,0.00635302,-0.0696342,0.883745,0.32983,-0.339375
01324181,1523964030667,-9.41912,0.744478,2.52241,-0.0343918,0.095577,-0.0847214,0.895886,0.363447,-0.132164
01324180,1523964030667,-9.24608,-3.28182,0.522365,0.132405,-0.030414,-0.0407495,0.776066,0.381988,-0.444876
01324189,1523964030684,-9.77859,-0.338628,-0.904331,-0.00725809,0.0167317,-0.00833469,0.923604,-0.274866,-0.202207
01324188,1523964030684,-9.74589,-0.591782,-1.00279,0.0223389,0.0203675,-0.0170337,0.970679,-0.352094,-0.0900921
01324185,1523964030684,-9.79331,-0.860991,-0.398767,-0.112626,-0.0126567,-0.0915422,0.883352,0.325388,-0.335669
01324181,1523964030684,-9.42811,0.703119,2.5328,-0.0521566,0.100798,-0.0880597,0.893622,0.35842,-0.127916
01324180,1523964030684,-9.31461,-3.22476,0.52926,0.0990966,-0.0153247,-0.0557704,0.776634,0.377598,-0.440645
01324189,1523964030700,-9.78866,-0.343748,-0.9334,0.0161323,0.0147536,-0.0135817,0.924293,-0.275749,-0.20249
01324188,1523964030700,-9.75548,-0.569979,-1.01254,0.0240481,0.0207487,-0.0241001,0.970943,-0.351011,-0.0884099
01324185,1523964030700,-9.85391,-0.976172,-0.385282,-0.162951,-0.0353423,-0.116839,0.882808,0.329072,-0.334787
01324181,1523964030700,-9.41134,0.710592,2.5376,-0.0397316,0.0867091,-0.0856408,0.894106,0.359926,-0.124231
01324180,1523964030700,-9.35354,-3.20582,0.521733,0.0575231,-0.0281348,-0.0798465,0.775296,0.377332,-0.44063
01324189,1523964030717,-9.78882,-0.319518,-0.93334,0.0213316,0.00779188,-0.0153285,0.924977,-0.275769,-0.202765
01324188,1523964030717,-9.73131,-0.572344,-1.03196,0.0135967,0.0264258,-0.017025,0.970671,-0.350969,-0.0892127
01324185,1523964030717,-9.88799,-1.09874,-0.368004,-0.203732,-0.0280005,-0.125336,0.881314,0.332465,-0.334423
01324181,1523964030717,-9.40288,0.633033,2.5657,-0.0717573,0.0990971,-0.0828379,0.893249,0.362691,-0.122685
01324180,1523964030717,-9.3918,-3.24258,0.530825,0.0276813,-0.00769652,-0.0992337,0.77634,0.37978,-0.440597
01324189,1523964030733,-9.78485,-0.285947,-0.979568,0.0142229,0.000938058,-0.0260027,0.923869,-0.271998,-0.203258
01324188,1523964030733,-9.75543,-0.557722,-1.04153,0.00839496,0.0243117,-0.0100074,0.971337,-0.348577,-0.0906889
01324185,1523964030733,-9.92184,-1.15387,-0.327166,-0.210375,-0.0278643,-0.116817,0.880086,0.338942,-0.335004
01324181,1523964030733,-9.35402,0.558415,2.55054,-0.0592427,0.137953,-0.0859921,0.893174,0.369391,-0.123887
01324180,1523964030733,-9.38178,-3.26409,0.521137,-0.00704299,-0.0225765,-0.106598,0.772013,0.384088,-0.444233
01324189,1523964030749,-9.76112,-0.25937,-1.00177,0.00906605,0.014803,-0.0189435,0.922789,-0.272261,-0.204052
01324188,1523964030749,-9.72166,-0.581858,-1.05601,0.0101524,0.0241156,-0.00645138,0.970932,-0.348798,-0.0920457
01324185,1523964030749,-9.91715,-1.22128,-0.297557,-0.208334,-0.0348773,-0.110821,0.878865,0.341637,-0.334241
01324181,1523964030749,-9.37816,0.548444,2.52642,-0.0627044,0.175789,-0.095989,0.892061,0.370601,-0.121642
01324180,1523964030749,-9.38133,-3.30286,0.53543,-0.0262758,-0.008206,-0.127728,0.771199,0.384681,-0.443939
01324189,1523964030765,-9.77579,-0.256876,-1.02866,0.0109718,0.00781655,-0.0190435,0.924198,-0.273808,-0.202192
01324188,1523964030765,-9.74352,-0.608303,-1.0556,0.0153435,0.0263377,-0.0152443,0.970398,-0.35085,-0.0885278
01324185,1523964030765,-9.91008,-1.28392,-0.289937,-0.199256,-0.0172924,-0.104991,0.879138,0.34137,-0.333455
01324181,1523964030765,-9.42564,0.49694,2.51986,-0.0707255,0.189147,-0.0906581,0.892048,0.366602,-0.11478
01324180,1523964030765,-9.26178,-3.37871,0.536181,-0.0278594,-0.00969894,-0.141861,0.770801,0.384104,-0.443403
01324189,1523964030781,-9.77111,-0.27153,-1.0458,0.00405337,0.0147951,-0.0155268,0.925561,-0.274275,-0.201944
01324188,1523964030781,-9.73623,-0.601012,-1.06776,0.0188754,0.0240914,-0.00550837,0.970257,-0.350007,-0.0877992
01324185,1523964030781,-9.75349,-1.34269,-0.303315,-0.204967,-0.019961,-0.115206,0.878325,0.342511,-0.332809
01324181,1523964030781,-9.42546,0.477539,2.51299,-0.0786531,0.17825,-0.105378,0.891713,0.369813,-0.112186
01324180,1523964030781,-9.24812,-3.50433,0.559793,-0.0143936,0.0028081,-0.108315,0.769578,0.385138,-0.442824
01324189,1523964030797,-9.76101,-0.280987,-1.02164,0.00061153,-0.00243231,-0.0163962,0.925283,-0.27283,-0.202331
01324188,1523964030797,-9.75068,-0.586375,-1.08462,0.0136296,0.0258695,-0.00641215,0.971482,-0.350312,-0.0879685
01324185,1523964030797,-9.74382,-1.34274,-0.294022,-0.183825,-0.0280831,-0.114329,0.878327,0.345935,-0.33075
01324181,1523964030797,-9.52635,0.430295,2.45771,-0.0733527,0.200587,-0.0939658,0.891936,0.37075,-0.108487
01324180,1523964030797,-9.14667,-3.49349,0.560843,0.0611064,0.0116223,-0.141203,0.769812,0.388036,-0.442769
01324189,1523964030814,-9.74939,-0.247172,-1.04121,-0.0131805,0.00289788,-0.00668233,0.923918,-0.271644,-0.202707
01324188,1523964030814,-9.74106,-0.603089,-1.11343,0.00489903,0.0224631,-0.00827692,0.971198,-0.348353,-0.0891903
01324185,1523964030814,-9.63793,-1.43488,-0.278197,-0.155992,-0.0354655,-0.121988,0.876697,0.350892,-0.329746
01324181,1523964030814,-9.55993,0.347495,2.35523,-0.0732741,0.168468,-0.10888,0.89187,0.37618,-0.108865
01324180,1523964030814,-9.07939,-3.44895,0.532742,0.103662,0.0237666,-0.126786,0.769533,0.389796,-0.444893
01324189,1523964030831,-9.74221,-0.256911,-1.05107,-0.00988909,0.0062957,-0.0191173,0.922567,-0.271901,-0.203765
01324188,1523964030831,-9.74098,-0.581287,-1.12806,-0.00553787,0.0186385,-0.00219551,0.970928,-0.348501,-0.0890613
01324185,1523964030831,-9.67172,-1.43949,-0.286408,-0.131478,-0.042777,-0.124512,0.874661,0.352726,-0.329757
01324181,1523964030831,-9.60875,0.388182,2.32999,-0.0929471,0.121782,-0.0980103,0.891821,0.377682,-0.105707
