ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523965684143,-9.73841,-0.639046,-1.13884,0.00074225,0.024504,0.00945207,0.749455,0.141379,0.220139
01324188,1523965684143,-9.66747,-0.770302,-1.39556,-0.00571877,0.012737,-0.00426712,0.873747,0.156798,0.247995
01324185,1523965684143,-9.76746,-1.19796,-0.207302,-0.0585751,-0.0137382,0.0173758,0.676594,-0.0659578,0.00304547
01324181,1523965684143,-9.57829,-0.499001,1.83038,0.00781017,0.011719,0.0197499,0.756723,-0.132509,-0.119823
01324180,1523965684143,-9.22471,-2.04032,-2.56183,0.000833529,0.0678219,-0.00699763,0.689523,-0.0156129,0.11325
01324189,1523965684146,-9.73182,-0.586994,-0.995198,-0.00607932,0.0194238,0.0165464,0.74999,0.148622,0.217216
01324188,1523965684146,-9.65528,-0.741509,-1.38148,0.00822416,0.0248364,-0.00226818,0.871246,0.163287,0.242189
01324185,1523965684146,-9.6517,-1.18426,-0.236663,-0.0251631,0.0123842,0.0171459,0.675621,-0.0594524,-0.0035561
01324181,1523965684146,-9.60273,-0.513795,1.76772,0.0257286,0.0388534,0.00355864,0.758052,-0.127623,-0.12459
01324180,1523965684146,-9.19524,-2.10362,-2.4773,-0.0461199,0.0501639,-0.0109572,0.688938,-0.0111103,0.11254
01324189,1523965684162,-9.73301,-0.621695,-1.09263,0.00785306,-0.00835676,0.0148673,0.750538,0.150349,0.216411
01324188,1523965684162,-9.64311,-0.717405,-1.38661,0.0134725,0.0178467,-0.00142284,0.872742,0.164656,0.24375
01324185,1523965684162,-9.67577,-1.13599,-0.279804,-0.00788785,0.0112739,0.0103349,0.677119,-0.061544,-0.00223258
01324181,1523965684162,-9.61659,-0.511584,1.83037,0.0140934,0.0319476,0.013021,0.759154,-0.128807,-0.12564
01324180,1523965684162,-9.17301,-2.1272,-2.50621,-0.033651,0.0344378,-0.0109993,0.688676,-0.0116855,0.112667
01324189,1523965684178,-9.72888,-0.670701,-1.16341,-0.0236188,0.0143887,0.00583371,0.750957,0.14381,0.219871
01324188,1523965684178,-9.70127,-0.755744,-1.39062,-0.00225404,0.0215394,-0.00592248,0.874129,0.161416,0.246516
01324185,1523965684178,-9.74313,-1.06817,-0.287324,-0.0397187,-0.00695528,0.00709865,0.676593,-0.0656807,0.00278112
01324181,1523965684178,-9.60653,-0.49454,1.90015,0.00429272,0.015989,0.0111865,0.758342,-0.131983,-0.120914
01324180,1523965684178,-9.18523,-2.09528,-2.57141,-0.0107325,0.011474,0.00306178,0.690573,-0.0152165,0.11648
01324189,1523965684195,-9.75192,-0.645831,-1.0705,-0.0167356,0.0177804,0.000525196,0.749864,0.14195,0.220139
01324188,1523965684195,-9.72549,-0.765435,-1.37109,0.0029896,0.0350883,0.00133876,0.873599,0.158827,0.245544
01324185,1523965684195,-9.73838,-1.10189,-0.277474,-0.0468157,0.00366341,0.0053371,0.677135,-0.0644062,0.00302863
01324181,1523965684195,-9.5973,-0.501668,1.84963,0.0114646,0.0122936,0.00251025,0.759275,-0.131695,-0.120265
01324180,1523965684195,-9.1995,-2.08744,-2.64401,-0.0271517,-0.00973366,0.00984774,0.69015,-0.0127385,0.114917
01324189,1523965684211,-9.78071,-0.577716,-1.02121,-0.0063052,0.00905274,-0.00030664,0.749877,0.141219,0.219322
01324188,1523965684211,-9.71307,-0.680579,-1.44416,0.0100219,0.0205911,0.0127334,0.873058,0.157639,0.246019
01324185,1523965684211,-9.75281,-1.09217,-0.269677,-0.036822,0.00696058,-0.00744888,0.675505,-0.0642745,0.00250955
01324181,1523965684211,-9.64617,-0.482788,1.79099,0.0113449,0.0268949,0.0267801,0.757921,-0.130827,-0.120668
