ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523963898943,-9.70103,0.16054,-0.938329,0.00878732,-0.106994,-0.0861848,0.794033,-0.259746,-0.284797
01324188,1523963898943,-9.90626,-0.237612,-1.22165,-0.00393665,0.104461,0.00293846,0.813021,-0.331607,-0.185045
01324185,1523963898943,-10.0907,-1.0671,-0.780989,0.0775525,-0.066064,-0.0570925,0.826074,0.272502,-0.319193
01324181,1523963898943,-9.22112,0.602198,3.56781,-0.0271022,0.0721494,-0.0736224,0.817461,0.343516,-0.165287
01324180,1523963898943,-9.44975,-3.60401,0.337478,-0.300033,-0.192992,0.0488589,0.715121,0.27018,-0.43973
01324189,1523963898947,-9.71747,0.126517,-0.898875,-0.0225439,-0.0616947,-0.072033,0.792082,-0.252474,-0.293028
01324188,1523963898947,-9.84325,-0.189981,-1.16962,-0.0526529,0.0775239,0.0164773,0.813556,-0.330197,-0.187384
01324185,1523963898947,-10.0179,-0.932649,-0.702997,0.0793029,-0.0572589,-0.0563195,0.826316,0.282773,-0.326599
01324181,1523963898947,-9.20778,0.498034,3.56989,-0.0181328,0.0879006,-0.0829863,0.817956,0.35192,-0.172226
01324180,1523963898947,-9.55484,-3.67684,0.258713,-0.155519,-0.157854,0.0728825,0.713193,0.276907,-0.444964
01324189,1523963898963,-9.74318,0.158526,-0.820522,-0.0294555,-0.053833,-0.0685114,0.793841,-0.251657,-0.292774
01324188,1523963898963,-9.81427,-0.193165,-1.07356,-0.0839926,0.0566892,0.0142673,0.814103,-0.330932,-0.187437
01324185,1523963898963,-9.92583,-0.832055,-0.654592,0.0592525,-0.036069,-0.0717639,0.826043,0.282753,-0.327641
01324181,1523963898963,-9.10444,0.43867,3.48958,-0.0180082,0.110597,-0.0974624,0.817372,0.355085,-0.171491
01324180,1523963898963,-9.57875,-3.71132,0.29696,-0.00691495,-0.157696,0.0914031,0.710251,0.277844,-0.447735
01324189,1523963898979,-9.72494,0.21037,-0.70871,-0.0711514,-0.0369847,-0.0651313,0.793569,-0.255229,-0.290529
01324188,1523963898979,-9.72234,-0.174341,-1.05519,-0.0909731,0.0491043,0.00883903,0.812736,-0.329287,-0.184762
01324185,1523963898979,-9.81941,-0.815748,-0.528293,-0.0141044,-0.0158682,-0.0599305,0.82525,0.277512,-0.322109
01324181,1523963898979,-9.08384,0.329741,3.48939,0.0016463,0.121006,-0.109494,0.817489,0.350687,-0.163714
01324180,1523963898979,-9.2855,-3.57524,0.310238,0.111923,-0.145064,0.0939692,0.711765,0.271258,-0.440469
01324189,1523963898995,-9.7888,0.293604,-0.566375,-0.0788192,-0.0558498,-0.058001,0.792885,-0.252775,-0.29157
01324188,1523963898995,-9.69327,-0.150833,-0.983437,-0.108388,0.0480983,0.0104815,0.813276,-0.329214,-0.18342
01324185,1523963898995,-9.72048,-0.876451,-0.41544,-0.0263974,-0.00870791,-0.059984,0.825247,0.277776,-0.323024
01324181,1523963898995,-9.06985,0.322674,3.43407,0.00078918,0.135115,-0.111096,0.817439,0.352326,-0.160568
01324180,1523963898995,-9.27204,-3.55508,0.474824,0.211163,-0.0954408,0.0826382,0.711129,0.269547,-0.443057
01324189,1523963899011,-9.79294,0.376641,-0.480924,-0.0971069,-0.0746444,-0.0633569,0.793178,-0.252793,-0.29371
01324188,1523963899011,-9.6884,-0.13675,-0.930659,-0.104924,0.0485737,0.00165961,0.812728,-0.328152,-0.184153
01324185,1523963899011,-9.65058,-0.977894,-0.29122,-0.0259936,-0.015685,-0.0514494,0.825248,0.2775,-0.322761
01324181,1523963899011,-9.09407,0.329674,3.42412,0.00518371,0.119332,-0.104346,0.816073,0.353368,-0.159515
01324180,1523963899011,-8.89704,-3.36691,0.445683,0.247915,-0.0890291,0.0749654,0.711843,0.266797,-0.445416
01324189,1523963899027,-9.81117,0.391778,-0.395423,-0.110993,-0.0658503,-0.0616384,0.792101,-0.249334,-0.296875
01324188,1523963899027,-9.70773,-0.132058,-0.901672,-0.075283,0.0556905,0.000166896,0.812475,-0.330621,-0.187263
01324185,1523963899027,-9.56372,-1.04334,-0.177802,-0.0235832,-0.0190936,-0.036991,0.823878,0.284173,-0.326995
01324181,1523963899027,-9.10471,0.42415,3.44156,-0.00196228,0.0945646,-0.104547,0.814466,0.355321,-0.162587
01324180,1523963899027,-8.81198,-3.29088,0.657196,0.272116,-0.0563933,0.065676,0.710321,0.262814,-0.452894
01324189,1523963899043,-9.84335,0.285616,-0.322169,-0.129907,-0.0932462,-0.0545346,0.792918,-0.247066,-0.298469
01324188,1523963899043,-9.73917,-0.134389,-0.896592,-0.0604651,0.0490623,-0.00511945,0.813293,-0.33136,-0.187319
01324185,1523963899043,-9.53471,-1.0507,-0.132868,0.0115555,-0.0423434,-0.0377378,0.824557,0.283623,-0.32634
01324181,1523963899043,-9.07148,0.434273,3.41019,-0.00200303,0.075194,-0.0995531,0.814697,0.356791,-0.160499
01324180,1523963899043,-8.92834,-3.25801,0.615154,0.297774,0.00923106,0.0338039,0.711178,0.259486,-0.455941
01324189,1523963899059,-9.87115,0.208392,-0.268385,-0.119349,-0.101965,-0.0491452,0.792124,-0.249919,-0.298883
01324188,1523963899059,-9.73921,-0.146412,-0.901296,-0.0421922,0.0631905,-0.00837909,0.812602,-0.329544,-0.185449
01324185,1523963899059,-9.53473,-0.997809,-0.218332,0.0524741,-0.0373285,-0.0267598,0.824148,0.282465,-0.328023
01324181,1523963899059,-9.10557,0.462989,3.40217,-0.0056043,0.06114,-0.094487,0.814267,0.357411,-0.15852
01324180,1523963899059,-8.90066,-3.21596,0.78,0.353684,0.00909294,0.0482268,0.711732,0.254798,-0.448488
01324189,1523963899075,-9.85936,0.0539915,-0.191041,-0.0880582,-0.110921,-0.0543536,0.792262,-0.24749,-0.300602
01324188,1523963899075,-9.75605,-0.122404,-0.877317,-0.0317261,0.0581943,-0.0119061,0.814772,-0.32994,-0.184022
01324185,1523963899075,-9.54198,-0.93045,-0.327899,0.0772932,-0.0621621,-0.0215246,0.825238,0.281389,-0.325408
01324181,1523963899075,-9.11984,0.457961,3.41184,-0.00218721,0.0385362,-0.0740036,0.815586,0.358557,-0.157498
01324180,1523963899075,-8.9695,-3.2019,0.972752,0.334191,0.0372259,0.0377696,0.712032,0.252775,-0.450017
01324189,1523963899091,-9.82385,-0.100581,-0.148132,-0.0810632,-0.107543,-0.0543407,0.791866,-0.246197,-0.30259
01324188,1523963899091,-9.76595,-0.189601,-0.917542,-0.0318012,0.0725622,-0.020598,0.813801,-0.326517,-0.182182
01324185,1523963899091,-9.56841,-0.838872,-0.412631,0.0985538,-0.0658357,-0.0172677,0.82334,0.282073,-0.326451
01324181,1523963899091,-9.09108,0.482542,3.4357,-0.0236435,0.0335195,-0.0567501,0.81544,0.358309,-0.155901
01324180,1523963899091,-9.19781,-3.18435,1.11563,0.316053,-0.00582125,-0.00566923,0.712592,0.250445,-0.449532
01324189,1523963899108,-9.83776,-0.221861,-0.157947,-0.0531651,-0.104371,-0.0498068,0.788491,-0.2434,-0.306535
01324188,1523963899108,-9.7854,-0.220828,-0.924326,-0.0230205,0.0735769,-0.00636813,0.813403,-0.32752,-0.185467
