ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523964163291,-9.77775,-0.338162,-0.845925,0.00766954,0.0114182,0.000610402,0.868483,-0.229583,-0.250232
01324188,1523964163291,-9.69254,-0.516422,-1.49962,0.0116751,0.00555693,0.000463445,0.893458,-0.331729,-0.114798
01324185,1523964163291,-9.75369,-1.22235,-0.50859,0.0516799,-0.0130393,0.00539875,0.848913,0.354639,-0.293405
01324181,1523964163291,-9.40741,0.307085,2.61857,0.0289762,0.00358974,-0.0112456,0.863305,0.364662,-0.0872609
01324180,1523964163291,-9.19628,-3.33879,0.436215,0.0297209,0.0109734,-0.00202201,0.724512,0.410366,-0.408437
01324189,1523964163294,-9.77751,-0.330738,-0.826439,0.0311055,0.00944749,-0.00197259,0.866444,-0.22465,-0.253785
01324188,1523964163294,-9.70455,-0.492532,-1.46124,0.0238721,0.0118125,-0.0020427,0.893987,-0.328372,-0.124303
01324185,1523964163294,-9.74395,-1.20072,-0.492245,0.0409353,-0.000647106,0.0010763,0.84808,0.361035,-0.298437
01324181,1523964163294,-9.41198,0.326398,2.66889,0.0307368,0.0053994,-0.00951216,0.861917,0.37145,-0.0921783
01324180,1523964163294,-9.2038,-3.32455,0.450721,0.00333356,0.0178185,0.00138082,0.724221,0.41388,-0.412286
01324189,1523964163310,-9.77523,-0.308922,-0.826421,0.0251165,0.00433894,0.0042353,0.866292,-0.222628,-0.253365
01324188,1523964163310,-9.68758,-0.478175,-1.45428,0.0142874,0.021887,0.00419956,0.895202,-0.327127,-0.123296
01324185,1523964163310,-9.73432,-1.19839,-0.504813,0.0286585,-0.00404047,0.00195993,0.84862,0.361579,-0.299491
01324181,1523964163310,-9.41655,0.302089,2.66208,0.025371,0.00371897,-0.00433415,0.860702,0.371748,-0.0924379
01324180,1523964163310,-9.21077,-3.34389,0.445713,0.0033746,0.0161019,-0.000392433,0.72314,0.414775,-0.413064
01324189,1523964163326,-9.77505,-0.31369,-0.816699,0.0128101,0.0217208,-0.00294578,0.869444,-0.229611,-0.250912
01324188,1523964163326,-9.68755,-0.470958,-1.45194,0.0134276,0.011552,0.00230991,0.894126,-0.329766,-0.116437
01324185,1523964163326,-9.73919,-1.22243,-0.494652,0.0332763,0.00809042,-0.0134295,0.847146,0.35433,-0.294836
01324181,1523964163326,-9.41652,0.306933,2.67164,0.0183627,0.00335917,-0.0232775,0.861667,0.365983,-0.0868722
01324180,1523964163326,-9.22006,-3.37794,0.459937,-0.00178921,0.00813685,0.00215021,0.724361,0.412411,-0.410018
01324189,1523964163342,-9.7869,-0.299008,-0.792144,0.0214955,0.0250893,-0.00292052,0.868753,-0.229158,-0.250231
01324188,1523964163342,-9.68763,-0.492593,-1.46137,0.018639,0.0219888,0.00246093,0.893725,-0.330987,-0.11516
01324185,1523964163342,-9.76819,-1.2367,-0.502969,0.0211537,-0.00760818,-0.0090566,0.84769,0.353488,-0.294568
01324181,1523964163342,-9.42607,0.301968,2.67168,0.02188,0.0141384,-0.0145731,0.861558,0.364813,-0.0880441
01324180,1523964163342,-9.22929,-3.40689,0.447603,0.0139692,0.00551305,0.00486387,0.724342,0.412978,-0.40757
01324189,1523964163358,-9.77236,-0.284352,-0.785027,0.014513,0.0147965,-0.00648139,0.868755,-0.229015,-0.250498
01324188,1523964163358,-9.70208,-0.475695,-1.4566,0.032615,0.0234827,0.00788034,0.893992,-0.330118,-0.115109
01324185,1523964163358,-9.76821,-1.25594,-0.483359,0.0283464,0.00380327,-0.00573555,0.847958,0.355312,-0.29511
01324181,1523964163358,-9.43063,0.297046,2.69106,0.0165316,0.00440536,-0.0146384,0.862904,0.364799,-0.0877918
01324180,1523964163358,-9.23187,-3.39236,0.440407,0.0296874,0.0145124,-0.00376094,0.724618,0.412687,-0.408392
01324189,1523964163374,-9.7577,-0.28908,-0.777957,0.00566387,0.0183234,-0.0171817,0.867001,-0.226824,-0.253675
01324188,1523964163374,-9.6876,-0.48762,-1.48307,0.0134282,0.00295434,0.00044645,0.892894,-0.327797,-0.120613
01324185,1523964163374,-9.77305,-1.27516,-0.463543,0.0291238,0.0205012,-0.00839339,0.847407,0.355676,-0.298252
01324181,1523964163374,-9.41156,0.302132,2.68143,0.0200837,0.00709109,-0.0129082,0.862074,0.369867,-0.092413
01324180,1523964163374,-9.2296,-3.37775,0.430842,0.0368003,-0.00325144,0.00934985,0.724992,0.416918,-0.412643
01324189,1523964163390,-9.76767,-0.299006,-0.802171,0.0145111,0.0156563,-0.00648396,0.867553,-0.227847,-0.253689
01324188,1523964163390,-9.69726,-0.482813,-1.47582,0.0117017,0.0146522,0.00941168,0.894244,-0.326365,-0.12054
01324185,1523964163390,-9.75855,-1.27523,-0.447179,0.0405545,0.00982141,-0.00834088,0.847404,0.356502,-0.299307
01324181,1523964163390,-9.42621,0.301978,2.65719,0.0271934,0.00713234,-0.0112033,0.861273,0.369025,-0.0921209
01324180,1523964163390,-9.21531,-3.37311,0.464843,0.0386653,0.000548228,-0.00555928,0.724065,0.415919,-0.41292
01324189,1523964163406,-9.78722,-0.299183,-0.814047,0.0144556,0.0165181,-0.010036,0.867811,-0.228708,-0.25169
01324188,1523964163406,-9.68762,-0.492493,-1.47581,0.0046852,0.0151001,0.000520026,0.893992,-0.330099,-0.115512
01324185,1523964163406,-9.75849,-1.25116,-0.452281,0.0324214,0.0118157,0.00696301,0.848359,0.35441,-0.297982
01324181,1523964163406,-9.42609,0.294699,2.65974,0.0271994,0.0142079,-0.0111411,0.862188,0.368661,-0.0885303
01324180,1523964163406,-9.19609,-3.35825,0.450611,0.0453238,0.0197338,0.000770606,0.725437,0.412247,-0.410037
01324189,1523964163421,-9.77763,-0.311354,-0.826391,0.0179034,0.0182021,-0.0118063,0.867264,-0.230128,-0.250624
01324188,1523964163421,-9.68519,-0.487712,-1.47106,0.0151469,0.0100957,-0.00300335,0.893707,-0.328058,-0.11538
01324185,1523964163421,-9.74883,-1.25602,-0.440513,0.026624,-0.000578743,-0.00485963,0.848361,0.353997,-0.297454
01324181,1523964163421,-9.42607,0.287427,2.65264,0.0218551,0.00358679,-0.0112154,0.861375,0.369655,-0.089474
01324180,1523964163421,-9.21081,-3.34645,0.4602,0.0428949,0.000284291,0.00853749,0.725441,0.41181,-0.409775
01324189,1523964163437,-9.76568,-0.308959,-0.836302,0.0145414,0.0113377,-0.00469965,0.868358,-0.229872,-0.25117
01324188,1523964163437,-9.66825,-0.482951,-1.47123,0.00293541,0.018566,0.000548643,0.894528,-0.328932,-0.115715
01324185,1523964163437,-9.75842,-1.24632,-0.425644,0.0444333,0.00105935,0.000214797,0.847817,0.354133,-0.297715
01324181,1523964163437,-9.41649,0.297237,2.66217,0.00939282,-0.00527428,-0.0112559,0.861514,0.368531,-0.0883875
01324180,1523964163437,-9.21555,-3.35873,0.474588,0.0365414,0.0124212,0.0138552,0.724769,0.412115,-0.4103
01324189,1523964163454,-9.75353,-0.299159,-0.82916,0.0146715,0.0096206,0.00418612,0.867546,-0.227413,-0.253284
01324188,1523964163454,-9.67806,-0.521464,-1.47562,0.0116913,0.00884158,0.00404173,0.892758,-0.327827,-0.119938
01324185,1523964163454,-9.76802,-1.23181,-0.420529,0.0378385,-0.00582309,0.0104734,0.846458,0.355253,-0.298245
01324181,1523964163454,-9.38483,0.283034,2.6868,0.00676403,-0.00275552,-0.0181269,0.861131,0.369044,-0.0913215
01324180,1523964163454,-9.22078,-3.3348,0.489169,0.0437629,0.00925529,-0.00193882,0.723841,0.412147,-0.412857
01324189,1523964163471,-9.77298,-0.29199,-0.831283,0.0110229,0.0225961,-0.00561963,0.868354,-0.226424,-0.252884
01324188,1523964163471,-9.68762,-0.492493,-1.47581,0.00468726,0.00998008,-0.00130623,0.893165,-0.327872,-0.119137
01324185,1523964163471,-9.7439,-1.22234,-0.436217,0.0443496,-0.00247549,-0.00146699,0.847271,0.355817,-0.298253
01324181,1523964163471,-9.41396,0.30695,2.68857,0.0147736,0.00522062,-0.0180788,0.860584,0.369902,-0.0917329
01324180,1523964163471,-9.22581,-3.3154,0.474726,0.0566159,0.0177896,0.0122745,0.725157,0.414447,-0.41283
01324189,1523964163487,-9.78276,-0.299377,-0.840889,-0.00291587,0.00892537,-0.0100813,0.868351,-0.230012,-0.250367
01324188,1523964163487,-9.68276,-0.487504,-1.50236,0.000395561,-0.00198113,0.0109246,0.893715,-0.329178,-0.116395
01324185,1523964163487,-9.7391,-1.21517,-0.458334,0.0320353,0.00293178,-0.00148913,0.84673,0.354547,-0.298239
01324181,1523964163487,-9.41184,0.316693,2.67149,0.0129879,-0.00539688,-0.0181671,0.861876,0.372377,-0.089137
01324180,1523964163487,-9.22123,-3.29603,0.474877,0.0470615,0.0232972,-0.00180991,0.725387,0.409404,-0.420242
01324189,1523964163504,-9.76332,-0.294392,-0.833869,-0.00109938,0.0192705,-0.00299057,0.868901,-0.229598,-0.251174
01324188,1523964163504,-9.67787,-0.473004,-1.50975,0.00115567,0.00696002,-0.0102125,0.894539,-0.330475,-0.117026
01324185,1523964163504,-9.75357,-1.21508,-0.45529,0.0390337,-0.00066963,-0.00232105,0.846999,0.354245,-0.299284
01324181,1523964163504,-9.41613,0.258435,2.64843,0.0182448,0.00907773,-0.000812333,0.861238,0.371191,-0.0913675
01324180,1523964163504,-9.23115,-3.27183,0.457994,0.0383675,0.00718186,0.013855,0.724584,0.409422,-0.420771
01324189,1523964163520,-9.7972,-0.279937,-0.826021,-0.00618927,0.00812167,0.00412719,0.868081,-0.229575,-0.250897
01324188,1523964163520,-9.67795,-0.492361,-1.49995,-0.0022674,0.0147073,0.00755024,0.894525,-0.328344,-0.115813
01324185,1523964163520,-9.77523,-1.22213,-0.42032,0.04289,-0.000638431,0.00533331,0.847,0.354683,-0.298503
01324181,1523964163520,-9.45441,0.282202,2.69844,0.00936951,-0.0016626,-0.00776504,0.86044,0.370901,-0.0920183
01324180,1523964163520,-9.24535,-3.30114,0.474613,0.0332244,0.00375754,0.00851958,0.724976,0.409991,-0.419953
