ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1523964817285,-9.7689,-0.69154,-0.803145,0.000489965,0.00201244,0.0111951,0.788783,-0.301573,-0.120714
01324188,1523964817285,-9.70963,-0.608718,-1.33475,0.00676396,0.0157569,0.00248139,0.723997,-0.338658,0.0760088
01324185,1523964817285,-9.75927,-1.10143,-0.719346,-0.00345591,0.00266785,0.00444626,0.829603,0.187632,-0.397092
01324181,1523964817285,-9.29643,0.295265,2.9367,0.0174451,-0.0108525,0.00024053,0.758201,0.476668,-0.304464
01324180,1523964817285,-9.21146,-3.29475,0.641842,0.017221,-0.017792,0.0221464,0.721908,0.202154,-0.460201
01324189,1523964817289,-9.76546,-0.690966,-0.732606,0.00115158,0.0106258,-0.00303361,0.789629,-0.298728,-0.125135
01324188,1523964817289,-9.69997,-0.611264,-1.32037,0.013769,0.0197402,0.00965461,0.725049,-0.332376,0.0726068
01324185,1523964817289,-9.73034,-1.13529,-0.681412,0.00183066,-0.00267046,0.00446869,0.827685,0.191391,-0.400404
01324181,1523964817289,-9.30613,0.329087,2.97221,0.0156799,-0.00825931,-0.00318015,0.760505,0.481107,-0.310599
01324180,1523964817289,-9.17755,-3.29921,0.644566,0.0099326,-0.000363745,0.0257302,0.721593,0.208159,-0.465231
01324189,1523964817305,-9.75371,-0.661937,-0.744885,0.00906959,0.00882267,0.00410109,0.791252,-0.29689,-0.124467
01324188,1523964817305,-9.69989,-0.589462,-1.33501,0.0101928,0.0266557,-0.00622501,0.728439,-0.330152,0.0737847
01324185,1523964817305,-9.7255,-1.14973,-0.647501,0.0097508,-0.00275126,0.0044595,0.832865,0.190438,-0.398312
01324181,1523964817305,-9.32994,0.294857,2.95098,0.0139226,-0.000332561,-0.00481986,0.763662,0.477755,-0.310428
01324180,1523964817305,-9.18721,-3.2993,0.642054,0.0168196,0.0102498,0.0223337,0.723742,0.20782,-0.463641
01324189,1523964817321,-9.76816,-0.674112,-0.744696,-0.00844574,0.0124481,-0.00484594,0.795591,-0.299004,-0.119563
01324188,1523964817321,-9.72646,-0.582165,-1.33005,-0.00368308,0.0138168,0.00592534,0.72954,-0.332205,0.0766144
01324185,1523964817321,-9.75676,-1.12545,-0.636706,0.0411204,0.00588561,0.0179832,0.835054,0.1861,-0.395652
