ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524034968000,-9.47173,-0.516677,-2.39632,0.00929728,0.00467261,-0.0197992,0.201141,0.228785,0.494238
01324188,1524034968000,-9.7383,0.0814722,-0.352296,0.010526,0.0181638,-0.0103171,0.870868,0.285667,0.586038
01324185,1524034968000,-9.50964,-2.36388,0.382511,-0.0256744,0.00233867,0.00500591,0.198222,-0.103421,-0.283038
01324181,1524034968000,-9.25556,-0.21767,3.09061,-0.0126766,-0.00913829,0.0223981,-0.137245,0.166277,-0.15972
01324180,1524034968000,-9.11289,-3.45071,0.562778,-0.0404537,-0.00160476,0.0198081,0.457106,-0.149963,-0.017154
01324189,1524034968003,-9.49573,-0.499641,-2.37401,0.00585741,0.0219874,-0.0145076,0.19648,0.238555,0.490344
01324188,1524034968003,-9.82307,0.0383592,-0.348837,0.0104562,0.019031,-0.0262501,0.871759,0.294614,0.587258
01324185,1524034968003,-9.49034,-2.38323,0.413428,-0.0218906,0.000597616,0.010962,0.194261,-0.0977087,-0.287538
01324181,1524034968003,-9.25729,-0.212902,3.16779,-0.0181044,0.00530191,0.038056,-0.14564,0.168929,-0.16209
01324180,1524034968003,-9.08637,-3.4506,0.582373,-0.0449707,0.00529398,0.0242177,0.451674,-0.144481,-0.0185888
01324189,1524034968019,-9.53925,-0.550839,-2.39051,0.0111178,0.0228081,-0.0118174,0.195768,0.24204,0.491185
01324188,1524034968019,-9.87136,0.0599022,-0.300525,0.0270952,0.0184327,-0.013761,0.872133,0.299396,0.590644
01324185,1524034968019,-9.48551,-2.39048,0.427854,-0.0319942,0.00784137,0.0211312,0.194123,-0.0954465,-0.28756
01324181,1524034968019,-9.30273,-0.213459,3.19166,-0.00383532,0.00874072,0.0311567,-0.146725,0.166717,-0.158828
01324180,1524034968019,-9.08636,-3.4431,0.558245,-0.0334528,0.00562469,0.0102284,0.45246,-0.142013,-0.0204466
01324189,1524034968036,-9.49817,-0.570169,-2.40578,0.0198642,0.0218474,-0.00824038,0.195912,0.238437,0.49263
01324188,1524034968036,-9.78908,0.0815227,-0.332648,3.16412e-05,0.0151503,-0.0192802,0.869681,0.300995,0.594673
01324185,1524034968036,-9.49999,-2.39039,0.42362,-0.00575832,0.0145998,0.0176603,0.19577,-0.0980376,-0.282557
01324181,1524034968036,-9.30853,-0.160123,3.15679,-0.00559481,0.00513528,0.027678,-0.144274,0.161623,-0.153674
01324180,1524034968036,-9.11801,-3.4315,0.567668,-0.0372625,0.0248229,0.0138653,0.454247,-0.147156,-0.016243
01324189,1524034968052,-9.50827,-0.526674,-2.41526,0.0180788,0.0089134,-0.0126632,0.195073,0.240339,0.493594
01324188,1524034968052,-9.81338,0.0478025,-0.324933,-0.00166498,0.00782877,-0.0122946,0.869115,0.304707,0.596391
01324185,1524034968052,-9.52889,-2.34451,0.375857,-0.00046138,0.00223068,0.0185899,0.193321,-0.0969106,-0.282822
01324181,1524034968052,-9.26951,-0.164558,3.21026,-0.00736375,-0.00911516,0.0223801,-0.146339,0.161178,-0.149104
01324180,1524034968052,-9.12769,-3.42417,0.548278,-0.0423909,0.0106488,0.0207708,0.453171,-0.147433,-0.0154203
01324189,1524034968068,-9.46163,-0.526134,-2.37215,0.0120253,0.0219231,-0.00916233,0.190701,0.242901,0.492457
01324188,1524034968068,-9.7842,0.0914004,-0.368874,0.024446,0.0134629,-0.0191308,0.867449,0.31072,0.599073
01324185,1524034968068,-9.51669,-2.27719,0.350378,-0.0276219,0.0115371,0.0415186,0.192775,-0.0937925,-0.282457
01324181,1524034968068,-9.23133,-0.178624,3.16247,0.00248347,-0.00573637,0.0137502,-0.149023,0.158097,-0.147142
01324180,1524034968068,-9.13697,-3.45076,0.540791,-0.0549522,0.0280289,0.0260835,0.452213,-0.145963,-0.0153766
01324189,1524034968084,-9.48174,-0.548506,-2.43275,0.0233422,0.0218048,-0.007344,0.189682,0.250726,0.494141
01324188,1524034968084,-9.84726,0.0338577,-0.3823,0.0210073,0.00605543,-0.0103927,0.868489,0.317641,0.60003
01324185,1524034968084,-9.52393,-2.28676,0.365345,-0.0210276,0.0184148,0.0312636,0.189364,-0.0890345,-0.285114
01324181,1524034968084,-9.25,-0.159505,3.24651,-0.0109176,-0.00915123,0.0206623,-0.152942,0.157865,-0.147096
01324180,1524034968084,-9.14682,-3.43385,0.528703,-0.0599413,0.00691253,0.029427,0.447902,-0.14413,-0.017443
01324189,1524034968100,-9.52672,-0.595656,-2.54902,0.0256915,0.028658,-0.0233334,0.186799,0.253111,0.494328
01324188,1524034968100,-9.86174,0.0388996,-0.406298,0.0261951,0.0099201,-0.0173971,0.868449,0.323571,0.603896
01324185,1524034968100,-9.53844,-2.31314,0.380796,-0.0407745,0.0167448,0.0219447,0.18896,-0.0887188,-0.283411
01324181,1524034968100,-9.30313,-0.14557,3.23866,-0.0109669,-0.00721387,0.0293099,-0.152803,0.154366,-0.142752
01324180,1524034968100,-9.1733,-3.43637,0.509095,-0.0584679,0.0154088,0.0435674,0.448818,-0.143144,-0.0149992
01324189,1524034968116,-9.4584,-0.590427,-2.49372,0.0299825,0.0217684,-0.0178662,0.187798,0.253285,0.494865
01324188,1524034968116,-9.83483,0.125626,-0.409701,0.0174702,0.0217806,-0.012015,0.867889,0.326065,0.606748
01324185,1524034968116,-9.61557,-2.30542,0.398577,-0.0633422,0.00997106,0.0288335,0.190734,-0.0889595,-0.281186
01324181,1524034968116,-9.20801,-0.120121,3.16391,-0.0108901,-0.00389158,0.0189676,-0.151052,0.150174,-0.136274
01324180,1524034968116,-9.21216,-3.4322,0.528074,-0.0566268,0.0245823,0.0234328,0.449874,-0.142302,-0.013102
01324189,1524034968132,-9.44107,-0.548817,-2.45007,0.0248577,0.0373724,-0.00903124,0.18601,0.256215,0.494372
01324188,1524034968132,-9.7892,0.0431926,-0.368398,0.0245137,0.0152287,-0.00317958,0.866512,0.329343,0.608718
01324185,1524034968132,-9.62532,-2.31022,0.355368,-0.0628572,0.013604,0.039868,0.188283,-0.0872694,-0.281587
01324181,1524034968132,-9.21224,-0.129916,3.21238,-0.0109394,0.0175323,0.0294994,-0.151579,0.148056,-0.134889
01324180,1524034968132,-9.20955,-3.45163,0.542494,-0.0733029,0.0208179,0.0329661,0.44934,-0.142583,-0.0130998
01324189,1524034968148,-9.44342,-0.526904,-2.43537,0.0163651,0.0271228,0.00339808,0.184067,0.260598,0.494966
01324188,1524034968148,-9.77,0.00909789,-0.329733,0.0123401,0.002162,-0.00340287,0.865132,0.33303,0.611251
01324185,1524034968148,-9.55785,-2.35395,0.382047,-0.0824899,0.0137289,0.0330711,0.18828,-0.0847271,-0.281743
01324181,1524034968148,-9.25753,-0.159566,3.21265,-0.00916143,-0.00728639,0.0258458,-0.154034,0.146323,-0.130288
01324180,1524034968148,-9.17044,-3.48507,0.55236,-0.0690972,0.0367051,0.0278121,0.447582,-0.14168,-0.0130558
