ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035895259,-9.65486,0.386157,-1.67228,-0.0142854,0.00828317,-0.00612235,0.654638,-0.343228,-0.108568
01324188,1524035895259,-9.71382,-0.393554,-1.50084,0.0115237,0.0127056,-0.00231205,0.609294,-0.351518,0.018991
01324185,1524035895259,-9.5899,-0.917771,1.58451,-0.0175689,-0.00167558,-0.00281668,0.634461,0.200675,-0.463656
01324181,1524035895259,-9.39157,0.151477,2.52084,-0.0103559,0.0146683,0.00474354,0.717225,0.35305,-0.151627
01324180,1524035895259,-9.07678,-3.58353,0.904686,0.0121974,0.0246622,-0.00490536,0.625016,0.163499,-0.412548
01324189,1524035895263,-9.6588,0.342874,-1.62851,0.0118455,0.0149292,-0.00249146,0.651777,-0.343298,-0.108804
01324188,1524035895263,-9.68984,-0.442234,-1.44764,0.00100636,0.0219704,-0.0137834,0.608478,-0.351259,0.0199592
01324185,1524035895263,-9.60428,-0.895995,1.60189,0.00136573,0.0138998,-0.0122897,0.636746,0.203328,-0.4726
01324181,1524035895263,-9.42532,0.170475,2.53475,0.00293902,0.0112835,0.0115734,0.711787,0.362267,-0.159754
01324180,1524035895263,-9.09957,-3.51646,0.929001,-0.0171475,-0.0106934,0.00435358,0.625333,0.162374,-0.41961
01324189,1524035895279,-9.67879,0.352175,-1.66713,0.00478546,0.0124025,-0.00961482,0.653529,-0.343477,-0.106547
01324188,1524035895279,-9.69441,-0.372022,-1.48675,0.00623408,0.0218918,-0.0119807,0.609959,-0.34997,0.0229809
01324185,1524035895279,-9.63786,-0.818751,1.58797,-0.00397377,0.0068971,-0.0130834,0.63824,0.201335,-0.473372
01324181,1524035895279,-9.47384,0.223258,2.55757,-0.00150695,0.0112577,0.00986972,0.713464,0.361415,-0.164815
01324180,1524035895279,-9.08941,-3.54511,0.909607,-0.0383106,0.00515217,-0.00271173,0.628039,0.159406,-0.416868
01324189,1524035895295,-9.68417,0.415073,-1.67663,-0.000481689,0.0271303,-0.00965983,0.65538,-0.344359,-0.100007
01324188,1524035895295,-9.70893,-0.374615,-1.45292,0.0150305,0.0160498,0.000403171,0.611727,-0.351395,0.0278474
01324185,1524035895295,-9.64753,-0.84996,1.62267,-0.0301211,0.0142387,-0.00799626,0.639349,0.193813,-0.467668
01324181,1524035895295,-9.46859,0.169964,2.53448,0.00383417,0.00772242,0.00982677,0.714728,0.356135,-0.162853
01324180,1524035895295,-9.10324,-3.58351,0.873008,-0.027747,0.00534075,-0.00968307,0.630978,0.158451,-0.411654
01324189,1524035895311,-9.65081,0.434364,-1.7063,-0.000281035,0.00123683,0.00104345,0.654182,-0.342043,-0.104398
01324188,1524035895311,-9.71385,-0.39851,-1.48154,0.0062573,0.0148527,-0.0102899,0.611451,-0.349957,0.0221558
01324185,1524035895311,-9.70061,-0.89773,1.68125,-0.0305374,-0.00152706,0.00232299,0.637989,0.198219,-0.466396
01324181,1524035895311,-9.50653,0.145236,2.55645,-0.00500746,0.00398956,-0.000507602,0.714439,0.353676,-0.157471
01324180,1524035895311,-9.15633,-3.59381,0.87485,-0.0296677,0.0041088,0.0078884,0.627704,0.162571,-0.410982
01324189,1524035895326,-9.63128,0.419945,-1.70176,-0.0142437,0.00568848,-0.00256895,0.654607,-0.341775,-0.106278
01324188,1524035895326,-9.72831,-0.388712,-1.49596,0.00983495,0.0103625,0.00915372,0.61009,-0.349032,0.021558
01324185,1524035895326,-9.73931,-0.943223,1.6955,-0.0157923,0.00179402,-0.00280791,0.637174,0.20164,-0.464854
01324181,1524035895326,-9.45409,0.174976,2.54897,0.00386859,0.00405595,0.00289551,0.714664,0.35461,-0.15403
01324180,1524035895326,-9.17564,-3.60887,0.908415,-0.0338494,-0.00366315,0.000774946,0.624724,0.165538,-0.412773
01324189,1524035895342,-9.64058,0.381216,-1.69198,-0.0195098,0.0221441,-0.00439178,0.651096,-0.338539,-0.111841
01324188,1524035895342,-9.71379,-0.384009,-1.48649,-0.000638639,0.0155489,0.00914091,0.609268,-0.347188,0.0167059
01324185,1524035895342,-9.72011,-0.972243,1.6877,-0.0299288,0.00191556,-0.00449763,0.632003,0.204291,-0.466696
01324181,1524035895342,-9.40357,0.175569,2.55411,-0.00502949,0.0111436,0.00469655,0.714636,0.357459,-0.154888
01324180,1524035895342,-9.1321,-3.60834,0.906426,-0.0258618,-0.00882641,-0.00273693,0.620237,0.172325,-0.417441
01324189,1524035895358,-9.67872,0.352214,-1.66226,-0.0142397,0.0152001,-0.00257616,0.65258,-0.342593,-0.107601
01324188,1524035895358,-9.69462,-0.429976,-1.47419,0.00627457,0.00958484,-0.00945883,0.609553,-0.349888,0.0213767
01324185,1524035895358,-9.70092,-0.984435,1.65061,0.00151069,0.0042114,-0.00965357,0.632544,0.201708,-0.46877
01324181,1524035895358,-9.46373,0.170017,2.53934,-0.00501482,0.0270722,0.00485015,0.714755,0.360277,-0.15708
01324180,1524035895358,-9.10785,-3.60793,0.894581,-0.0280916,0.0244719,-0.00252309,0.623361,0.169368,-0.417817
01324189,1524035895373,-9.69735,0.357407,-1.60842,-0.000357394,0.00815764,-0.00606601,0.654432,-0.344625,-0.100534
01324188,1524035895373,-9.68977,-0.42291,-1.45263,0.0132109,0.0322377,-0.0100476,0.611597,-0.352226,0.0269899
01324185,1524035895373,-9.66225,-0.95338,1.64621,-0.00890565,0.00699524,-0.00626723,0.637168,0.197465,-0.468876
01324181,1524035895373,-9.50213,0.164711,2.5392,-0.00321368,0.0190252,-0.000386621,0.71443,0.357874,-0.16222
01324180,1524035895373,-9.09347,-3.59313,0.880301,-0.0157218,0.0121441,0.00274407,0.627874,0.160991,-0.414399
01324189,1524035895389,-9.6731,0.362392,-1.6039,-0.000341625,0.00124712,-0.00605773,0.656079,-0.344098,-0.101889
01324188,1524035895389,-9.70178,-0.399054,-1.40943,0.00285197,0.0140969,0.00383979,0.611861,-0.351043,0.0265224
01324185,1524035895389,-9.64777,-0.941443,1.63333,-0.0263515,0.00015505,-0.00280571,0.637443,0.19592,-0.468337
01324181,1524035895389,-9.48781,0.155195,2.51532,-0.00326625,0.00412841,0.00723885,0.715683,0.35582,-0.163522
01324180,1524035895389,-9.07917,-3.57355,0.870881,-0.01236,0.0118949,0.0159524,0.629871,0.161819,-0.413059
01324189,1524035895405,-9.71267,0.415264,-1.63726,0.00206051,0.0150221,-0.0167303,0.65416,-0.34002,-0.103444
01324188,1524035895405,-9.6799,-0.36973,-1.47725,0.00281658,0.014275,0.00030472,0.611312,-0.349381,0.0223281
01324185,1524035895405,-9.6526,-0.9318,1.61403,-0.0224665,-0.00684154,0.00574033,0.63636,0.199799,-0.465095
01324181,1524035895405,-9.51205,0.167044,2.51011,-0.00766339,0.0110582,-0.000439691,0.715633,0.355377,-0.157652
01324180,1524035895405,-9.07968,-3.52497,0.84214,-0.0173695,-0.00204486,0.0114394,0.627001,0.165785,-0.41226
01324189,1524035895421,-9.64001,0.425295,-1.63346,0.00488108,0.00463696,-0.00338876,0.653919,-0.338305,-0.107717
01324188,1524035895421,-9.70405,-0.362376,-1.48195,-0.00070154,0.00440912,-0.0104518,0.608853,-0.345913,0.017598
01324185,1524035895421,-9.65751,-0.941427,1.58522,-0.0100011,0.00540619,0.00905134,0.634317,0.20289,-0.466035
01324181,1524035895421,-9.48333,0.184358,2.51962,-0.00861651,-0.00293774,0.00805201,0.715098,0.35398,-0.156285
01324180,1524035895421,-9.08881,-3.57358,0.863536,-0.0314078,0.00322524,0.00786104,0.622667,0.169205,-0.412804
01324189,1524035895438,-9.63112,0.395716,-1.70182,-0.0141931,0.0195058,0.00273642,0.654339,-0.338896,-0.10853
01324188,1524035895438,-9.68502,-0.45163,-1.4861,-0.000666627,0.00740699,-0.0015626,0.609412,-0.348712,0.0180887
01324185,1524035895438,-9.64295,-0.93186,1.61362,-0.0116897,0.000153262,0.0107842,0.632954,0.203577,-0.467086
01324181,1524035895438,-9.47845,0.189257,2.53405,-0.00145268,-0.0137327,-0.00240906,0.714257,0.355873,-0.155517
01324180,1524035895438,-9.10276,-3.61227,0.85352,-0.0137173,-0.00354598,-0.000872345,0.623499,0.168338,-0.416081
01324189,1524035895455,-9.61643,0.34724,-1.71189,0.00120653,0.0201793,-0.0149846,0.65516,-0.342943,-0.106293
01324188,1524035895455,-9.69462,-0.432271,-1.49101,0.00281748,0.00065406,-0.00515502,0.610104,-0.351361,0.0215468
01324185,1524035895455,-9.66699,-0.931669,1.65832,-0.0171126,0.00368545,0.00737084,0.635265,0.200733,-0.467983
01324181,1524035895455,-9.42047,0.148717,2.51104,-0.0032458,-0.00480809,0.00283556,0.713162,0.35843,-0.157291
01324180,1524035895455,-9.09297,-3.62682,0.870454,-0.00348164,-0.000434287,0.0203078,0.626107,0.1635,-0.415946
01324189,1524035895471,-9.65565,0.361403,-1.73804,-0.0141356,0.0169219,0.00629985,0.655676,-0.343229,-0.103084
01324188,1524035895471,-9.69932,-0.389151,-1.44805,0.00109147,0.000562239,-0.00340046,0.611728,-0.351313,0.0261036
01324185,1524035895471,-9.67187,-0.955711,1.66363,-0.00797591,0.000148158,0.015039,0.637713,0.197187,-0.468613
01324181,1524035895471,-9.45397,0.158002,2.53963,-0.00856058,0.0110658,0.000412093,0.715235,0.357456,-0.161154
01324180,1524035895471,-9.07898,-3.59301,0.885277,-0.0105949,0.0209235,0.00283477,0.628382,0.162861,-0.413016
