ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035415438,-9.76827,0.461502,-0.54004,-0.0293665,-0.00156058,-0.00235166,0.678922,-0.232304,0.279851
01324188,1524035415438,-9.7393,-0.448344,-1.30937,-0.00449227,0.00573307,0.00237973,0.662259,-0.0755768,0.37858
01324185,1524035415438,-9.65836,-0.791289,1.43181,-0.0285252,-0.000350785,-0.0339945,0.737225,-0.239359,-0.360032
01324181,1524035415438,-9.40099,0.0769478,2.68076,0.00202854,0.0146197,0.0114362,0.614044,0.137421,-0.543014
01324180,1524035415438,-9.11489,-3.36441,0.913558,-0.0277863,-0.0149524,-0.0306192,0.79979,-0.0845015,-0.0936026
01324189,1524035415442,-9.74842,0.476432,-0.501357,-0.0171178,0.020767,0.00652879,0.67564,-0.226436,0.274806
01324188,1524035415442,-9.72724,-0.453561,-1.25888,-0.0122861,0.000126752,0.0093464,0.661157,-0.0734577,0.374399
01324185,1524035415442,-9.66558,-0.817685,1.48092,-0.04573,0.0139835,-0.025561,0.735567,-0.231937,-0.365232
01324181,1524035415442,-9.38081,0.060139,2.7585,-0.00602437,0.00763393,0.0165709,0.611011,0.145407,-0.549048
01324180,1524035415442,-9.10054,-3.35962,0.93306,-0.022717,-0.00449509,-0.0269993,0.79463,-0.0782537,-0.100052
01324189,1524035415458,-9.7869,0.471562,-0.483748,-0.0119313,0.0241748,0.00477062,0.678649,-0.227377,0.276653
01324188,1524035415458,-9.73917,-0.407868,-1.23513,-0.0114795,0.0128607,-0.0011323,0.662238,-0.0718709,0.374485
01324185,1524035415458,-9.66803,-0.834524,1.4812,-0.0230088,0.00580261,-0.0289346,0.737477,-0.230802,-0.36525
01324181,1524035415458,-9.39967,0.0380718,2.76846,-0.00594207,0.0233338,0.00464741,0.612539,0.143908,-0.55064
01324180,1524035415458,-9.10995,-3.37904,0.932862,-0.0332336,-0.000956385,-0.0305603,0.796225,-0.0766824,-0.0996362
01324189,1524035415475,-9.82468,0.435464,-0.432144,-0.031097,0.0192037,-0.000606597,0.681377,-0.231203,0.280911
01324188,1524035415475,-9.72956,-0.424749,-1.23987,0.00423139,0.00255697,-0.00290598,0.665521,-0.0740011,0.378097
01324185,1524035415475,-9.68735,-0.805559,1.42834,-0.0293124,-0.00541165,-0.0118428,0.739264,-0.235995,-0.362178
01324181,1524035415475,-9.42907,0.0595844,2.73888,0.00645693,0.0270821,0.0149877,0.615277,0.138777,-0.546138
01324180,1524035415475,-9.13429,-3.3747,0.951984,-0.0368176,0.00786204,-0.0340312,0.801101,-0.0819091,-0.0926196
01324189,1524035415491,-9.81495,0.418503,-0.4372,-0.0153318,0.0069619,0.00568649,0.68301,-0.231383,0.282646
01324188,1524035415491,-9.75394,-0.477978,-1.20069,-0.0114748,0.00445469,-0.00653524,0.669337,-0.0738498,0.379682
01324185,1524035415491,-9.68263,-0.834491,1.41873,-0.0283472,0.00868932,-0.0102337,0.742536,-0.236024,-0.363637
01324181,1524035415491,-9.4049,0.0743999,2.77256,0.00290154,0.0252763,0.0132522,0.617045,0.139866,-0.547922
01324180,1524035415491,-9.12452,-3.38183,0.95204,-0.0422089,0.00577179,-0.0182594,0.803507,-0.0804971,-0.0923552
01324189,1524035415508,-9.80296,0.430649,-0.439786,-0.00151749,0.00680643,-0.000488561,0.682488,-0.230804,0.279417
01324188,1524035415508,-9.67156,-0.429915,-1.22102,0.00853137,0.0135342,-0.0133679,0.666885,-0.0740113,0.377809
01324185,1524035415508,-9.65385,-0.887649,1.41077,-0.0168215,0.0244522,-0.00865177,0.740356,-0.236279,-0.362179
01324181,1524035415508,-9.38818,0.0649124,2.7487,-0.000621413,0.0251702,0.00808765,0.616612,0.140211,-0.545647
01324180,1524035415508,-9.10004,-3.39829,0.937687,-0.0367429,-0.0108951,-0.0165928,0.802313,-0.0822267,-0.0918295
01324189,1524035415524,-9.81958,0.423466,-0.420078,0.00895998,-0.000198252,0.00134008,0.679206,-0.231448,0.278369
01324188,1524035415524,-9.69587,-0.468176,-1.25417,0.0233749,0.0209249,-0.00433685,0.663042,-0.0697851,0.3765
01324185,1524035415524,-9.68516,-0.892242,1.44127,-0.0188753,0.0173492,-0.0154008,0.73871,-0.232343,-0.364186
01324181,1524035415524,-9.41943,0.0790847,2.76755,0.00908372,0.0201078,0.020086,0.61523,0.143085,-0.547033
01324180,1524035415524,-9.10913,-3.44185,0.937359,-0.0204517,0.00202489,-0.00234166,0.798423,-0.0800684,-0.100144
01324189,1524035415540,-9.81471,0.457545,-0.403031,0.0140431,-0.000262557,-0.00752838,0.677427,-0.231259,0.277581
01324188,1524035415540,-9.69576,-0.439073,-1.27851,0.0111713,0.0130787,-0.00450699,0.660053,-0.0715113,0.37697
01324185,1524035415540,-9.69708,-0.868056,1.47793,-0.00496128,0.00836792,-0.0187584,0.7368,-0.230906,-0.363272
