ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035519249,-9.8102,0.172993,-0.493473,-0.00850812,-0.0176839,-0.0171823,0.776983,-0.389017,-0.00364591
01324188,1524035519249,-9.71936,-0.531565,-1.01286,-0.000268288,0.0173004,0.00777087,0.756788,-0.292654,0.140702
01324185,1524035519249,-9.59083,-1.22985,1.89497,-0.0122718,-0.0147991,0.00650117,0.751405,0.122515,-0.588444
01324181,1524035519249,-9.36646,-0.0889481,2.62512,-0.00220301,-0.015836,0.0142288,0.766518,0.441955,-0.349656
01324180,1524035519249,-9.0769,-3.41883,1.14716,-0.0441958,0.00602096,0.0233348,0.803977,0.0599898,-0.426428
01324189,1524035519253,-9.84191,0.163016,-0.512492,-0.000478718,-0.00910817,-0.00117334,0.780023,-0.383184,-0.00956583
01324188,1524035519253,-9.72665,-0.543629,-1.00788,0.0100976,0.0304235,-0.00971565,0.759605,-0.285393,0.137609
01324185,1524035519253,-9.54741,-1.21569,1.87841,-0.000300777,-0.0114587,-0.00119731,0.753018,0.128057,-0.594943
01324181,1524035519253,-9.41408,-0.0895506,2.67313,-0.0119932,0.000116238,0.0161349,0.770288,0.448668,-0.356259
01324180,1524035519253,-9.10054,-3.46761,1.16841,-0.0600547,0.020156,0.0145353,0.804743,0.0655362,-0.43148
01324189,1524035519269,-9.80382,0.162806,-0.559317,-0.00220722,-0.0177372,-0.00117102,0.780014,-0.382746,-0.00888819
01324188,1524035519269,-9.77739,-0.536111,-1.02199,0.0162653,0.0194667,0.000819013,0.760556,-0.285016,0.138567
01324185,1524035519269,-9.52783,-1.11468,1.87653,0.0102563,-0.00097495,-0.000431944,0.755201,0.127497,-0.594551
01324181,1524035519269,-9.39717,-0.0796637,2.69479,-0.000448641,0.000178868,0.0186792,0.77167,0.446912,-0.356638
01324180,1524035519269,-9.09519,-3.51613,1.1972,-0.031099,0.0113747,0.0199186,0.805271,0.0661048,-0.430799
01324189,1524035519285,-9.75133,0.182042,-0.606314,-0.0212937,-0.00632978,0.00406345,0.779046,-0.386618,-0.00567261
01324188,1524035519285,-9.74603,-0.559938,-1.07978,0.0101206,0.0282219,-0.000890661,0.759637,-0.290794,0.140513
01324185,1524035519285,-9.5085,-1.09075,1.85604,-0.00371286,-0.00433171,0.0021517,0.753853,0.12433,-0.589784
01324181,1524035519285,-9.36834,-0.0768986,2.69733,-0.00931293,-0.0052559,0.0126194,0.770998,0.443133,-0.352137
01324180,1524035519285,-9.06122,-3.52047,1.18784,0.00150301,0.00111292,0.0130111,0.807866,0.0634479,-0.432246
01324189,1524035519301,-9.74683,0.135674,-0.650308,0.00458581,0.0132319,-0.0065486,0.776857,-0.387574,-0.00565502
01324188,1524035519301,-9.76772,-0.540635,-1.07016,0.0118866,0.0178075,-0.000996913,0.756912,-0.290805,0.141763
01324185,1524035519301,-9.51814,-1.11954,1.90286,0.0120187,0.0113367,-0.000514942,0.750029,0.124271,-0.592924
01324181,1524035519301,-9.37053,-0.118143,2.6643,-0.00840633,0.00535449,0.0127136,0.766636,0.44437,-0.351046
01324180,1524035519301,-9.06198,-3.45255,1.15678,0.0249962,0.0117629,0.0114929,0.804125,0.0614804,-0.432773
01324189,1524035519317,-9.7613,0.125922,-0.650112,0.00803801,0.00283689,-0.0100685,0.774945,-0.387672,-0.0064426
01324188,1524035519317,-9.74605,-0.564827,-1.07011,-0.00731798,0.0188129,-0.00465333,0.755838,-0.293443,0.142286
01324185,1524035519317,-9.53039,-1.15562,1.85765,0.0151771,0.0147475,-0.00904117,0.748807,0.123447,-0.591598
01324181,1524035519317,-9.38986,-0.0601972,2.73069,-0.0111169,0.00899625,0.0179241,0.764178,0.445563,-0.350778
01324180,1524035519317,-9.08676,-3.40195,1.13749,0.0275608,0.00536718,0.0255487,0.804686,0.060022,-0.433896
01324189,1524035519333,-9.80424,0.162573,-0.588522,-0.00144288,0.00296138,-0.00476118,0.776048,-0.386548,-0.00779441
01324188,1524035519333,-9.75324,-0.545594,-1.0582,0.0171741,0.0155161,0.00963666,0.756354,-0.288279,0.138009
01324185,1524035519333,-9.54947,-1.03036,1.78438,-0.00963584,0.0308196,-0.0125164,0.749477,0.127358,-0.59453
01324181,1524035519333,-9.38635,-0.0164199,2.65259,-0.0217898,0.00900647,0.0196749,0.76718,0.445755,-0.353222
01324180,1524035519333,-9.10879,-3.40032,1.18803,-0.0107996,-0.000829209,0.0208723,0.801672,0.0635535,-0.431475
01324189,1524035519349,-9.81125,0.194295,-0.556696,0.00816564,0.00373568,-0.00117523,0.77877,-0.38213,-0.00832969
01324188,1524035519349,-9.75803,-0.531175,-1.04866,0.0101696,0.0065059,-0.00113187,0.760153,-0.285814,0.137035
01324185,1524035519349,-9.52301,-1.0522,1.77862,-0.041215,0.031144,-0.0107881,0.754251,0.126819,-0.592964
01324181,1524035519349,-9.44849,-0.0608089,2.63131,-0.0129259,0.0144601,0.0266098,0.771139,0.443119,-0.352673
01324180,1524035519349,-9.10849,-3.41455,1.16379,-0.049038,-0.0130333,0.0108708,0.803802,0.0648164,-0.429989
01324189,1524035519365,-9.79912,0.235693,-0.537307,0.0202417,0.00791805,-0.00647582,0.78258,-0.382939,-0.0047403
01324188,1524035519365,-9.76761,-0.506893,-1.06806,0.0101374,-0.00422599,-0.0118722,0.760976,-0.287172,0.140723
01324185,1524035519365,-9.57132,-1.12888,1.85913,-0.0579072,0.032842,-0.0311797,0.757126,0.12506,-0.588619
01324181,1524035519365,-9.50468,-0.173086,2.64034,-0.0040123,0.00910923,0.023115,0.772943,0.440203,-0.353166
01324180,1524035519365,-9.10498,-3.48169,1.12478,-0.0719945,-0.01707,0.0335378,0.808366,0.0645722,-0.427078
01324189,1524035519380,-9.78488,0.191827,-0.576573,0.0028744,0.0132711,-0.00476986,0.780111,-0.38374,-0.004179
01324188,1524035519380,-9.77737,-0.531121,-1.04611,-0.00378216,0.00899566,0.000567168,0.759629,-0.289444,0.139787
01324185,1524035519380,-9.68726,-1.26289,1.97223,-0.0464851,0.0258352,-0.0124098,0.754398,0.126468,-0.589149
01324181,1524035519380,-9.50028,-0.134222,2.64929,-0.00752344,0.00983026,0.0145076,0.771144,0.442129,-0.351849
01324180,1524035519380,-9.14318,-3.51583,1.11456,-0.0667015,-0.00975377,0.0195564,0.806782,0.0625713,-0.428451
01324189,1524035519396,-9.79893,0.116653,-0.57654,0.00826902,0.00978134,0.00591976,0.776431,-0.385099,-0.00576513
01324188,1524035519396,-9.7532,-0.531409,-1.01741,0.00318798,0.0091904,-0.00291994,0.758006,-0.291299,0.13942
01324185,1524035519396,-9.72134,-1.39267,2.00414,-0.00475738,0.0362679,0.0155522,0.750306,0.126586,-0.590451
01324181,1524035519396,-9.43636,-0.0315924,2.68154,-0.0146977,-0.0121994,0.0194831,0.769901,0.443736,-0.351603
01324180,1524035519396,-9.16535,-3.49708,1.14345,-0.0578494,-0.00955259,0.0108319,0.80223,0.061205,-0.429768
01324189,1524035519413,-9.81825,0.1239,-0.568928,0.00124706,0.00639977,0.000575562,0.775213,-0.385075,-0.00736856
01324188,1524035519413,-9.75821,-0.579618,-1.01694,-0.000270078,0.00204427,0.000518873,0.754736,-0.291111,0.139744
01324185,1524035519413,-9.644,-1.27766,1.9123,0.00541358,0.009698,0.00803822,0.748118,0.12682,-0.593074
01324181,1524035519413,-9.38622,-0.0261234,2.65278,-0.00577168,0.00545745,0.0178703,0.766352,0.44678,-0.352967
01324180,1524035519413,-9.139,-3.48742,1.17276,-0.0247305,0.00468137,0.00586265,0.80131,0.0606588,-0.433019
01324189,1524035519430,-9.8227,0.145979,-0.532296,0.0132925,0.0166284,-0.00650963,0.775757,-0.383931,-0.00763531
01324188,1524035519430,-9.73392,-0.546114,-0.993364,0.00316475,0.0171909,-0.0063694,0.756363,-0.289782,0.138861
01324185,1524035519430,-9.60995,-1.14789,1.86583,0.0110758,-0.00277264,-0.00210338,0.750845,0.126259,-0.592684
01324181,1524035519430,-9.42898,-0.0678729,2.65089,-0.0111309,0.0126281,0.0231368,0.768804,0.4449,-0.351749
01324180,1524035519430,-9.10958,-3.53094,1.21148,-0.00295652,0.0126277,0.00603864,0.80331,0.0619281,-0.43221
01324189,1524035519446,-9.84192,0.187324,-0.502697,0.0236326,0.00961433,-0.0135659,0.780386,-0.382158,-0.00524798
01324188,1524035519446,-9.75796,-0.507411,-0.99834,0.00320964,0.00219599,-0.00211329,0.760022,-0.286966,0.139802
01324185,1524035519446,-9.5811,-1.15773,1.83072,-0.0309995,-0.00252885,-0.0190736,0.756171,0.126194,-0.588627
01324181,1524035519446,-9.41662,-0.0895687,2.65863,-0.00839093,0.0141749,0.0110742,0.771308,0.440805,-0.353027
01324180,1524035519446,-9.14814,-3.54849,1.23034,0.0150869,0.0219406,0.0255635,0.806478,0.0650446,-0.427448
01324189,1524035519463,-9.80314,0.216677,-0.488607,-0.0160648,0.0169542,0.00760254,0.782319,-0.382505,-0.00635151
01324188,1524035519463,-9.75801,-0.521913,-0.993395,-0.00726666,0.00231284,-0.00483838,0.759478,-0.287134,0.140474
01324185,1524035519463,-9.5859,-1.17212,1.86505,-0.0149374,0.0220236,-0.0141447,0.757263,0.126778,-0.587717
01324181,1524035519463,-9.42895,-0.0654521,2.65809,-0.000397244,0.0142199,0.0127731,0.773185,0.441104,-0.351314
01324180,1524035519463,-9.11996,-3.47297,1.19719,0.0223892,0.00455685,0.0202253,0.806765,0.0638795,-0.428153
01324189,1524035519479,-9.77438,0.19718,-0.518298,-0.00746003,0.0099388,0.000531164,0.779024,-0.382416,-0.00604318
01324188,1524035519479,-9.7388,-0.560464,-1.00764,-0.00207033,0.0163111,-0.00641493,0.758121,-0.287973,0.140168
01324185,1524035519479,-9.57142,-1.18663,1.8937,0.00104384,0.00868924,-0.0106782,0.754261,0.127179,-0.589024
01324181,1524035519479,-9.44837,-0.0559708,2.65053,-0.00573552,0.0124469,0.0127784,0.77019,0.441735,-0.350761
01324180,1524035519479,-9.11086,-3.40949,1.13963,-5.6745e-05,-0.00208866,-0.00104895,0.805433,0.063478,-0.43004
01324189,1524035519496,-9.80374,0.177442,-0.547112,0.00298761,0.0236488,0.00409988,0.776321,-0.384388,-0.00899354
01324188,1524035519496,-9.7484,-0.538827,-0.993317,0.00323196,0.00195801,0.00231178,0.75596,-0.290802,0.138937
01324185,1524035519496,-9.57862,-1.15291,1.85969,0.00711508,0.016546,-0.012435,0.749617,0.129812,-0.592188
01324181,1524035519496,-9.4192,-0.0508073,2.69168,-0.00398508,-0.00167044,0.0143669,0.766917,0.444484,-0.352256
01324180,1524035519496,-9.10606,-3.39958,1.12039,-0.0176167,0.00676123,-0.00812976,0.803045,0.0617913,-0.432887
01324189,1524035519513,-9.78978,0.16746,-0.591163,-0.0109786,0.0134192,-0.00126173,0.776595,-0.38555,-0.00819715
01324188,1524035519513,-9.75809,-0.54586,-1.01724,0.00494838,0.00306614,-0.00209037,0.755144,-0.290921,0.138669
01324185,1524035519513,-9.60985,-1.10456,1.85325,-0.0057953,0.00792902,-0.00555592,0.748935,0.129521,-0.592577
01324181,1524035519513,-9.40936,-0.0555574,2.70874,-0.0022344,-0.00867969,0.0177465,0.768283,0.44402,-0.352796
01324180,1524035519513,-9.11514,-3.44062,1.11041,-0.0143156,0.00459853,0.0129673,0.801695,0.0622525,-0.432993
01324189,1524035519529,-9.78511,0.172248,-0.600959,-0.0126949,0.0134371,0.00050829,0.775345,-0.384354,-0.00736433
01324188,1524035519529,-9.76782,-0.564915,-1.04587,-0.00207383,0.00434134,-0.0100901,0.756636,-0.289983,0.139926
01324185,1524035519529,-9.62415,-1.07073,1.89476,-0.0167678,0.00441223,-0.014874,0.751943,0.128311,-0.589159
01324181,1524035519529,-9.36844,-0.0938556,2.66385,-0.00754798,0.00545169,0.0178798,0.768686,0.442905,-0.350903
01324180,1524035519529,-9.17331,-3.44407,1.14366,-0.00546342,0.00480001,0.00424548,0.802107,0.061812,-0.43355
01324189,1524035519546,-9.78445,0.158021,-0.562055,-0.00762153,0.00301439,-0.0118929,0.779458,-0.38345,-0.00767414
01324188,1524035519546,-9.75806,-0.540803,-1.05098,0.00838794,0.0137329,-0.00637459,0.758802,-0.287775,0.138821
01324185,1524035519546,-9.58583,-1.14323,1.8599,0.00114199,0.0166454,-0.00817537,0.755214,0.128598,-0.58891
01324181,1524035519546,-9.40993,-0.0506679,2.65551,-0.00754962,0.00634339,0.0178926,0.773312,0.442101,-0.351738
01324180,1524035519546,-9.13881,-3.49692,1.15821,0.00855824,0.00487309,0.00255557,0.807053,0.064046,-0.432493
01324189,1524035519562,-9.83031,0.177371,-0.541843,-0.0110428,0.0117025,-0.00658108,0.780814,-0.383478,-0.00607231
01324188,1524035519562,-9.73394,-0.555442,-1.039,-0.00900528,0.00549303,0.000500191,0.759341,-0.286967,0.140081
01324185,1524035519562,-9.62461,-1.19117,1.83293,-0.0173449,0.0238574,-0.00904198,0.756574,0.129721,-0.589451
