ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524037081701,-9.89106,0.0106801,-0.269678,-0.278782,-0.0589647,0.0243672,0.0739928,-0.0205208,-0.459154
01324188,1524037081701,-9.86279,-0.382408,-0.407053,-0.220711,-0.00587465,0.0517095,-0.118498,-0.454227,-0.348086
01324185,1524037081701,-9.87926,-0.703896,1.46808,-0.120353,-0.00644308,-0.0941236,0.00486055,0.291076,0.224695
01324181,1524037081701,-9.18049,0.928678,3.44284,-0.173097,0.0269858,0.0848913,0.331133,-0.264459,0.147308
01324180,1524037081701,-9.49801,-2.63919,1.93628,-0.274692,-0.217541,0.14985,-0.249524,0.236546,-0.26535
01324189,1524037081704,-9.70616,0.0994452,-0.174894,-0.24403,-0.0420919,0.0261938,0.0666179,-0.0101071,-0.465835
01324188,1524037081704,-9.87012,-0.401873,-0.37794,-0.217121,-0.0341362,0.0602733,-0.122176,-0.451127,-0.35687
01324185,1524037081704,-9.80607,-0.583728,1.72334,-0.147341,0.0196121,-0.067066,-0.00114352,0.296222,0.219942
01324181,1524037081704,-9.20425,0.93322,3.47883,-0.205084,0.0410071,0.0799494,0.328087,-0.257837,0.146134
01324180,1524037081704,-9.38783,-2.56076,1.94745,-0.333648,-0.231111,0.115969,-0.257963,0.246591,-0.267462
01324189,1524037081720,-9.65993,0.105948,0.00941749,-0.214463,-0.00958028,0.0297797,0.0644458,-0.0109204,-0.466757
01324188,1524037081720,-9.83151,-0.421303,-0.378065,-0.19356,-0.0478149,0.0567506,-0.125988,-0.449212,-0.358992
01324185,1524037081720,-9.75732,-0.499633,1.86113,-0.191118,0.01303,-0.0618859,-0.00427502,0.296779,0.219422
01324181,1524037081720,-9.2665,0.896111,3.45499,-0.212266,0.0288148,0.0902293,0.324703,-0.257359,0.14616
01324180,1524037081720,-9.28127,-2.55922,1.9195,-0.371856,-0.219848,0.0718256,-0.260809,0.248087,-0.266171
01324189,1524037081737,-9.75051,0.0771922,0.0983453,-0.163722,0.00204358,0.0530468,0.0674348,-0.0124304,-0.464117
01324188,1524037081737,-9.85118,-0.50864,-0.290482,-0.131545,-0.0475527,0.0713366,-0.125833,-0.452538,-0.356508
01324185,1524037081737,-9.65109,-0.517077,1.93926,-0.21646,0.00206437,-0.0379986,-0.000999574,0.290866,0.221043
01324181,1524037081737,-9.22212,0.792328,3.43553,-0.214083,-0.00474422,0.0933928,0.323667,-0.262742,0.148817
01324180,1524037081737,-9.14984,-2.61054,1.89633,-0.376804,-0.197659,0.013005,-0.257817,0.242475,-0.260099
01324189,1524037081753,-9.76624,-0.038908,0.132385,-0.0991588,-0.000323888,0.0674877,0.0696231,-0.0123454,-0.464411
01324188,1524037081753,-9.75376,-0.302069,-0.228138,-0.114097,-0.0516934,0.0678775,-0.12544,-0.450251,-0.355697
