ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035788609,-9.74148,0.0747386,-1.17766,-0.0103047,0.00918351,-0.00971125,0.954464,0.281219,0.214463
01324188,1524035788609,-9.66946,-0.618416,-1.50361,-0.00275745,-0.00196761,-0.00142395,0.884055,0.382069,0.170399
01324185,1524035788609,-9.63222,-1.70716,1.09864,-0.00568172,0.0219057,-0.00913906,1.03051,0.109374,0.133945
01324181,1524035788609,-9.53294,0.138432,2.16233,0.00169587,-0.00136918,0.00365028,0.944396,-0.283673,-0.183291
01324180,1524035788609,-8.87995,-3.98761,1.03017,-0.016216,0.0136093,0.00594111,0.856977,0.553596,0.137956
01324189,1524035788613,-9.76491,0.0677777,-1.1262,-0.00944198,0.00659531,-0.0114751,0.952509,0.291524,0.212147
01324188,1524035788613,-9.67913,-0.616203,-1.46986,-0.0044988,0.0133935,0.00404094,0.880733,0.391877,0.164849
01324185,1524035788613,-9.62726,-1.69271,1.14438,-0.012128,0.0132907,0.00452887,1.03241,0.115609,0.13414
01324181,1524035788613,-9.53738,0.138348,2.20094,-0.00188033,0.00842372,0.00719592,0.944427,-0.280952,-0.190295
01324180,1524035788613,-8.90915,-3.97093,1.01789,-0.0164417,0.0239925,0.0130563,0.853646,0.562689,0.136425
01324189,1524035788629,-9.76036,0.147873,-1.11148,-0.00577949,0.0065779,0.00275071,0.95141,0.294871,0.210573
01324188,1524035788629,-9.68862,-0.565381,-1.49191,0.000752904,-0.000492807,0.00392171,0.877725,0.394884,0.161027
01324185,1524035788629,-9.62952,-1.64453,1.15369,-0.00394404,0.0148384,-0.0090978,1.03269,0.11652,0.137283
01324181,1524035788629,-9.53231,0.133537,2.2228,-0.00806331,0.00471932,-0.00143602,0.944309,-0.282945,-0.189451
01324180,1524035788629,-8.89923,-3.98519,1.00824,-0.00915599,0.0137664,-0.000162192,0.85468,0.565129,0.139036
01324189,1524035788646,-9.72949,0.184134,-1.13863,-0.00938118,-0.00635692,-0.00701694,0.951697,0.290677,0.211746
01324188,1524035788646,-9.67899,-0.579667,-1.52314,-0.00633259,0.0134074,-0.0127874,0.876401,0.388703,0.165649
01324185,1524035788646,-9.6367,-1.63003,1.16355,-0.0140192,0.00975921,0.002003,1.0327,0.111656,0.142191
